episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,5.253927687401532,9.480186700656416,3.9772858015266084,5.577331445583953,,,200,5.577331445583953,5.577331445583953,5.577331445583953,5.577331445583953,0.0,0.0
2,400,rayleigh,64,5.634637191407018,8.040482203022314,1.5597771983340747,6.513448341972245,,,200,6.045389893778099,6.045389893778099,6.045389893778099,6.045389893778099,0.0,0.0
3,600,rayleigh,64,6.425488137761123,7.777312362636014,0.9174482603094517,6.859864102326563,,,200,6.316881296627588,6.316881296627588,6.316881296627588,6.316881296627588,0.0,0.0
4,800,rayleigh,64,5.711306814650969,8.70600583170858,2.657093653812891,6.134821339494994,,,200,6.271366307344439,6.271366307344439,6.271366307344439,6.271366307344439,0.0,0.0
5,1000,rayleigh,64,6.351061183903473,7.351131531328376,0.7114330931571983,6.639698438171183,,,200,6.345032733509788,6.345032733509788,6.345032733509788,6.345032733509788,0.0,0.0
6,1200,rayleigh,64,2.4949212760522963,7.423150285404362,4.536859009071274,3.1183798638733236,,,200,5.807257255237044,5.807257255237044,5.807257255237044,5.807257255237044,0.0,0.0
7,1400,rayleigh,64,5.29804079973518,7.946615874013511,1.3001714256389663,6.661770713963444,,,200,5.929330606483672,5.929330606483672,5.929330606483672,5.929330606483672,0.0,0.0
8,1600,rayleigh,64,7.268749560804305,8.617792909966903,1.0525429952386491,7.565249914728249,,,200,6.133820520014244,6.133820520014244,6.133820520014244,6.133820520014244,0.0,0.0
9,1800,rayleigh,64,5.867689538892671,7.918808409058528,1.7373851211636342,6.2247704356609965,,,200,6.143926066197216,6.143926066197216,6.143926066197216,6.143926066197216,0.0,0.0
10,2000,rayleigh,64,5.533004461396314,7.245247402295202,1.3505671793798326,5.897356737150605,,,200,6.119269133292555,6.119269133292555,6.119269133292555,6.119269133292555,0.0,0.0
11,2200,rayleigh,64,4.8120995606861605,7.872801403582204,1.8854794101209054,5.998294158025598,,,200,6.108271408268286,6.108271408268286,6.108271408268286,6.108271408268286,0.0,0.0
12,2400,rayleigh,64,6.606803045254116,8.7653760567392,1.869700776144032,6.895675280595167,,,200,6.17388839762886,6.17388839762886,6.17388839762886,6.17388839762886,0.0,0.0
13,2600,rayleigh,64,7.0992293008317,8.444012855240832,1.0023847760718065,7.444348063488123,,,200,6.271616064233418,6.271616064233418,6.271616064233418,6.271616064233418,0.0,0.0
14,2800,rayleigh,64,5.575398335696328,8.337304586234126,1.6771969803508924,6.676415512399085,,,200,6.3005303105309665,6.3005303105309665,6.3005303105309665,6.3005303105309665,0.0,0.0
