episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,8.285495510181864,8.667553461727612,0.09417735869126362,8.573376103036347,,,200,8.573376103036347,8.573376103036347,8.573376103036347,8.573376103036347,0.0,0.0
2,400,rician,64,5.985026378060099,8.398321422858404,2.114094212938688,6.304621550928219,,,200,7.438998826982283,7.438998826982283,7.438998826982283,7.438998826982283,0.0,0.0
3,600,rician,64,5.492581416968575,7.940478838009463,1.9577487768682629,5.999373359477661,,,200,6.95912367114741,6.95912367114741,6.95912367114741,6.95912367114741,0.0,0.0
4,800,rician,64,6.385801113833895,9.063862222171174,2.3767034061261727,6.687158816045003,,,200,6.891132457371808,6.891132457371808,6.891132457371808,6.891132457371808,0.0,0.0
5,1000,rician,64,0.38123828341656496,7.763931049403058,7.158735436528203,1.2318396161503338,,,200,5.759273889127513,5.759273889127513,5.759273889127513,5.759273889127513,0.0,0.0
6,1200,rician,64,3.9516977110184786,8.278547765207774,4.115907648798106,4.2443690389720246,,,200,5.506789747434932,5.506789747434932,5.506789747434932,5.506789747434932,0.0,0.0
7,1400,rician,64,9.024824386441349,10.376429945692456,1.0535274268551582,9.3229025188373,,,200,6.051948714778127,6.051948714778127,6.051948714778127,6.051948714778127,0.0,0.0
8,1600,rician,64,7.156282259163874,8.418009026702368,0.9698501054769999,7.448158921225361,,,200,6.22647499058403,6.22647499058403,6.22647499058403,6.22647499058403,0.0,0.0
9,1800,rician,64,7.364104215648647,8.365266854716804,0.7077178433028779,7.657549011413918,,,200,6.385483215120685,6.385483215120685,6.385483215120685,6.385483215120685,0.0,0.0
10,2000,rician,64,8.10590026987935,8.957189080831686,0.5557409370676837,8.401448143764004,,,200,6.5870797079850165,6.5870797079850165,6.5870797079850165,6.5870797079850165,0.0,0.0
11,2200,rician,64,4.52985220824189,9.019219752999778,4.08763500073347,4.946537239125466,,,200,6.437939483543238,6.437939483543238,6.437939483543238,6.437939483543238,0.0,0.0
12,2400,rician,64,6.095425431765015,8.646806877219875,2.2553079968750964,6.395203909816827,,,200,6.4343781857327045,6.4343781857327045,6.4343781857327045,6.4343781857327045,0.0,0.0
13,2600,rician,64,7.402714405904999,8.320232073806958,0.5454450581732408,7.77478701563372,,,200,6.537486557263552,6.537486557263552,6.537486557263552,6.537486557263552,0.0,0.0
14,2800,rician,64,5.662542704433674,7.699964353815199,1.6892714641735287,6.010692889641669,,,200,6.499858438147704,6.499858438147704,6.499858438147704,6.499858438147704,0.0,0.0
15,3000,rician,64,8.041774655973201,9.380883052702666,1.0129682483757265,8.367914804326942,,,200,6.6243955292263195,6.6243955292263195,6.6243955292263195,6.6243955292263195,0.0,0.0
16,3200,rician,64,7.910479656322297,8.822897890881082,0.61251674642397,8.210381144457118,,,200,6.723519630178245,6.723519630178245,6.723519630178245,6.723519630178245,0.0,0.0
17,3400,rician,64,5.891971855831496,7.903991562622114,1.6907858559798523,6.213582533586388,,,200,6.693523330378724,6.693523330378724,6.693523330378724,6.693523330378724,0.0,0.0
18,3600,rician,64,5.242364357794253,8.404814679371416,2.8101450129602124,5.597627052990986,,,200,6.632640203857183,6.632640203857183,6.632640203857183,6.632640203857183,0.0,0.0
19,3800,rician,64,7.921492941887354,8.621615956303197,0.3585308182721243,8.26308513803106,,,200,6.718453095129493,6.718453095129493,6.718453095129493,6.718453095129493,0.0,0.0
20,4000,rician,64,7.7036534423326835,8.998349788129515,0.9452744319523783,8.053075356177143,,,200,6.7851842081818745,6.7851842081818745,6.7851842081818745,6.7851842081818745,0.0,0.0
21,4200,rician,64,7.195797815820299,9.768611925930498,2.1808005827343533,7.587811343196145,,,200,6.735905970189864,6.735905970189864,6.823404547944459,6.823404547944459,0.08749857775459446,0.08749857775459446
22,4400,rician,64,6.953020028122523,9.307880412451512,1.182035037252947,8.125845375198564,,,200,6.826967161403383,6.826967161403383,6.882606403728736,6.882606403728736,0.05563924232535289,0.05563924232535289
23,4600,rician,64,6.3074806305325115,8.62348734105233,1.1205936124492017,7.50289372860313,,,200,6.902143179859655,6.902143179859655,6.90957541785371,6.90957541785371,0.007432237994055235,0.007432237994055235
24,4800,rician,64,6.288822911716453,9.653968338096524,2.9257848612676365,6.728183476828887,,,200,6.904194412898851,6.904194412898851,6.902017420311009,6.902017420311009,0.002176992587841653,0.002176992587841653
25,5000,rician,64,7.137014079970993,8.11821023736817,0.608553442831739,7.509656794536441,,,200,7.218085271818156,7.218085271818156,6.926322995280027,6.926322995280027,0.2917622765381287,0.2917622765381287
26,5200,rician,64,6.4881900436029465,8.146076236942664,1.0238823587230974,7.122193878219566,,,200,7.361976513780531,7.361976513780531,6.933856490777702,6.933856490777702,0.4281200230028297,0.4281200230028297
27,5400,rician,64,6.9857852621575605,10.140056127690466,2.169251468238168,7.970804659452304,,,200,7.294371620811283,7.294371620811283,6.972261978506391,6.972261978506391,0.32210964230489214,0.32210964230489214
28,5600,rician,64,4.753189690799844,7.934271823661442,1.4883099163799551,6.445961907281488,,,200,7.244261770114089,7.244261770114089,6.953465547391216,6.953465547391216,0.2907962227228724,0.2907962227228724
29,5800,rician,64,8.463307752290744,9.520213343740352,0.6831112016951957,8.83710214204516,,,200,7.303239426645649,7.303239426645649,7.018418533413766,7.018418533413766,0.284820893231883,0.284820893231883
30,6000,rician,64,7.671126290211789,9.071826888544761,1.046311528888087,8.02551535965667,,,200,7.284442787440284,7.284442787440284,7.051988427621863,7.051988427621863,0.232454359818421,0.232454359818421
31,6200,rician,64,5.018635486940276,8.985768629158718,3.5346243303226705,5.457719218830817,,,200,7.310001886425551,7.310001886425551,7.000560388628603,7.000560388628603,0.3094414977969482,0.3094414977969482
32,6400,rician,64,8.663828324224067,9.531646316792042,0.42719806261654514,9.10444825417549,,,200,7.445464103643483,7.445464103643483,7.066306884426941,7.066306884426941,0.379157219216542,0.379157219216542
33,6600,rician,64,8.309159661284143,9.071646135084903,0.36992598372586183,8.701720151359048,,,200,7.491810760429749,7.491810760429749,7.115864862212763,7.115864862212763,0.3759458982169859,0.3759458982169859
34,6800,rician,64,4.753105273398093,9.74415487947689,4.207360662579121,5.563471704500616,,,200,7.469449701172697,7.469449701172697,7.070206239927111,7.070206239927111,0.39924346124558596,0.39924346124558596
35,7000,rician,64,5.371622349505156,7.687505479681628,0.8704252895107388,6.818832196576292,,,200,7.3919955707851654,7.3919955707851654,7.063024124402802,7.063024124402802,0.3289714463823632,0.3289714463823632
36,7200,rician,64,3.936522781381122,8.551237878592419,2.652414429767059,5.899738152206992,,,200,7.27646342117266,7.27646342117266,7.030710625175141,7.030710625175141,0.24575279599751898,0.24575279599751898
37,7400,rician,64,6.406596408302986,7.962859882249483,1.0747101728959474,6.888149709353535,,,200,7.310191779961016,7.310191779961016,7.026857627450233,7.026857627450233,0.28333415251078353,0.28333415251078353
38,7600,rician,64,7.595392187590884,8.511288608103074,0.4840782458862104,8.027210362216856,,,200,7.4316709454223115,7.4316709454223115,7.053182699417776,7.053182699417776,0.3784882460045358,0.3784882460045358
39,7800,rician,64,7.745581013409431,9.515741012084687,1.150618271923285,8.365122740161404,,,200,7.436772825528829,7.436772825528829,7.086822187641971,7.086822187641971,0.34995063788685776,0.34995063788685776
40,8000,rician,64,6.706702422653662,7.746410829294432,0.4681228285909977,7.278288000703433,,,200,7.398033457755143,7.398033457755143,7.091608832968508,7.091608832968508,0.3064246247866347,0.3064246247866347
41,8200,rician,64,5.311072810824584,8.60079237960176,2.79230790197345,5.8185364568279345,,,200,7.309569713436732,7.309569713436732,7.060558287208981,7.060558287208981,0.2490114262277503,0.2490114262277503
42,8400,rician,64,6.201559464054103,7.61686868406477,0.2752508294611532,7.341617854603619,,,200,7.270358337406984,7.270358337406984,7.067250181670759,7.067250181670759,0.2031081557362251,0.2031081557362251
43,8600,rician,64,5.386807704988183,8.896714771988318,2.851460758816654,6.045953425749455,,,200,7.197511322264299,7.197511322264299,7.043499094323752,7.043499094323752,0.15401222794054714,0.15401222794054714
44,8800,rician,64,8.161562429825729,8.896596221290453,0.3275747080520955,8.569021513238356,,,200,7.289553224084773,7.289553224084773,7.0781700583899925,7.0781700583899925,0.21138316569478022,0.21138316569478022
45,9000,rician,64,1.8377031098254806,7.925714416337608,5.619528275101718,2.440297537846766,,,200,7.03608526125029,7.03608526125029,6.975106224600144,6.975106224600144,0.0609790366501457,0.0609790366501457
46,9200,rician,64,7.479144438462485,9.009973019809166,1.0468836170542664,7.963089402754906,,,200,7.078130037477058,7.078130037477058,6.996584119777421,6.996584119777421,0.08154591769963648,0.08154591769963648
47,9400,rician,64,7.963155206760065,8.819303876902328,0.2223823863460974,8.596921490556229,,,200,7.109435879032253,7.109435879032253,7.030633851070587,7.030633851070587,0.07880202796166547,0.07880202796166547
48,9600,rician,64,8.101568031109514,9.108179932915812,0.564900252786124,8.543279680129688,,,200,7.214301767674664,7.214301767674664,7.06214730584265,7.06214730584265,0.15215446183201387,0.15215446183201387
49,9800,rician,64,7.845059974271833,9.0306134196297,0.7619384368455611,8.26867498278414,,,200,7.185880409711612,7.185880409711612,7.0867703196577825,7.0867703196577825,0.09911009005382976,0.09911009005382976
