episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,0.9994638055555556,4.06021637491827,9.460511123283657,8.431042215307967,4.334204676605243,,,200,4.334204676605243,4.334204676605243,4.334204676605243,4.334204676605243,0.0,0.0
2,400,rayleigh,64,0.9989249166666667,3.9486267322193127,8.140519968124744,6.416298265252063,4.240250232742258,,,200,4.287227454673751,4.287227454673751,4.287227454673751,4.287227454673751,0.0,0.0
3,600,rayleigh,64,0.9983860277777777,4.935481780937087,7.951645049628395,5.641450354671557,5.206412877937214,,,200,4.593622595761572,4.593622595761572,4.593622595761572,4.593622595761572,0.0,0.0
4,800,rayleigh,64,0.9978471388888889,4.263979263187336,8.492877756133666,6.669258744773125,4.633079102333163,,,200,4.60348672240447,4.60348672240447,4.60348672240447,4.60348672240447,0.0,0.0
5,1000,rayleigh,64,0.99730825,5.99465828646281,9.373594685706578,5.170775656892536,6.269129911923996,,,200,4.936615360308375,4.936615360308375,4.936615360308375,4.936615360308375,0.0,0.0
6,1200,rayleigh,64,0.9967693611111111,3.417956639031904,7.22852296498689,5.8216081261543575,4.232550096669263,,,200,4.819271149701856,4.819271149701856,4.819271149701856,4.819271149701856,0.0,0.0
7,1400,rayleigh,64,0.9962304722222223,4.203739009174537,8.662267760958766,6.517094673727857,4.949252699860504,,,200,4.837839942581662,4.837839942581662,4.837839942581662,4.837839942581662,0.0,0.0
8,1600,rayleigh,64,0.9956915833333333,3.474022907510161,9.05014752022197,7.547231048571769,4.495803673850557,,,200,4.795085408990275,4.795085408990275,4.795085408990275,4.795085408990275,0.0,0.0
9,1800,rayleigh,64,0.9951526944444444,4.384434386611639,8.259626636435785,6.2330078789669106,4.658672170095962,,,200,4.779928382446462,4.779928382446462,4.779928382446462,4.779928382446462,0.0,0.0
10,2000,rayleigh,64,0.9946138055555556,4.649431164818944,7.894472140682629,5.818059807017826,4.952019852689229,,,200,4.797137529470739,4.797137529470739,4.797137529470739,4.797137529470739,0.0,0.0
11,2200,rayleigh,64,0.9940749166666667,4.462575466495731,8.657152594921786,6.751858514207518,4.767633345231969,,,200,4.794455330903578,4.794455330903578,4.794455330903578,4.794455330903578,0.0,0.0
12,2400,rayleigh,64,0.9935360277777778,3.449479491817863,8.122733700013026,8.798707563070657,3.7349934131192377,,,200,4.706166837754883,4.706166837754883,4.706166837754883,4.706166837754883,0.0,0.0
13,2600,rayleigh,64,0.9929971388888889,4.324291448475804,8.032376571371756,5.02629198371909,5.182356911969912,,,200,4.742796843463731,4.742796843463731,4.742796843463731,4.742796843463731,0.0,0.0
14,2800,rayleigh,64,0.99245825,4.64338332394245,8.260811156146943,4.567245968685068,5.7430389261591985,,,200,4.814242706513407,4.814242706513407,4.814242706513407,4.814242706513407,0.0,0.0
15,3000,rayleigh,64,0.9919193611111111,4.786202798958607,9.206197522609168,6.64292868674626,5.191841801610361,,,200,4.839415979519871,4.839415979519871,4.839415979519871,4.839415979519871,0.0,0.0
16,3200,rayleigh,64,0.9913804722222223,5.222186942552193,8.869461674043746,6.0366227778861035,5.504363213549981,,,200,4.880975181646753,4.880975181646753,4.880975181646753,4.880975181646753,0.0,0.0
17,3400,rayleigh,64,0.9908415833333334,4.583637639726288,9.389739710347461,7.755220246940837,4.875341361774512,,,200,4.880643780477798,4.880643780477798,4.880643780477798,4.880643780477798,0.0,0.0
18,3600,rayleigh,64,0.9903026944444444,5.623267372304939,9.440980738049362,5.972411441447971,5.900764276773853,,,200,4.937317141383135,4.937317141383135,4.937317141383135,4.937317141383135,0.0,0.0
19,3800,rayleigh,64,0.9897638055555555,3.3285652141256823,8.511254408553969,6.684856078596871,4.570095323047198,,,200,4.9179896772601905,4.9179896772601905,4.9179896772601905,4.9179896772601905,0.0,0.0
