episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,0.9994638055555556,4.555882027028824,10.026762026418261,8.55042936844564,4.829870328715792,,,200,4.829870328715792,4.829870328715792,4.829870328715792,4.829870328715792,0.0,0.0
2,400,rician,64,0.9989249166666667,4.387013154709729,8.385134890704206,6.260670900584863,4.678735867840859,,,200,4.754303098278326,4.754303098278326,4.754303098278326,4.754303098278326,0.0,0.0
3,600,rician,64,0.9983860277777777,5.102355455745108,8.200332009356798,5.847768383928904,5.373286552745227,,,200,4.96063091643396,4.96063091643396,4.96063091643396,4.96063091643396,0.0,0.0
4,800,rician,64,0.9978471388888889,4.758468243297936,8.997219816553836,6.7072641797256525,5.127568082443764,,,200,5.0023652079364105,5.0023652079364105,5.0023652079364105,5.0023652079364105,0.0,0.0
5,1000,rician,64,0.99730825,6.450442130850213,9.92342905996548,5.151263875999596,6.724913756311401,,,200,5.346874917611409,5.346874917611409,5.346874917611409,5.346874917611409,0.0,0.0
6,1200,rician,64,0.9967693611111111,3.8051765339175745,7.5772040456876795,6.018406022059736,4.625941109546364,,,200,5.226719282933901,5.226719282933901,5.226719282933901,5.226719282933901,0.0,0.0
7,1400,rician,64,0.9962304722222223,4.626493376530368,9.057887564631299,6.537372802453293,5.372007067216336,,,200,5.247474680688534,5.247474680688534,5.247474680688534,5.247474680688534,0.0,0.0
8,1600,rician,64,0.9956915833333333,3.9091898053147545,9.320826752832678,7.538181283241984,4.93097057165515,,,200,5.207911667059362,5.207911667059362,5.207911667059362,5.207911667059362,0.0,0.0
9,1800,rician,64,0.9951526944444444,4.862407229621372,8.78375159762066,6.2301152761815946,5.135961098564858,,,200,5.199917159448861,5.199917159448861,5.199917159448861,5.199917159448861,0.0,0.0
10,2000,rician,64,0.9946138055555556,5.055912077413986,8.410207160040633,5.955811447398095,5.358500765284268,,,200,5.215775520032402,5.215775520032402,5.215775520032402,5.215775520032402,0.0,0.0
11,2200,rician,64,0.9940749166666667,4.802858116133126,8.943361188844353,6.7252000173469275,5.107915994869363,,,200,5.205970108653944,5.205970108653944,5.205970108653944,5.205970108653944,0.0,0.0
