episode,reward,secrecy_total,secrecy_target,secrecy_user,pd_target,pd_eaves,crb_target,p_bs_tx,p_jam_tx,noma_a_far,constraint_satisfaction,assr,pd_combined,combined_utility,crb_feasible
1,6.84428418301308,140.92312709731146,140.92312709731146,0.0,0.010832042233674923,0.7941406595202006,234.73817624680404,2.841266396641424,0.49897981069294683,0.757866868010849,1.0,0.6425118392049683,0.4024863508769378,0.522499095040953,1.0
2,5.034203433165054,219.33156480305016,219.33156480305016,0.0,0.016505034323189036,0.7899766537446234,109.15606471055025,2.962642456237891,0.4843917093779929,0.7520690229804822,1.0,1.0,0.40324084403390625,0.7016204220169531,1.0
3,4.530468721959979,163.63431640052963,163.63431640052963,0.0,0.00798969721407648,0.7666755694991467,115.78158515138766,2.9756515416770504,0.4760271725133539,0.7583173113752005,1.0,0.7460591299180575,0.3873326333566116,0.5666958816373345,1.0
4,4.587732601905178,70.10764183437138,70.10764183437138,0.0,0.019411861405244153,0.8418253172519783,31.506965331605237,2.865539348702027,0.5095675203348151,0.7600276295385758,1.0,0.31964228175422393,0.43061858932861125,0.37513043554141756,1.0
5,4.437135600933489,85.5707239856396,85.5707239856396,0.0,0.02952871271703008,0.7891693643527276,34.99830738532247,2.503110725006812,0.5092259871796759,0.7804715234093962,1.0,0.3901432247678452,0.4093490385348788,0.39974613165136197,1.0
6,4.883720947271952,26.173166809801238,26.173166809801238,0.0,0.07015080502376787,0.8855715135571263,22.937484546960746,2.2746171367131955,0.5122222983284707,0.7649923364742345,1.0,0.11933150995983437,0.4778611592904471,0.29859633462514074,1.0
7,5.355519483628067,25.77542857955215,25.77542857955215,0.0,0.12126076571356896,0.929140717152616,5.159413771983143,2.204747852464004,0.5065635977077315,0.769464306271064,1.0,0.11751809915137987,0.5252007414330925,0.3213594202922362,1.0
8,5.215577167667724,17.79127514047921,17.79127514047921,0.0,0.12802765232341223,0.9007981122756898,9.737151209039379,1.9871788409472313,0.49708078658311255,0.7488956628644032,1.0,0.08111589025708622,0.5144128822995511,0.29776438627831864,1.0
9,5.437162209201145,33.12125204506716,33.12125204506716,0.0,0.1666023925140419,0.894227587013557,10.778182042505861,1.9747065570938758,0.5280774035091232,0.7179265532675998,1.0,0.1510099655505971,0.5304149897637994,0.34071247765719825,1.0
10,4.175962819179545,24.46049784144704,24.46049784144704,0.0,0.08067237544934407,0.7348739059607112,9.102900128879208,1.7592188356237421,0.5676063476901659,0.6842880536200475,1.0,0.11152292586528283,0.4077731407050276,0.25964803328515523,1.0
11,3.6910142627539124,16.30752000152896,16.30752000152896,0.0,0.0759246365288506,0.6491802755919369,6.796627631787333,1.7007807776005142,0.6163908422179721,0.648082386829733,1.0,0.07435099465128231,0.36255245606039377,0.21845172535583804,1.0
