episode,reward,secrecy_total,secrecy_target,secrecy_user,pd_target,pd_eaves,crb_target,p_bs_tx,p_jam_tx,noma_a_far,constraint_satisfaction
1,-179.29166544917553,0.00448659399222012,0.00448659399222012,0.0,4.334519401479644e-09,1.1561391027297588e-05,308550.92536921054,2.743467162101341,0.49867669699354494,0.7555660973831315,1.0
2,-170.6546443385757,0.004039178901694375,0.004039178901694375,0.0,2.737475305278521e-09,1.558470558520976e-05,155970.18248482142,2.7621848237200837,0.46985944477154884,0.7652174547130758,1.0
3,-170.6794606085329,0.09218512281745446,0.09218321479222316,1.9080252313043156e-06,2.6804478540546263e-09,1.3370453742709386e-05,239670.28302392512,3.0156014831886226,0.4892435446258384,0.7553284114556297,1.0
4,-177.19597421282188,0.0037833201730230587,0.0037833201730230587,0.0,3.5889488866110964e-09,1.2918152538053766e-05,3340129.5868406324,3.013967148070836,0.5052626738780669,0.7766568744994418,1.0
5,-174.66367827506966,0.0035598001021335895,0.0035598001021335895,0.0,3.2699678915827997e-09,7.180682690606604e-06,123184.22836985886,2.804486720354973,0.5358181446909511,0.7562176765758796,1.0
6,-164.66026391310763,0.01643503192168947,0.01643503192168947,0.0,2.022759143172271e-09,1.8791642784313518e-05,350178.0525573903,2.898615312751905,0.509647661741348,0.7704868517530196,1.0
7,-172.29834187229287,0.006108638121997739,0.006108638121997739,0.0,1.1413816169847679e-09,1.2534922731870982e-05,927856.6239450726,2.949817291479051,0.49523800105531157,0.7615322804495552,1.0
8,-167.7736229444242,0.03987027771363237,0.03987027771363237,0.0,4.177281620210412e-09,2.0810031595682812e-05,305546.0065181989,2.712933128793464,0.5511850761639303,0.7722390406000523,1.0
9,-178.0022820619914,0.010085102133107116,0.010085102133107116,0.0,3.4695563024080144e-09,2.322601332825479e-05,173222.63723885122,2.9236614549611835,0.5387961250247458,0.7628566136886736,1.0
10,-184.45636278148862,0.004223521053656074,0.004222931248060912,5.898055951619097e-07,2.9723007109867055e-08,1.657576255433553e-05,133869.10679510864,2.5679488546140066,0.5634074568108334,0.7473775436153138,1.0
11,-173.72681602260693,0.0040578491169296045,0.0040578491169296045,0.0,9.450018464155426e-09,2.4926597153785833e-05,71287.4910424243,2.7366594771959836,0.552545828980928,0.740051523512067,1.0
12,-194.74711589498241,0.0006578736638853391,0.0006576874320556626,1.862318296764329e-07,7.851656277753514e-08,2.2360254853093272e-05,121653.774950882,2.4731482813904146,0.5986755647529699,0.751155085535985,1.0
13,-206.889106206875,0.0005737548591267969,0.0005737548591267969,0.0,3.13487551965565e-08,2.7320087432420078e-05,45329.48718584598,2.3486388716949316,0.6171215718467271,0.7325590288592791,1.0
14,-191.81899794265982,0.0020596348648516663,0.0020563003112158062,3.334553635859735e-06,3.398787059226139e-07,1.5007282124732447e-05,556482.8668387885,2.4103671107899487,0.6093851972417174,0.7220483890753373,1.0
15,-198.79416127645226,0.0029855845840051636,0.0029855845840051636,0.0,2.2226838044968044e-07,1.812341343048156e-05,25529443.97797682,2.2702112114388884,0.6500137225829775,0.6971350942839685,0.9
16,-198.5840642909784,0.00028939951689670873,0.000284683224062371,4.716292834337652e-06,1.1691428772793493e-07,7.632818530391032e-06,32452.170005378837,2.0008110618013215,0.68547110310108,0.6750456131166028,1.0
17,-197.02343963252966,0.001740757557592355,0.001740757557592355,0.0,2.05634208309911e-07,1.033549427069999e-05,9000.164587461437,2.032230065465525,0.680999260354074,0.6823039425128249,1.0
18,-199.5331012540599,0.0003941402905353516,0.0003941402905353516,0.0,2.1209767617305642e-07,1.1845971152404557e-05,13879.971845210108,1.987277779991666,0.7078517150879835,0.665562394440587,1.0
19,-196.92350727449215,0.0039455922841074645,0.0039455922841074645,0.0,5.686582951746044e-07,7.181595478938162e-06,5692.454285925031,2.092948402720933,0.7290904217293483,0.6663303293262853,1.0
20,-189.81616672697513,0.003382115377735264,0.003382115377735264,0.0,2.4462683822521463e-07,5.537336983790391e-06,9787.539843557055,2.2099799552465247,0.6839835765380349,0.6714643432405375,1.0
21,-190.8577304710367,0.0006731136253936748,0.0006731136253936748,0.0,1.3775131409894605e-07,4.810617494504356e-06,11625.970360267267,2.258506614580857,0.7005504064816858,0.6623448502428722,1.0
22,-187.0644727585882,0.000834158590217979,0.000834158590217979,0.0,3.2954434306905545e-08,6.381051897490425e-06,23915.09789352202,2.5272819170604324,0.6356545952388275,0.6797865526573884,1.0
23,-188.66188942065588,0.0019661548063685886,0.0019661548063685886,0.0,6.371515467469874e-08,3.472684654649539e-06,39314.431360917246,2.492037319558313,0.6154466864403618,0.6727888744254187,1.0
24,-170.53579888583792,0.0009899818553616754,0.0009899818553616754,0.0,2.227312308402692e-08,2.696732242904024e-06,44295.60975718764,2.5780487095305915,0.5967581842313845,0.6999827342483589,1.0
25,-181.24103663011414,0.0009837702724643054,0.0009837702724643054,0.0,6.188002531234608e-08,1.9534036004195004e-06,28663.62174222762,2.696357076906377,0.5433519745103912,0.7088108832433102,1.0
26,-182.24283459095105,0.0462935365152263,0.0462935365152263,0.0,1.630598371710336e-08,2.40748570397284e-06,83731.79275070701,3.0838785324280744,0.5427633337801723,0.7308274107330673,1.0
27,-166.08373267022785,0.003495877004553849,0.003495877004553849,0.0,6.5325038658949855e-09,1.599254102005847e-06,86800.54130029675,3.474451458344972,0.46123303042009606,0.7313882232210036,1.0
