episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,tau,reward_scale_divisor,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,mean_q_value,critic_loss,actor_loss,rolling_reward_variance,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,0.2263168558880255,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,958.7284834625164,4.793642417312582,9.513806820996837,4.674807685376347,5.207038261350303,,,104.14076522700606,3.606470127278261,0.1777519602328539,200,155.44164163347907,203.83412856377674,111.33592454393782,148.11982878706334,0,238.54766265171884,191.5756544293691,221.45147784555985,813.8589785044693,nan,nan,nan,0.0,5.207038261350303,5.207038261350303,5.207038261350303,5.207038261350303,0.0,0.0
2,400,rayleigh,0.20477483839764715,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1343.018336779292,6.71509168389646,8.936916301583684,1.676638858853791,7.293559748477322,,,145.87119496954645,2.9797377199468404,0.211116009936668,200,89.5759921276827,149.49486554345566,40.62206063768991,110.74651721924914,0,152.26607402319814,489.23059393512426,876.7825486213293,842.2548513048595,nan,nan,nan,0.9229918210139303,6.2502990049138125,6.2502990049138125,6.2502990049138125,6.2502990049138125,0.0,0.0
3,600,rayleigh,0.18528330236935384,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1482.0075754268635,7.410037877134317,8.182305525832305,0.20046207918565187,7.981843446646652,,,159.63686893293303,3.7889058030803278,0.3022543258033693,200,217.5231533393648,159.6162368312929,147.451777999157,81.19983053043406,0,458.41172689147686,542.5699069344527,285.85968339022054,114.90440688123797,1.6882236003875732,0.08743511140346527,-1.7681900262832642,1.224493633080811,6.827480485491425,6.827480485491425,6.827480485491425,6.827480485491425,0.0,0.0
4,800,rayleigh,0.16764707229424847,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,816.1661176657087,4.080830588328544,8.143966547425393,3.3469154615001386,4.84335656564102,,,96.86713131282042,6.562702918348071,0.4631516833603382,200,374.19914603946734,352.1955387761346,357.5528347632184,219.77930721400685,0,604.1853260229835,595.6291344934523,168.01599921494162,856.7162242342733,2.4081687927246094,0.036285653710365295,-2.4618561267852783,1.8469685057954397,6.331449505528824,6.331449505528824,6.331449505528824,6.331449505528824,0.0,0.0
5,1000,rayleigh,0.15168955048526636,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1423.7687247020142,7.118843623510071,9.007266989146597,1.0281355235489589,7.987405968078565,,,159.74811936157127,6.7466781432847025,0.4801775589585304,200,373.35441639390416,370.1068944334446,304.1553536147914,346.3968757106683,0,155.61621420006514,432.66556740206,614.7002481629668,871.0620972815475,3.0786657333374023,0.04637512192130089,-3.167623519897461,1.7774155866419084,6.6626407980387725,6.6626407980387725,6.6626407980387725,6.6626407980387725,0.0,0.0
6,1200,rayleigh,0.13725094874329982,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1352.9833609786706,6.764916804893353,8.176652945064758,0.6228675023066648,7.553785442758088,,,151.07570885516176,6.86803521691451,0.4816195797920227,200,375.74209297575743,379.53614839954076,275.5041778840099,377.4681177593126,0,466.6955525060687,180.44685497142632,418.2388334161173,376.83013054734676,3.829862117767334,0.32205185294151306,-3.9146173000335693,1.557487753572241,6.811164905491992,6.811164905491992,6.811164905491992,6.811164905491992,0.0,0.0
7,1400,rayleigh,0.12418668834255418,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,629.7885856048713,3.1489429280243564,7.9482238157950285,2.3418062346324433,5.624326030303371,,,112.48652060606742,6.91006922200059,0.4679937323927879,200,311.7908818181254,281.3790178812667,285.0286973164937,270.38827186016846,0,523.024599231702,551.6607136352396,248.59024700966086,700.2915944966583,4.670318603515625,0.22920116782188416,-4.73087215423584,2.4357701198907833,6.641616494750761,6.641616494750761,6.641616494750761,6.641616494750761,0.0,0.0
8,1600,rayleigh,0.11236595231363422,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,941.4101621212553,4.707050810606277,7.6731782348093915,0.811301192348221,6.86494873869663,,,137.2989747739326,6.886864779076782,0.4710000514239073,200,293.45717695652684,260.34613140559594,275.440225099562,250.48811038586038,0,649.4842882193818,654.4830163361809,603.5984018977387,643.3266602808151,5.10476016998291,0.05200430378317833,-5.131792068481445,2.243281408984269,6.669533025243994,6.669533025243994,6.669533025243994,6.669533025243994,0.0,0.0
9,1800,rayleigh,0.10167037552786905,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1493.2873464822026,7.466436732411013,9.323705856365482,1.0588209083491196,8.264884948016364,,,165.2976989603273,6.850851842067824,0.48672185763716697,200,380.5226698757927,372.02573790899163,378.37971403242034,359.31906464821293,0,288.1607687293214,508.7577719244736,601.6630086435417,847.2660758786606,5.808520793914795,0.04156028479337692,-5.859492778778076,2.3408862147641933,6.84679434999648,6.84679434999648,6.84679434999648,6.84679434999648,0.0,0.0
10,2000,rayleigh,0.09199285946623587,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1071.7320673620027,5.358660336810013,7.578619016296447,0.6375151291067195,6.9492201093943375,,,138.9844021878868,6.919096325194261,0.474888299703598,200,287.41778851001084,379.9872402992226,271.51255905788213,378.18889180259043,0,839.4146088367139,504.07543857039013,422.9905917096487,331.55502084688794,6.5701727867126465,0.4498121440410614,-6.623468399047852,2.124379031156499,6.857036925936265,6.857036925936265,6.857036925936265,6.857036925936265,0.0,0.0
11,2200,rayleigh,0.08323649980475284,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1414.927906703638,7.07463953351819,8.317119714297485,0.4466787503237687,7.87044096397372,,,157.40881927947441,6.936405090904483,0.48824729934334754,200,380.9447525655019,380.6293768945318,379.89974487090603,379.042189165613,0,277.02583679156703,203.28616408774013,693.6286102386468,274.5730028428012,7.378110885620117,0.07296371459960938,-7.416851043701172,2.0748599312660625,6.949164565757852,6.949164565757852,6.949164565757852,6.949164565757852,0.0,0.0
