episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,tau,reward_scale_divisor,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,mean_q_value,critic_loss,actor_loss,rolling_reward_variance,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,0.2263168558880255,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1082.927024446522,5.4146351222326095,9.856369694973225,4.323715929762119,5.82699850487982,,,116.53997009759641,3.6007897304629157,0.17896805334836244,200,155.3373243154954,202.25193406289267,117.90696610896815,146.54038487663203,0,246.281165974212,193.73991906196488,221.45147784555985,812.287290901685,nan,nan,nan,0.0,5.82699850487982,5.82699850487982,5.82699850487982,5.82699850487982,0.0,0.0
2,400,rician,0.20477483839764715,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1478.212131800256,7.39106065900128,9.39117924470799,1.436417163761309,7.994815721937161,,,159.89631443874322,2.9833525746935514,0.21497560456395148,200,91.0153978471453,149.26718095526024,45.67009433985639,110.33207961666224,0,156.67093653128242,494.3147562990543,876.7825486213293,840.7646672170894,nan,nan,nan,0.9765644755978315,6.9109071134084905,6.9109071134084905,6.9109071134084905,6.9109071134084905,0.0,0.0
3,600,rician,0.18528330236935384,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1586.1297260082226,7.930648630041113,8.62974453086398,0.12943209984168613,8.500312431022294,,,170.0062486204459,3.7592625099492163,0.30440552986226976,200,216.38344915855492,155.58718512425207,146.8253665619699,67.82564025908168,0,463.5077241342832,547.432326647288,285.85968339022054,101.20182365847543,1.7549787759780884,0.04845474660396576,-1.827094316482544,1.1697485613730068,7.440708885946425,7.440708885946425,7.440708885946425,7.440708885946425,0.0,0.0
4,800,rician,0.16764707229424847,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,826.9203501105557,4.134601750552778,8.626163369029616,3.5384982140156227,5.0949508678690165,,,101.89901735738034,6.761030664153019,0.46300684221088884,200,379.35105945853064,354.4396403286002,344.58905936213955,278.5590362544258,0,587.2276387736331,582.1686686986901,168.01599921494162,980.4206581664232,2.5082995891571045,0.026731491088867188,-2.5716311931610107,2.3237949386661145,6.854269381427073,6.854269381427073,6.854269381427073,6.854269381427073,0.0,0.0
5,1000,rician,0.15168955048526636,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1548.9480108037603,7.744740054018802,9.078183782605572,0.556630393701974,8.521553388903593,,,170.43106777807188,6.740334392199326,0.48017953731119634,200,368.5560656969232,374.9656206047176,350.6209942308436,372.5509188071012,0,551.459836788028,400.36465399856064,614.7002481629668,657.5483627683291,3.2102272510528564,0.020077547058463097,-3.266918897628784,2.2321143078017327,7.187726182922377,7.187726182922377,7.187726182922377,7.187726182922377,0.0,0.0
6,1200,rician,0.13725094874329982,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1370.3091620364933,6.851545810182467,8.082849589221532,0.18263152797023463,7.900218061251287,,,158.00436122502575,6.792944188468862,0.48161760352551936,200,354.3312303970231,379.9850134315269,335.9770615969826,378.83900952867174,0,891.5894651803958,628.0463108617944,418.2388334161173,158.87765355602704,4.095634460449219,0.30225318670272827,-4.207183837890625,1.8750747269025039,7.306474829310528,7.306474829310528,7.306474829310528,7.306474829310528,0.0,0.0
7,1400,rician,0.12418668834255418,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1343.0691580492114,6.715345790246057,9.27414634764756,1.6311684458337388,7.642977901813818,,,152.85955803627638,6.90438593235398,0.4679957009851933,200,379.7368321361001,379.05115911001576,377.42731652910527,377.3535234072145,0,186.63402243679153,259.04221671433163,248.59024700966086,538.7523399034844,4.998408317565918,0.2959473729133606,-5.054490089416504,1.6095210771586987,7.354546696810999,7.354546696810999,7.354546696810999,7.354546696810999,0.0,0.0
8,1600,rician,0.11236595231363422,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1144.4960182250238,5.722480091125119,8.042341167326335,0.3477979943636424,7.694543172962684,,,153.89086345925367,6.924067455615349,0.4710009677708149,200,301.75762258447,345.2064703364483,285.29697916337454,330.5849093201456,0,894.2247780843651,519.6349471355304,603.5984018977387,376.87417307549856,5.733715057373047,0.006571984384208918,-5.796413421630859,1.4920771154659986,7.3970462563299595,7.3970462563299595,7.3970462563299595,7.3970462563299595,0.0,0.0
9,1800,rician,0.10167037552786905,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1652.4730239901662,8.26236511995083,10.108748212373564,0.6660376660738532,9.44271054629972,,,188.8542109259944,6.934654685354559,0.48672186367213727,200,380.50797624354607,345.8716096285088,379.6467887677443,326.9993569672347,0,316.3309655693891,279.9100314230047,601.6630086435417,614.5558212417703,6.538034439086914,0.01120084524154663,-6.5779128074646,1.6371947019339594,7.624342288548822,7.624342288548822,7.624342288548822,7.624342288548822,0.0,0.0
10,2000,rician,0.09199285946623587,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,0.005,5.0,1077.7524428926026,5.388762214463013,7.656912835236972,0.6632891031079344,6.99362373212904,,,139.8724746425808,6.936526902231467,0.4748882679641247,200,300.4845726530141,380.89639653609004,281.1723476907646,380.60499760469565,0,1078.5219680241812,706.9884637454351,422.9905917096487,622.9106950229735,7.209409713745117,0.29967668652534485,-7.253181457519531,1.6247589703549665,7.561270432906843,7.561270432906843,7.561270432906843,7.561270432906843,0.0,0.0
