episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,reward_clip_value,use_double_dqn,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,mean_q_value,loss,rolling_reward_variance,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,1.0,0.005,1.0,True,812.0432749836541,4.06021637491827,9.460511123283657,8.431042215307967,4.334204676605242,,,86.68409353210484,2.5204678415555897,0.24875,200,47.36555029399037,51.73088643440004,18.561044532510884,31.119841962593327,169.92848697894195,266.57805213092007,228.1881220780216,696.7595212472897,nan,nan,0.0,4.334204676605242,4.334204676605242,4.334204676605242,4.334204676605242,0.0,0.0
2,400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.995,0.005,1.0,True,768.9252979864758,3.844626489932379,8.139050928571411,6.682675778058623,4.137396605891247,,,82.74793211782496,2.5202982945485033,0.225,200,47.945025087340795,52.985693874496604,3.4777490086849103,23.94322267509779,592.5919812779359,364.96951112511357,926.2391019569303,1031.3874843081214,nan,nan,0.011619749627057457,4.235800641248245,4.235800641248245,4.235800641248245,4.235800641248245,0.0,0.0
3,600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.990025,0.005,1.0,True,1025.061729913562,5.12530864956781,7.940496024536746,5.051967242838037,5.396191947222556,,,107.92383894445112,2.495380729429624,0.26625,200,48.9570739129236,30.436659036801707,28.310529172404603,5.214861370582303,684.1566788904531,234.38937434577178,626.2347389224137,77.18263894766855,nan,nan,0.3134497051149812,4.622597743239682,4.622597743239682,4.622597743239682,4.622597743239682,0.0,0.0
4,800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.985074875,0.005,1.0,True,891.6735790946165,4.458367895473082,8.520757043847219,6.456852920370439,4.827495641300702,,,96.54991282601404,2.5514032442623766,0.25,200,61.13784845259556,54.0799660643971,33.3553352731453,17.55465108148293,344.371372333734,462.36060647996027,546.4595033395433,753.1933050024346,nan,nan,0.23756627885640386,4.673822217754937,4.673822217754937,4.673822217754937,4.673822217754937,0.0,0.0
5,1000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.980149500625,0.005,1.0,True,1202.3845560379189,6.011922780189594,9.414645379768247,5.099357192025848,6.286320023542569,,,125.72640047085137,2.52381986307915,0.26375,200,51.992486957788145,48.57901273888901,29.027930366032777,4.218404971417999,151.5775414776402,268.21045323017773,542.4904210722182,399.7299703084185,nan,nan,0.6202803584114808,4.996321778912463,4.996321778912463,4.996321778912463,4.996321778912463,0.0,0.0
6,1200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.975248753121875,0.005,1.0,True,668.5568982388214,3.342784491194107,7.230968558871568,6.068695734924512,4.113045438773835,,,82.26090877547671,2.4953439698168025,0.26875,200,36.66512809658672,49.698868890898616,12.344249997375536,29.870413104763855,1009.0791518455405,485.24740521887145,530.7329748918715,534.308426140902,nan,nan,0.7727716881288594,4.849109055556025,4.849109055556025,4.849109055556025,4.849109055556025,0.0,0.0
7,1400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9703725093562656,0.005,1.0,True,909.3066409601518,4.546533204800759,8.673340572045111,6.033837104795061,5.164982887929356,,,103.29965775858712,2.5242928097286823,0.255,200,42.32576138331706,57.50801304651326,18.08541454596568,32.257543852469,117.37450906483217,621.0158240337174,480.70063941750607,526.3379681711803,nan,nan,0.6630222362948021,4.894233888752216,4.894233888752216,4.894233888752216,4.894233888752216,0.0,0.0
8,1600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9655206468094842,0.005,1.0,True,685.7044709149743,3.4285223545748718,9.059873888305173,7.943285535145612,4.3801818977557145,,,87.6036379551143,2.5991280959921226,0.2425,200,56.48273782450523,73.6177435984599,33.105913753176296,35.64708242050208,329.4844431217626,66.70575403678055,351.8637251798232,747.8257802351027,nan,nan,0.7020498771208523,4.829977389877653,4.829977389877653,4.829977389877653,4.829977389877653,0.0,0.0
9,1800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9606930435754368,0.005,1.0,True,901.0900609756768,4.505450304878384,8.2603460944219,5.9302583503163255,4.77850041151019,,,95.57000823020381,2.5130305315652195,0.25,200,44.44851481973986,49.566582536454455,12.680024951339018,26.966736851717236,476.9846056226065,263.04551992869835,745.7474984395512,737.3519556716864,nan,nan,0.6263613253243204,4.8242577256146015,4.8242577256146015,4.8242577256146015,4.8242577256146015,0.0,0.0
10,2000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9558895783575596,0.005,1.0,True,935.9103251609585,4.679551625804792,7.884164303486068,5.728738695891564,4.982588253672722,,,99.65176507345444,2.5649389794736233,0.24375,200,52.885415814215264,66.67300982923804,14.217858259232578,44.16049735770156,586.7361323547897,453.37813821082534,624.8991754500125,216.05942643046654,0.05012303963303566,2.866854190826416,0.5723880372653044,4.8400907784204135,4.8400907784204135,4.8400907784204135,4.8400907784204135,0.0,0.0
