episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,reward_scale_divisor,use_double_dqn,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,mean_q_value,loss,rolling_reward_variance,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,velocity,True,False,full,True,False,False,False,500.0,32,1.0,0.005,5.0,True,911.1764054057647,4.555882027028824,10.026762026418261,8.55042936844564,4.829870328715792,,,96.59740657431584,2.5204678415555897,0.24875,200,47.36555029399037,51.73088643440004,18.561044532510884,31.119841962593327,169.92848697894195,266.57805213092007,228.1881220780216,696.7595212472897,nan,nan,0.0,4.829870328715792,4.829870328715792,4.829870328715792,4.829870328715792,0.0,0.0
2,400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.995,0.005,5.0,True,832.5695411222833,4.162847705611417,8.384801343424982,6.682757693426678,4.455064505104643,,,89.10129010209286,2.518917053585147,0.22375,200,46.12793010891295,55.017373666932414,3.1768420178416323,25.65728756048678,591.3262960849642,362.1743791956651,926.2391019569303,1029.670997183284,nan,nan,0.038618994453010494,4.642467416910217,4.642467416910217,4.642467416910217,4.642467416910217,0.0,0.0
3,600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.990025,0.005,5.0,True,1042.2440465301354,5.211220232650677,8.190482185422264,5.560369191721623,5.482240775960021,,,109.64481551920044,2.4967047769549726,0.25625,200,48.02244405407293,34.91903038617816,22.274040021404073,18.684075704510494,683.7594091239596,236.96027540781253,626.2347389224137,85.28285033158691,nan,nan,0.18700323300115532,4.922391869926819,4.922391869926819,4.922391869926819,4.922391869926819,0.0,0.0
4,800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.985074875,0.005,5.0,True,963.2297051736157,4.816148525868078,9.021374611931883,6.567394409852385,5.182043848754511,,,103.64087697509024,2.5421390851707026,0.2475,200,59.96426047975392,51.10969666426855,31.388325619965503,13.533993633860472,346.2730451696766,463.90411206253077,546.4595033395433,750.9042885193237,nan,nan,0.14585321016728653,4.9873048646337415,4.9873048646337415,4.9873048646337415,4.9873048646337415,0.0,0.0
5,1000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.980149500625,0.005,5.0,True,1250.939446056406,6.25469723028203,9.93735829050881,5.4804328246821115,6.5302901324422775,,,130.60580264884555,2.533541985003949,0.255,200,50.861387920890614,55.56266517788326,27.396503050952727,19.68460756067316,163.80826378738746,269.77662172112167,542.4904210722182,381.8091777529845,nan,nan,0.5101490204360916,5.295901918195449,5.295901918195449,5.295901918195449,5.295901918195449,0.0,0.0
6,1200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.975248753121875,0.005,5.0,True,768.9489338590313,3.8447446692951566,7.588975457115111,6.492112926907523,4.4976646125291175,,,89.95329225058235,2.494461061549448,0.26125,200,41.15551933376776,45.104467263830635,24.0920856146967,23.749166227471413,996.2765089235168,469.8351961166035,530.7329748918715,514.6021680915815,nan,nan,0.6105384349500016,5.16286236725106,5.16286236725106,5.16286236725106,5.16286236725106,0.0,0.0
7,1400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9703725093562656,0.005,5.0,True,950.2501154377659,4.75125057718883,9.07500297515377,6.468166517993479,5.403405369213182,,,108.06810738426367,2.5108802439167666,0.24875,200,46.33020054830106,48.42871794409795,30.631733203285915,16.460198008574082,122.16387121111275,610.1183649078926,480.70063941750607,550.5500493224173,nan,nan,0.5237073284755913,5.197225653245648,5.197225653245648,5.197225653245648,5.197225653245648,0.0,0.0
8,1600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9655206468094842,0.005,5.0,True,719.2381362666578,3.596190681333289,9.321597971723586,8.283243470127715,4.540272808337462,,,90.80545616674924,2.6053300042632155,0.23375,200,56.4162856142142,77.64814734343354,25.981541075561687,44.31287430131916,334.1630829279637,62.82568490592051,351.8637251798232,736.4751741339329,nan,nan,0.6166247479732804,5.115106547632126,5.115106547632126,5.115106547632126,5.115106547632126,0.0,0.0
9,1800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9606930435754368,0.005,5.0,True,979.8697519123122,4.899348759561561,8.80370795023664,6.246126716523266,5.171158784531155,,,103.42317569062311,2.50294561558678,0.24625,200,44.43386078637125,45.7530980212451,9.017705580345238,13.07095185961388,459.4295042822173,263.09779218658997,745.7474984395512,751.141118211851,nan,nan,0.5542948947715359,5.12133457395424,5.12133457395424,5.12133457395424,5.12133457395424,0.0,0.0
10,2000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9558895783575596,0.005,5.0,True,948.080584838319,4.740402924191596,8.428126955852422,6.669590291377503,5.052100778693893,,,101.04201557387788,2.6072672776993313,0.2325,200,52.2580433341269,81.99594257223981,26.196538971126227,61.86690647115821,559.6912916749006,438.5789844099253,624.8991754500125,251.0857675222988,0.02110825851559639,2.394770860671997,0.49922804864497233,5.114411194428206,5.114411194428206,5.114411194428206,5.114411194428206,0.0,0.0
