method,fading_model,enable_energy_harvesting,observation_has_eh,avg_rsec_mbps,episode_secrecy_mbits
Random Walk,rician,False,False,6.963842075799586,139.2768415159917
Distance-Greedy,rician,False,False,8.552707492464412,171.05414984928825
DQN,rician,False,False,1.554277645054916e-05,0.0003108555290109832
DDPG,rician,False,False,7.171786312844556,143.43572625689112
TD3,rician,False,False,7.134407069032141,142.68814138064283
SAC,rician,False,False,7.134407069032141,142.68814138064283
MARL Shared,rician,False,False,1.5370754759883787e-05,0.00030741509519767576
MARL Split,rician,False,False,3.095652524298992,61.91305048597985
Random Walk,rayleigh,False,False,6.37262732983598,127.45254659671961
Distance-Greedy,rayleigh,False,False,7.958135802823494,159.16271605646992
DQN,rayleigh,False,False,0.0032434480309285973,0.06486896061857195
DDPG,rayleigh,False,False,6.543950172202888,130.87900344405776
TD3,rayleigh,False,False,6.497163418109743,129.94326836219486
SAC,rayleigh,False,False,6.497163418109743,129.94326836219486
MARL Shared,rayleigh,False,False,0.003540437160063176,0.07080874320126351
MARL Split,rayleigh,False,False,2.9773297004770614,59.54659400954123
