episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,0.24996683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1176.6198197022322,5.8830990985111615,9.302099827328503,3.031631821964775,6.301200548002861,,,126.02401096005721,3.715909702151054,0.3642901959270239,200,179.22530799305264,194.68871796283764,153.94968894039047,128.02909534478113,0,315.773437040512,277.2124437110615,221.45147784555988,640.2048985847669,6.301200548002861,6.301200548002861,6.301200548002861,6.301200548002861,0.0,0.0
2,400,rayleigh,0.2499335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1322.2638710216881,6.61131935510844,8.891085534469982,1.1253239090996618,7.765761625370321,,,155.31523250740645,3.108678873539712,0.3869459815695882,200,108.0039229638285,143.47922804185325,83.13745005923518,97.24905161607963,0,166.58357722938584,522.9452735375161,876.7825486213294,924.3549286870426,7.0334810866865904,7.0334810866865904,7.0334810866865904,7.0334810866865904,0.0,0.0
3,600,rayleigh,0.24990016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1283.057413996887,6.415287069984434,8.041439984176957,0.20728629406610155,7.834153690110846,,,156.68307380221694,4.9002988403466725,0.4560885703191161,200,200.92515835539825,275.4503028220029,102.22756577901886,238.51696528094428,0,585.0619776887978,706.2971374000834,285.85968339022054,220.74848504838917,7.3003719544946755,7.3003719544946755,7.3003719544946755,7.3003719544946755,0.0,0.0
4,800,rayleigh,0.24986683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,689.0760048340521,3.4453800241702606,8.039783643100986,3.731475215066237,4.374486211667091,,,87.48972423334182,6.830126159891625,0.4485547862946987,200,372.67374815341384,370.1206747620254,370.7982265330671,365.74141841476643,0,763.379713017776,447.95927835089054,168.01599921494153,951.9378293521037,6.568900518787779,6.568900518787779,6.568900518787779,6.568900518787779,0.0,0.0
5,1000,rayleigh,0.2498335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1654.0628279074378,8.27031413953719,9.542650850823247,0.4934536626358565,9.051437726645098,,,181.02875453290196,6.780767986604339,0.46900876484811305,200,377.22700249465373,370.4170537019187,372.55589870899564,367.13930181341004,0,236.24292740771867,154.75340159414048,614.7002481629668,164.15264422890291,7.065407960359243,7.065407960359243,7.065407960359243,7.065407960359243,0.0,0.0
6,1200,rayleigh,0.24980016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1272.523236153204,6.36261618076602,8.056305369607403,0.9120871057076848,7.144218263899727,,,142.88436527799456,6.783690214320524,0.4685960305482149,200,371.2342491473653,374.9740656312895,367.4354812105893,367.11599007902913,0,676.5486462724697,389.66357274071936,418.2388334161173,572.1700012072384,7.078543010949325,7.078543010949325,7.078543010949325,7.078543010949325,0.0,0.0
7,1400,rayleigh,0.24976683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1213.113254966876,6.06556627483438,8.598670735986834,1.6295830027792286,6.969987490285281,,,139.39974980570562,6.587935987115223,0.4391755557060242,200,371.43395593581363,357.5160620354452,366.96621328346004,352.6853141994448,0,174.07617582261219,272.87129267173475,248.59024700966086,243.5822407140447,7.06303507942589,7.06303507942589,7.06303507942589,7.06303507942589,0.0,0.0
8,1600,rayleigh,0.2497335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1117.8681946414015,5.589340973207007,7.516491880039728,0.32795191673955887,7.18853996330017,,,143.7707992660034,6.445847334302869,0.4387298559397459,200,298.90149731666463,355.48664994025677,282.0398836544654,350.28005307440264,0,891.9401048347955,518.8018926152344,603.5984018977385,168.0092658755357,7.078723189910175,7.078723189910175,7.078723189910175,7.078723189910175,0.0,0.0
9,1800,rayleigh,0.24970016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1641.7087768091744,8.208543884045872,9.63394769998334,0.658874228032346,8.975073471950997,,,179.50146943901996,6.661565442661096,0.4687527561932802,200,369.98378874817365,366.21280649005513,366.35113720110274,364.0807432442021,0,311.48958222654886,260.0415984954646,601.6630086435418,330.48863343243744,7.289428776803599,7.289428776803599,7.289428776803599,7.289428776803599,0.0,0.0
10,2000,rayleigh,0.24966683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,930.6026570977018,4.653013285488509,7.3916569261596585,1.175125506720897,6.227494646863368,,,124.54989293726737,6.750267774830485,0.43529747121036055,200,297.8848410775347,377.08544756858237,279.0347043572373,373.555474726533,0,1077.1063827539197,705.4444308514517,422.99059170964875,659.7125068354759,7.183235363809575,7.183235363809575,7.183235363809575,7.183235363809575,0.0,0.0
11,2200,rayleigh,0.2496335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1094.5859969831897,5.4729299849159485,7.913078071226442,0.8045941987607552,7.108483872465683,,,142.16967744931367,6.614391920922762,0.46598715022206305,200,310.8828827555126,357.6797469611075,295.08999102657475,335.75222264814226,0,483.50096586477366,517.6730342498249,693.6286102386468,752.4333886123185,7.176439773687403,7.176439773687403,7.176439773687403,7.176439773687403,0.0,0.0
12,2400,rayleigh,0.24960016666666668,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,126.79141871967805,0.6339570935983903,8.49693379032714,7.99218526239698,1.4003228554905522,,,28.006457109811045,6.648180150476414,0.47004880763590334,200,366.5433862274218,368.7260202336953,361.63582189660303,366.9689282359423,0,498.67389534789066,320.6641238262738,25.87017014499912,402.35906259407517,6.6950966971709995,6.6950966971709995,6.6950966971709995,6.6950966971709995,0.0,0.0
13,2600,rayleigh,0.24956683333333332,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1330.5652627040936,6.6528263135204675,8.927948330572036,1.4901726996452966,7.43777563092674,,,148.7555126185348,6.813836375427562,0.43513483099639416,200,378.4094308686013,372.37622884842335,374.1319441339029,365.80995580883604,0,529.0157254698986,261.0563529823148,361.85118218542334,664.9295478354004,6.752225845921441,6.752225845921441,6.752225845921441,6.752225845921441,0.0,0.0
14,2800,rayleigh,0.2495335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1529.273850193891,7.646369250969454,8.531342277806326,0.1148380016684991,8.41650427613783,,,168.33008552275663,6.662512378433692,0.45056568168103694,200,373.24171597967927,363.38230375029286,367.5217288723427,348.47316640685784,0,380.3575937463548,500.96251966632207,721.8299835659542,90.37211193978746,6.871102876651183,6.871102876651183,6.871102876651183,6.871102876651183,0.0,0.0
15,3000,rayleigh,0.24950016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1222.800477022773,6.114002385113865,9.560208500384563,2.2879411091967476,7.2731276995246805,,,145.46255399049363,6.759053878257176,0.45676487788558007,200,374.61147880488016,333.69762104989314,370.5214259340049,307.34803126464334,0,209.15949987245182,363.2842045316906,173.44374643878393,359.6907532583141,6.897904531509416,6.897904531509416,6.897904531509416,6.897904531509416,0.0,0.0
16,3200,rayleigh,0.24946683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,823.5260384271211,4.117630192135605,8.458841985954686,2.589471977720244,5.87306627630554,,,117.4613255261108,6.763407601125156,0.4526296129077673,200,377.95601461265414,223.79388993810142,371.1340870094397,218.63138273174792,0,303.06637855209283,320.8284983002187,283.21173230616375,840.9352743084602,6.833852140559174,6.833852140559174,6.833852140559174,6.833852140559174,0.0,0.0
17,3400,rayleigh,0.2494335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,998.0341770523434,4.990170885261716,7.884388702961005,1.1680628408661635,6.716325862094841,,,134.32651724189685,6.660874885724473,0.46453680090606214,200,234.540441830732,379.695715915393,223.73813038437223,373.9958622180055,0,691.7111697008504,523.0091534771417,713.0660881924722,933.1763091677875,6.826938830061273,6.826938830061273,6.826938830061273,6.826938830061273,0.0,0.0
18,3600,rayleigh,0.24940016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1082.889480462207,5.414447402311035,7.4545794839714095,0.29513385342945114,7.159445630541959,,,143.1889126108392,6.613873661388235,0.4410998895764351,200,272.22779598075965,373.8182116903072,268.3803629302141,369.1913706227701,0,960.2721353567102,548.2749825342166,667.9583089515028,253.12526381382708,6.845411430087977,6.845411430087977,6.845411430087977,6.845411430087977,0.0,0.0
19,3800,rayleigh,0.24936683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1260.886103523214,6.30443051761607,8.304137325849563,1.230437169919949,7.075976593924851,,,141.51953187849705,6.69687367161326,0.44623507998883727,200,371.6190651575099,368.6036451272061,365.7851585227003,362.56129816350153,0,362.62709176613663,159.939185710586,328.0894712909911,403.4926719121293,6.857546438710972,6.857546438710972,6.857546438710972,6.857546438710972,0.0,0.0
20,4000,rayleigh,0.2493335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1013.4129947545189,5.067064973772594,7.896065767598174,1.3662487387865823,6.536256474240976,,,130.72512948481952,6.703864181484967,0.45238417975604533,200,285.5958632347575,371.68718080133567,265.21517160354097,367.45474831599313,0,656.1553612317906,541.9760255023132,460.19533441172825,463.2109038290723,6.841481940487472,6.841481940487472,6.841481940487472,6.841481940487472,0.0,0.0
21,4200,rayleigh,0.24930016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1008.9570275597185,5.044785137798593,8.015976963461165,1.4339539621504211,6.582023001310741,,,131.64046002621484,6.621619387532416,0.46244530476629736,200,282.4058481720321,352.5438735657614,256.40734351993143,348.95159075033365,0,547.8022386478997,708.8723439378913,197.39750412264468,371.9066535489999,6.855523063152864,6.855523063152864,6.829126752907628,6.829126752907628,0.02639631024523581,0.02639631024523581
22,4400,rayleigh,0.24926683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,709.136467192387,3.5456823359619354,8.332641311994982,2.8763103547826874,5.4976438923952715,,,109.95287784790546,6.488517394935148,0.4398621242493391,200,279.7580511678553,308.1688412340364,252.75034589214312,281.1158589675463,0,484.87392802097264,648.2988626919075,222.87060786660132,812.2543503627485,6.742117176504112,6.742117176504112,6.7686048047025205,6.7686048047025205,0.02648762819840833,0.02648762819840833
23,4600,rayleigh,0.2492335,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1118.4089437515681,5.59204471875784,7.695805224361322,0.8074818376639479,6.8883233866973725,,,137.76646773394745,6.761259587755456,0.4436412626504898,200,331.78332799757845,373.47491496187786,315.02989478737936,367.4656169011259,0,730.5404875326727,503.8695865027434,948.368985108562,922.6664856040064,6.694825661333439,6.694825661333439,6.773809960441428,6.773809960441428,0.07898429910798832,0.07898429910798832
