episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,0.24996683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,1091.4902579453956,5.457451289726978,9.660569311912905,3.9717328384455954,5.946694581720971,,,118.93389163441942,4.303169901572857,0.18945115026785062,200,229.28402925334862,231.1042085506171,216.79722364189917,193.9056832841504,0,337.1305004593479,214.59810216154136,221.45147784555985,684.9754172429048,5.946694581720971,5.946694581720971,5.946694581720971,5.946694581720971,0.0,0.0
2,400,rician,0.2499335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,1189.5981321638112,5.947990660819056,9.31482111719008,1.684363373443216,7.7388573954165985,,,154.77714790833195,3.495093015529481,0.22242374488618225,200,105.47317758280292,149.9953824376226,71.46747784118426,111.04106926931779,0,179.9525279006879,519.9473875542295,876.7825486213293,955.0322206939502,6.842775988568785,6.842775988568785,6.842775988568785,6.842775988568785,0.0,0.0
3,600,rician,0.24990016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,1223.467671831662,6.11733835915831,8.520113435809003,2.843327692441016,7.065037014456216,,,141.30074028912435,4.883623345511616,0.18891762838233261,200,241.6865193545969,262.4193779112444,183.28922209532325,193.47065676474833,0,528.8806046453097,598.7149038375989,285.85968339022054,182.38916873528754,6.916862997197929,6.916862997197929,6.916862997197929,6.916862997197929,0.0,0.0
4,800,rician,0.24986683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,50.613258341733925,0.2530662917086696,8.615995950973762,13.275855517946404,1.2911092005496683,,,25.82218401099336,6.72789658059031,0.05237603187561035,200,376.9214608213072,344.66280576654503,372.91838045916813,318.7686493650095,0,643.5005494013175,611.8082025663731,168.01599921494162,1003.7410805575307,5.510424548035864,5.510424548035864,5.510424548035864,5.510424548035864,0.0,0.0
5,1000,rician,0.2498335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,601.0433729689398,3.0052168648446993,9.464900941598328,8.671514368653538,4.01600743610525,,,80.320148722105,6.621621517756837,0.04515808150172233,200,359.00715300461746,358.9983108925167,345.22666540541354,354.3121360007472,0,244.04099357668645,519.1558404417857,614.7002481629668,642.0037892771403,5.211541125649741,5.211541125649741,5.211541125649741,5.211541125649741,0.0,0.0
6,1200,rician,0.24980016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,874.0585613802198,4.370292806901099,9.020127407905976,7.151028579896889,5.142150260760706,,,102.84300521521413,6.685330283900846,0.05490146428346634,200,369.7536286997401,372.7250299004833,357.27962782233305,369.50126546612125,0,206.39857599353027,125.66486178482016,418.2388334161173,150.70934544836072,5.199975981501569,5.199975981501569,5.199975981501569,5.199975981501569,0.0,0.0
7,1400,rician,0.24976683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,41.22171981298164,0.2061085990649082,8.581550688716256,13.279142778810924,1.766708452437237,,,35.33416904874474,6.6343322930056186,0.03817283041775227,200,300.57888145874205,368.0929648828593,273.7845869566173,362.5585166395228,0,520.608348683359,556.817446214291,248.59024700966086,550.7746487360946,4.709509191635235,4.709509191635235,4.709509191635235,4.709509191635235,0.0,0.0
8,1600,rician,0.2497335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,205.43404193432795,1.0271702096716397,8.24455859181095,9.999084181025333,2.9573572401152677,,,59.147144802305355,6.5388675303991945,0.034753556549549106,200,276.16141055904967,328.3444671358194,256.3876761100238,315.15942971417917,0,651.7578176469227,642.2254056063013,603.5984018977387,384.6922670911782,4.490490197695239,4.490490197695239,4.490490197695239,4.490490197695239,0.0,0.0
9,1800,rician,0.24970016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,733.268474876041,3.666342374380205,9.990080779437212,7.843683494004572,4.803865917742622,,,96.07731835485245,6.645662954018959,0.06412494964897633,200,364.44141186187017,335.7184802788578,352.3802983070817,318.0838921137613,0,257.9420329807622,478.9528551137891,601.6630086435417,619.9681187837359,4.525309722144948,4.525309722144948,4.525309722144948,4.525309722144948,0.0,0.0
10,2000,rician,0.24966683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,120.97131076700128,0.6048565538350065,7.840273349705862,11.514476881563201,2.147715553528131,,,42.954311070562625,6.711158255061596,0.03341147936880588,200,256.7007571860065,378.30400100995087,244.8285008355073,375.9295762888833,0,845.0449324410944,502.64500053677807,422.9905917096487,622.4293374496574,4.287550305283267,4.287550305283267,4.287550305283267,4.287550305283267,0.0,0.0
