episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9999474861111111,0.005,812.0432749836541,4.06021637491827,9.460511123283657,8.431042215307967,4.334204676605243,,,86.68409353210485,2.5204678415555897,0.24875,200,47.36555029399037,51.73088643440004,18.561044532510884,31.11984196259333,169.92848697894198,266.57805213092007,228.18812207802165,696.7595212472897,4.334204676605243,4.334204676605243,4.334204676605243,4.334204676605243,0.0,0.0
2,400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9998947083333334,0.005,796.4554316873088,3.9822771584365437,8.141131627314614,6.349375445927414,4.27393459881245,,,85.478691976249,2.512194073207782,0.2325,200,44.08047012193977,52.83938310409269,5.716621615026586,20.540696510708642,583.5997422800241,358.20825712209665,926.2391019569303,1030.6223102430124,4.304069637708846,4.304069637708846,4.304069637708846,4.304069637708846,0.0,0.0
3,600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9998419305555556,0.005,971.5795457758558,4.857897728879279,7.934862525401957,5.678153929657271,5.129685094085764,,,102.59370188171528,2.5032071361537196,0.25,200,51.35874066173379,33.365222696506535,27.293937203389955,18.61137361287794,690.2335037634821,239.39002359778405,626.2347389224137,84.2824687155139,4.579274789834486,4.579274789834486,4.579274789834486,4.579274789834486,0.0,0.0
4,800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9997891527777778,0.005,850.7967537923064,4.253983768961532,8.491945852545706,6.770978338812817,4.623720954977209,,,92.47441909954416,2.5275285480622527,0.245,200,53.445297586792144,48.45554698879597,22.44371040698741,8.083603470779332,357.7837834659825,471.5493085032936,546.4595033395433,745.2227995903074,4.5903863311201665,4.5903863311201665,4.5903863311201665,4.5903863311201665,0.0,0.0
5,1000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.999736375,0.005,1179.8023161781152,5.899011580890576,9.377492564714975,5.158157134767991,6.173019251128525,,,123.46038502257052,2.5214497219808645,0.26625,200,47.345501341304505,50.55116908731931,9.727554455091092,17.2094844610365,163.95968404018214,286.6349309694315,542.4904210722183,413.32046226938485,4.906912915121838,4.906912915121838,4.906912915121838,4.906912915121838,0.0,0.0
6,1200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9996835972222222,0.005,685.9231974332434,3.4296159871662173,7.224388371459495,5.882156233846637,4.289493658126669,,,85.78987316253338,2.4953557656209457,0.27375,200,39.48283085198739,46.695467274837576,4.9890051559318005,21.029695178393993,1016.8507614917066,490.9833043989464,530.7329748918715,525.6947763612122,4.804009705622644,4.804009705622644,4.804009705622644,4.804009705622644,0.0,0.0
7,1400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9996308194444444,0.005,859.68053033467,4.29840265167335,8.66679109195037,6.4846650464521955,5.065307814726864,,,101.30615629453729,2.533732221118998,0.24625,200,54.27453982695517,49.35176812788032,17.426851580096763,10.480467750710854,115.47783834639337,616.4221656181112,480.7006394175062,551.1287329058799,4.841338006923246,4.841338006923246,4.841338006923246,4.841338006923246,0.0,0.0
8,1600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9995780416666666,0.005,686.8424291549929,3.4342121457749646,9.047346284088485,7.618157342108062,4.479581360017812,,,89.59162720035624,2.6213460341284525,0.25,200,56.889498535337516,79.39687166354011,30.442967167105873,29.088903157348796,334.9227943582608,62.879474890901115,351.8637251798232,751.9163023193498,4.796118426060067,4.796118426060067,4.796118426060067,4.796118426060067,0.0,0.0
9,1800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9995252638888888,0.005,889.3787644273494,4.446893822136747,8.263984010782432,6.0502074427881105,4.720434739387688,,,94.40869478775377,2.517449421336498,0.25375,200,44.69077258940819,50.91279264773513,11.542290512289442,22.6570486676082,475.99709465520647,278.56538249742204,745.7474984395516,748.44901056239,4.787709127540913,4.787709127540913,4.787709127540913,4.787709127540913,0.0,0.0
10,2000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9994724861111111,0.005,933.2574881157656,4.666287440578828,7.897909753898445,5.707328127764554,4.973009126854857,,,99.46018253709714,2.5099870232800066,0.24875,200,46.19176155217164,45.52597058354216,19.04177549636954,13.911314190805381,572.8661355760021,441.78650738295795,624.8991754500125,240.38698031497492,4.806239127472308,4.806239127472308,4.806239127472308,4.806239127472308,0.0,0.0
