episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9999474861111111,0.005,911.1764054057647,4.555882027028824,10.026762026418261,8.55042936844564,4.829870328715792,,,96.59740657431584,2.5204678415555897,0.24875,200,47.36555029399037,51.73088643440004,18.561044532510884,31.119841962593327,169.92848697894195,266.57805213092007,228.1881220780216,696.7595212472897,4.829870328715792,4.829870328715792,4.829870328715792,4.829870328715792,0.0,0.0
2,400,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9998947083333334,0.005,876.7252502607555,4.383626251303777,8.386862648118615,6.2652228616459125,4.6752836916796845,,,93.50567383359369,2.512194073207782,0.2325,200,44.08047012193977,52.83938310409263,5.716621615026586,20.540696510708585,583.5997422800243,358.2082571220967,926.2391019569303,1030.6223102430124,4.752577010197738,4.752577010197738,4.752577010197738,4.752577010197738,0.0,0.0
3,600,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9998419305555556,0.005,1010.0790812566161,5.05039540628308,8.185334608012875,5.911921785699286,5.322182771489564,,,106.44365542979129,2.5032071361537196,0.25,200,51.35874066173379,33.365222696506535,27.293937203389945,18.61137361287794,690.2335037634822,239.39002359778408,626.2347389224137,84.28246871551389,4.942445597295014,4.942445597295014,4.942445597295014,4.942445597295014,0.0,0.0
4,800,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9997891527777778,0.005,951.5221773524759,4.75761088676238,8.996306094201836,6.7129511763506615,5.127348072778052,,,102.54696145556105,2.5275285480622527,0.245,200,53.445297586792144,48.45554698879597,22.44371040698741,8.083603470779332,357.7837834659826,471.5493085032936,546.4595033395433,745.2227995903074,4.988671216165773,4.988671216165773,4.988671216165773,4.988671216165773,0.0,0.0
5,1000,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.999736375,0.005,1284.0203848459957,6.420101924229979,9.916537050195254,5.310212147757751,6.694113843405272,,,133.88227686810544,2.521496365365044,0.26375,200,48.21191038654329,49.56486702597938,10.111806181635032,15.655312282294897,167.27652968902527,287.68136813920074,542.4904210722182,411.80731332728925,5.329759741613673,5.329759741613673,5.329759741613673,5.329759741613673,0.0,0.0
6,1200,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9996835972222222,0.005,773.2702469756766,3.8663512348783833,7.573761879702073,5.875277824291241,4.726228905838838,,,94.52457811677677,2.4953557656209457,0.27375,200,39.48283085198739,46.695467274837576,4.989005155931804,21.029695178393993,1016.8507614917066,490.9833043989465,530.7329748918715,525.6947763612121,5.229171268984534,5.229171268984534,5.229171268984534,5.229171268984534,0.0,0.0
7,1400,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9996308194444444,0.005,927.9168617424892,4.639584308712446,9.061765888621622,6.502476258620059,5.40648947176596,,,108.12978943531921,2.533732221118998,0.24625,200,54.27453982695517,49.35176812788032,17.426851580096763,10.480467750710854,115.47783834639354,616.4221656181111,480.70063941750607,551.1287329058799,5.254502440810453,5.254502440810453,5.254502440810453,5.254502440810453,0.0,0.0
8,1600,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9995780416666666,0.005,761.7122337840693,3.8085611689203467,9.318018190396618,7.6836185410004205,4.853930383163196,,,97.07860766326394,2.6213460341284525,0.25,200,56.889498535337516,79.39687166354011,30.442967167105873,29.088903157348845,334.9227943582607,62.87947489090112,351.8637251798232,751.9163023193498,5.204430933604545,5.204430933604545,5.204430933604545,5.204430933604545,0.0,0.0
9,1800,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9995252638888888,0.005,1005.6857901010685,5.028428950505343,8.78605119366988,6.034983439192999,5.301969867756288,,,106.03939735512576,2.517449421336498,0.25375,200,44.69077258940822,50.91279264773511,11.542290512289464,22.657048667608173,475.9970946552064,278.5653824974221,745.7474984395512,748.4490105623898,5.215268592954739,5.215268592954739,5.215268592954739,5.215268592954739,0.0,0.0
10,2000,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9994724861111111,0.005,1019.495988214867,5.097479941074335,8.41319921123286,5.919046256351092,5.404201627350365,,,108.08403254700731,2.5099870232800066,0.24875,200,46.19176155217164,45.52597058354216,19.04177549636954,13.911314190805381,572.866135576002,441.78650738295795,624.8991754500125,240.3869803149749,5.234161896394301,5.234161896394301,5.234161896394301,5.234161896394301,0.0,0.0
11,2200,rician,velocity,True,False,full,True,False,False,False,500.0,64,0.9994197083333334,0.005,985.0012406279312,4.925006203139656,8.993863612162404,6.562451310393311,5.240603589869359,,,104.81207179738718,2.5183370045832283,0.25625,200,57.25896050517521,41.18853743332548,17.82761577112647,14.475858149319055,381.1155832924726,112.43309654468209,392.24622565318793,626.9974863875051,5.2347475048920336,5.2347475048920336,5.2347475048920336,5.2347475048920336,0.0,0.0
