episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rician,0.249204,ou,velocity,False,False,False,full,True,False,False,False,500.0,867.8901379615287,4.339450689807643,9.913598848223248,6.974029377691337,4.994263428565339,99.88526857130678,4.803486834374702,0.19542628090828656,200,249.00659059850955,273.04888528196557,178.78967100735937,237.91805561060687,0,247.13795413945724,139.10223033320005,235.35173450521734,899.7517657678083,4.994263428565339,4.994263428565339,0.0
2,400,rician,0.248404,ou,velocity,False,False,False,full,True,False,False,False,500.0,371.0399322821165,1.8551996614105826,8.900041383455823,5.980252712404307,2.938381418325394,58.76762836650788,6.184571954986785,0.43402406960725787,200,345.74121051492887,283.16216970169694,176.23929747065367,183.52774225861506,0,458.52449462704436,50.66090695776946,19.84590758268788,342.49539982739765,3.9663224234453667,3.9663224234453667,0.0
3,600,rician,0.247604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1118.2532632594987,5.591266316297493,8.069529098856268,0.6607722081256533,7.408756890730623,148.17513781461247,6.605919561191204,0.4106633302569389,200,344.8901927496848,296.07420013871297,319.81539555308734,269.0005453834938,0,920.3511608293543,689.9281450339012,796.2000063806325,588.5320462220113,5.113800579207119,5.113800579207119,0.0
4,800,rician,0.246804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1722.6066593459507,8.613033296729753,10.387989671424963,0.9888950229452268,9.399094648479736,187.98189296959472,6.833709678794868,0.46126922689378264,200,372.60903970332157,379.5688148378349,369.18227844528576,375.96518214817115,0,170.19086752576692,172.18623156168786,232.5672805592268,110.334190072243,6.185124096525273,6.185124096525273,0.0
5,1000,rician,0.246004,ou,velocity,False,False,False,full,True,False,False,False,500.0,1321.3163604153046,6.606581802076523,8.609904693209113,0.7184690150302617,7.8914356781788495,157.828713563577,6.589935670792107,0.4584888459742069,200,366.13885414369025,329.2877739336328,362.39181685059987,289.6816235083944,0,714.1040194791574,538.7983828343802,610.0036129199158,685.9590878401731,6.526386412855989,6.526386412855989,0.0
6,1200,rician,0.245204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1307.8755245999823,6.539377622999911,7.856860811395378,0.27723986828549607,7.579620943109879,151.5924188621976,6.848133127282725,0.4414127489179373,200,366.37997107639325,378.6102678043315,355.2979954001885,374.9343722726155,0,984.459876050747,652.1120662614145,743.1690044203472,610.1024028207945,6.701925501231638,6.701925501231638,0.0
7,1400,rician,0.244404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1236.097171715007,6.180485858575036,7.8419589496267195,0.16219288910578722,7.67976606052093,153.5953212104186,6.836619772695989,0.479479203671217,200,172.69176063532265,376.60381348190344,161.5622214377674,372.69743192245716,0,929.16738804348,708.8723439378913,673.3774774878026,485.6853797761393,6.841617009701537,6.841617009701537,0.0
8,1600,rician,0.243604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1139.2438889843977,5.696219444921988,7.939970362287599,0.7717602184958163,7.168210143791781,143.36420287583562,6.813652451021965,0.430205427929759,200,302.29738719151106,376.8131582142311,280.91182043071416,372.3004668068093,0,909.5805101223634,608.7723653418584,722.2388361094027,753.0351987318784,6.8824411514628165,6.8824411514628165,0.0
9,1800,rician,0.242804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1432.4979418119278,7.162489709059639,8.69632821021408,0.19019809951408867,8.506130110699987,170.12260221399976,6.694538040688143,0.46157214015722275,200,330.9790465338202,361.6167005402536,314.16109934420683,347.936542254296,0,492.849192604067,512.6995070629242,511.7249298124075,105.03058978511866,7.062851035822502,7.062851035822502,0.0
10,2000,rician,0.242004,ou,velocity,False,False,False,full,True,False,False,False,500.0,1462.2847731357315,7.311423865678657,8.348762041412565,0.26591539501900924,8.082846646393557,161.65693292787117,6.629654802369674,0.46287974432110784,200,370.4945607476215,362.9413671353487,366.9685045223336,292.9526237344315,0,833.6556019009693,492.0593065326983,796.3959545126337,359.56102207597775,7.1648505968796075,7.1648505968796075,0.0
11,2200,rician,0.241204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1022.8606239749417,5.114303119874709,7.754469388644982,0.5108218250033895,7.243647563641594,144.8729512728319,6.759316173552236,0.4319641713798046,200,111.42242584633729,313.98010692147295,105.67112247022088,293.15838766306524,0,970.9314539747558,708.8723439378913,171.30048033661186,121.09516284405288,7.1720139574943325,7.1720139574943325,0.0
12,2400,rician,0.240404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1351.52434601413,6.7576217300706505,8.670584078595635,0.7885627689366914,7.882021309658942,157.64042619317885,6.707734486663047,0.4531536936759949,200,370.46854220422824,348.11951014788906,364.2643746395436,227.87919405029808,0,350.94668282494706,242.67521290313564,384.6384470838767,530.9141660305528,7.231181236841383,7.231181236841383,0.0
13,2600,rician,0.239604,ou,velocity,False,False,False,full,True,False,False,False,500.0,991.7066325308549,4.958533162654274,7.834627271929813,1.6833533044394051,6.151273967490404,123.02547934980808,6.0556799139930435,0.41527139380574224,200,302.6812828533392,335.37337072518994,230.12013198414752,314.11656043932305,0,966.080473709253,458.45940397819396,394.5532364076397,939.7392799453532,7.148111446891308,7.148111446891308,0.0
14,2800,rician,0.238804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1522.497534860456,7.61248767430228,8.494508516638506,0.12189552255488328,8.372612994083621,167.45225988167243,6.602821826005595,0.4648303996771574,200,353.89083222306454,376.70310917605354,348.5533231839943,369.67252764852327,0,571.5086340364708,128.78393667333776,1183.090818161053,487.2598137436095,7.235575843119331,7.235575843119331,0.0
15,3000,rician,0.238004,ou,velocity,False,False,False,full,True,False,False,False,500.0,792.589239634972,3.96294619817486,8.273748700612114,2.482872691547668,5.792227116909117,115.84454233818234,6.726020959695945,0.47933001942932607,200,305.60347298469287,232.49791917808645,283.72749993386964,207.92213412840078,0,674.973022059388,541.2842887527307,402.7089709310457,1293.3978005117524,7.139352594705317,7.139352594705317,0.0
16,3200,rician,0.237204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1402.0261637630247,7.0101308188151235,8.234449807226387,0.4678251738363931,7.766624633389996,155.33249266779993,6.5365211168045985,0.4679299480468035,200,372.9249442818,352.75638531124963,332.91638363483975,304.5862196888647,0,821.0380671275921,292.8977154807685,716.2307212370365,670.3277881582185,7.178557097123109,7.178557097123109,0.0
17,3400,rician,0.236404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1271.634975865362,6.3581748793268105,8.978383927827863,1.4929856661267453,7.4853982617011185,149.70796523402234,6.172152102478755,0.4766402644664049,200,356.3521416315822,323.32576667221855,285.658835744542,290.5479114202761,0,399.7889515717093,542.4138788502751,355.54261542124226,660.9869666693857,7.196606577392404,7.196606577392404,0.0
18,3600,rician,0.235604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1180.7112288492701,5.903556144246351,8.245396811033354,0.5350168793786841,7.710379931654667,154.20759863309334,6.47628161317519,0.4338844146579504,200,260.36351324971014,365.93990660071194,259.9618048817333,332.117943916423,0,602.5537990484855,507.76197469540966,732.8265365118618,710.8000576847768,7.225149541518085,7.225149541518085,0.0
