episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,epsilon,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.99527375,848.065568542773,4.240327842713865,9.426484215010676,7.990082524390092,4.516409809693254,90.32819619386511,2.5378982931446536,0.25125,200,47.426804586692214,57.850980574650535,17.94942869657391,10.156319306497187,166.4572393110404,267.21424022243696,235.35173450521734,668.1087896333555,4.516409809693254,4.516409809693254,0.0
2,400,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.99052375,759.7035826566912,3.798517913283456,7.677801939987713,5.932147094820785,4.338426318245378,86.76852636490756,2.551250642125239,0.25,200,50.49071392353873,61.55837007427356,22.403201360238484,33.53818175598686,745.7739891453693,545.9075604007783,739.8375384229203,811.4408509066549,4.427418063969316,4.427418063969316,0.0
3,600,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.98577375,805.6819326536064,4.028409663268032,7.481545887133889,5.94446255965677,4.345613429532474,86.91226859064949,2.561927842157807,0.24875,200,62.521186619153426,53.76507253565179,47.19321021639107,27.303988495564155,912.222648130067,410.952596568829,587.8378424257713,578.0685804563759,4.400149852490369,4.400149852490369,0.0
4,800,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.98102375,377.41091682285,1.88705458411425,7.543710835880875,10.081837117493173,2.167815993670141,43.35631987340282,2.5562172453528755,0.24875,200,50.14635432233471,66.58471323973436,23.339396355069955,21.534863403337823,946.6105839729177,322.9686112396889,140.36356628025038,788.0685210475334,3.842066387785312,3.842066387785312,0.0
5,1000,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.97627375,848.533561430355,4.242667807151775,9.018581801288654,7.849356805706543,4.515201337276442,90.30402674552884,2.5093238492201864,0.2575,200,38.43276304981558,54.27874476574274,9.958595537372714,27.010685908439125,328.35066291560895,138.92811635035204,257.3069598889387,600.9706020901193,3.976693377683538,3.976693377683538,0.0
6,1200,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.97152375,421.5774123537231,2.1078870617686154,7.499644598203298,9.39139930942326,2.6611240554845166,53.22248110969033,2.5120293971019216,0.26125,200,56.3518439246924,32.60798350961427,16.361991611034473,3.2525966036800993,810.0068400465765,531.3982966547551,125.82304994917767,564.3131932620073,3.7574318239837012,3.7574318239837012,0.0
7,1400,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.96677375,878.5758491525293,4.392879245762646,8.357724290431777,5.757023782116332,4.947048836170475,98.9409767234095,2.538275273850108,0.26625,200,58.88804728842885,49.84990690080621,42.120082484987684,20.47980445642955,407.58558063710836,482.9901492651431,666.2804804674081,865.5562501002603,3.9273771114389544,3.9273771114389544,0.0
8,1600,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.96202375,798.4878827788793,3.9924394138943966,7.426055419506185,5.845002242090183,4.388820790210328,87.77641580420656,2.5002204660886735,0.23625,200,37.312439240542965,46.58958678002474,15.266405808771124,25.023499770966684,875.7182294710755,498.53200645254674,894.4733863026638,462.60436979290995,3.9850575712853757,3.9850575712853757,0.0
9,1800,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.95727375,1020.1706373475364,5.100853186737682,9.226992963306836,6.309911429861367,5.37881287850064,107.57625757001281,2.55360949679475,0.2575,200,63.309504761305064,47.37272496260483,43.584102791438376,22.945442781498972,180.26053281490638,336.35328663005885,414.37044031617836,611.9396752896274,4.139919272087072,4.139919272087072,0.0
10,2000,rayleigh,velocity,False,False,full,True,False,False,False,500.0,0.95252375,780.0420823593118,3.900210411796559,8.436383392247118,5.756889087976639,5.000417964609656,100.00835929219312,2.5454512533818763,0.2575,200,56.848058816947535,48.01922631602347,33.87090981725863,17.71869329045387,460.3893770964451,286.76260126062596,567.4015717990146,617.7069479702352,4.22596914133933,4.22596914133933,0.0
