episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,epsilon,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rician,velocity,False,False,full,True,False,False,False,500.0,0.99527375,963.4305412294635,4.817152706147318,10.059004894433611,8.072375310543439,5.093250481109965,101.8650096221993,2.5381142044900837,0.2525,200,47.4207821959972,57.876397290808484,17.799200577820617,9.46444336101442,166.64065722986726,267.1845179699619,235.35173450521734,667.6123440836742,5.093250481109965,5.093250481109965,0.0
2,400,rician,velocity,False,False,full,True,False,False,False,500.0,0.99052375,828.5117902372738,4.142558951186369,8.053721849161427,6.142296337048871,4.682467356148291,93.64934712296584,2.551250642125239,0.25,200,50.49071392353873,61.55837007427356,22.403201360238484,33.53818175598686,745.7739891453693,545.9075604007783,739.8375384229203,811.4408509066549,4.887858918629128,4.887858918629128,0.0
3,600,rician,velocity,False,False,full,True,False,False,False,500.0,0.98577375,873.5528477331753,4.367764238665877,7.841537733204534,6.0823143767374965,4.678459161474748,93.56918322949498,2.5391984099135434,0.25125,200,51.646950407495055,56.83309746121948,34.74928128471292,33.53348277829513,904.5061250885811,410.455735392842,587.8378424257713,580.0233279403764,4.818058999577668,4.818058999577668,0.0
4,800,rician,velocity,False,False,full,True,False,False,False,500.0,0.98102375,385.4299491089633,1.9271497455448163,7.7808590689450075,10.086993938733716,2.20863947120513,44.172789424102604,2.564997937223611,0.25,200,52.9077771942733,69.40317476696434,27.7495220776731,21.347618687259228,948.973992961009,325.6935607119082,140.36356628025038,790.3842827610988,4.165704117484534,4.165704117484534,0.0
5,1000,rician,velocity,False,False,full,True,False,False,False,500.0,0.97627375,893.7133007538691,4.468566503769345,9.271381370102727,7.899183869606517,4.74041590443825,94.808318088765,2.5038012703190424,0.2575,200,37.48287501317602,52.110043776521145,10.556141763678937,23.78211488779614,326.82240572544606,139.94349083249594,257.3069598889387,599.9386254980163,4.280646474875278,4.280646474875278,0.0
6,1200,rician,velocity,False,False,full,True,False,False,False,500.0,0.97152375,460.4416633747621,2.3022083168738106,7.962662491347807,9.51996642780324,2.84445362270934,56.88907245418681,2.5242411913426124,0.2625,200,60.42438989814014,33.11126362271982,15.441466229031848,5.154801040309251,803.1951615230307,524.646503088809,125.82304994917767,564.5815877356678,4.041280999514288,4.041280999514288,0.0
7,1400,rician,velocity,False,False,full,True,False,False,False,500.0,0.96677375,983.0307400800414,4.915153700400207,8.896877330855405,5.706297959910325,5.465927172457458,109.31854344914916,2.5484904407337554,0.2675,200,61.89843106013121,51.869379849329555,43.82951882058789,24.97683921473503,405.5939566680758,478.85249844380706,666.2804804674081,865.2216100031526,4.244801881363313,4.244801881363313,0.0
8,1600,rician,velocity,False,False,full,True,False,False,False,500.0,0.96202375,857.9376035036073,4.289688017518037,7.871436683821828,6.04960536177608,4.686403515968224,93.72807031936449,2.5023436433919604,0.2375,200,36.72522192376406,47.39392297690795,14.06681163575008,25.860875755625344,876.8586483614584,499.76731255444986,894.4733863026638,462.69301066470354,4.300002085688926,4.300002085688926,0.0
9,1800,rician,velocity,False,False,full,True,False,False,False,500.0,0.95727375,1081.075323892781,5.405376619463905,9.689192367057386,6.598143589043582,5.683105468655651,113.66210937311303,2.551803210753951,0.2575,200,66.67101306991765,43.29866379984478,40.550369956588916,17.65730296104632,187.6859203865871,322.8001718187965,414.37044031617836,617.8405008465566,4.453680239351895,4.453680239351895,0.0
10,2000,rician,velocity,False,False,full,True,False,False,False,500.0,0.95252375,869.003594577149,4.345017972885745,8.733114353313717,5.849442050058987,5.474673785793275,109.49347571586549,2.561283739277706,0.26,200,58.98590281568647,50.75521743839444,37.41750982690063,18.842914653591034,458.6651144277875,284.42951914701456,567.4015717990146,619.3656543593305,4.555779593996033,4.555779593996033,0.0
11,2200,rician,velocity,False,False,full,True,False,False,False,500.0,0.94777375,987.2270719869234,4.936135359934617,9.632974070204991,6.400346549382186,5.603427152083933,112.06854304167867,2.5190351658971077,0.2625,200,53.95815107213886,44.33249559245186,31.167068441382348,2.813272646741183,142.09059130978326,411.20155563747886,660.5414214449028,923.1807820547574,4.651020281094933,4.651020281094933,0.0
12,2400,rician,velocity,False,False,full,True,False,False,False,500.0,0.94302375,827.3788517203686,4.136894258601843,8.013937255714751,7.1015250397233185,4.414554022372347,88.29108044744696,2.5508049415572986,0.27,200,53.70030041197151,64.1430908653952,16.991592656410987,31.067953979433273,787.8856094261231,328.79772182567353,247.4367686627252,405.2625055899876,4.6313147595347175,4.6313147595347175,0.0
13,2600,rician,velocity,False,False,full,True,False,False,False,500.0,0.93827375,994.0716836289691,4.970358418144846,9.03147147330667,6.113404562291942,5.471751741593915,109.4350348318783,2.598876752850373,0.23375,200,78.51096159538041,49.65546249812366,20.095892146510433,21.146961267352523,386.34033576699034,78.95926645569172,568.3316211062125,631.8996815588597,4.695963758154655,4.695963758154655,0.0
14,2800,rician,velocity,False,False,full,True,False,False,False,500.0,0.93352375,642.9918781131743,3.2149593905658715,8.237828035899806,7.188905870187749,4.374850042578616,87.49700085157231,2.574284853575399,0.25125,200,35.65748958320029,78.59376588383894,14.368014974429652,26.921754253568633,666.9879589727436,531.1470456254303,424.5085588867973,756.8314558069851,4.6730270641849385,4.6730270641849385,0.0
15,3000,rician,velocity,False,False,full,True,False,False,False,500.0,0.92877375,783.8341414964362,3.919170707482181,7.766803847719874,6.065446809264468,4.813675211531513,96.27350423063028,2.6132398907366756,0.24625,200,79.26158352697203,49.7198871180811,61.869751425506024,29.757493022796126,889.7882933926536,441.79746577002953,685.3305616904294,357.50917574301184,4.682403607341377,4.682403607341377,0.0
16,3200,rician,velocity,False,False,full,True,False,False,False,500.0,0.92402375,825.2244846793047,4.126122423396524,7.682623079586121,6.00498695792409,4.9577083465107945,99.15416693021591,2.6179142737884353,0.265,200,51.14367111521269,82.90213394551074,20.053487618874065,43.49486375424073,1003.6539864458108,498.10542883125794,387.6014212622834,262.91031728954084,4.699610153539465,4.699610153539465,0.0
17,3400,rician,velocity,False,False,full,True,False,False,False,500.0,0.91927375,1151.817147521143,5.759085737605715,9.509948806819596,6.291531876898614,6.091339744303297,121.82679488606594,2.554294255819511,0.24125,200,47.32752420173978,68.64327008432383,10.705354139396364,50.741742329043696,61.76203594002375,451.02204204559865,423.2245589822137,160.54178090954701,4.781476600054985,4.781476600054985,0.0
18,3600,rician,velocity,False,False,full,True,False,False,False,500.0,0.91452375,1061.2104771646327,5.306052385823164,9.562739077249192,7.1850875885777095,5.604824636337949,112.09649272675898,2.518861196475666,0.25625,200,47.464165926735774,52.001061081385146,18.940932322030964,19.29775541401621,270.7522934809141,185.12189227927675,236.4292138272916,335.76359319848865,4.827218157626261,4.827218157626261,0.0
