episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,0.9997319027777778,1.0537984614001101,7.542485685859087,8.969271143267163,2.1033007528126126,22.0,597.0220681428797,1135.4959638336402,8.969271143267163,,,200,2.1033007528126126,2.1033007528126126,2.1033007528126126,2.1033007528126126,0.0,0.0
2,400,rayleigh,64,0.9994624583333334,2.4402650122253924,9.009697013368156,9.505233284032435,2.878438605995029,13.0,589.4240857804631,938.682534432855,9.505233284032435,,,200,2.4908696794038208,2.4908696794038208,2.4908696794038208,2.4908696794038208,0.0,0.0
3,600,rayleigh,64,0.9991930138888889,1.8141653884989877,8.195235456755023,10.44463915170055,2.0850840608849714,28.0,246.99079596222148,713.916795631391,10.44463915170055,,,200,2.3556078065642043,2.3556078065642043,2.3556078065642043,2.3556078065642043,0.0,0.0
4,800,rayleigh,64,0.9989235694444445,1.0480366265135768,9.1702668221695,12.547326591174972,1.3296251332968698,23.0,102.84869087719447,539.1757217266478,12.547326591174972,,,200,2.0991121382473708,2.0991121382473708,2.0991121382473708,2.0991121382473708,0.0,0.0
5,1000,rayleigh,64,0.998654125,3.0442007990267363,8.122431057146233,7.315825867013278,3.667838158019352,22.0,578.469957599771,1044.7497928207852,7.315825867013278,,,200,2.412857342201767,2.412857342201767,2.412857342201767,2.412857342201767,0.0,0.0
6,1200,rayleigh,64,0.9983846805555555,2.845161825886956,8.495079622840981,8.647245922262227,3.140399099370989,22.0,402.38829130373955,881.5953659496228,8.647245922262227,,,200,2.534114301729971,2.534114301729971,2.534114301729971,2.534114301729971,0.0,0.0
7,1400,rayleigh,64,0.9981152361111111,0.45222481185662383,8.181610263639135,12.59237820063217,0.7330025393726337,20.0,113.07163090396787,445.81759056870317,12.59237820063217,,,200,2.2768126213932085,2.2768126213932085,2.2768126213932085,2.2768126213932085,0.0,0.0
8,1600,rayleigh,64,0.9978457916666666,2.7230027558095906,9.590998069050155,10.61371892117335,3.0491561797769307,20.0,147.2722089098982,630.0949710251073,10.61371892117335,,,200,2.3733555661911736,2.3733555661911736,2.3733555661911736,2.3733555661911736,0.0,0.0
9,1800,rayleigh,64,0.9975763472222222,2.599674142607579,7.735744412177008,8.637866682235124,2.9363447493609507,19.0,396.66836371741533,948.3102302905714,8.637866682235124,,,200,2.4359099198767047,2.4359099198767047,2.4359099198767047,2.4359099198767047,0.0,0.0
10,2000,rayleigh,64,0.9973069027777778,0.8343298223777795,7.934305330525263,11.4232932041518,1.5723541444491513,22.0,109.50513774960555,539.0788301981671,11.4232932041518,,,200,2.349554342333949,2.349554342333949,2.349554342333949,2.349554342333949,0.0,0.0
11,2200,rayleigh,64,0.9970374583333333,1.6357573709788644,8.943460925275014,9.223521699029192,2.6617382449146016,23.0,366.3502658021822,998.0605801511266,9.223521699029192,,,200,2.3779346971140085,2.3779346971140085,2.3779346971140085,2.3779346971140085,0.0,0.0
12,2400,rayleigh,64,0.9967680138888889,1.5564331047505444,8.614482552984326,11.138021818988603,1.8338562670712453,12.0,119.03547994580047,554.504909244712,11.138021818988603,,,200,2.3325948279437783,2.3325948279437783,2.3325948279437783,2.3325948279437783,0.0,0.0
13,2600,rayleigh,64,0.9964985694444445,4.022454960529935,8.945810179203107,6.704992274665145,4.975725009516365,15.0,446.37727516065274,1002.9035548710963,6.704992274665145,,,200,2.535912534218592,2.535912534218592,2.535912534218592,2.535912534218592,0.0,0.0
14,2800,rayleigh,64,0.996229125,2.300558689033837,7.706919569656501,8.346805047670376,2.5754163533950347,22.0,456.06163753032894,941.1755140926358,8.346805047670376,,,200,2.5387342355883384,2.5387342355883384,2.5387342355883384,2.5387342355883384,0.0,0.0
