episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,3.456084588297114,7.931753134897923,3.6846077222407145,4.329494140544499,22.0,597.0220681428797,1135.4959638336402,3.6846077222407145,,,200,4.329494140544499,4.329494140544499,4.329494140544499,4.329494140544499,0.0,0.0
2,400,rician,64,4.195004601512558,9.28651946950978,4.292969279935145,5.01678137509397,20.0,83.14079982188167,508.7155655621997,4.292969279935145,,,200,4.673137757819235,4.673137757819235,4.673137757819235,4.673137757819235,0.0,0.0
3,600,rician,64,6.992704123640476,9.391096601786531,2.0845820479232082,7.306514553863321,21.0,430.7693421975299,971.1945851201989,2.0845820479232082,,,200,5.550930023167264,5.550930023167264,5.550930023167264,5.550930023167264,0.0,0.0
4,800,rician,64,0.375845308790943,9.182069501359976,8.034915360856253,1.6165425640024227,24.0,39.38267384898548,470.74499288037083,8.034915360856253,,,200,4.567333158376053,4.567333158376053,4.567333158376053,4.567333158376053,0.0,0.0
5,1000,rician,64,4.573576405946348,7.912232347897386,2.8655838181243753,5.085591514648743,26.0,504.26717708808013,917.2429251884953,2.8655838181243753,,,200,4.670984829630592,4.670984829630592,4.670984829630592,4.670984829630592,0.0,0.0
6,1200,rician,64,4.138298709806386,7.991901148277534,3.0945083237812674,4.931670490518288,17.0,226.28610230890757,827.4569779194356,3.0945083237812674,,,200,4.714432439778541,4.714432439778541,4.714432439778541,4.714432439778541,0.0,0.0
7,1400,rician,64,4.122107729405285,8.470603324904625,3.164893836711417,5.3347698042181815,18.0,302.53357121838593,719.9991872086072,3.164893836711417,,,200,4.803052063269918,4.803052063269918,4.803052063269918,4.803052063269918,0.0,0.0
8,1600,rician,64,6.356899181780093,9.026093683625161,2.176957289162795,6.849898547499473,25.0,435.8635381037605,933.6202291413823,2.176957289162795,,,200,5.058907873798612,5.058907873798612,5.058907873798612,5.058907873798612,0.0,0.0
9,1800,rician,64,7.037638715756393,8.960262029518253,1.5935356094610902,7.368671565159019,24.0,564.0624348110541,1013.5866659433315,1.5935356094610902,,,200,5.315548283949768,5.315548283949768,5.315548283949768,5.315548283949768,0.0,0.0
10,2000,rician,64,6.867800454362551,9.556200983333667,2.2876405666962896,7.268560416637373,12.0,158.69655608785203,514.7785635632508,2.2876405666962896,,,200,5.510849497218528,5.510849497218528,5.510849497218528,5.510849497218528,0.0,0.0
11,2200,rician,64,4.214815746987888,8.993218298592774,3.900995809151996,5.112705652609488,25.0,200.97448008807012,791.6496583739539,3.900995809151996,,,200,5.474654602254071,5.474654602254071,5.474654602254071,5.474654602254071,0.0,0.0
12,2400,rician,64,5.249909621566735,9.255538267546065,3.716669845539193,5.548825410624061,16.0,345.1275236064856,611.7617812173676,3.716669845539193,,,200,5.48083550295157,5.48083550295157,5.48083550295157,5.48083550295157,0.0,0.0
13,2600,rician,64,5.310121741557579,8.931315567379231,2.3659165797133266,6.571247610636678,15.0,443.3147799058705,842.1900562408291,2.3659165797133266,,,200,5.564713357388886,5.564713357388886,5.564713357388886,5.564713357388886,0.0,0.0
14,2800,rician,64,3.2132952507831956,7.523903444709833,3.7041611637092196,3.8801513394675915,21.0,402.3299375415235,827.1197924151053,3.7041611637092196,,,200,5.444387498965936,5.444387498965936,5.444387498965936,5.444387498965936,0.0,0.0
15,3000,rician,64,5.704899441675255,9.229571816231067,3.2007828486562375,6.0346565192538595,21.0,402.4318280183436,989.38402391759,3.2007828486562375,,,200,5.48373876698513,5.48373876698513,5.48373876698513,5.48373876698513,0.0,0.0
16,3200,rician,64,4.6405184331984906,7.561571308617804,1.6042351319718107,5.9672394722467095,13.0,523.4970145545138,881.3852286883644,1.6042351319718107,,,200,5.513957561063981,5.513957561063981,5.513957561063981,5.513957561063981,0.0,0.0
17,3400,rician,64,5.303868010629252,8.46623215670582,2.8211674906217796,5.647185142771227,24.0,562.3231919969747,1171.7990703446146,2.8211674906217796,,,200,5.5217944776349945,5.5217944776349945,5.5217944776349945,5.5217944776349945,0.0,0.0
18,3600,rician,64,4.632752944084817,7.732365112844957,2.0114534135174993,5.727122352221668,18.0,496.6141103083286,1113.392110639101,2.0114534135174993,,,200,5.533201581778699,5.533201581778699,5.533201581778699,5.533201581778699,0.0,0.0
19,3800,rician,64,1.4758717801607903,8.290696069825357,5.700634992638414,2.7461030052683566,24.0,31.008929715966833,496.1928508746068,5.700634992638414,,,200,5.386512183014997,5.386512183014997,5.386512183014997,5.386512183014997,0.0,0.0
20,4000,rician,64,5.9818154733491005,8.304385096430813,1.9928209459467645,6.31368497376645,21.0,692.8931600700417,1526.7717726582157,1.9928209459467645,,,200,5.4328708225525695,5.4328708225525695,5.4328708225525695,5.4328708225525695,0.0,0.0
21,4200,rician,64,7.173762878651218,9.647735640007733,2.129001522473352,7.518734117534378,22.0,615.7367023510666,1134.12917340898,2.129001522473352,,,200,5.592332821402064,5.592332821402064,5.532197646123132,5.532197646123132,0.06013517527893164,0.06013517527893164
22,4400,rician,64,2.633866609385679,8.118813231038962,3.9748947140559645,4.174671009318103,21.0,79.55829470035556,575.4458478758303,3.9748947140559645,,,200,5.550227303113269,5.550227303113269,5.4704918899047215,5.4704918899047215,0.07973541320854771,0.07973541320854771
23,4600,rician,64,5.464201935159862,8.228271237606908,2.4646387569526604,5.7846925609381845,22.0,190.16495992146528,686.1630890030267,2.4646387569526604,,,200,5.474136203467013,5.474136203467013,5.484152788645306,5.484152788645306,0.010016585178293624,0.010016585178293624
24,4800,rician,64,3.3332807465743897,8.65856554138873,4.96411584274426,3.7625540672178435,19.0,348.0254745183992,785.6332767693812,4.96411584274426,,,200,5.5814367786277845,5.5814367786277845,5.412419508585828,5.412419508585828,0.1690172700419561,0.1690172700419561
25,5000,rician,64,2.2905730937038555,9.200870425453605,5.6918855661522825,3.5985136381237384,24.0,66.09799305412862,638.8916253058101,5.6918855661522825,,,200,5.507082884801533,5.507082884801533,5.339863273767345,5.339863273767345,0.16721961103418792,0.16721961103418792
26,5200,rician,64,4.056906087819338,8.890484565580403,4.5091500759356355,4.39176636294337,16.0,156.81479909683708,487.40064759685805,4.5091500759356355,,,200,5.480087678422787,5.480087678422787,5.303398007966423,5.303398007966423,0.17668967045636474,0.17668967045636474
27,5400,rician,64,3.8228397902364106,9.39621293148931,4.3307889209471115,5.111132478035158,21.0,181.1837686753797,832.9960425124176,4.3307889209471115,,,200,5.468905812113637,5.468905812113637,5.296277062413413,5.296277062413413,0.17262874970022413,0.17262874970022413
28,5600,rician,64,5.1483885992231855,8.290663844421895,2.5409264083261593,5.7654488310968395,26.0,789.9392258146105,1330.052991848727,2.5409264083261593,,,200,5.414683326293504,5.414683326293504,5.31303319700925,5.31303319700925,0.10165012928425465,0.10165012928425465
29,5800,rician,64,7.20196168335022,9.651914342917058,1.9701867778952855,7.681727565021769,15.0,581.8953814311391,1064.6842003127977,1.9701867778952855,,,200,5.430336126286642,5.430336126286642,5.394712313147613,5.394712313147613,0.03562381313902918,0.03562381313902918
30,6000,rician,64,5.4318139816537085,8.515694905426566,2.6505884570139764,5.873166435911118,20.0,707.8829351982326,1147.2177234260835,2.6505884570139764,,,200,5.36056642725033,5.36056642725033,5.410660783906396,5.410660783906396,0.0500943566560661,0.0500943566560661
31,6200,rician,64,5.396732832304767,7.946157417109654,2.1521262748450947,5.796167478618907,20.0,616.0149624406188,1242.5207921580932,2.1521262748450947,,,200,5.394739518550801,5.394739518550801,5.423096483735832,5.423096483735832,0.028356965185031058,0.028356965185031058
32,6400,rician,64,7.344641214327096,9.54794118825051,1.57495360897769,7.972987579272824,16.0,419.18021087322296,821.7683477371966,1.57495360897769,,,200,5.515947626983239,5.515947626983239,5.502780580471363,5.502780580471363,0.01316704651187628,0.01316704651187628
33,6600,rician,64,4.181022124586956,8.996634341898297,4.02894255125618,4.979905738545041,18.0,285.3364350088022,747.0760823774385,4.02894255125618,,,200,5.436380533378657,5.436380533378657,5.486935888291777,5.486935888291777,0.050555354913120354,0.050555354913120354
34,6800,rician,64,3.6096562823341447,8.218891556936336,4.224719133134437,4.026244838995886,23.0,82.72633676172921,394.2844037293138,4.224719133134437,,,200,5.443685208355072,5.443685208355072,5.443974386841898,5.443974386841898,0.00028917848682574743,0.00028917848682574743
35,7000,rician,64,3.622986667002615,7.766574477000776,3.7328135824535047,4.083050613210969,20.0,481.66610921304715,849.1213063561327,3.7328135824535047,,,200,5.346104913052927,5.346104913052927,5.405090850452443,5.405090850452443,0.058985937399516075,0.058985937399516075
36,7200,rician,64,6.202088543688328,9.199678655316925,2.4538379262890238,6.745840729027905,31.0,262.8098312378323,802.949211484962,2.4538379262890238,,,200,5.385034975891986,5.385034975891986,5.442333902635095,5.442333902635095,0.05729892674310921,0.05729892674310921
37,7400,rician,64,3.5032762535152564,7.442314406477907,2.560450454937495,4.886014635725558,15.0,519.2560598619943,944.9426795868163,2.560450454937495,,,200,5.346976450539704,5.346976450539704,5.427298246772675,5.427298246772675,0.08032179623297075,0.08032179623297075
38,7600,rician,64,4.878640828725065,8.344228999837357,2.9875007047780264,5.362147165753115,17.0,181.1064300632536,824.7690368539124,2.9875007047780264,,,200,5.328727691216276,5.328727691216276,5.425583744640582,5.425583744640582,0.0968560534243057,0.0968560534243057
39,7800,rician,64,-0.30761481447688016,8.256464040012672,10.233431880544453,0.08232050175839038,17.0,9.841494838206863,430.6798320100022,10.233431880544453,,,200,5.195538566040777,5.195538566040777,5.28857699482309,5.28857699482309,0.09303842878231272,0.09303842878231272
40,8000,rician,64,5.788358572755149,8.923625512080527,2.075212203099135,6.848413308981384,23.0,485.0733173457712,1002.2165075756758,2.075212203099135,,,200,5.222274982801524,5.222274982801524,5.327572902677046,5.327572902677046,0.10529791987552173,0.10529791987552173
41,8200,rician,64,4.968563794360054,8.382141182624629,1.4583987288781695,6.92374245374646,19.0,537.9430388248526,953.0191849072064,1.4583987288781695,,,200,5.192525399612127,5.192525399612127,5.366503867337276,5.366503867337276,0.17397846772514836,0.17397846772514836
42,8400,rician,64,3.514066352553915,9.759843950862926,5.83289384841154,3.973968637439392,20.0,77.44041315901343,476.88597768101573,5.83289384841154,,,200,5.182490281018192,5.182490281018192,5.333348266625421,5.333348266625421,0.15085798560722896,0.15085798560722896
43,8600,rician,64,2.5476002127829953,9.362695199235953,6.2681319797416455,3.1652264935472902,14.0,67.95958463422359,445.6343845005591,6.2681319797416455,,,200,5.051516977648648,5.051516977648648,5.282926830042209,5.282926830042209,0.23140985239356127,0.23140985239356127
44,8800,rician,64,5.284877289640766,8.988938683013194,2.2003620295316098,6.790510206063466,22.0,454.2785707565004,833.6561951778517,2.2003620295316098,,,200,5.202914784590929,5.202914784590929,5.317190088588147,5.317190088588147,0.11427530399721775,0.11427530399721775
45,9000,rician,64,4.820552404305051,9.56675545505197,4.189472557183553,5.3772828978684135,25.0,275.12725800328985,638.744322632083,4.189472557183553,,,200,5.291853247578163,5.291853247578163,5.31852548434993,5.31852548434993,0.02667223677176711,0.02667223677176711
46,9200,rician,64,6.371006874519761,9.26258162093836,1.682969032904745,7.579612588033622,14.0,737.1516219215154,1331.7825608493856,1.682969032904745,,,200,5.451245558832676,5.451245558832676,5.367679551821315,5.367679551821315,0.08356600701136152,0.08356600701136152
47,9400,rician,64,3.955401012770222,8.17285051543255,2.2675412236933643,5.905309291739188,22.0,286.99220799281267,902.686372466613,2.2675412236933643,,,200,5.490954399517877,5.490954399517877,5.379118482457866,5.379118482457866,0.11183591706001117,0.11183591706001117
48,9600,rician,64,5.661712966308574,7.966101153999934,1.188222384577827,6.777878769422105,26.0,572.4489048224248,1205.298636446242,1.188222384577827,,,200,5.54157589643414,5.54157589643414,5.40825932176962,5.40825932176962,0.13331657466452018,0.13331657466452018
49,9800,rician,64,4.917570700103404,9.122263123549857,3.733139412703705,5.430612397933655,23.0,123.43732432183874,657.9668926933145,3.733139412703705,,,200,5.429020138079735,5.429020138079735,5.408715506997457,5.408715506997457,0.020304631082277425,0.020304631082277425
50,10000,rician,64,6.042757400948904,8.97531383320823,2.1794564330046486,6.7958574002035785,21.0,718.9428802818719,1245.3107484705445,2.1794564330046486,,,200,5.475154686294357,5.475154686294357,5.43645834486158,5.43645834486158,0.038696341432777004,0.038696341432777004
51,10200,rician,64,2.3078933627910097,9.406319243022358,6.7376562087504475,2.7181582828475563,19.0,39.37104057910753,419.71868801209877,6.7376562087504475,,,200,5.321254226505789,5.321254226505789,5.383158343645619,5.383158343645619,0.06190411713983046,0.06190411713983046
52,10400,rician,64,6.522124651630785,7.840425583092714,0.8571192187063977,6.98330636438632,19.0,783.8631425694517,1256.1357326427283,0.8571192187063977,,,200,5.271770165761465,5.271770165761465,5.413930420967556,5.413930420967556,0.14216025520609055,0.14216025520609055
