episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rayleigh,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,370.6044883727614,1.853022441863807,7.530197432145439,5.2541863111313845,2.5626950397947055,22.0,594.743624077765,1131.865266469292,5.2541863111313845,,,51.25390079589412,2.609815694944724,0.18871059516283517,200,70.08142259593266,74.62006876297238,64.75611731411297,65.54097549858999,815.002911920393,489.6429181299033,604.4687704626796,316.82142394927314,2.5626950397947055,2.5626950397947055,0.0,,,200
2,400,TD3PG,rayleigh,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,563.4661984505718,2.817330992252859,8.483127790834583,5.655492017993306,3.096098931634231,22.0,603.6666397642083,1110.456709015078,5.655492017993306,,,61.92197863268463,2.559341822277553,0.1879576969336074,200,64.3921404949258,60.631543362648884,53.881040517970675,49.01336039265706,356.91750220206325,318.3913745568248,599.3854145555836,623.607464434671,2.8293969857144683,2.8293969857144683,0.0,,,400
3,600,TD3PG,rayleigh,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,373.9512483096724,1.869756241548362,8.121939801987681,6.118466874691227,2.327923463104572,16.0,229.61426487173097,434.0669915441251,6.118466874691227,,,46.55846926209145,2.5589638188813693,0.18888722600102492,200,49.04409817728162,73.77766005505066,25.04314490729711,67.48439420600042,527.7432996665623,449.79959703091305,228.31088912389788,413.96178985920733,2.6622391448445026,2.6622391448445026,0.0,,,600
4,800,TD3PG,rayleigh,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,682.7978834453869,3.4139894172269347,9.226412848999187,5.722256942661389,3.6938719364720876,24.0,469.0634641744376,932.3457545428198,5.722256942661389,,,73.87743872944175,2.568499349944685,0.19121412417657616,200,58.964988039218014,72.4507251681448,49.732415754829795,64.23439680601871,221.96752566067167,198.17437414994583,467.8578191046635,354.7533029695038,2.920147342751399,2.920147342751399,0.0,,,800
5,1000,TD3PG,rayleigh,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,542.3305445057811,2.711652722528905,8.400121035706794,5.305430810089725,3.2151824717837365,22.0,338.1844337917901,832.1958130195343,5.305430810089725,,,64.30364943567474,2.5524410087950575,0.17915579424346958,200,60.68973216289072,61.322861153785205,52.74505112542184,52.36488478435031,436.45461955275164,461.8074926322996,332.46737676345555,136.32033901010584,2.9791543685578663,2.9791543685578663,0.0,,,1000
6,1200,TD3PG,rayleigh,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,736.7649452386512,3.683824726193256,8.797277636453604,4.603010520167582,4.377334095456335,23.0,464.5719197497513,1178.6586591648347,4.603010520167582,,,87.5466819091267,5.995419059884204,0.34752936188284045,200,317.6036271286241,316.98427085295737,299.44122314925465,309.7989351296696,440.002852330142,386.57913787693633,465.0143465428056,446.5363421897056,3.2121843230409444,3.2121843230409444,0.0,6.745950698852539,-4.912923336029053,1200
7,1400,TD3PG,rayleigh,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,742.7552074265861,3.7137760371329307,8.590255063261184,3.8579576584257254,4.78785653868674,19.0,187.3663139503085,661.3045622585934,3.8579576584257254,,,95.75713077373481,6.767819125873074,0.4689508015156347,200,378.74571554272546,360.0301249095942,378.1324613258321,205.8823203569523,286.2128575606308,192.57023293685583,189.842595196681,477.6363810960999,3.4372803538474868,3.4372803538474868,0.0,7.815446376800537,-6.422362327575684,1400
8,1600,TD3PG,rayleigh,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,273.1893847254856,1.365946923627428,8.763421936466742,5.392688433888353,3.43848638035064,28.0,350.604740926153,814.8350457635959,5.392688433888353,,,68.7697276070128,6.893454299546242,0.4666670517840288,200,285.99833604877057,279.3131924933621,267.3863075217631,270.85511680044203,402.5718318395392,516.2264381113214,353.8118160862006,1024.4311490518887,3.437431107160381,3.437431107160381,0.0,6.4427995681762695,-7.9878740310668945,1600
9,1800,TD3PG,rayleigh,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,538.3812489323216,2.6919062446616078,7.681068885195834,3.4706982954557524,4.248152927610351,24.0,592.5499990535068,1139.4370957100646,3.4706982954557524,,,84.96305855220704,6.739911340670842,0.4675930033565365,200,279.5170987458953,375.1109457725809,112.76279692645288,282.5493721711676,590.9489770571488,540.2251973227808,581.3862670730194,235.3273900786025,3.5275113094326,3.5275113094326,0.0,5.717111587524414,-9.086109161376953,1800
10,2000,TD3PG,rayleigh,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,646.5987900405132,3.232993950202566,7.662444058401215,1.981809261017343,5.694575729892855,21.0,771.8890072718162,1080.2200256806625,1.981809261017343,,,113.8915145978571,6.838503081809842,0.4683249739339058,200,278.00787112472017,76.3014559896938,110.49790009276182,75.41047078149089,728.2209569169964,519.3826064800785,771.9522768754374,361.00446372649253,3.744217751478626,3.744217751478626,0.0,8.521581649780273,-11.142050743103027,2000
