episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rician,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,870.3990448470403,4.351995224235202,7.886597871562352,3.0055238595369245,4.973362281213336,22.0,594.743624077765,1131.865266469292,3.0055238595369245,,,99.46724562426671,2.609748852400555,0.180591541151504,200,71.41482689143407,74.7150207452701,64.67722773237745,67.79022498239028,808.3882234342562,477.74733567655994,604.4687704626796,311.95286089993573,4.973362281213336,4.973362281213336,0.0,,,200
2,400,TD3PG,rician,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,1083.6604728530992,5.418302364265497,9.016428244151651,3.381917035052433,5.6962316668807365,22.0,603.6666397642083,1110.456709015078,3.381917035052433,,,113.92463333761474,2.5517282396019034,0.18124206054566794,200,59.989799550526065,62.39677157130328,47.88488098165945,51.627431768755166,361.88944477895444,306.5177555633353,599.3854145555836,612.5545027146352,5.334796974047036,5.334796974047036,0.0,,,400
3,600,TD3PG,rician,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,824.0828773094545,4.120414386547273,8.54931235898996,4.092323860416557,4.587763331122298,16.0,229.61426487173097,434.0669915441251,4.092323860416557,,,91.75526662244599,2.5638038017277553,0.18110396184558353,200,47.53696710636855,77.66495938150463,22.731799847979477,71.4530821775664,514.8287137180317,450.0095235853212,228.31088912389788,403.739852121352,5.08578575973879,5.08578575973879,0.0,,,600
4,800,TD3PG,rician,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,1229.7743351760128,6.148871675880064,9.695209184285298,3.355170893941583,6.429906073691508,24.0,469.0634641744376,932.3457545428198,3.355170893941583,,,128.59812147383016,2.5783280625053147,0.18820487727333735,200,55.776977119211374,79.31985701900183,45.84575568071083,71.22372194733501,220.31769662018692,192.1601635376609,467.8578191046635,353.46040962958165,5.421815838226969,5.421815838226969,0.0,,,800
5,1000,TD3PG,rician,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,1103.767352073584,5.518836760367921,8.80045644137546,2.828313608352612,6.0220983360837135,22.0,338.1844337917901,832.1958130195343,2.828313608352612,,,120.44196672167428,2.568645740344144,0.17566957875203973,200,61.103852018552594,69.34538436318441,53.59626931562116,62.61132498993738,430.6600477333386,458.27194012554764,332.46737676345555,133.37263275297687,5.541872337798319,5.541872337798319,0.0,,,1000
6,1200,TD3PG,rician,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,1049.0665752096381,5.245332876048191,9.476588161770762,4.683571711580589,5.891131532485914,23.0,464.5719197497513,1178.6586591648347,4.683571711580589,,,117.82263064971826,5.516081374001337,0.223121019584606,200,296.97681769043595,293.9824655085852,42.36250519078513,232.96730375121098,173.42735135405593,468.67536937339173,465.0143465428056,353.853608079437,5.600082203579585,5.600082203579585,0.0,3.966703176498413,-8.421724319458008,1200
7,1400,TD3PG,rician,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,710.310220768392,3.5515511038419603,8.163207315608936,2.463001687997593,5.700205627611342,19.0,187.3663139503085,661.3045622585934,2.463001687997593,,,114.00411255222684,6.903025791027518,0.46892467940753285,200,333.89596760273923,283.9594048352839,312.25604346849315,268.3466690158581,830.2917164505791,625.7583266504902,189.842595196681,504.62719556529265,5.614385549869835,5.614385549869835,0.0,3.1641407012939453,-9.519941329956055,1400
8,1600,TD3PG,rician,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,1038.1568118020173,5.190784059010086,9.440254680999004,3.013780218104433,6.426474462894572,28.0,350.604740926153,814.8350457635959,3.013780218104433,,,128.52948925789144,6.832840327140128,0.4666638443090818,200,379.3304613109836,333.27239836981585,378.7679704847609,202.58570937265782,335.5433803257554,450.70793448585664,353.8118160862006,763.1723944009958,5.715896663997928,5.715896663997928,0.0,5.938949108123779,-12.842752456665039,1600
9,1800,TD3PG,rician,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,963.7892928129462,4.818946464064731,8.148820596758396,1.6157567984693164,6.533063798289073,24.0,592.5499990535068,1139.4370957100646,1.6157567984693164,,,130.66127596578147,6.843062938593629,0.4675933048815332,200,261.29772238208335,379.58813094713463,142.52889157972683,379.0820651017957,816.4577385480857,664.9074855670701,581.3862670730194,391.64452503562353,5.806693012252499,5.806693012252499,0.0,2.720672607421875,-14.909629821777344,1800
10,2000,TD3PG,rician,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,930.2068472630715,4.651034236315358,7.880490573616414,0.7584940839355803,7.121996489680828,21.0,771.8890072718162,1080.2200256806625,0.7584940839355803,,,142.43992979361656,6.912243427616512,0.4683250277270977,200,296.02007377895154,76.28418819703002,277.2264831676263,75.41047078149089,941.708967211747,552.228393450303,771.9522768754374,361.00446372649253,5.938223359995332,5.938223359995332,0.0,9.049936294555664,-18.844932556152344,2000
