policy,fading_model,seed,episodes,enable_energy_harvesting,observation_has_eh,mean_avg_R_sec_mbps,mean_episode_secrecy_mbits,mean_avg_R_legit_mbps,mean_avg_R_eve_mbps
Random Walk,rician,7,10,False,False,7.450073125847666,149.00146251695335,8.743763631604304,1.2952682286040398
Random Walk,rician,21,10,False,False,7.061392444504638,141.22784889009276,8.711492276972159,1.6669225371161058
Random Walk,rician,42,10,False,False,6.206344962252219,124.12689924504441,8.61351557904455,2.4189203453653425
Distance-Greedy,rician,7,10,False,False,8.650242761900179,173.0048552380036,9.187325671201233,0.5370829093010533
Distance-Greedy,rician,21,10,False,False,8.066376228576441,161.32752457152887,9.011188807876344,0.9448125792999005
Distance-Greedy,rician,42,10,False,False,8.36350108874934,167.27002177498676,9.037228511161198,0.6737274224118573
Random Walk,rayleigh,7,10,False,False,6.735185982541502,134.70371965083007,8.317188373039512,1.6028447621564168
Random Walk,rayleigh,21,10,False,False,6.459730648114157,129.19461296228314,8.297875723522452,1.8895751380274475
Random Walk,rayleigh,42,10,False,False,5.684393597731576,113.68787195463153,8.265579237959617,2.6486306878420867
Distance-Greedy,rayleigh,7,10,False,False,8.028419117436774,160.56838234873553,8.785874405732022,0.7594157487862024
Distance-Greedy,rayleigh,21,10,False,False,7.476159229822521,149.52318459645045,8.638202330711433,1.1653408427901109
Distance-Greedy,rayleigh,42,10,False,False,7.7983249344303776,155.9664986886075,8.678905531890178,0.8865188499793225
