method,fading_model,enable_energy_harvesting,observation_has_eh,avg_rsec_mbps,episode_secrecy_mbits
Random Walk,rician,False,False,6.905936844201508,138.11873688403017
Distance-Greedy,rician,False,False,8.360040026408653,167.2008005281731
DQN,rician,False,False,0.0,0.0
DDPG,rician,False,False,6.920566970988129,138.41133941976258
TD3,rician,False,False,6.860925548196744,137.2185109639349
SAC,rician,False,False,6.860925548196744,137.2185109639349
MARL Shared,rician,False,False,5.123584919961262e-05,0.0010247169839922526
MARL Split,rician,False,False,3.008820839213643,60.17641678427287
Random Walk,rayleigh,False,False,6.293103409462411,125.86206818924825
Distance-Greedy,rayleigh,False,False,7.767634427229891,155.3526885445978
DQN,rayleigh,False,False,0.003431975328962235,0.06863950657924474
DDPG,rayleigh,False,False,6.314139066200927,126.28278132401857
TD3,rayleigh,False,False,6.261565639726829,125.23131279453658
SAC,rayleigh,False,False,6.261565639726829,125.23131279453658
MARL Shared,rayleigh,False,False,0.003712806582009047,0.07425613164018094
MARL Split,rayleigh,False,False,2.8706537791864286,57.41307558372856
