episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rayleigh,0.249204,ou,velocity,False,False,False,full,True,False,False,False,500.0,846.9038321029765,4.234519160514882,9.532856771151327,6.258838798859261,4.911421573414318,98.22843146828635,4.9871849872573595,0.22527600714936852,200,266.7065848620717,272.10764981276975,157.7913177749583,236.3976404691397,0,260.95290477542454,187.93925353617098,235.35173450521734,898.7289733249784,4.911421573414318,4.911421573414318,0.0
2,400,rayleigh,0.248404,ou,velocity,False,False,False,full,True,False,False,False,500.0,321.69244981684176,1.6084622490842089,8.727649943500328,6.179589767896602,2.8653766794700064,57.30753358940013,6.384947113907652,0.43402554892003536,200,358.17257020577625,281.30689853979845,199.5704627002699,195.1015555824717,0,408.0678851768431,131.21290729830295,19.84590758268788,356.1248676539156,3.8883991264421622,3.8883991264421622,0.0
3,600,rayleigh,0.247604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1244.2375464038107,6.221187732019054,7.906674100768728,0.9016954561902627,7.004978644578469,140.09957289156938,6.695628836269564,0.4106633302569389,200,376.681454496845,363.43821860673336,374.4670006207297,356.31115374979504,0,694.6186721107472,449.2718812509851,796.2000063806325,623.1157838282671,4.927258965820932,4.927258965820932,0.0
4,800,rayleigh,0.246804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1293.7499488866283,6.468749744433142,8.766376909084782,1.3814860612814215,7.384890847803363,147.69781695606727,6.589711573488831,0.46126922689378264,200,364.71851701049934,361.6427204931105,261.88650670793703,301.4672664016273,0,485.2110192245631,536.0049779644612,232.5672805592268,182.4139959878827,5.541666936316539,5.541666936316539,0.0
5,1000,rayleigh,0.246004,ou,velocity,False,False,False,full,True,False,False,False,500.0,1393.6195749175056,6.968097874587528,9.309555011314695,1.071313393848619,8.249514510228114,164.9902902045623,6.663988520942266,0.4584888459742069,200,373.29677705456834,328.88235094348875,371.5093612626199,288.95752199238706,0,193.03368551679,247.03027732376623,610.0036129199158,686.0092880899008,6.083236451098854,6.083236451098854,0.0
6,1200,rayleigh,0.245204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1372.339462166422,6.86169731083211,8.126570811780251,0.48233307155589683,7.644237740224362,152.88475480448727,6.44130964998192,0.4414127489179373,200,335.37172926875235,378.6077874889747,324.82708589367724,374.93151340643254,0,534.2724681372989,97.13452870339692,743.1690044203472,610.0961267280373,6.343403332619772,6.343403332619772,0.0
7,1400,rayleigh,0.244404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1376.6151584506413,6.883075792253206,7.970922601577042,0.30620006665566557,7.664722534921372,153.29445069842743,6.765719441192654,0.479479203671217,200,369.1107282015906,376.6014383236139,364.4254132499119,372.6927640768864,0,552.5459256303819,193.18587620567746,673.3774774878026,485.6863925016943,6.532163218662858,6.532163218662858,0.0
8,1600,rayleigh,0.243604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1231.2913006417937,6.156456503208968,8.146932733708338,1.1980081242985414,6.949239763063761,138.98479526127522,6.8480976469179495,0.430205427929759,200,377.561228378131,376.81307429779633,372.55282482237277,372.300331120762,0,366.30330267606416,196.83947909784388,722.2388361094027,753.0358734209367,6.584297786712971,6.584297786712971,0.0
9,1800,rayleigh,0.242804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1312.3182802438532,6.561591401219266,8.186481811156403,0.29135530104500773,7.895126510111399,157.90253020222798,6.486247357539716,0.46157214015722275,200,309.4783805443419,347.619772543772,283.9711474349618,326.86062876697616,0,474.6694928970166,508.9159454162668,511.7249298124075,63.35366042014982,6.729945422646129,6.729945422646129,0.0
10,2000,rayleigh,0.242004,ou,velocity,False,False,False,full,True,False,False,False,500.0,1454.6536850146836,7.273268425073418,8.685980062932039,0.6548172418506863,8.036738383109228,160.73476766218457,6.63848183282796,0.46287974461913106,200,369.16348000470003,364.89180275864595,367.100082345588,361.5375246927278,0,225.91949437795256,311.73246068329,796.3959545126337,644.9664175763583,6.860624718692439,6.860624718692439,0.0
11,2200,rayleigh,0.241204,ou,velocity,False,False,False,full,True,False,False,False,500.0,1147.6655489033872,5.738327744516936,7.810435523435458,0.7304447546618432,7.079994008709779,141.5998801741956,6.787686439441315,0.4319641713798046,200,375.013559812326,313.97920371468274,366.0042330065871,293.15647678715897,0,545.8749289773957,241.64341540347766,171.30048033661186,121.09406262569783,6.8805673814212875,6.8805673814212875,0.0
12,2400,rayleigh,0.240404,ou,velocity,False,False,False,full,True,False,False,False,500.0,1048.6509233923698,5.243254616961849,7.572259005895468,1.122511181255657,6.449747824639811,128.99495649279623,6.681789975905715,0.4531536936759949,200,369.43590304291314,340.2353416600899,363.1350718405218,319.9941004477129,0,1009.2230654742021,576.5577342591124,384.6384470838767,539.7138531886133,6.844665751689498,6.844665751689498,0.0
13,2600,rayleigh,0.239604,ou,velocity,False,False,False,full,True,False,False,False,500.0,1158.1828410088299,5.7909142050441496,8.213270397737988,1.6379948700064366,6.583146928494522,131.66293856989046,6.849735931646434,0.41527139462530616,200,374.81531840130845,378.939577595474,368.36605591863884,375.22582649048354,0,404.92322912954046,180.54762702097125,394.5532364076397,752.2177919603456,6.824548919136039,6.824548919136039,0.0
14,2800,rayleigh,0.238804,ou,velocity,False,False,False,full,True,False,False,False,500.0,1305.8779424711001,6.529389712355501,7.751562296222483,0.13098567618518214,7.620576620037306,152.41153240074613,6.693425425749149,0.4648303996771574,200,370.61496171714884,336.87924553729516,368.96622666924253,327.0943599180437,0,817.4048683794412,612.1090767689462,1183.090818161053,215.46881954453002,6.881408040628988,6.881408040628988,0.0
