episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,0.9994638055555556,1.0847657382577347,7.526643878362071,8.923071205630574,2.134268029670237,22.0,576.7928662831129,1116.2633538456832,8.923071205630574,,,200,2.134268029670237,2.134268029670237,2.134268029670237,2.134268029670237,0.0,0.0
2,400,rayleigh,64,0.9989249166666667,1.0719284911310363,8.152576670476229,11.159268669101236,1.5652562488335573,22.0,226.26954027628628,721.94345133874,11.159268669101236,,,200,1.8497621392518973,1.8497621392518973,1.8497621392518973,1.8497621392518973,0.0,0.0
3,600,rayleigh,64,0.9983860277777777,2.14141939115495,8.488862041048424,9.199153840596082,2.689765385192663,13.0,516.5877705832092,876.8555266809503,9.199153840596082,,,200,2.1297632212321527,2.1297632212321527,2.1297632212321527,2.1297632212321527,0.0,0.0
4,800,rayleigh,64,0.9978471388888889,1.2172029526610657,8.71093091495313,10.662997387809252,2.369366824164432,18.0,139.95775580559425,622.0610643264026,10.662997387809252,,,200,2.1896641219652224,2.1896641219652224,2.1896641219652224,2.1896641219652224,0.0,0.0
5,1000,rayleigh,64,0.99730825,1.1420912699578702,7.768567102664918,9.717653518653607,1.4521263580733657,34.0,392.7997445980807,917.4455023369972,9.717653518653607,,,200,2.0421565691868513,2.0421565691868513,2.0421565691868513,2.0421565691868513,0.0,0.0
6,1200,rayleigh,64,0.9967693611111111,-0.40764265554674123,7.700433687919668,12.325670691819319,0.7341426731942456,23.0,103.36145448213442,423.1232713592883,12.325670691819319,,,200,1.8241542531880837,1.8241542531880837,1.8241542531880837,1.8241542531880837,0.0,0.0
7,1400,rayleigh,64,0.9962304722222223,2.8147219279026023,7.847030308104392,8.080894364556565,3.1227298282429796,20.0,690.3081034112354,1074.4609140889581,8.080894364556565,,,200,2.0096650496244974,2.0096650496244974,2.0096650496244974,2.0096650496244974,0.0,0.0
8,1600,rayleigh,64,0.9956915833333333,2.1170501139650657,8.430268138415634,9.431624415007061,2.4271110859488743,15.0,454.0463781093055,929.8778520520164,9.431624415007061,,,200,2.0618458041650447,2.0618458041650447,2.0618458041650447,2.0618458041650447,0.0,0.0
9,1800,rayleigh,64,0.9951526944444444,-0.07932527936989357,8.062362218668376,15.07294829892035,0.19457719017344885,20.0,36.54171013648787,419.13285476255163,15.07294829892035,,,200,1.854371513721534,1.854371513721534,1.854371513721534,1.854371513721534,0.0,0.0
10,2000,rayleigh,64,0.9946138055555556,1.1276620678109013,7.7279238834637525,12.100097435459196,1.401108738411796,23.0,57.39003609206526,480.55037580952694,12.100097435459196,,,200,1.8090452361905602,1.8090452361905602,1.8090452361905602,1.8090452361905602,0.0,0.0
11,2200,rayleigh,64,0.9940749166666667,2.668392462134536,7.6478242658943945,7.863575328585308,3.2457202887047716,19.0,527.524425166853,914.8633159779229,7.863575328585308,,,200,1.9396520591463975,1.9396520591463975,1.9396520591463975,1.9396520591463975,0.0,0.0
12,2400,rayleigh,64,0.9935360277777778,1.2488887354978735,8.305042880304107,11.226367159419931,1.5315001614918315,22.0,154.22570385363778,668.1937229095928,11.226367159419931,,,200,1.905639401008517,1.905639401008517,1.905639401008517,1.905639401008517,0.0,0.0
13,2600,rayleigh,64,0.9929971388888889,1.8068025722315395,7.409429049382028,8.06949991808126,2.389285717555093,16.0,536.3841976025235,1083.5056845429335,8.06949991808126,,,200,1.9428429638197922,1.9428429638197922,1.9428429638197922,1.9428429638197922,0.0,0.0
14,2800,rayleigh,64,0.99245825,2.066359947242581,7.540187730474627,7.516827793792397,2.8447656750510184,20.0,723.8232885006844,1274.3830321657665,7.516827793792397,,,200,2.0072660146220227,2.0072660146220227,2.0072660146220227,2.0072660146220227,0.0,0.0
15,3000,rayleigh,64,0.9919193611111111,1.8087532377740967,8.51762702185123,11.285053853778765,2.2971673350590684,18.0,92.15306733582625,441.93842431271275,11.285053853778765,,,200,2.0265927693178254,2.0265927693178254,2.0265927693178254,2.0265927693178254,0.0,0.0
16,3200,rayleigh,64,0.9913804722222223,0.7415702541521766,8.31156880888798,12.39974378222075,1.0663200089675644,23.0,78.91962111735148,591.047808206609,12.39974378222075,,,200,1.9665757217959343,1.9665757217959343,1.9665757217959343,1.9665757217959343,0.0,0.0
17,3400,rayleigh,64,0.9908415833333334,0.6539359627507193,7.485296828467114,11.217004483318357,1.008196726308261,20.0,105.85413162510791,510.65584440968735,11.217004483318357,,,200,1.9102004867672477,1.9102004867672477,1.9102004867672477,1.9102004867672477,0.0,0.0
18,3600,rayleigh,64,0.9903026944444444,2.3689489540584336,7.618770867673633,8.829531449496562,2.721741359992728,15.0,374.7023098677083,879.953345835321,8.829531449496562,,,200,1.95528609083533,1.95528609083533,1.95528609083533,1.95528609083533,0.0,0.0
19,3800,rayleigh,64,0.9897638055555555,2.851105782275236,9.758883628306105,9.535107456148047,3.4178524026117865,21.0,316.65433479470573,1017.749855130629,9.535107456148047,,,200,2.032263265139354,2.032263265139354,2.032263265139354,2.032263265139354,0.0,0.0
20,4000,rayleigh,64,0.9892249166666667,1.7505732713593816,7.7810557276674475,10.101453396180933,2.0366114621469196,18.0,180.91305658032354,563.5944439048099,10.101453396180933,,,200,2.032480674989732,2.032480674989732,2.032480674989732,2.032480674989732,0.0,0.0
21,4200,rayleigh,64,0.9886860277777778,2.0326568657249924,8.729224282444978,10.395691932422137,2.4621467728895463,24.0,283.12103767622824,711.1596442836235,10.395691932422137,,,200,2.0488746121506978,2.0488746121506978,2.052940965365914,2.052940965365914,0.00406635321521609,0.00406635321521609
22,4400,rayleigh,64,0.9881471388888889,1.670197903043616,7.864241837544181,10.257221550397865,2.566058300782783,19.0,147.53982609177365,525.4058871555708,10.257221550397865,,,200,2.098914714748159,2.098914714748159,2.0762644806121355,2.0762644806121355,0.022650234136023517,0.022650234136023517
23,4600,rayleigh,64,0.98760825,2.3830827542593953,7.3289834604788595,7.465621279838654,3.4136430838147067,22.0,826.1077923202316,1230.1659188353683,7.465621279838654,,,200,2.1351085996792607,2.1351085996792607,2.1344113764035515,2.1344113764035515,0.0006972232757092023,0.0006972232757092023
24,4800,rayleigh,64,0.9870693611111111,-0.03518056023144077,7.553069541160309,14.07520100126538,0.33765579863416356,23.0,47.26917700518467,442.7705703627086,14.07520100126538,,,200,2.033523048402748,2.033523048402748,2.05954656066316,2.05954656066316,0.026023512260412218,0.026023512260412218
25,5000,rayleigh,64,0.9865304722222222,3.031917027513724,7.678341255231857,7.9090300009629075,3.4286874188402936,17.0,583.5413035977853,1162.0973787234861,7.9090300009629075,,,200,2.132351101441094,2.132351101441094,2.1143121949902453,2.1143121949902453,0.018038906450848824,0.018038906450848824
26,5200,rayleigh,64,0.9859915833333334,2.1889307787910486,9.056161666512143,9.756369088044785,2.4709170313529762,19.0,320.0010734049493,847.3090341587055,9.756369088044785,,,200,2.2191898193490305,2.2191898193490305,2.128027765619581,2.128027765619581,0.09116205372944952,0.09116205372944952
27,5400,rayleigh,64,0.9854526944444445,1.8114668753277476,7.681108097119262,9.039528330815198,2.0895960148843726,18.0,546.2574115822812,1016.5271439859081,9.039528330815198,,,200,2.1675331286811,2.1675331286811,2.126604367444203,2.126604367444203,0.04092876123689715,0.04092876123689715
28,5600,rayleigh,64,0.9849138055555555,3.1464339908339882,9.183700288666307,8.640563774041853,3.4842068025810637,21.0,628.5509039620943,985.9411478813962,8.640563774041853,,,200,2.2203879145127092,2.2203879145127092,2.1750901686990907,2.1750901686990907,0.04529774581361856,0.04529774581361856
29,5800,rayleigh,64,0.9843749166666667,0.44197264621906135,7.623119811790146,12.641359668758241,0.744099831773469,31.0,44.59082989060475,559.0381175601622,12.641359668758241,,,200,2.2478640465927104,2.2478640465927104,2.1257456743223453,2.1257456743223453,0.12211837227036515,0.12211837227036515
30,6000,rayleigh,64,0.9838360277777778,0.01601440897428131,7.9728703962036285,11.829648167187587,0.9001950802748157,27.0,132.36101987418115,558.4283805400574,11.829648167187587,,,200,2.222818363685861,2.222818363685861,2.084893987854094,2.084893987854094,0.13792437583176698,0.13792437583176698
31,6200,rayleigh,64,0.9832971388888889,2.666016997670293,7.744933767741127,8.045496082127853,2.934783045020495,23.0,664.1084622803901,1228.9253950791767,8.045496082127853,,,200,2.2072715015016473,2.2072715015016473,2.11230976389172,2.11230976389172,0.09496173760992743,0.09496173760992743
32,6400,rayleigh,64,0.98275825,1.8269389082272078,7.502854212722038,9.316476289865637,2.116511639419018,22.0,608.5013630199747,1208.214623521208,9.316476289865637,,,200,2.236522075398007,2.236522075398007,2.112441072501948,2.112441072501948,0.12408100289605883,0.12408100289605883
33,6600,rayleigh,64,0.9822193611111111,2.5531243018767147,8.180537288593055,7.6766514625551325,2.913711954569347,22.0,868.2767207626765,1336.001646276275,7.6766514625551325,,,200,2.2627433872487193,2.2627433872487193,2.1367220083221725,2.1367220083221725,0.12602137892654675,0.12602137892654675
34,6800,rayleigh,64,0.9816804722222222,0.511732700605614,8.043336101407865,12.894775089913022,0.815380128554561,20.0,67.81233055626872,534.5666378941918,12.894775089913022,,,200,2.161274109923897,2.161274109923897,2.0978590118584193,2.0978590118584193,0.06341509806547752,0.06341509806547752
35,7000,rayleigh,64,0.9811415833333333,2.6857835054471666,8.122210738837186,8.721208175740683,2.9577426463653014,19.0,760.8022438967098,1291.1202687379043,8.721208175740683,,,200,2.194302875489208,2.194302875489208,2.122427115701473,2.122427115701473,0.0718757597877353,0.0718757597877353
36,7200,rayleigh,64,0.9806026944444445,-0.1661128166723571,7.740211286252442,13.540916171238907,0.48033709753328563,26.0,84.9334588004722,640.0782962957993,13.540916171238907,,,200,2.165003729917495,2.165003729917495,2.07681350408569,2.07681350408569,0.0881902258318048,0.0881902258318048
37,7400,rayleigh,64,0.9800638055555555,1.204419132564981,7.487269479312389,9.49688325117402,1.9920672747256607,17.0,135.12982286153644,362.2643728117687,9.49688325117402,,,200,2.214197257338365,2.214197257338365,2.0745230654543376,2.0745230654543376,0.1396741918840272,0.1396741918840272
38,7600,rayleigh,64,0.9795249166666666,0.6828580026348952,8.01065573912354,11.675621740274975,0.973462522988464,15.0,114.09824020195097,621.3578111627301,11.675621740274975,,,200,2.1267833154881517,2.1267833154881517,2.0455477880210253,2.0455477880210253,0.08123552746712637,0.08123552746712637
39,7800,rayleigh,64,0.9789860277777778,2.2444070322320626,7.544768698584317,8.142959409816825,3.0778114166454285,19.0,524.0141580684874,1019.7373204253132,8.142959409816825,,,200,2.1097812661898336,2.1097812661898336,2.072016086190882,2.072016086190882,0.03776517999895157,0.03776517999895157
40,8000,rayleigh,64,0.9784471388888889,1.8574699229564038,8.650809929201367,10.58295924194994,2.1371112689135834,27.0,196.29316827710016,897.1993144114908,10.58295924194994,,,200,2.114806256528167,2.114806256528167,2.0736434657589493,2.0736434657589493,0.04116279076921758,0.04116279076921758
41,8200,rayleigh,64,0.97790825,-0.14662407230704946,7.267318952059376,12.434485517242603,0.38717239976200674,18.0,48.677492443420206,466.58857683743315,12.434485517242603,,,200,2.01105753787179,2.01105753787179,2.0325100251248776,2.0325100251248776,0.021452487253087682,0.021452487253087682
42,8400,rayleigh,64,0.9773693611111112,3.325673637464451,9.403315149909197,8.910528328193982,3.6104417817990733,22.0,366.73655083745683,953.4818159299341,8.910528328193982,,,200,2.063276711922605,2.063276711922605,2.070079828855216,2.070079828855216,0.00680311693261082,0.00680311693261082
