episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,318.4073078413586,1.592036539206793,7.450081025960445,4.888181057859364,2.827285306161103,22.0,588.0247103037696,1120.4863952981402,4.888181057859364,,,56.545706123222054,3.2529673301497324,0.26814033852831926,200,121.50045955773744,146.62045738364824,83.15649019153841,66.35831249776562,0,934.7883246003626,557.0940405104757,579.7216350832887,430.4982072911554,2.827285306161103,2.827285306161103,2.827285306161103,2.827285306161103,0.0,0.0
2,400,rayleigh,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,413.4686042644614,2.067343021322307,8.422097441830015,6.334502625410502,2.537791278815036,16.0,121.30181487215582,756.5418767760721,6.334502625410502,,,50.755825576300715,3.3799883803549036,0.23851179434510414,200,188.23125723986578,134.45879220658554,118.20023445500118,98.43094898769077,0,490.40782486416003,534.1078612091327,101.50200802893563,365.8865431860486,2.6825382924880694,2.6825382924880694,2.6825382924880694,2.6825382924880694,0.0,0.0
3,600,rayleigh,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1304.9226967937948,6.524613483968974,9.591798516463017,2.591587307937093,7.015375722512606,15.0,411.5816566007185,1049.6025943363543,2.591587307937093,,,140.3075144502521,4.312909435481751,0.3713575243158266,200,220.05681322739522,233.20159960235318,175.90444395190656,176.5614524472226,0,56.72090350866614,333.43965720387274,398.83764021590144,192.30010229671177,4.126817435829582,4.126817435829582,4.126817435829582,4.126817435829582,0.0,0.0
4,800,rayleigh,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,-26.482720768532104,-0.13241360384266052,7.916069841132603,6.769901842633418,1.6455248015913326,15.0,111.04551216740467,397.43046265131784,6.769901842633418,,,32.91049603182665,6.766606340633307,0.4719544684886932,200,371.51992994036493,258.85802229760134,357.26609000574695,256.3602573442811,0,849.8649439719503,528.4946700220432,98.36178692794681,1032.2869943009011,3.5064942772700194,3.5064942772700194,3.5064942772700194,3.5064942772700194,0.0,0.0
5,1000,rayleigh,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,540.0924734973861,2.7004623674869306,8.927044251299648,5.162869917643467,3.867923200640506,17.0,287.4026236647911,625.655013543348,5.162869917643467,,,77.35846401281013,6.491699792203711,0.47286259427666666,200,367.2642110422178,316.41284701119275,282.6991770954866,204.80167855227285,0,382.2135432938613,553.281431828132,303.382325016062,685.6114571388046,3.578780061944117,3.578780061944117,3.578780061944117,3.578780061944117,0.0,0.0
6,1200,rayleigh,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,414.334921584376,2.0716746079218797,8.397611346471333,5.390239293744833,3.1540078248167105,21.0,230.97002042790595,772.6354066363879,5.390239293744833,,,63.08015649633421,6.8350719991919995,0.42888533338904383,200,379.6078539694627,322.11006467175145,376.27365336924646,270.4529900055272,0,413.4742705779656,442.28130860443054,242.5188941718413,649.0674619948891,3.507984689089549,3.507984689089549,3.507984689089549,3.507984689089549,0.0,0.0
7,1400,rayleigh,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,725.6888272850254,3.6284441364251268,8.911777954208807,3.968422350283432,4.95464057855339,16.0,842.9227684726332,1237.3221469924006,3.968422350283432,,,99.0928115710678,6.273738011223447,0.4356707052141428,200,340.9862660947829,296.49674618529133,235.8140366538945,182.27160006330413,0,182.92931082042284,452.68737192109035,849.919842640831,817.1142766440195,3.714649816155812,3.714649816155812,3.714649816155812,3.714649816155812,0.0,0.0
8,1600,rayleigh,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,535.9912088467086,2.679956044233543,8.644546880501268,5.264168470046354,3.4730083730003596,19.0,132.85889801132691,840.1134791020849,5.264168470046354,,,69.46016746000718,6.778804527360924,0.4594246470183134,200,373.9202278402096,373.8771778885184,369.01156483580695,371.7605833418151,0,521.0453473596062,482.99580764185583,117.18248462310176,253.59415379211896,3.6844446357613805,3.6844446357613805,3.6844446357613805,3.6844446357613805,0.0,0.0
9,1800,rayleigh,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,835.6118799481874,4.1780593997409365,8.902844488557733,4.008201821056272,4.953452467092705,18.0,223.6435625192261,825.4128539366336,4.008201821056272,,,99.06904934185411,6.709704365860613,0.46165958695113657,200,367.26196096271553,373.0727047996234,359.3499438932696,369.87705959624395,0,451.98906058267534,420.1945483770025,243.26807520810502,75.63976228296413,3.8254455059093053,3.8254455059093053,3.8254455059093053,3.8254455059093053,0.0,0.0
10,2000,rayleigh,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,652.742726889428,3.2637136344471402,9.172364668887901,4.2092350428969745,4.9954957201288455,15.0,124.20664867269262,527.1449668712964,4.2092350428969745,,,99.9099144025769,6.7086305679505305,0.47152513146400454,200,372.81183275268086,265.7619135031453,367.0442557974977,261.7081313079994,0,173.73642323020366,268.6497093632793,104.30926814533696,333.49652871013615,3.942450527331259,3.942450527331259,3.942450527331259,3.942450527331259,0.0,0.0
11,2200,rayleigh,0.239005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,452.75074388041935,2.263753719402097,7.87407438942412,4.2392528318115446,3.7013739841861657,17.0,520.3170458848037,1050.505246067707,4.2392528318115446,,,74.02747968372331,6.629822479124308,0.449172575250268,200,266.7015845940183,362.76215696019165,177.1403781474687,358.3458958086963,0,711.2865140999036,526.1973255285361,539.8849714836768,433.8454364766512,3.920534477954432,3.920534477954432,3.920534477954432,3.920534477954432,0.0,0.0
12,2400,rayleigh,0.238005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,687.9594267594118,3.439797133797059,7.758192669865724,3.035625810666358,4.730597704467807,14.0,751.09098983243,1249.6742234267026,3.035625810666358,,,94.61195408935615,6.73176850444368,0.45701638907194136,200,379.94540016328455,321.24724759485207,378.5551005720794,302.37242691227294,0,540.9862399370976,127.55326764473311,750.1768987661919,568.5658878983825,3.9880397468305464,3.9880397468305464,3.9880397468305464,3.9880397468305464,0.0,0.0
13,2600,rayleigh,0.237005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,-115.63486004105395,-0.5781743002052697,7.933359329129142,8.550561238981725,0.6921222227105562,20.0,23.426152846129884,587.8764583496261,8.550561238981725,,,13.842444454211126,6.361974499650317,0.46098596669733527,200,279.5264742304605,379.4575334758456,56.33179316246881,377.70477767372375,0,570.3789374434773,450.48865569771556,30.326215826759736,464.603669229812,3.7345076295905475,3.7345076295905475,3.7345076295905475,3.7345076295905475,0.0,0.0
14,2800,rayleigh,0.236005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,309.3572285803784,1.5467861429018919,8.265804221556536,4.507367618674692,3.82364769362766,24.0,95.99385194816024,570.6161995056914,4.507367618674692,,,76.47295387255322,6.853819940717078,0.44876551382243635,200,330.28273851514075,264.37398093824686,306.59359202134664,261.6071917349594,0,476.1144096464114,577.7637841496752,98.71166703215184,477.1783346430311,3.74087477702177,3.74087477702177,3.74087477702177,3.74087477702177,0.0,0.0
15,3000,rayleigh,0.235005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,773.0428761547907,3.8652143807739536,7.71031212515899,2.074813276684452,5.66393760423043,17.0,525.212147790694,1196.4448285427582,2.074813276684452,,,113.27875208460861,6.761023921750178,0.44484428375959395,200,325.6670530732731,225.76148977684625,304.5592651105707,210.92584829396148,0,873.657527830608,520.372722326009,536.6202053591611,595.8206089621631,3.869078965502347,3.869078965502347,3.869078965502347,3.869078965502347,0.0,0.0
16,3200,rayleigh,0.234005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,954.0143598041947,4.770071799020974,8.13801324980844,2.343542763327396,5.797497094023577,21.0,489.68991847440026,1033.9733156022523,2.343542763327396,,,115.94994188047154,6.541649903273428,0.46983790434896944,200,353.79665237422023,368.71812134108376,348.2872168053351,362.6880825380738,0,592.6409151002786,561.3736464759718,485.2610852374135,463.11915033222346,3.9896050985349243,3.9896050985349243,3.9896050985349243,3.9896050985349243,0.0,0.0
17,3400,rayleigh,0.233005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,489.5768555388742,2.4478842776943712,7.396973931419219,3.589725638101139,3.9092404660610347,14.0,607.4185284178857,1120.1881384926357,3.589725638101139,,,78.1848093212207,6.799814595490782,0.46063674926757814,200,296.67785101622985,378.59642236855166,266.79493279712335,372.9513207587989,0,925.561950592014,517.0360918201937,617.2193471221143,570.3227992360241,3.984877767212931,3.984877767212931,3.984877767212931,3.984877767212931,0.0,0.0
18,3600,rayleigh,0.232005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,507.3237787364457,2.5366188936822285,9.27770750514594,5.920326998965468,3.4545913081346478,23.0,213.51529127524748,689.243191357455,5.920326998965468,,,69.09182616269295,6.660975973334197,0.4540158970654011,200,355.0728621648093,370.2639229540781,339.1467096043159,362.8329821298424,0,212.46193582736885,504.245364009501,216.23139697865162,562.7171385905157,3.955417408375249,3.955417408375249,3.955417408375249,3.955417408375249,0.0,0.0
19,3800,rayleigh,0.231005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,-305.1388620954061,-1.5256943104770306,8.003714118082357,11.15734597122491,0.2169120289112248,12.0,11.806820042509443,484.12719112635386,11.15734597122491,,,4.338240578224496,6.325793507009516,0.4558665534853935,200,242.28422485873492,310.3690195762265,199.15815506196247,290.8681041363577,0,607.5373557159666,561.1326018227272,13.999798459948952,588.9073438300353,3.7586539673508264,3.7586539673508264,3.7586539673508264,3.7586539673508264,0.0,0.0
20,4000,rayleigh,0.23000500000000001,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,454.9135232640439,2.2745676163202195,7.293754720564175,3.9751839984638457,3.457916356718203,20.0,640.8710915879734,1005.4727019806368,3.9751839984638457,,,69.15832713436406,6.877079329492098,0.46438623949885366,200,364.7459309836356,379.2181443263388,295.64990929445116,376.23575851687406,0,953.4732599362087,462.00571353482826,653.7541989200055,389.5222634810779,3.743617086819195,3.743617086819195,3.743617086819195,3.743617086819195,0.0,0.0
21,4200,rayleigh,0.22900500000000001,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,840.9646832588733,4.204823416294366,7.8646296953253225,2.922779063089126,5.00427687031826,20.0,672.6421079300491,1155.9909649151678,2.922779063089126,,,100.0855374063652,6.902213068757789,0.46309405207633975,200,379.00821545404546,379.484498976031,373.63873635339996,376.03451726099695,0,673.7946953192577,368.2096413900992,675.5577709469436,300.94966218472376,3.8524666650270527,3.8524666650270527,3.8036485050810556,3.8036485050810556,0.04881815994599714,0.04881815994599714
22,4400,rayleigh,0.228005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,434.6224208275458,2.173112104137729,8.414289761137331,5.320941194516108,3.1985874106277694,19.0,149.70375537600827,548.0031262672227,5.320941194516108,,,63.97174821255538,6.76342179278912,0.4773248966783285,200,332.65613935921266,373.48935270588794,322.78797469505895,368.71506195384234,0,556.6513649843633,708.8723439378913,142.35291916386288,250.76268903504777,3.8855064716176897,3.8855064716176897,3.7761457280604516,3.7761457280604516,0.10936074355723813,0.10936074355723813
23,4600,rayleigh,0.227005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,304.5591208150426,1.522795604075213,7.974277663082209,5.3215607241855185,2.7967682797655145,20.0,29.560515354543323,512.9673746714851,5.3215607241855185,,,55.9353655953103,6.50055332675284,0.44952877424657345,200,347.68633868430487,354.20807091554025,313.94892681066113,293.4069034967926,0,639.850949606807,584.4083819430324,24.83809885190873,156.1561292561236,3.6745760994803347,3.6745760994803347,3.733564099873715,3.733564099873715,0.05898800039338026,0.05898800039338026
24,4800,rayleigh,0.226005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,543.4138725778297,2.7170693628891485,8.45179709184782,4.2992904779285155,4.192046466264674,20.0,629.754074525313,1080.789295164822,4.2992904779285155,,,83.84092932529349,6.5837377665145205,0.4466336166858673,200,358.1179887361625,285.17100589797593,344.982435213539,263.37653696411024,0,660.7316442706874,438.4740215373536,622.9042776115452,683.81916179243,3.8019021827140023,3.8019021827140023,3.752667531806672,3.752667531806672,0.04923465090733048,0.04923465090733048
25,5000,rayleigh,0.225005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,144.9469298079055,0.7247346490395274,7.934524611296078,5.578697851201726,2.526557953546435,24.0,205.91058799855702,610.3348076618825,5.578697851201726,,,50.5311590709287,6.524245986323908,0.4444106615334749,200,340.71545756198805,251.56425347045365,331.167825957676,233.55817371150303,0,492.4388855022036,425.6322068842541,204.4207443223324,683.2770944258565,3.7348339203592977,3.7348339203592977,3.703623148676262,3.703623148676262,0.031210771683035876,0.031210771683035876
26,5200,rayleigh,0.224005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,-62.36157746394796,-0.3118078873197398,7.91946217350221,6.559617995106931,1.86203390402981,12.0,132.9591697061094,559.8956400047168,6.559617995106931,,,37.240678080596204,6.56736244779998,0.4595430000126362,200,311.8770179824919,286.271059860269,288.6238926800464,269.9976039037322,0,632.2094456554127,538.4516354175416,113.848094049874,746.4783297688359,3.6702352243199536,3.6702352243199536,3.632792793112937,3.632792793112937,0.037442431207016735,0.037442431207016735
27,5400,rayleigh,0.223005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1269.8902389569992,6.349451194784995,9.114388436076695,1.9747945608258075,7.139593875250892,17.0,573.6384085942526,1167.747209875251,1.9747945608258075,,,142.79187750501785,6.700403989570945,0.462537669762969,200,371.0201204855721,368.2042683178398,368.3548275480777,355.04002029298636,0,204.6890332677364,309.4008344357562,588.3855898244615,370.54282943075077,3.7794828891548287,3.7794828891548287,3.7626743146736024,3.7626743146736024,0.0168085744812263,0.0168085744812263
28,5600,rayleigh,0.222005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,291.73297484245336,1.4586648742122668,8.475462102022123,5.402901923640604,3.1703921702590265,22.0,209.53990257755396,543.4385355814098,5.402901923640604,,,63.40784340518053,6.858500088921915,0.46744669921696186,200,295.5937363333013,376.004480719117,287.80324900937086,373.7628025023047,0,451.8540710733924,582.0954976399455,211.12450843476344,630.418178999064,3.764352079017762,3.764352079017762,3.74152138094451,3.74152138094451,0.022830698073251998,0.022830698073251998
29,5800,rayleigh,0.221005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,742.6228079659193,3.7131140398295965,8.258961823383038,2.969498126790582,5.310098276051353,18.0,501.7261125971704,907.3855466921599,2.969498126790582,,,106.20196552102709,6.246680271125391,0.4655311208218336,200,318.7870992447033,269.56434531259004,292.38494266832225,253.96963760847584,0,698.7799859801997,161.93250296443244,499.7969158628308,774.0645696126915,3.7821843694656936,3.7821843694656936,3.79561023939647,3.79561023939647,0.013425869930776546,0.013425869930776546
