episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,748.1190594943495,3.7405952974717476,7.802189619975167,2.8481420425830586,5.001554778689271,22.0,588.0247103037696,1120.4863952981402,2.8481420425830586,,,100.03109557378542,3.307567352248548,0.26677018190792295,200,113.38075249011465,155.05236964622225,76.90579255507014,78.65132254459488,0,931.6748678428339,556.4464272106089,579.7216350832887,447.56927692371426,5.001554778689271,5.001554778689271,5.001554778689271,5.001554778689271,0.0,0.0
2,400,rician,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,835.708977280834,4.17854488640417,8.795161839368435,4.434830388414302,4.621292417061692,16.0,121.30181487215582,756.5418767760721,4.434830388414302,,,92.42584834123384,3.4152865084250004,0.23965026099700482,200,187.0085459669893,144.3925710311503,117.401276613978,108.22544518614036,0,487.98513765533767,528.7544798330767,101.50200802893563,373.15762425678,4.811423597875482,4.811423597875482,4.811423597875482,4.811423597875482,0.0,0.0
3,600,rician,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1653.7461810087814,8.268730905043906,9.917250632760421,1.163047169226585,8.754203463533841,15.0,411.5816566007185,1049.6025943363543,1.163047169226585,,,175.08406927067682,4.269213465653846,0.3709710757364519,200,214.7501492157372,231.77173253975533,171.58591911967656,173.3858572046212,0,55.31908708259684,333.90353904264595,398.83764021590144,194.13980773557583,6.125683553094935,6.125683553094935,6.125683553094935,6.125683553094935,0.0,0.0
4,800,rician,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,227.2978940113663,1.1364894700568315,8.27096406875968,5.400694091722484,2.9002150511125135,15.0,111.04551216740467,397.43046265131784,5.400694091722484,,,58.004301022250274,6.6915144471183865,0.4718160713464022,200,363.42066647373343,258.9651023787157,325.4652227277193,256.4722232560729,0,836.19362086274,489.7275627720909,98.36178692794681,1032.3920260474,5.31931642759933,5.31931642759933,5.31931642759933,5.31931642759933,0.0,0.0
5,1000,rician,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1188.9077672924684,5.944538836462342,9.5433098420912,2.833363454384889,6.709946387706307,17.0,287.4026236647911,625.655013543348,2.833363454384889,,,134.19892775412615,6.6198537021187205,0.4728625765442848,200,374.8187345619435,357.84080220133035,370.43172551288467,259.85151400387963,0,393.3043302940458,323.27176602359845,303.382325016062,725.9430383912111,5.597442419620725,5.597442419620725,5.597442419620725,5.597442419620725,0.0,0.0
6,1200,rician,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,863.934586981828,4.31967293490914,8.966378526011226,3.5239474736877128,5.442431052323516,21.0,230.97002042790595,772.6354066363879,3.5239474736877128,,,108.84862104647034,6.775518147008984,0.42888532772660254,200,377.3462163416815,341.85735910465246,373.1305179222932,220.13736128203868,0,418.21203016546474,446.91451901211144,242.5188941718413,709.0821029867443,5.571607191737857,5.571607191737857,5.571607191737857,5.571607191737857,0.0,0.0
7,1400,rician,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,994.685254296083,4.973426271480415,9.23022784503682,2.1247466330444507,7.10548121199237,16.0,842.9227684726332,1237.3221469924006,2.1247466330444507,,,142.1096242398474,6.452609784418932,0.435670692846179,200,291.20083883707133,320.7590681105613,269.33514782753844,276.7840733474584,0,367.4324835261722,500.5093596161304,849.919842640831,753.7922404409567,5.790732051774215,5.790732051774215,5.790732051774215,5.790732051774215,0.0,0.0
8,1600,rician,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,943.1284128879889,4.715642064439945,9.083477292686297,3.5709018233886276,5.51257546929767,19.0,132.85889801132691,840.1134791020849,3.5709018233886276,,,110.25150938595341,6.632575744090656,0.45942461863160133,200,368.78926539379376,365.3746675549972,249.57629242485862,284.40327732070904,0,517.6146229808813,447.86207094392086,117.18248462310176,537.7730573683909,5.755962478964648,5.755962478964648,5.755962478964648,5.755962478964648,0.0,0.0
9,1800,rician,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1017.9438708296151,5.089719354148076,8.873276529248253,2.730337239121257,6.142939290126994,18.0,223.6435625192261,825.4128539366336,2.730337239121257,,,122.85878580253988,6.7171447863614375,0.46165957376360894,200,320.4590841261766,375.87608925992413,285.54729736717206,372.93828226465234,0,495.9905097809775,503.5780432386236,243.26807520810502,524.1376450414659,5.798959902427131,5.798959902427131,5.798959902427131,5.798959902427131,0.0,0.0
10,2000,rician,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,707.0910302684018,3.535455151342009,8.445522309099381,3.1617753530260635,5.283746956073317,15.0,124.20664867269262,527.1449668712964,3.1617753530260635,,,105.67493912146637,6.652257430021673,0.4715251126140356,200,364.42158956046023,263.33356463601905,356.42691096946453,259.0708114310726,0,769.8465984122179,523.0239158192275,104.30926814533696,489.4434719300048,5.747438607791749,5.747438607791749,5.747438607791749,5.747438607791749,0.0,0.0
