episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9984245833333333,0.005,218.9227885270501,1.0946139426352506,7.52580308144237,8.921549531653435,2.1354795353014486,22.0,576.7928662831129,1116.2633538456832,8.921549531653435,,,42.70959070602898,2.5176694549769785,0.25,200,48.04727234674328,49.50429655597881,16.76258645922583,29.50019624247621,842.2664793559958,532.1443303179238,557.0057243279487,361.47407462046783,2.1354795353014486,2.1354795353014486,2.1354795353014486,2.1354795353014486,0.0,0.0
2,400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99684125,0.005,214.6627458195309,1.0733137290976544,8.150521450473807,11.158905916203787,1.5643979731468138,22.0,226.26954027628628,721.94345133874,11.158905916203787,,,31.28795946293628,2.5129575217741587,0.235,200,44.10995723728351,53.07587502416233,5.004658398760307,23.308741949854337,538.7115440176552,460.85520165756117,240.50179188367593,557.8836750146244,1.8499387542241312,1.8499387542241312,1.8499387542241312,1.8499387542241312,0.0,0.0
3,600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9952579166666666,0.005,432.4788033134186,2.162394016567093,8.495628948009122,9.010553422422536,2.768908155119377,13.0,516.5877705832092,876.8555266809503,9.010553422422536,,,55.378163102387546,2.4983517314099872,0.26,200,48.11066669283789,32.962022598497505,25.069237540345927,17.5958827042158,355.8951631773797,484.34413356175327,515.4604851962994,657.0507071001753,2.1562618878558797,2.1562618878558797,2.1562618878558797,2.1562618878558797,0.0,0.0
4,800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9936745833333334,0.005,237.32040391641837,1.1866020195820919,8.708220991898408,10.8019492939698,2.3481254221705625,18.0,139.95775580559425,622.0610643264026,10.8019492939698,,,46.96250844341125,2.526756844671249,0.2425,200,53.799276199568425,41.034761362973256,22.92552907683597,2.0954922401820766,342.38111798415287,400.03368433668305,154.70896509932794,417.1254465594598,2.2042277714345504,2.2042277714345504,2.2042277714345504,2.2042277714345504,0.0,0.0
5,1000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99209125,0.005,251.08856967508362,1.255442848375418,7.7706533262011,9.748306208445065,1.5585381868607433,34.0,392.7997445980807,917.4455023369972,9.748306208445065,,,31.170763737214862,2.5148789540869165,0.26375,200,46.67350234957182,48.85009679840186,21.781092745057602,15.24918056155951,746.7964998447976,437.02544105968053,412.62257424531913,734.3510045222911,2.0750898545197893,2.0750898545197893,2.0750898545197893,2.0750898545197893,0.0,0.0
6,1200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9905079166666667,0.005,-76.38160325683475,-0.38190801628417376,7.696325769282038,12.135015629703163,0.775655021251097,23.0,103.36145448213442,423.1232713592883,12.135015629703163,,,15.51310042502194,2.4972836967278265,0.275,200,40.80688156773517,46.535896611711834,12.487706539350768,19.433641094068882,767.9344081516149,684.5268956025064,105.30335452686805,652.5642104618072,1.8585173823083405,1.8585173823083405,1.8585173823083405,1.8585173823083405,0.0,0.0
7,1400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9889245833333333,0.005,532.6361285628792,2.663180642814396,7.85058644519101,8.180422082859552,2.970207358977876,20.0,690.3081034112354,1074.4609140889581,8.180422082859552,,,59.40414717955753,2.5286100326542935,0.24375,200,56.10425485075275,45.78028841822793,29.60127069340107,5.653019107411704,659.6213993031678,486.5589767893196,708.8388624700699,442.03622319316423,2.017330236118274,2.017330236118274,2.017330236118274,2.017330236118274,0.0,0.0
8,1600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.98734125,0.005,412.2980157808548,2.0614900789042743,8.422344662775535,9.796358771055168,2.373556433682729,15.0,454.0463781093055,929.8778520520164,9.796358771055168,,,47.47112867365458,2.627369156575303,0.245,200,60.1148030355406,78.48594259422615,31.61838505390195,32.540371783361095,463.8148195093786,220.40601985588503,438.9491470445877,927.1365011921386,2.0618585108138308,2.0618585108138308,2.0618585108138308,2.0618585108138308,0.0,0.0
9,1800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9857579166666667,0.005,-18.64998105400961,-0.09324990527004806,8.039771785975537,15.398112747290533,0.18011480048144923,20.0,36.54171013648787,419.13285476255163,15.398112747290533,,,3.6022960096289847,2.5154311085643446,0.25125,200,48.12145826397291,47.36500239353674,12.790321724966605,17.98955237220374,517.7969624362794,363.6972038477502,39.58739975757981,689.5746414795785,1.8527758763324549,1.8527758763324549,1.8527758763324549,1.8527758763324549,0.0,0.0
10,2000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9841745833333333,0.005,223.07707475092514,1.1153853737546258,7.741990296439412,12.086566037269108,1.3924551944044274,23.0,57.39003609206526,480.55037580952694,12.086566037269108,,,27.84910388808855,2.5462790720248027,0.25,200,46.36500784852264,60.806334482910074,5.454081180054591,32.89388522578794,783.3766580074974,361.0558490560899,40.37809414841384,290.670379026671,1.806743808139652,1.806743808139652,1.806743808139652,1.806743808139652,0.0,0.0
