episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9984245833333333,0.005,567.0895018289675,2.8354475091448377,7.91370630236822,7.297619969776009,3.8763131018110344,22.0,576.7928662831129,1116.2633538456832,7.297619969776009,,,77.5262620362207,2.5176694549769785,0.25,200,48.04727234674328,49.50429655597881,16.76258645922583,29.50019624247621,842.2664793559958,532.1443303179238,557.0057243279487,361.47407462046783,3.8763131018110344,3.8763131018110344,3.8763131018110344,3.8763131018110344,0.0,0.0
2,400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.99684125,0.005,536.1811116982767,2.6809055584913835,8.532068785867256,9.533736501998227,3.17198980254054,22.0,226.26954027628628,721.94345133874,9.533736501998227,,,63.439796050810806,2.5129575217741587,0.235,200,44.10995723728351,53.07587502416233,5.004658398760307,23.308741949854337,538.7115440176552,460.85520165756117,240.50179188367593,557.8836750146244,3.5241514521757873,3.5241514521757873,3.5241514521757873,3.5241514521757873,0.0,0.0
3,600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9952579166666666,0.005,724.6489390786164,3.623244695393082,8.99242823581973,7.6211161527421485,4.229758833945363,13.0,516.5877705832092,876.8555266809503,7.6211161527421485,,,84.59517667890726,2.4983517314099872,0.26,200,48.11066669283789,32.962022598497505,25.069237540345927,17.5958827042158,355.8951631773797,484.34413356175327,515.4604851962994,657.0507071001753,3.7593539127656457,3.7593539127656457,3.7593539127656457,3.7593539127656457,0.0,0.0
4,800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9936745833333334,0.005,518.4673256337803,2.5923366281689018,9.123790383219278,9.575833241149642,3.7538600307573713,18.0,139.95775580559425,622.0610643264026,9.575833241149642,,,75.07720061514743,2.526756844671249,0.2425,200,53.799276199568425,41.034761362973256,22.92552907683597,2.0954922401820766,342.38111798415287,400.03368433668305,154.70896509932794,417.1254465594598,3.757980442263577,3.757980442263577,3.757980442263577,3.757980442263577,0.0,0.0
5,1000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.99209125,0.005,603.7722815204546,3.018861407602273,8.131251595085365,7.972022689965075,3.323166000352287,34.0,392.7997445980807,917.4455023369972,7.972022689965075,,,66.46332000704575,2.509769228604392,0.26375,200,45.594329347163566,47.221683534560455,20.368070070286294,9.182226093076453,749.4354224623249,439.6828572859091,412.62257424531913,742.6809278318318,3.671017553881319,3.671017553881319,3.671017553881319,3.671017553881319,0.0,0.0
6,1200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9905079166666667,0.005,148.58968319896104,0.7429484159948052,8.047686202185169,10.691052298182342,1.9005114535300762,23.0,103.36145448213442,423.1232713592883,10.691052298182342,,,38.010229070601525,2.4972836967278265,0.275,200,40.80688156773517,46.535896611711834,12.487706539350768,19.433641094068882,767.9344081516149,684.5268956025064,105.30335452686805,652.5642104618072,3.3759332038227785,3.3759332038227785,3.3759332038227785,3.3759332038227785,0.0,0.0
7,1400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9889245833333333,0.005,825.6218299593764,4.128109149796882,8.284621331189973,6.8329855846895144,4.435135865960358,20.0,690.3081034112354,1074.4609140889581,6.8329855846895144,,,88.70271731920718,2.5286100326542935,0.24375,200,56.10425485075275,45.78028841822793,29.60127069340107,5.653019107411704,659.6213993031678,486.5589767893196,708.8388624700699,442.03622319316423,3.5272478698424328,3.5272478698424328,3.5272478698424328,3.5272478698424328,0.0,0.0
8,1600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.98734125,0.005,688.8743601374595,3.444371800687297,8.842239823730116,8.423431115694992,3.756438155465752,15.0,454.0463781093055,929.8778520520164,8.423431115694992,,,75.12876310931503,2.627369156575303,0.245,200,60.1148030355406,78.48594259422615,31.61838505390195,32.540371783361095,463.8148195093786,220.40601985588503,438.9491470445877,927.1365011921386,3.5558966555453475,3.5558966555453475,3.5558966555453475,3.5558966555453475,0.0,0.0
9,1800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9857579166666667,0.005,32.87487456851249,0.16437437284256246,8.563789455716785,14.475643904888576,0.4372078198788229,20.0,36.54171013648787,419.13285476255163,14.475643904888576,,,8.744156397576457,2.5110489407300265,0.25125,200,46.08321675146147,46.634967334083086,11.219032474154012,18.347148993233088,519.4589017626091,362.61672044891577,39.58739975757981,688.0268246653824,3.2093756738046224,3.2093756738046224,3.2093756738046224,3.2093756738046224,0.0,0.0
10,2000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9841745833333333,0.005,422.0980855470851,2.1104904277354253,8.051888025135304,11.046643490354917,2.3875602483852263,23.0,57.39003609206526,480.55037580952694,11.046643490354917,,,47.751204967704524,2.5462790720248027,0.25,200,46.36500784852264,60.806334482910074,5.454081180054591,32.89388522578794,783.3766580074974,361.0558490560899,40.37809414841384,290.670379026671,3.1271941312626828,3.1271941312626828,3.1271941312626828,3.1271941312626828,0.0,0.0
