episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,1.3578153635851888,7.558358762292381,5.657197249543192,2.3460978826398966,22.0,576.7928662831129,1116.2633538456832,5.657197249543192,,,200,2.3460978826398966,2.3460978826398966,2.3460978826398966,2.3460978826398966,0.0,0.0
2,400,rayleigh,64,3.74297764464816,7.853633124467547,3.584792897057011,4.346104529704505,13.0,461.7250383585908,782.0883345025445,3.584792897057011,,,200,3.3461012061722006,3.3461012061722006,3.3461012061722006,3.3461012061722006,0.0,0.0
3,600,rayleigh,64,1.6987690179752624,8.868908853453469,7.436767682442834,1.9903342350551723,21.0,79.03699915448531,755.6350654562241,7.436767682442834,,,200,2.8941788824665244,2.8941788824665244,2.8941788824665244,2.8941788824665244,0.0,0.0
4,800,rayleigh,64,1.710394622853353,7.697664297694917,6.18914021233424,2.0308365114604214,18.0,242.50118836803256,713.9290410718543,6.18914021233424,,,200,2.6783432897149986,2.6783432897149986,2.6783432897149986,2.6783432897149986,0.0,0.0
5,1000,rayleigh,64,3.3271107155266897,9.179732410087263,5.2791485504121525,4.0173457781840884,16.0,494.8949269393384,875.2481981481127,5.2791485504121525,,,200,2.9461437874088166,2.9461437874088166,2.9461437874088166,2.9461437874088166,0.0,0.0
6,1200,rayleigh,64,1.6762900520757884,8.785217187358988,7.2621322718772365,1.9985175165298454,22.0,200.82029240261483,401.08558862422814,7.2621322718772365,,,200,2.788206075595655,2.788206075595655,2.788206075595655,2.788206075595655,0.0,0.0
7,1400,rayleigh,64,3.318350172710223,8.819902166481443,5.335989165380602,3.628204894495346,30.0,224.05495717902028,820.4847248695263,5.335989165380602,,,200,2.9082059068670394,2.9082059068670394,2.9082059068670394,2.9082059068670394,0.0,0.0
8,1600,rayleigh,64,2.2931358254892293,7.410354384925581,4.556517295626901,3.1410835721361536,18.0,286.53247208982566,737.2206513081971,4.556517295626901,,,200,2.9373156150256783,2.9373156150256783,2.9373156150256783,2.9373156150256783,0.0,0.0
9,1800,rayleigh,64,2.994230691322899,9.364183457746908,6.20099801391554,3.3341804820313374,25.0,316.64874620056855,816.9092656583433,6.20099801391554,,,200,2.98141171135964,2.98141171135964,2.98141171135964,2.98141171135964,0.0,0.0
10,2000,rayleigh,64,2.305190822446141,7.953660909514965,4.967845197514177,3.1346042347799576,18.0,667.4175980696449,1093.2688354429154,4.967845197514177,,,200,2.9967309637016717,2.9967309637016717,2.9967309637016717,2.9967309637016717,0.0,0.0
