episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,3.682769943961936,7.94804080552891,3.4482055143152013,4.531810653687453,22.0,576.7928662831129,1116.2633538456832,3.4482055143152013,,,200,4.531810653687453,4.531810653687453,4.531810653687453,4.531810653687453,0.0,0.0
2,400,rician,64,5.7501484843584,8.337642547122027,2.022162227562535,6.322765807960239,13.0,461.7250383585908,782.0883345025445,2.022162227562535,,,200,5.427288230823846,5.427288230823846,5.427288230823846,5.427288230823846,0.0,0.0
3,600,rician,64,3.028357909950261,9.19767466718427,6.003849309838251,3.3238388976960964,21.0,79.03699915448531,755.6350654562241,6.003849309838251,,,200,4.726138453114596,4.726138453114596,4.726138453114596,4.726138453114596,0.0,0.0
4,800,rician,64,3.5699040589303626,8.064275065255382,4.258276944651316,3.9060602411339933,18.0,242.50118836803256,713.9290410718543,4.258276944651316,,,200,4.521118900119445,4.521118900119445,4.521118900119445,4.521118900119445,0.0,0.0
5,1000,rician,64,5.528097490192168,9.60784642953238,3.459810923109018,6.1572195881372656,16.0,494.8949269393384,875.2481981481127,3.459810923109018,,,200,4.84833903772301,4.84833903772301,4.84833903772301,4.84833903772301,0.0,0.0
6,1200,rician,64,3.7530214454701407,9.293077871597497,5.240991943950227,4.1024979148556575,22.0,200.82029240261483,401.08558862422814,5.240991943950227,,,200,4.724032183911784,4.724032183911784,4.724032183911784,4.724032183911784,0.0,0.0
7,1400,rician,64,5.419697036663789,9.260254924246548,3.5331250880584313,5.734916820463382,30.0,224.05495717902028,820.4847248695263,3.5331250880584313,,,200,4.868444274847726,4.868444274847726,4.868444274847726,4.868444274847726,0.0,0.0
8,1600,rician,64,4.596478281397428,7.875208766807556,2.7463404314155957,5.146859729801051,18.0,286.53247208982566,737.2206513081971,2.7463404314155957,,,200,4.903246206716892,4.903246206716892,4.903246206716892,4.903246206716892,0.0,0.0
9,1800,rician,64,5.664721154407446,10.007464596198954,3.9746322600439554,6.035212005594263,25.0,316.64874620056855,816.9092656583433,3.9746322600439554,,,200,5.029020184369933,5.029020184369933,5.029020184369933,5.029020184369933,0.0,0.0
10,2000,rician,64,4.833533327221506,8.38572385725517,2.714022859766483,5.671700997488693,18.0,667.4175980696449,1093.2688354429154,2.714022859766483,,,200,5.093288265681808,5.093288265681808,5.093288265681808,5.093288265681808,0.0,0.0
11,2200,rician,64,4.761251538461929,7.834305019221149,2.7382802072729358,5.096547524548264,20.0,536.8369996625873,891.1348699180417,2.7382802072729358,,,200,5.093584561942396,5.093584561942396,5.093584561942396,5.093584561942396,0.0,0.0
12,2400,rician,64,3.5450946823159204,8.645053517468838,4.628409249496943,4.093530412484561,21.0,309.2381500272629,772.1091907061955,4.628409249496943,,,200,5.010246716154243,5.010246716154243,5.010246716154243,5.010246716154243,0.0,0.0
13,2600,rician,64,5.4952400302806135,7.862466787788882,2.0176894634454583,5.849256922596668,17.0,870.7773468654569,1180.85368642177,2.0176894634454583,,,200,5.07478596280366,5.07478596280366,5.07478596280366,5.07478596280366,0.0,0.0
14,2800,rician,64,5.890672900462784,8.267994581202027,2.105010643905887,6.211576539203108,20.0,396.99284526955984,925.9788258780436,2.105010643905887,,,200,5.155985289689335,5.155985289689335,5.155985289689335,5.155985289689335,0.0,0.0
15,3000,rician,64,4.5230457513568725,8.150531146942349,3.2793513754184205,4.887341732157077,18.0,220.0727434290935,603.5276822751359,3.2793513754184205,,,200,5.138075719187185,5.138075719187185,5.138075719187185,5.138075719187185,0.0,0.0
16,3200,rician,64,4.0061170965899775,8.6775116578539,4.185430100282738,4.525000821121977,12.0,223.48618200861668,622.2701456058464,4.185430100282738,,,200,5.099758538058109,5.099758538058109,5.099758538058109,5.099758538058109,0.0,0.0
17,3400,rician,64,5.036605844861153,8.197558969565321,1.8388577523215488,6.3719071591418865,21.0,966.8186049471399,1309.2266808423892,1.8388577523215488,,,200,5.174590809886566,5.174590809886566,5.174590809886566,5.174590809886566,0.0,0.0
18,3600,rician,64,5.771259789801487,8.391071397069739,1.424277373297196,6.966794023772542,17.0,573.8027677249461,1111.9499829324627,1.424277373297196,,,200,5.274157655102453,5.274157655102453,5.274157655102453,5.274157655102453,0.0,0.0
19,3800,rician,64,6.437429400602977,9.329455239730734,2.4551652240091038,6.874290015721625,25.0,368.51964287217714,883.1693140177351,2.4551652240091038,,,200,5.35837514776662,5.35837514776662,5.35837514776662,5.35837514776662,0.0,0.0
20,4000,rician,64,4.093621384177017,7.6218221519829035,3.0859900613621774,4.549366727440125,17.0,458.9750977937704,888.7634264569217,3.0859900613621774,,,200,5.317924726750296,5.317924726750296,5.317924726750296,5.317924726750296,0.0,0.0
21,4200,rician,64,6.164153825168605,8.82111223019494,2.2070398833795757,6.614072346815359,19.0,368.6047950195671,1047.4676755757318,2.2070398833795757,,,200,5.422037811406692,5.422037811406692,5.3796460419914895,5.3796460419914895,0.04239176941520206,0.04239176941520206
22,4400,rician,64,4.155193934491151,7.700643353093683,2.5608591082742276,5.145084807106558,17.0,617.6483480134618,960.998791911848,2.5608591082742276,,,200,5.363153761364009,5.363153761364009,5.368984167678538,5.368984167678538,0.005830406314529135,0.005830406314529135
23,4600,rician,64,0.5618546969935229,7.861139718183891,6.431164142509323,1.8025570806472808,22.0,80.30756805504343,379.97791266784606,6.431164142509323,,,200,5.287089670511567,5.287089670511567,5.213922120416309,5.213922120416309,0.073167550095258,0.073167550095258
24,4800,rician,64,4.09339434475996,7.7329939954473765,2.767803966558589,4.9747382825886834,27.0,508.42034455443036,810.2535895018606,2.767803966558589,,,200,5.340523572584301,5.340523572584301,5.203956127173492,5.203956127173492,0.136567445410809,0.136567445410809
25,5000,rician,64,5.547381935235777,9.177942213565148,3.0808946054191435,6.097047608145995,15.0,292.34711675906317,807.6546226466542,3.0808946054191435,,,200,5.337514973584738,5.337514973584738,5.239679786412392,5.239679786412392,0.09783518717234596,0.09783518717234596
26,5200,rician,64,-0.24433338156598403,8.072802224984587,10.723764767112232,0.13456271814871903,12.0,20.59972948723789,376.0440043808487,10.723764767112232,,,200,5.139118213749391,5.139118213749391,5.0433291299407115,5.0433291299407115,0.0957890838086799,0.0957890838086799
27,5400,rician,64,6.394052824409053,9.134729794620451,2.316565430791953,6.818164363828496,20.0,146.09883023479762,749.2360276902386,2.316565430791953,,,200,5.193280590917647,5.193280590917647,5.1090637682328515,5.1090637682328515,0.08421682268479547,0.08421682268479547
28,5600,rician,64,4.409790472736724,8.094693779961773,2.7611488594802975,5.3339882978695075,22.0,516.102228002273,996.4654913921169,2.7611488594802975,,,200,5.202637019321069,5.202637019321069,5.117096787148446,5.117096787148446,0.0855402321726233,0.0855402321726233
29,5800,rician,64,6.736939957043644,8.378307225461986,1.178429230240611,7.222723337498149,16.0,626.2922304808923,1047.538599981129,1.178429230240611,,,200,5.262012585916264,5.262012585916264,5.1897045992294695,5.1897045992294695,0.07230798668679483,0.07230798668679483
