episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,270.4615468269927,1.3523077341349634,7.416375313498979,5.251860704638719,2.5375457316999497,22.0,602.745957739509,1146.6346443226428,5.251860704638719,,,50.75091463399899,2.593933961196411,0.2406345207770937,200,57.407396494368356,64.9679619130117,48.48281325637281,38.34099849908679,888.3918015915337,549.8027626100007,609.0473879608218,375.98764011945974,2.5375457316999497,2.5375457316999497,0.0,,,,,200
2,400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,288.26511468298077,1.4413255734149037,8.981316451683437,7.649589039949499,1.9372536222434502,15.0,94.2034823765711,470.61129952242436,7.649589039949499,,,38.745072444869,2.515609509613701,0.23919170336972456,200,48.25609097077211,50.466912897394884,10.292639149675459,37.427438731277846,210.9877107676886,464.81173269383333,83.70695339345502,616.6717242829264,2.2373996769717,2.2373996769717,0.0,,,,,400
3,600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,445.42370664675474,2.2271185332337735,8.729817704627767,6.37268668908379,2.6745674331999174,23.0,556.4973609553206,964.6791449831851,6.37268668908379,,,53.49134866399835,2.5541970172427155,0.2436737624439411,200,53.60112552579196,62.720309910741015,35.51198237120352,10.083675508556087,178.62708627756012,531.4434133966744,576.3613572959855,669.5704092158577,2.383122262381106,2.383122262381106,0.0,,,,,600
4,800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,198.81628171431439,0.9940814085715719,8.107793216839246,7.6845051973403695,1.2741016207248168,19.0,93.43132001190718,375.1360187768338,7.6845051973403695,,,25.48203241449634,2.5566888365057774,0.23706752372905612,200,49.34792779046553,68.69345675944888,14.464780868795783,52.05718439644657,661.3226642333336,177.12144789865366,110.54073144129548,373.9925256717543,2.1058671019670334,2.1058671019670334,0.0,,,,,800
5,1000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,10.694835697573748,0.053474178487868736,7.439050738272649,8.202404738949385,0.6596701888883245,14.0,181.01724285644144,393.39526518555226,8.202404738949385,,,13.193403777766491,2.5547287181723206,0.2442803951795213,200,57.16962784278278,59.13283776658257,39.889479884012644,39.340070315901755,968.5391454200861,377.412520030704,182.24345856902335,982.9471907513822,1.8166277193512914,1.8166277193512914,0.0,,,,,1000
6,1200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1895998865365982,-5.0,True,velocity,False,True,full,True,729.8475798893814,3.6492378994469075,9.404645151349657,5.619794565654223,3.9386082237108497,23.0,449.776309336521,1022.6370206574201,5.619794565654223,,,78.77216447421699,2.591131695518203,0.2828755202126922,200,56.88329086945466,72.59172881490682,20.718662637828107,24.675564547671573,135.67549224467828,318.1878016538103,465.5290295278656,437.7012627305774,2.170291136744551,2.170291136744551,0.0,5.9230146408081055,-3.8610754013061523,-13.849639892578125,3.3303990364074707,1200
7,1400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17922821640968323,-5.0,True,velocity,False,True,full,True,549.7419439403483,2.7487097197017416,7.288778687064495,4.349037556821299,3.082511382771106,21.0,333.79903758495016,845.4652908403884,4.349037556821299,,,61.65022765542212,2.655669659085277,0.4071764670824632,200,77.99531080343807,75.03918184493682,63.15038522194958,14.707956005724467,1024.1674395771945,487.883875275064,318.14066531113826,636.3734852943533,2.3006083147483447,2.3006083147483447,0.0,5.934567451477051,-6.5510969161987305,-12.318191528320312,2.1666388511657715,1400
8,1600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.16989295184612274,-5.0,True,velocity,False,True,full,True,234.45235468223296,1.1722617734111649,7.683375388809335,6.686988094013393,1.465424541192652,14.0,159.09198566702827,457.8692891059013,6.686988094013393,,,29.308490823853045,2.681023036871755,0.46003921429626643,200,78.11039568889527,83.76595255200498,58.40429505630514,55.812498771261374,750.2193333638244,428.84909555330256,158.25640236610965,850.6408175987667,2.196210343053883,2.196210343053883,0.0,6.231899261474609,-7.888879776000977,-11.484254837036133,1.4797730445861816,1600
9,1800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1610243171453476,-5.0,True,velocity,False,True,full,True,741.4102824053407,3.7070514120267033,8.754839998154454,4.843381673147025,4.001534257477954,18.0,95.80935206025678,635.1624940576644,4.843381673147025,,,80.03068514955908,2.6677513050832813,0.47173961085267363,200,80.45218482572223,73.62137934626097,27.392910027588492,46.13070135147282,355.9970321946021,365.31415562299026,91.38921890851026,345.55874174485325,2.3968018891010017,2.3968018891010017,0.0,7.078643798828125,-11.254050254821777,-11.792065620422363,1.4581143856048584,1800
10,2000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.15250159800052643,-5.0,True,velocity,False,True,full,True,216.27511516417698,1.081375575820885,7.774719211477352,6.678512923869234,1.6145286476253475,25.0,60.31390187411578,702.113781463714,6.678512923869234,,,32.290572952506956,2.6313158801553693,0.4713274927134626,200,54.71046429698244,82.06661542923709,23.431829772177306,71.47704860588856,648.2323045353537,625.2136430742912,80.2131157609447,579.1778681268146,2.3185745649534364,2.3185745649534364,0.0,11.440458297729492,-13.832109451293945,-11.59040641784668,1.1641085147857666,2000
11,2200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.14436466991901398,-5.0,True,velocity,False,True,full,True,898.4032459153071,4.492016229576536,8.343193077995654,3.563817056536689,4.795044909015678,19.0,924.818452731347,1400.1312077530185,3.563817056536689,,,95.90089818031358,2.723316549871894,0.47629804657772185,200,104.698462614791,69.60484157035413,98.48511715212102,48.95062705209074,512.1240562969663,207.7959879661557,944.49164136622,771.2876712271924,2.543708232595458,2.543708232595458,0.0,8.35865306854248,-16.090648651123047,-12.411839485168457,1.4139248132705688,2200
12,2400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.13676056265830994,-5.0,True,velocity,False,True,full,True,908.9614204671312,4.544807102335656,8.348280441710454,3.3708436514440607,4.998813963747873,21.0,366.5840681500047,932.1832722032274,3.3708436514440607,,,99.97627927495748,2.9413162037531073,0.4734269835427403,200,121.27889823703053,115.89341001516276,110.72336702490487,109.91043895148565,493.11854220502914,623.0091622460919,349.73661928109055,155.03342456509873,2.7483003768581593,2.7483003768581593,0.0,14.73796272277832,-19.644771575927734,-12.44780158996582,1.2575219869613647,2400
13,2600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1295357048511505,-5.0,True,velocity,False,True,full,True,659.4653759928223,3.2973268799641113,7.820973940239352,4.238535253255317,3.6797911589779946,15.0,486.92537190288783,817.7347292795831,4.238535253255317,,,73.5958231795599,3.2859681829319554,0.47892409581691026,200,120.48402053889883,189.97000811723993,102.15133476744845,185.5075792240079,698.3940072541112,327.25776357330903,506.1733409440399,730.9470967928706,2.8199535139443004,2.8199535139443004,0.0,11.697163581848145,-22.633298873901367,-12.323079109191895,1.0303139686584473,2600
14,2800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.12275299429893494,-5.0,True,velocity,False,True,full,True,987.4830411705323,4.937415205852662,8.053971606061646,2.799015893464884,5.305145432370073,17.0,436.2056268863161,1054.4090832752079,2.799015893464884,,,106.10290864740145,3.2997562830386067,0.47535568740102463,200,139.87071759872754,180.2381128374459,133.18184876545916,177.38002838108844,534.282695142704,172.05588236005806,438.74813608234996,221.63904285499513,2.997467222403284,2.997467222403284,0.0,37.17833709716797,-27.307811737060547,-12.421704292297363,0.9226828217506409,2800
15,3000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.11638021469116211,-5.0,True,velocity,False,True,full,True,842.6762402267311,4.2133812011336556,9.300149053276236,4.740073651766644,4.607192260272161,23.0,467.31332101185603,948.9751200631889,4.740073651766644,,,92.14384520544323,3.4484495332747787,0.48199878700077536,200,173.66397163102738,169.1312358085462,168.96014622645023,166.00454234374385,113.94703198476502,267.337661918913,447.82656874007824,571.1604897088123,3.1047822249278756,3.1047822249278756,0.0,9.558995246887207,-28.802907943725586,-11.925698280334473,0.5452318787574768,3000
16,3200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1104942113161087,-5.0,True,velocity,False,True,full,True,1175.6106583382689,5.878053291691344,8.846380506968849,2.5487567831002185,6.307186439779635,16.0,573.2753584241567,1087.349920293105,2.5487567831002185,,,126.1437287955927,3.4938273180805095,0.48348538763821125,200,146.2432234528458,202.99654078036735,141.4080991029351,198.12787019957543,189.9102209285554,416.16024613235413,553.4641157772006,313.54101627713203,3.304932488356111,3.304932488356111,0.0,25.88347625732422,-33.350399017333984,-11.10420036315918,0.04151691496372223,3200
17,3400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.10517708957195282,-5.0,True,velocity,False,True,full,True,667.8375735671692,3.339187867835846,8.728687337674085,3.9797927952159857,4.772555827025927,23.0,312.95584694783076,868.3385840179023,3.9797927952159857,,,95.45111654051856,3.838081295981829,0.4806771459244192,200,70.13188607987503,240.75266116533945,68.02159109206154,238.33897493391552,140.14995811274517,581.8235739746146,312.47500573193855,236.68289790416165,3.391263272983747,3.391263272983747,0.0,10.713218688964844,-36.05686950683594,-10.441778182983398,-0.3630445897579193,3400
18,3600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.10024183243513107,-5.0,True,velocity,False,True,full,True,555.2310017843336,2.776155008921668,7.864468952432535,4.334101176239513,3.662841014397424,11.0,519.9005969503877,909.9346842935748,4.334101176239513,,,73.25682028794847,4.937423488016581,0.48532846823334697,200,268.0206550613276,256.752907802014,265.59700838380394,245.73172944892175,697.6967147866335,434.9806866200337,505.82183034065724,1198.071639377043,3.406350925284507,3.406350925284507,0.0,10.862375259399414,-39.130767822265625,-9.694297790527344,-0.7849642634391785,3600
19,3800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.09554227441549301,-5.0,True,velocity,False,True,full,True,239.58061188470958,1.197903059423548,7.383497576830392,5.601804785041091,2.031162996239411,16.0,241.21066230184442,448.29050793512573,5.601804785041091,,,40.62325992478823,4.1059769619267135,0.4837541192024946,200,206.8086035647907,246.41502097021336,203.07120134144358,242.31251530516047,947.3460291383532,648.1785424156376,226.58844959317472,564.0826731390496,3.333972613229502,3.333972613229502,0.0,6.671064376831055,-39.77714920043945,-10.832725524902344,-0.38630419969558716,3800
