episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,721.378383622285,3.606891918111425,7.831813167063094,3.0535694403263585,4.792129915676407,22.0,602.745957739509,1146.6346443226428,3.0535694403263585,,,95.84259831352813,2.593933961196411,0.2406345207770937,200,57.407396494368356,64.9679619130117,48.48281325637281,38.34099849908679,888.3918015915337,549.8027626100007,609.0473879608218,375.98764011945974,4.792129915676407,4.792129915676407,0.0,,,,,200
2,400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,620.9745283184858,3.104872641592429,9.343418788363898,5.870350171030655,3.6008006904209786,15.0,94.2034823765711,470.61129952242436,5.870350171030655,,,72.01601380841957,2.515609509613701,0.23919170336972456,200,48.25609097077211,50.466912897394884,10.292639149675459,37.427438731277846,210.9877107676886,464.81173269383333,83.70695339345502,616.6717242829264,4.196465303048693,4.196465303048693,0.0,,,,,400
3,600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,929.4944135371586,4.6474720676857935,9.18150936840889,4.0978812845524555,5.094920967651934,23.0,556.4973609553206,964.6791449831851,4.0978812845524555,,,101.89841935303866,2.5541970172427155,0.2436737624439411,200,53.60112552579196,62.720309910741015,35.51198237120352,10.083675508556087,178.62708627756012,531.4434133966744,576.3613572959855,669.5704092158577,4.495950524583106,4.495950524583106,0.0,,,,,600
4,800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,518.4275079087245,2.5921375395436224,8.352815201740725,5.6256818993666595,2.8721577516968693,19.0,93.43132001190718,375.1360187768338,5.6256818993666595,,,57.44315503393739,2.5566888365057774,0.23706752372905612,200,49.34792779046553,68.69345675944888,14.464780868795783,52.05718439644657,661.3226642333336,177.12144789865366,110.54073144129548,373.9925256717543,4.090002331361547,4.090002331361547,0.0,,,,,800
5,1000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,229.25919380910523,1.146295969045526,7.7028175716353084,6.2930715373524135,1.7524919794459823,14.0,181.01724285644144,393.39526518555226,6.2930715373524135,,,35.049839588919646,2.5547287181723206,0.2442803951795213,200,57.16962784278278,59.13283776658257,39.889479884012644,39.340070315901755,968.5391454200861,377.412520030704,182.24345856902335,982.9471907513822,3.622500260978434,3.622500260978434,0.0,,,,,1000
6,1200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.189643993973732,-5.0,True,velocity,False,True,full,True,1327.566209479339,6.637831047396695,9.96655494266442,3.0371847566022083,6.929370186062214,23.0,449.776309336521,1022.6370206574201,3.0371847566022083,,,138.5874037212443,2.6033628511520766,0.2846067755756667,200,57.48767245471411,77.07883990908104,36.308752926455135,34.563957932158836,141.06281778483248,303.7474813218069,465.5290295278656,445.93785218982146,4.173645248492398,4.173645248492398,0.0,6.110054016113281,-6.251935958862305,-13.65064811706543,3.2118420600891113,1200
7,1400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.179677352309227,-5.0,True,velocity,False,True,full,True,931.1120516669382,4.655560258334691,7.64150021333774,2.609564308709544,5.033351813902095,21.0,333.79903758495016,845.4652908403884,2.609564308709544,,,100.6670362780419,3.0906742764840494,0.42134290431276894,200,142.64654574203988,135.0625859445336,135.22533352708433,127.97791122065188,1054.129749323134,517.4057444947582,318.14066531113826,723.3859848190561,4.296460472122354,4.296460472122354,0.0,2.97160005569458,-10.46272087097168,-11.099459648132324,1.4669380187988281,1400
8,1600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17076125741004944,-5.0,True,velocity,False,True,full,True,625.4245479390609,3.127122739695304,8.217289894199707,4.704747139877886,3.5307117017102456,14.0,159.09198566702827,457.8692891059013,4.704747139877886,,,70.61423403420491,3.5964180155899648,0.46954313656315205,200,191.88942726190885,180.001629452473,185.14777039837952,167.80205560078517,619.7259370182109,355.0690511756235,158.25640236610965,781.2020773667872,4.200741875820841,4.200741875820841,0.0,5.46572208404541,-13.375112533569336,-10.728022575378418,1.0705269575119019,1600
9,1800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.16203323006629944,-5.0,True,velocity,False,True,full,True,1143.040556283551,5.715202781417755,9.13754776190551,3.1006928168511343,6.03865818580231,18.0,95.80935206025678,635.1624940576644,3.1006928168511343,,,120.77316371604621,2.8948182097687236,0.4765129274874926,200,150.11120528060354,62.98966863660863,140.49573769781352,27.03471528154185,339.5634692983656,376.31767434957356,91.38921890851026,352.97224048497117,4.404954799152115,4.404954799152115,0.0,5.830931186676025,-19.054838180541992,-10.945801734924316,1.015200138092041,1800
10,2000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.15355542302131653,-5.0,True,velocity,False,True,full,True,270.3897951543545,1.3519489757717724,8.206416217308004,5.747446373934489,2.4764730949094114,25.0,60.31390187411578,702.113781463714,5.747446373934489,,,49.52946189818823,2.8542384624786057,0.47870736142620446,200,93.87981029257062,91.0885779834871,66.23505636462086,81.5072516440936,672.192050591643,649.5172847626218,80.2131157609447,588.3325258019916,4.212106628727844,4.212106628727844,0.0,14.215407371520996,-22.916261672973633,-10.881429672241211,0.8083314299583435,2000
11,2200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.14522618055343628,-5.0,True,velocity,False,True,full,True,1320.671419007603,6.603357095038015,8.54278135561314,1.6463160960871333,6.896465259526003,19.0,924.818452731347,1400.1312077530185,1.6463160960871333,,,137.92930519052007,2.676794197118622,0.4821176343411207,200,69.9738830402204,86.63711377525824,57.51841744632953,68.66043648182198,574.8328838869335,255.58575306603134,944.49164136622,696.9972754740659,4.456139231527677,4.456139231527677,0.0,7.607020378112793,-27.411136627197266,-12.007235527038574,1.2240142822265625,2200
12,2400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.13731570541858673,-5.0,True,velocity,False,True,full,True,1375.4381572816105,6.877190786408053,8.850118929666722,1.596860852802509,7.253258076864216,21.0,366.5840681500047,932.1832722032274,1.596860852802509,,,145.06516153728435,2.748683276699964,0.4778335730498657,200,106.68570223901837,69.89700148666013,85.69429627567874,49.70543675799626,400.18510823502294,531.0294984808037,349.73661928109055,238.92281438762757,4.689232468639055,4.689232468639055,0.0,35.07513427734375,-32.38520050048828,-11.933732986450195,1.0113685131072998,2400
13,2600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.12994277477264404,-5.0,True,velocity,False,True,full,True,1117.0752410990244,5.585376205495122,8.138762985997047,2.1862279955569877,5.952534990440057,15.0,486.92537190288783,817.7347292795831,2.1862279955569877,,,119.05069980880113,3.234873202265817,0.48157542537897824,200,177.98403415591164,127.814838169847,153.53054203931512,116.01624893865204,693.1606071840135,272.4393718344017,506.1733409440399,774.6798314187669,4.786409585700671,4.786409585700671,0.0,25.455379486083984,-37.04718017578125,-12.01761245727539,0.8898945450782776,2600
