episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rayleigh,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,357.3509535486754,1.786754767743377,7.53659849671868,5.298236863544833,2.5893751389120956,22.0,588.0247103037696,1120.4863952981402,5.298236863544833,,,51.787502778241915,2.5881836616990923,0.19188374625689616,200,70.50779907125256,68.87371783954488,63.69195104630693,60.02595149907811,823.2689773656618,495.89480802245635,579.7216350832887,320.05818068558835,2.5893751389120956,2.5893751389120956,0.0,,,200
2,400,TD3PG,rayleigh,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,423.60684219007663,2.118034210950383,8.644785931092503,6.658184192915835,2.4043353695211076,16.0,121.30181487215582,756.5418767760721,6.658184192915835,,,48.086707390422156,2.5755087781024666,0.1906532739083819,200,59.1477514184471,74.19911149273481,47.85138776188095,67.00346334481183,341.44950365867334,380.5390107416778,101.50200802893563,448.5081114149201,2.4968552542166016,2.4968552542166016,0.0,,,400
3,600,TD3PG,rayleigh,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,1131.3061410980633,5.656530705490317,9.401311809852409,3.5175954318869738,5.94654423940583,15.0,411.5816566007185,1049.6025943363543,3.5175954318869738,,,118.9308847881166,2.589270995693928,0.19944198895105905,200,74.40965263263791,62.44015162197154,58.96424909380774,52.67988434870567,226.0422753938607,233.83013669524445,398.83764021590144,381.3407880059215,3.646751582613011,3.646751582613011,0.0,,,600
4,800,TD3PG,rayleigh,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,36.2387712718004,0.181193856359002,8.261502712107825,7.6348899060247035,1.3915218737534405,15.0,111.04551216740467,397.43046265131784,7.6348899060247035,,,27.830437475068816,2.638904876165187,0.20959459267511654,200,74.56543482993366,81.91180735970215,67.40212944911504,78.3294433173291,573.7833048626475,149.95794745756376,98.36178692794681,728.0097424049615,3.0829441553981183,3.0829441553981183,0.0,,,800
5,1000,TD3PG,rayleigh,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,507.31118618948676,2.5365559309474337,9.150255715309882,6.64489652273417,2.87490861351967,17.0,287.4026236647911,625.655013543348,6.64489652273417,,,57.498172270393404,2.5907708098574194,0.19077696334951788,200,55.61462854843146,83.81852739795848,46.55430941288457,80.24408815176231,153.83652059895655,407.3459381244427,303.382325016062,527.7860337850217,3.0413370470224286,3.0413370470224286,0.0,,,1000
6,1200,TD3PG,rayleigh,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,267.8648005960228,1.3393240029801141,8.16742449618806,5.653482571599665,2.7388463949187436,21.0,230.97002042790595,772.6354066363879,5.653482571599665,,,54.77692789837487,6.030665370235591,0.3868706613900562,200,269.41030904746094,311.27487345365944,221.40451990783586,220.15354542533888,507.4299804064971,505.6889934076513,242.5188941718413,708.8516048875287,2.990921938338481,2.990921938338481,0.0,5.83651065826416,-2.700971841812134,1200
7,1400,TD3PG,rayleigh,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,709.6919959323927,3.548459979661964,8.948317860814246,3.7932976611072706,5.161581990833532,16.0,842.9227684726332,1237.3221469924006,3.7932976611072706,,,103.23163981667065,6.577143641461667,0.46617647911244575,200,362.5650509177482,299.93376735068,123.88857773962184,253.32047721168888,223.6410028155862,437.3018360084659,849.919842640831,843.9216537382291,3.3010162315520595,3.3010162315520595,0.0,7.866549491882324,-6.174803256988525,1400
8,1600,TD3PG,rayleigh,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,450.806349742562,2.2540317487128103,8.437023669548758,5.504525932425607,3.060645645923193,19.0,132.85889801132691,840.1134791020849,5.504525932425607,,,61.212912918463864,6.786731295563026,0.47238290251577536,200,374.63097187954395,373.6079364561296,353.72049765370815,284.4502475613543,618.4945607966969,544.884479673396,117.18248462310176,389.48611930594245,3.2709699083484516,3.2709699083484516,0.0,7.21917724609375,-6.105280876159668,1600
9,1800,TD3PG,rayleigh,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,837.2460227072698,4.186230113536349,8.89900180614513,3.9744159288010454,4.983011188982834,18.0,223.6435625192261,825.4128539366336,3.9744159288010454,,,99.66022377965669,6.9054642625382,0.46962360635625006,200,379.0812639884195,379.70124244793124,378.54662008013514,379.23518917833906,447.6663715864706,415.2663914609171,243.26807520810502,80.74879649283648,3.4611967173078275,3.4611967173078275,0.0,6.520393371582031,-8.65858268737793,1800
10,2000,TD3PG,rayleigh,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,658.0952716211355,3.290476358105677,9.2180310067251,4.195525141309008,5.053195406948584,15.0,124.20664867269262,527.1449668712964,4.195525141309008,,,101.06390813897168,6.906057671834201,0.47426876593904943,200,379.45468551968054,277.7283574440073,379.06814169737453,272.7249544754089,155.93434959299034,271.025840997045,104.30926814533696,338.1650708943377,3.620396586271903,3.620396586271903,0.0,10.62182903289795,-8.979497909545898,2000
