episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rician,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,810.8643690677117,4.054321845338558,7.893588273193727,3.3125255710697337,4.729526649741827,22.0,588.0247103037696,1120.4863952981402,3.3125255710697337,,,94.59053299483656,2.5839562218955674,0.18245184405295448,200,69.82001355640216,68.99190537743088,59.934852062978074,60.51815382785886,815.2063998360056,480.12037477040064,579.7216350832887,318.4858863827156,4.729526649741827,4.729526649741827,0.0,,,200
2,400,TD3PG,rician,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,827.7776577379763,4.1388882886898815,9.023743502872051,4.735860085329496,4.425246669479058,16.0,121.30181487215582,756.5418767760721,4.735860085329496,,,88.50493338958117,2.5699576409301734,0.1840098386377439,200,53.00216212541613,76.92248701353726,37.48373051135312,71.48417056433193,337.9384655027991,381.99313380305466,101.50200802893563,441.87534290010797,4.577386659610443,4.577386659610443,0.0,,,400
3,600,TD3PG,rician,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,1519.814121783343,7.599070608916715,9.727229749736821,1.8733913600219072,7.89186554377282,15.0,411.5816566007185,1049.6025943363543,1.8733913600219072,,,157.83731087545638,2.6041708061713513,0.20002901614343677,200,75.67078755974948,66.97834423287796,61.99113863146725,57.97996857424788,234.35624280011928,228.99321324910446,398.83764021590144,384.533616663444,5.682212954331235,5.682212954331235,0.0,,,600
4,800,TD3PG,rician,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,211.60086433031714,1.0580043216515858,8.592134420596938,6.410404015769151,2.309940015198691,15.0,111.04551216740467,397.43046265131784,6.410404015769151,,,46.198800303973826,2.573968308395809,0.1910240065132758,200,49.14211839027991,69.72486773409452,34.81180067296892,66.20146801602822,550.9059825345666,161.76581938323574,98.36178692794681,738.6276437632564,4.839144719548099,4.839144719548099,0.0,,,800
5,1000,TD3PG,rician,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,997.331028416247,4.9866551420812355,9.56061527483855,4.370288424251589,5.341048135664823,17.0,287.4026236647911,625.655013543348,4.370288424251589,,,106.82096271329647,2.6020093637195356,0.18408735280946595,200,53.73099724697234,90.2029849971226,41.16745259475082,87.49396461123135,154.91473087273346,423.8505232217106,303.382325016062,514.9115936964408,4.939525402771444,4.939525402771444,0.0,,,1000
6,1200,TD3PG,rician,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,740.8894444623184,3.704447222311592,8.726592509753603,4.0036470096683905,4.958890151598784,21.0,230.97002042790595,772.6354066363879,4.0036470096683905,,,99.17780303197569,5.776974324418336,0.3352276467977369,200,244.01094741359643,295.3862648541432,121.10172386270634,151.5577014537736,501.85781531909174,507.80185504819246,242.5188941718413,614.5841950847298,4.9427528609093345,4.9427528609093345,0.0,4.6986613273620605,-5.384167671203613,1200
7,1400,TD3PG,rician,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,1024.7411537641424,5.123705768820712,9.226278315601624,2.0487363098612885,7.177542005740326,16.0,842.9227684726332,1237.3221469924006,2.0487363098612885,,,143.5508401148065,6.759596012024952,0.4661955957376355,200,278.4337580872974,347.37369171162396,161.602730549998,146.27738792698224,103.98283200510093,614.9312855199753,849.919842640831,852.1491566512243,5.262008453028047,5.262008453028047,0.0,3.6124281883239746,-8.363862037658691,1400
8,1600,TD3PG,rician,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,880.8038224234845,4.404019112117422,9.451352683111258,3.88689539624198,5.56445728686928,19.0,132.85889801132691,840.1134791020849,3.88689539624198,,,111.28914573738561,6.909050977761557,0.47238371380949656,200,379.8419523516193,349.7788017323903,379.47888264347307,330.89065325121277,387.2022916102392,351.2735114450634,117.18248462310176,599.9721143131803,5.299814557258202,5.299814557258202,0.0,3.4562883377075195,-10.110782623291016,1600
9,1800,TD3PG,rician,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,1015.991672104888,5.07995836052444,8.916720713627925,2.787990505335993,6.128730208291938,18.0,223.6435625192261,825.4128539366336,2.787990505335993,,,122.57460416583878,6.857461856731763,0.46962418571339726,200,357.79272123766464,378.5371538767923,231.47669336134925,378.11894857475454,513.673958331346,512.5219289336653,243.26807520810502,620.4484943604729,5.39191629626195,5.39191629626195,0.0,5.5240478515625,-13.077155113220215,1800
10,2000,TD3PG,rician,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,1138.5814970528936,5.692907485264468,8.565809855655905,1.998153668835652,6.567656186820251,15.0,124.20664867269262,527.1449668712964,1.998153668835652,,,131.35312373640502,6.801679210395727,0.474268768397741,200,370.0599734067893,379.43229636015155,265.5886311220862,379.1349519790558,674.7757818501667,453.7923219528586,104.30926814533696,146.3457873251822,5.5094902853177805,5.5094902853177805,0.0,10.06764030456543,-14.876379013061523,2000
