episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,0.9994638055555556,1.0948770293627894,7.481524559571067,8.936644222732543,2.144379320775292,22.0,594.8851580262819,1134.8661681713204,8.936644222732543,,,200,2.144379320775292,2.144379320775292,2.144379320775292,2.144379320775292,0.0,0.0
2,400,rayleigh,64,0.9989249166666667,0.5856366466273782,8.281234849917542,12.90877270604343,0.8680435267684206,12.0,99.30851876646537,385.84851272076537,12.90877270604343,,,200,1.5062114237718562,1.5062114237718562,1.5062114237718562,1.5062114237718562,0.0,0.0
3,600,rayleigh,64,0.9983860277777777,0.5299169920898718,7.2790068409795,10.826511769744103,1.779038767846912,27.0,99.89755489936451,393.6025760485653,10.826511769744103,,,200,1.597153871796875,1.597153871796875,1.597153871796875,1.597153871796875,0.0,0.0
4,800,rayleigh,64,0.9978471388888889,2.792771017013596,8.968480877635251,9.535008014120589,3.067734339205669,19.0,257.22226941858656,826.7611516365827,9.535008014120589,,,200,1.9647989886490733,1.9647989886490733,1.9647989886490733,1.9647989886490733,0.0,0.0
5,1000,rayleigh,64,0.99730825,3.2860029525076233,8.017747615713517,7.42331673822383,3.567680989096411,16.0,553.1584396497387,853.1585906378082,7.42331673822383,,,200,2.285375388738541,2.285375388738541,2.285375388738541,2.285375388738541,0.0,0.0
6,1200,rayleigh,64,0.9967693611111111,1.1450686647042665,7.567022271771894,9.065841750438919,2.1886056666572298,17.0,322.5302747640632,936.5651975319875,9.065841750438919,,,200,2.269247101724989,2.269247101724989,2.269247101724989,2.269247101724989,0.0,0.0
7,1400,rayleigh,64,0.9962304722222223,2.6516145050914393,9.407628663696967,9.985728961645485,2.927241717918187,25.0,276.0547302840344,817.3202458445694,9.985728961645485,,,200,2.3632463326097315,2.3632463326097315,2.3632463326097315,2.3632463326097315,0.0,0.0
8,1600,rayleigh,64,0.9956915833333333,2.469169052112386,8.811457568074031,9.30540572636943,2.7557282405852144,19.0,478.0060138816553,1000.5094003606719,9.30540572636943,,,200,2.412306571106667,2.412306571106667,2.412306571106667,2.412306571106667,0.0,0.0
9,1800,rayleigh,64,0.9951526944444444,2.8486969002953573,8.340979396927557,8.546195803440936,3.125034449116551,20.0,592.3786958347767,1086.9511105235058,8.546195803440936,,,200,2.4914985575522097,2.4914985575522097,2.4914985575522097,2.4914985575522097,0.0,0.0
10,2000,rayleigh,64,0.9946138055555556,0.7088533348496928,8.852354767498385,9.783085668990246,2.27125086874413,26.0,605.9357448191109,1040.6913253951461,9.783085668990246,,,200,2.4694737886714018,2.4694737886714018,2.4694737886714018,2.4694737886714018,0.0,0.0
11,2200,rayleigh,64,0.9940749166666667,3.101767036188424,8.12258775533255,7.587741957520553,3.3797718473963494,18.0,855.3293922309839,1384.4309031708838,7.587741957520553,,,200,2.5522281576463968,2.5522281576463968,2.5522281576463968,2.5522281576463968,0.0,0.0
12,2400,rayleigh,64,0.9935360277777778,2.6097854952708714,7.843548926636994,8.434121767421797,2.949102934555092,23.0,554.3336943093354,969.7279913826477,8.434121767421797,,,200,2.5853010557221214,2.5853010557221214,2.5853010557221214,2.5853010557221214,0.0,0.0
13,2600,rayleigh,64,0.9929971388888889,0.7107823734154062,7.882199270217322,11.31017255767254,1.0589446501090793,28.0,113.04154292648983,655.718243384304,11.31017255767254,,,200,2.467889024521118,2.467889024521118,2.467889024521118,2.467889024521118,0.0,0.0
14,2800,rayleigh,64,0.99245825,2.5364187591440754,8.132343450759295,8.258693251872025,2.8139000227530775,16.0,445.15024199075384,956.0849211441318,8.258693251872025,,,200,2.4926040958234004,2.4926040958234004,2.4926040958234004,2.4926040958234004,0.0,0.0
15,3000,rayleigh,64,0.9919193611111111,2.8392118570213,9.065790900952036,8.938165084160335,3.1520375545525696,15.0,684.5538519472824,1087.4083727075817,8.938165084160335,,,200,2.536566326405345,2.536566326405345,2.536566326405345,2.536566326405345,0.0,0.0
16,3200,rayleigh,64,0.9913804722222223,1.9307340356592968,8.370799719071341,9.903252049189398,2.2514768539496366,31.0,369.20230734025137,799.3931991719851,9.903252049189398,,,200,2.518748234376864,2.518748234376864,2.518748234376864,2.518748234376864,0.0,0.0
17,3400,rayleigh,64,0.9908415833333334,1.9972392270599628,8.078932251904074,8.987904539320196,2.2863691941221425,24.0,394.9717716644287,903.8034638814107,8.987904539320196,,,200,2.505078879067763,2.505078879067763,2.505078879067763,2.505078879067763,0.0,0.0
18,3600,rayleigh,64,0.9903026944444444,1.353743913436301,9.306037548642765,13.152033149861754,1.639817598664797,19.0,46.21512808930724,547.9254499464424,13.152033149861754,,,200,2.457008807934265,2.457008807934265,2.457008807934265,2.457008807934265,0.0,0.0
19,3800,rayleigh,64,0.9897638055555555,1.1816439243593182,8.197619894519885,10.145116395572336,1.711558805344016,19.0,442.6988638255864,838.5580149848352,10.145116395572336,,,200,2.4177745972716203,2.4177745972716203,2.4177745972716203,2.4177745972716203,0.0,0.0
20,4000,rayleigh,64,0.9892249166666667,-0.10773748722679337,8.553715948668815,14.57996861538917,0.34533644416406756,18.0,29.405603389150677,577.1970282358807,14.57996861538917,,,200,2.3141526896162428,2.3141526896162428,2.3141526896162428,2.3141526896162428,0.0,0.0
21,4200,rayleigh,64,0.9886860277777778,2.1718463714445044,9.326541671453795,10.81404432661302,2.4594926819613168,17.0,299.76602039199975,699.9413561474718,10.81404432661302,,,200,2.3299083576755435,2.3299083576755435,2.3210736416326747,2.3210736416326747,0.008834716042868784,0.008834716042868784
22,4400,rayleigh,64,0.9881471388888889,2.696927948180416,7.884262756690076,8.8289206624891,2.9740774147601354,19.0,453.42371321479885,914.0767820561213,8.8289206624891,,,200,2.435210052075129,2.435210052075129,2.3507556313202866,2.3507556313202866,0.08445442075484255,0.08445442075484255
23,4600,rayleigh,64,0.98760825,2.104334072160574,9.115211337806857,10.24221419468881,2.45072381868212,23.0,465.048331939738,903.7923973239687,10.24221419468881,,,200,2.46879430461689,2.46879430461689,2.355102074249062,2.355102074249062,0.11369223036782783,0.11369223036782783
24,4800,rayleigh,64,0.9870693611111111,-0.8694333076536825,8.997458233214132,18.263157050575142,0.12644224280965702,15.0,7.421913098308739,488.185478291904,18.263157050575142,,,200,2.321729699797089,2.321729699797089,2.2622412479390865,2.2622412479390865,0.059488451858002556,0.059488451858002556
25,5000,rayleigh,64,0.9865304722222222,0.9341973924774668,7.656814076390302,11.046982747430851,1.2227281562240788,22.0,263.7821035212894,745.8680376464304,11.046982747430851,,,200,2.2044820581534728,2.2044820581534728,2.2206607242704863,2.2206607242704863,0.016178666117013574,0.016178666117013574
26,5200,rayleigh,64,0.9859915833333334,2.381053592145509,8.319288747352129,9.136324434590884,2.6925762343399007,17.0,307.3951066445652,713.0131215730585,9.136324434590884,,,200,2.229680586537606,2.229680586537606,2.238811320811618,2.238811320811618,0.009130734274011676,0.009130734274011676
27,5400,rayleigh,64,0.9854526944444445,1.900669384385935,8.14337679878407,9.527328174306964,2.1951303704697107,24.0,425.12607269644354,833.1452261760414,9.527328174306964,,,200,2.1930750191651827,2.1930750191651827,2.2371935078359915,2.2371935078359915,0.04411848867080881,0.04411848867080881
28,5600,rayleigh,64,0.9849138055555555,0.9604302587417719,7.797086839151006,10.09650844778584,1.8244715778903695,20.0,333.91511686106685,838.331473087132,10.09650844778584,,,200,2.14651218603044,2.14651218603044,2.2224534389093624,2.2224534389093624,0.0759412528789225,0.0759412528789225
29,5800,rayleigh,64,0.9843749166666667,3.227591120246702,8.570962909213375,8.619160683039018,3.506740832470849,26.0,331.4953439533726,912.8255714207186,8.619160683039018,,,200,2.1655975051981544,2.1655975051981544,2.2667392111011377,2.2667392111011377,0.10114170590298333,0.10114170590298333
30,6000,rayleigh,64,0.9838360277777778,1.606981752853651,8.116135722693134,10.53809408350695,1.9299988372964532,24.0,137.94386976132765,697.0008334194837,10.53809408350695,,,200,2.148534903625771,2.148534903625771,2.2555145319743146,2.2555145319743146,0.1069796283485438,0.1069796283485438
31,6200,rayleigh,64,0.9832971388888889,-0.7486279383038298,7.369532801287825,12.303079550237289,0.5200154502028583,15.0,81.92361650828244,408.4460881546062,12.303079550237289,,,200,2.005547083766096,2.005547083766096,2.1995306906268484,2.1995306906268484,0.19398360686075256,0.19398360686075256
32,6400,rayleigh,64,0.98275825,0.8670632759938903,7.252288088593328,9.166349808559879,2.4010686367612197,17.0,420.73490001775144,965.9727998945875,9.166349808559879,,,200,1.9781453688764024,1.9781453688764024,2.2058287514435473,2.2058287514435473,0.22768338256714493,0.22768338256714493
33,6600,rayleigh,64,0.9822193611111111,2.0487166798917733,8.593808549814709,9.374629003444696,2.3677104525758446,17.0,208.55947054535284,696.3440779954049,9.374629003444696,,,200,2.0435836589997405,2.0435836589997405,2.2107342575384656,2.2107342575384656,0.16715059853872516,0.16715059853872516
34,6800,rayleigh,64,0.9816804722222222,1.488215011954167,7.962759406314092,10.20051140162115,1.966900530349454,21.0,315.64885569692035,820.8547762735881,10.20051140162115,,,200,2.0012336843795593,2.0012336843795593,2.203562677327024,2.203562677327024,0.20232899294746476,0.20232899294746476
35,7000,rayleigh,64,0.9811415833333333,1.8066387633304106,8.629971908486711,11.11784184524904,2.087706387670999,26.0,251.77568741587922,656.6707277079252,11.11784184524904,,,200,1.9480171260354813,1.9480171260354813,2.200252497622566,2.200252497622566,0.25223537158708487,0.25223537158708487
