episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,0.9994638055555556,2.759054663759089,7.862016458235159,7.3198818484811135,3.808556955171591,22.0,594.8851580262819,1134.8661681713204,7.3198818484811135,,,200,3.808556955171591,3.808556955171591,3.808556955171591,3.808556955171591,0.0,0.0
2,400,rician,64,0.9989249166666667,1.2512442980718117,8.602670117199398,12.059813472779886,1.5336511782128541,12.0,99.30851876646537,385.84851272076537,12.059813472779886,,,200,2.6711040666922226,2.6711040666922226,2.6711040666922226,2.6711040666922226,0.0,0.0
3,600,rician,64,0.9983860277777777,1.8994393803241492,7.564728507785125,9.500463186605913,3.148561156081189,27.0,99.89755489936451,393.6025760485653,9.500463186605913,,,200,2.830256429821878,2.830256429821878,2.830256429821878,2.830256429821878,0.0,0.0
4,800,rician,64,0.9978471388888889,4.398841344768075,9.431450591233858,8.200799698265289,4.673804666960146,19.0,257.22226941858656,826.7611516365827,8.200799698265289,,,200,3.291143489106445,3.291143489106445,3.291143489106445,3.291143489106445,0.0,0.0
5,1000,rician,64,0.99730825,4.764203814987468,8.365258324027952,6.040541493391912,5.045881851576256,16.0,553.1584396497387,853.1585906378082,6.040541493391912,,,200,3.6420911616004075,3.6420911616004075,3.6420911616004075,3.6420911616004075,0.0,0.0
6,1200,rician,64,0.9967693611111111,2.7728565289812934,7.854636424188864,7.556886475564528,3.8163935309342545,17.0,322.5302747640632,936.5651975319875,7.556886475564528,,,200,3.6711415564893826,3.6711415564893826,3.6711415564893826,3.6711415564893826,0.0,0.0
7,1400,rician,64,0.9962304722222223,4.412643934499092,9.852264772074431,8.361091526525884,4.688271147325839,25.0,276.0547302840344,817.3202458445694,8.361091526525884,,,200,3.816445783751733,3.816445783751733,3.816445783751733,3.816445783751733,0.0,0.0
8,1600,rician,64,0.9956915833333333,4.31140696524179,9.258437552339592,7.626713613196216,4.5979661537146175,19.0,478.0060138816553,1000.5094003606719,7.626713613196216,,,200,3.9141358299970936,3.9141358299970936,3.9141358299970936,3.9141358299970936,0.0,0.0
9,1800,rician,64,0.9951526944444444,4.467429349680932,8.659872347534943,7.038587286120331,4.743766898502122,20.0,592.3786958347767,1086.9511105235058,7.038587286120331,,,200,4.006317059830986,4.006317059830986,4.006317059830986,4.006317059830986,0.0,0.0
10,2000,rician,64,0.9946138055555556,2.623589055793508,9.258020125074072,7.931851574180731,4.185986589687948,26.0,605.9357448191109,1040.6913253951461,7.931851574180731,,,200,4.024284012816682,4.024284012816682,4.024284012816682,4.024284012816682,0.0,0.0
11,2200,rician,64,0.9940749166666667,4.3891251116547565,8.53623826342552,6.3934464081123314,4.667129922862682,18.0,855.3293922309839,1384.4309031708838,6.3934464081123314,,,200,4.082724550093591,4.082724550093591,4.082724550093591,4.082724550093591,0.0,0.0
12,2400,rician,64,0.9935360277777778,3.9984661917554134,8.157305828946475,7.144206696307715,4.335618953038684,23.0,554.3336943093354,969.7279913826477,7.144206696307715,,,200,4.103799083672349,4.103799083672349,4.103799083672349,4.103799083672349,0.0,0.0
13,2600,rician,64,0.9929971388888889,2.2941896625137463,8.369646291298508,9.756518304907285,2.6384501159773115,28.0,113.04154292648983,655.718243384304,9.756518304907285,,,200,3.9910799323111923,3.9910799323111923,3.9910799323111923,3.9910799323111923,0.0,0.0
14,2800,rician,64,0.99245825,4.271660500848784,8.626457930923127,6.818990332333936,4.548743642199961,16.0,445.15024199075384,956.0849211441318,6.818990332333936,,,200,4.0309130544461045,4.0309130544461045,4.0309130544461045,4.0309130544461045,0.0,0.0
15,3000,rician,64,0.9919193611111111,4.353452886581016,9.54164830977389,7.626518566024369,4.666278584112284,15.0,684.5538519472824,1087.4083727075817,7.626518566024369,,,200,4.07327075642385,4.07327075642385,4.07327075642385,4.07327075642385,0.0,0.0
16,3200,rician,64,0.9913804722222223,3.6451928689905833,8.724100865915183,8.208211642979231,3.9659356872809237,31.0,369.20230734025137,799.3931991719851,8.208211642979231,,,200,4.066562314602416,4.066562314602416,4.066562314602416,4.066562314602416,0.0,0.0
17,3400,rician,64,0.9908415833333334,3.8361755575327856,8.542409388339259,7.388162185633946,4.1261959851168575,24.0,394.9717716644287,903.8034638814107,7.388162185633946,,,200,4.070070177573854,4.070070177573854,4.070070177573854,4.070070177573854,0.0,0.0
18,3600,rician,64,0.9903026944444444,2.1370417330951703,9.648069779107018,12.406806926181241,2.422441095834612,19.0,46.21512808930724,547.9254499464424,12.406806926181241,,,200,3.97853522858834,3.97853522858834,3.97853522858834,3.97853522858834,0.0,0.0
19,3800,rician,64,0.9897638055555555,2.4338544765281553,8.421992439523686,8.7811034508289,2.987484337200354,19.0,442.6988638255864,838.5580149848352,8.7811034508289,,,200,3.9263746553573937,3.9263746553573937,3.9263746553573937,3.9263746553573937,0.0,0.0
20,4000,rician,64,0.9892249166666667,-0.21952797127400062,9.041225650838665,14.84169239733531,0.24277749300980558,18.0,29.405603389150677,577.1970282358807,14.84169239733531,,,200,3.742194797240015,3.742194797240015,3.742194797240015,3.742194797240015,0.0,0.0
21,4200,rician,64,0.9886860277777778,3.806563247781129,9.975937313243799,9.412977694559348,4.094028896832571,17.0,299.76602039199975,699.9413561474718,9.412977694559348,,,200,3.756468394323064,3.756468394323064,3.7589488019825175,3.7589488019825175,0.002480407659453565,0.002480407659453565
22,4400,rician,64,0.9881471388888889,3.8856252685729515,8.227630648752164,7.84835458672117,4.162712437491825,19.0,453.42371321479885,914.0767820561213,7.84835458672117,,,200,3.8879214572870127,3.8879214572870127,3.777301694505667,3.777301694505667,0.11061976278134544,0.11061976278134544
23,4600,rician,64,0.98760825,3.7100906749797757,9.503664594590704,8.639334019842861,4.0600740510811315,23.0,465.048331939738,903.7923973239687,8.639334019842861,,,200,3.93349710203701,3.93349710203701,3.789596144791557,3.789596144791557,0.14390095724545304,0.14390095724545304
24,4800,rician,64,0.9870693611111111,-0.8886365999886497,9.309438273201286,18.25039605899285,0.11557026996054828,15.0,7.421913098308739,488.185478291904,18.25039605899285,,,200,3.705585382187029,3.705585382187029,3.636511733340265,3.636511733340265,0.06907364884676381,0.06907364884676381
