episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,354.2077760057573,1.7710388800287864,7.519428838982243,5.015969242695425,2.9315576569815764,22.0,593.2880562986433,1131.378818576223,5.015969242695425,,,58.63115313963152,3.529874043765485,0.2713562144890602,200,120.45799016640106,207.2145111667635,91.4990893810716,178.95187714991954,0,922.9072845216896,556.7104712214899,587.8890012900131,347.6458092495059,2.9315576569815764,2.9315576569815764,2.9315576569815764,2.9315576569815764,0.0,0.0
2,400,rayleigh,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,594.786977608704,2.97393488804352,7.247080335480478,4.1343652556497235,3.3614519065187287,23.0,687.8058552831694,1233.3917642800595,4.1343652556497235,,,67.22903813037458,3.414945070541305,0.29370467863976957,200,130.71860797775346,195.2689024597013,85.3091237037537,171.92157805865224,0,977.4624439289929,467.20647201548474,689.3841730651982,501.0489533391007,3.146504781750153,3.146504781750153,3.146504781750153,3.146504781750153,0.0,0.0
3,600,rayleigh,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,537.1295377582817,2.6856476887914082,7.970535167019359,4.742332489261716,3.392553824625335,23.0,193.66133648767692,797.1619675654499,4.742332489261716,,,67.8510764925067,4.285862901580597,0.3464712989283726,200,216.32492703322973,197.02005842038056,150.70949098932462,118.35695073010596,0,578.4319518519184,577.1709087675142,196.04152384118976,515.330386761796,3.2285211293752134,3.2285211293752134,3.2285211293752134,3.2285211293752134,0.0,0.0
4,800,rayleigh,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,731.3260457385368,3.6566302286926837,8.581836459277433,4.25445772093672,4.437544348674898,17.0,94.17804145759105,649.3514637309424,4.25445772093672,,,88.75088697349797,6.732171742795782,0.45917681999504567,200,366.7087675342167,376.93737791487877,362.2763243736056,364.06126504074086,0,580.3432919632448,448.7909096602867,97.89617334933227,23.60354112226202,3.5307769342001345,3.5307769342001345,3.5307769342001345,3.5307769342001345,0.0,0.0
5,1000,rayleigh,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,318.8444672345309,1.5942223361726544,7.620279359170266,3.968355947649258,3.7660918813976987,22.0,591.3310044686482,1115.1182925086018,3.968355947649258,,,75.32183762795398,6.658046255947073,0.46731811940670015,200,235.69768579037844,303.21929174735556,222.21711593004707,276.65715997818756,0,862.7299574052578,708.8723439378913,597.8589084498807,837.4868453136818,3.5778399236396474,3.5778399236396474,3.5778399236396474,3.5778399236396474,0.0,0.0
6,1200,rayleigh,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,936.3904161614851,4.6819520808074255,8.637461924144208,2.9415110319134192,5.711333494332884,12.0,509.9316766547752,1057.0699905528788,2.9415110319134192,,,114.22666988665767,6.7480430524364445,0.45370941765606404,200,367.0127717787754,359.82145781216957,361.2387203254284,346.04454462173294,0,444.59743655957686,633.3365266726033,511.49776209052817,608.1885553749024,3.9334221854218536,3.9334221854218536,3.9334221854218536,3.9334221854218536,0.0,0.0
7,1400,rayleigh,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,188.10491014615323,0.9405245507307661,7.515041313904738,5.184881655773796,2.587747885041092,25.0,102.2130773363476,384.4815804129875,5.184881655773796,,,51.75495770082185,6.534893812569838,0.4719446713477373,200,267.23226985407297,301.5465131337995,255.26214884990694,286.177692688148,0,929.9988836401361,708.8723439378913,96.83630801728404,281.56673985580477,3.7411829996531734,3.7411829996531734,3.7411829996531734,3.7411829996531734,0.0,0.0
8,1600,rayleigh,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,540.5264990776474,2.702632495388237,7.81219644534828,4.403581946954007,3.4814096208414624,16.0,210.6724633839006,693.4329673725229,4.403581946954007,,,69.62819241682926,6.6332027556569,0.469733718931675,200,363.7050487891539,369.74452568999317,360.2084754522537,362.76672201407683,0,547.0094048118409,187.18287768680594,211.60955094958206,380.05339633061504,3.7087113273017094,3.7087113273017094,3.7087113273017094,3.7087113273017094,0.0,0.0
9,1800,rayleigh,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,819.3531667693045,4.096765833846522,8.392462672014473,2.9009078256932104,5.536240920439406,16.0,786.325976774954,1142.0371138371988,2.9009078256932104,,,110.72481840878814,6.692463375092307,0.4279529386758804,200,313.92239421053023,368.20390775657,283.55237812431375,365.7662731599724,0,327.40678076970795,672.3816676173516,783.407074981924,462.22406462920947,3.9117701709836754,3.9117701709836754,3.9117701709836754,3.9117701709836754,0.0,0.0
10,2000,rayleigh,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,858.0710201624296,4.290355100812148,7.935740999033914,2.8546256992992687,5.149827231576318,17.0,415.59495630000475,957.207933488188,2.8546256992992687,,,102.99654463152635,6.783176961412458,0.4512318556010723,200,374.88368468380565,373.08167280721125,369.49730713867575,341.8978675306637,0,567.5254416321404,302.879939887452,414.01683988790194,343.1579269884596,4.035575877042939,4.035575877042939,4.035575877042939,4.035575877042939,0.0,0.0
