episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,787.5332079376826,3.937666039688413,7.803885387963145,2.9705713995717873,5.14133302543138,22.0,593.2880562986433,1131.378818576223,2.9705713995717873,,,102.8266605086276,3.512157657362173,0.27019547283562134,200,115.25220877510297,200.92510925818738,85.74750327857409,173.57733035218374,0,920.7905700460648,557.3373069712445,587.8890012900131,356.4897263919321,5.14133302543138,5.14133302543138,5.14133302543138,5.14133302543138,0.0,0.0
2,400,rician,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1055.258616601767,5.276293083008835,7.613713583925402,1.9424802970596147,5.671233286865792,23.0,687.8058552831694,1233.3917642800595,1.9424802970596147,,,113.42466573731585,3.479503869067187,0.2925403232034296,200,137.38611581161467,201.341413344264,95.89950755070939,180.26757541975962,0,966.8665171853934,457.6047017664695,689.3841730651982,500.75860731708684,5.406283156148586,5.406283156148586,5.406283156148586,5.406283156148586,0.0,0.0
3,600,rician,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,991.2998680567098,4.956499340283549,8.506252483090364,2.8666676863149254,5.640560389940426,23.0,193.66133648767692,797.1619675654499,2.8666676863149254,,,112.81120779880852,4.287287160880258,0.3446398218953982,200,216.23908988800807,198.56119423543672,152.78154429845384,126.71275079524642,0,577.569839471513,575.7467993633126,196.04152384118976,521.4029347229543,5.484375567412532,5.484375567412532,5.484375567412532,5.484375567412532,0.0,0.0
4,800,rician,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1203.7412885630195,6.018706442815097,9.062210111760322,2.262493642749006,6.799716469011322,17.0,94.17804145759105,649.3514637309424,2.262493642749006,,,135.99432938022647,6.732940312954355,0.4591591854393482,200,366.77936998076046,376.93787246031957,362.35072257319905,364.07447319442923,0,580.4082043460704,448.9054732678053,97.89617334933227,23.62075402443279,5.81321079281223,5.81321079281223,5.81321079281223,5.81321079281223,0.0,0.0
5,1000,rician,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,782.6649472249135,3.9133247361245673,7.953118326705339,1.8679213284926375,6.085196998212704,22.0,591.3310044686482,1115.1182925086018,1.8679213284926375,,,121.70393996425409,6.658049971953684,0.4673181138187647,200,235.69748278013327,303.21976176639106,222.21711593004707,276.65775165269633,0,862.7299574052578,708.8723439378913,597.8589084498807,837.4871707056669,5.867608033892325,5.867608033892325,5.867608033892325,5.867608033892325,0.0,0.0
6,1200,rician,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1355.9520122264487,6.779760061132244,9.20380076917219,1.3946592853420479,7.8091414838301425,12.0,509.9316766547752,1057.0699905528788,1.3946592853420479,,,156.18282967660286,6.748043223786619,0.4537093811482191,200,367.0127900574988,359.8214692818623,361.23875050639197,346.0445530079186,0,444.5975672942294,633.3365516447697,511.49776209052817,608.1885624180861,6.191196942215295,6.191196942215295,6.191196942215295,6.191196942215295,0.0,0.0
7,1400,rician,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,700.1305684778096,3.500652842389048,7.854415800809517,2.721626673699967,5.147877476982475,25.0,102.2130773363476,384.4815804129875,2.721626673699967,,,102.95754953964952,6.534895968370722,0.4719446914643049,200,267.2322146394109,301.54633782554015,255.26214884990694,286.17742158335716,0,929.9988836401361,708.8723439378913,96.83630801728404,281.56650019425064,6.042151304324891,6.042151304324891,6.042151304324891,6.042151304324891,0.0,0.0
8,1600,rician,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,977.5446757922978,4.887723378961489,8.16326712364296,2.496766530600194,5.666500593042762,16.0,210.6724633839006,693.4329673725229,2.496766530600194,,,113.33001186085525,6.633203781668995,0.46973371975123884,200,363.7050629375904,369.74460536095125,360.2084884118074,362.767014779211,0,547.0093891865557,187.1829269794859,211.60955094958206,380.05193652065475,5.995194965414625,5.995194965414625,5.995194965414625,5.995194965414625,0.0,0.0
9,1800,rician,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1276.7794851794074,6.383897425897037,8.926789613899068,1.103416929470689,7.823372684428376,16.0,786.325976774954,1142.0371138371988,1.103416929470689,,,156.46745368856753,6.692463805165976,0.4279529330134392,200,313.9220960995984,368.2039836497976,283.5520946557463,365.76648817030673,0,327.4067757287257,672.3814636589026,783.407074981924,462.2225712887062,6.19832582308282,6.19832582308282,6.19832582308282,6.19832582308282,0.0,0.0
10,2000,rician,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,978.6190151903779,4.89309507595189,8.042275328954023,1.14443176871612,6.897843560237896,17.0,415.59495630000475,957.207933488188,1.14443176871612,,,137.9568712047579,6.623358581995915,0.4512318424880505,200,325.54350168349885,232.96793839370125,292.71166141053794,98.38416585199991,0,893.9740168419722,578.8658986112441,414.01683988790194,437.28834249445583,6.2682775967983275,6.2682775967983275,6.2682775967983275,6.2682775967983275,0.0,0.0
11,2200,rician,0.239005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,793.0767106862841,3.9653835534314203,8.7227988465673,3.0035751949384,5.71922365162889,18.0,303.535124526853,691.3569243342822,3.0035751949384,,,114.38447303257782,6.800175693503942,0.4650797716528177,200,276.4625070258689,375.55475455522526,271.65213225378386,371.6579144884209,0,588.6729562464233,666.5387054009105,308.0923917762257,189.8772306174721,6.218363601782925,6.218363601782925,6.218363601782925,6.218363601782925,0.0,0.0
12,2400,rician,0.238005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1257.358269476166,6.28679134738083,9.547895304198502,2.108669929326757,7.439225374871739,16.0,307.5854081691681,722.2567282884755,2.108669929326757,,,148.7845074974348,6.556039069532427,0.456542390063405,200,364.09980967734805,322.06996264542613,360.0662063198056,305.70395352298647,0,333.25815647532727,461.44215529286635,307.6777585940287,114.17244514713508,6.320102082873659,6.320102082873659,6.320102082873659,6.320102082873659,0.0,0.0
