episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9984245833333333,0.005,221.0921412917022,1.1054607064585111,7.480663220705832,8.934293627116448,2.1463262991247096,22.0,594.8851580262819,1134.8661681713204,8.934293627116448,,,42.926525982494205,2.5176694549769785,0.25,200,48.04727234674328,49.50429655597881,16.76258645922583,29.50019624247621,862.966672621004,532.1443303179238,596.123552624747,361.47407462046783,2.1463262991247096,2.1463262991247096,2.1463262991247096,2.1463262991247096,0.0,0.0
2,400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99684125,0.005,117.25337439893447,0.5862668719946723,8.283556098233257,12.909365618348497,0.868651079378831,12.0,99.30851876646537,385.84851272076537,12.909365618348497,,,17.37302158757662,2.5129575217741587,0.235,200,44.109957237283666,53.07587502416235,5.0046583987601325,23.30874194985429,529.8756292397022,129.46502111232948,94.09506197766535,954.0789223431777,1.5074886892517703,1.5074886892517703,1.5074886892517703,1.5074886892517703,0.0,0.0
3,600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9952579166666666,0.005,110.32677185804897,0.5516338592902449,7.2791540357544,10.513785124041028,1.7883108776125347,27.0,99.89755489936451,393.6025760485653,10.513785124041028,,,35.7662175522507,2.4986023544782054,0.26,200,37.410836340929826,33.06884262009964,14.392456008151196,17.523126706523847,1005.5796887641217,506.22822438240115,93.17468376990341,39.34689578842529,1.601096085372025,1.601096085372025,1.601096085372025,1.601096085372025,0.0,0.0
4,800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9936745833333334,0.005,568.8902574278203,2.8444512871391017,8.964490380221829,9.448398438840933,3.1192164904600577,19.0,257.22226941858656,826.7611516365827,9.448398438840933,,,62.384329809201155,2.526756844671249,0.2425,200,53.79927619956821,48.53941434106476,22.92552907683607,10.664797759611828,262.77508959792755,371.6866378137105,252.55028714055376,282.862672506071,1.9806261866440331,1.9806261866440331,1.9806261866440331,1.9806261866440331,0.0,0.0
5,1000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99209125,0.005,603.977190783064,3.01988595391532,8.007015695105324,7.804253225879412,3.3006909615085442,16.0,553.1584396497387,853.1585906378082,7.804253225879412,,,66.01381923017088,2.509769228604392,0.26375,200,45.594329347163786,47.2216835345603,20.368070070286333,9.182226093076313,635.8422793317197,374.64034486061524,547.9225815683063,451.65021748564544,2.2446391416169353,2.2446391416169353,2.2446391416169353,2.2446391416169353,0.0,0.0
6,1200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9905079166666667,0.005,243.10384270844597,1.21551921354223,7.57044859758128,8.974998687664337,2.2525688975044362,17.0,322.5302747640632,936.5651975319875,8.974998687664337,,,45.051377950088735,2.4972836967278265,0.275,200,39.572953957867256,46.535896611711784,12.314178234336982,19.433641094068882,838.812058724482,670.6290341912296,314.7136475332463,472.89886268256475,2.2459607675981856,2.2459607675981856,2.2459607675981856,2.2459607675981856,0.0,0.0
7,1400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9889245833333333,0.005,492.580180417281,2.462900902086405,9.391610868269511,10.155741982595153,2.7377918740888507,25.0,276.0547302840344,817.3202458445694,10.155741982595153,,,54.755837481777014,2.5286100326542935,0.24375,200,56.10425485075259,45.78028841822786,29.601270693401098,5.653019107411541,208.16595033478535,214.4609815898839,273.5516707979234,489.48565508302266,2.316222354239709,2.316222354239709,2.316222354239709,2.316222354239709,0.0,0.0
8,1600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.98734125,0.005,468.706699178132,2.34353349589066,8.821172772996343,9.495975061456845,2.6304557297709903,19.0,478.0060138816553,1000.5094003606719,9.495975061456845,,,52.60911459541981,2.627369156575303,0.245,200,60.11480303554059,78.4859425942263,31.618385053901964,32.5403717833608,310.1795490927736,230.8845567120878,476.6672445645087,595.4197433164143,2.3555015261811194,2.3555015261811194,2.3555015261811194,2.3555015261811194,0.0,0.0
9,1800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9857579166666667,0.005,564.329379008072,2.82164689504036,8.357996619672651,8.651879071508972,3.0987994203374063,20.0,592.3786958347767,1086.9511105235058,8.651879071508972,,,61.97598840674813,2.5154311085643446,0.25125,200,48.12145826397283,47.3650023935369,12.790321724966647,17.989552372204038,498.69988138696044,206.17151010819242,590.0238906420419,217.1303030930229,2.4380901810873734,2.4380901810873734,2.4380901810873734,2.4380901810873734,0.0,0.0
10,2000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9841745833333333,0.005,166.93062526827012,0.8346531263413506,8.871025218526507,9.730577414011227,2.3382380652280172,26.0,605.9357448191109,1040.6913253951461,9.730577414011227,,,46.76476130456034,2.5462790720248027,0.25,200,46.36500784852264,60.806334482909996,5.454081180054591,32.89388522578783,197.92991835502025,514.7652579031737,606.2405121901505,534.0567106474278,2.428104969501438,2.428104969501438,2.428104969501438,2.428104969501438,0.0,0.0
11,2200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.98259125,0.005,648.6934188409438,3.243467094204719,8.17542436725762,7.227870907500785,3.5167352371361793,18.0,855.3293922309839,1384.4309031708838,7.227870907500785,,,70.33470474272359,2.514466793038281,0.265,200,46.9574603681735,49.539716230648324,18.41957596173147,17.114567943628817,543.4143075251753,256.2583305394125,853.8845076059661,457.553478445201,2.5270713574682326,2.5270713574682326,2.5270713574682326,2.5270713574682326,0.0,0.0
12,2400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9810079166666666,0.005,527.7672640346817,2.6388363201734086,7.8494293109584925,8.360498551976606,2.9762692594123754,23.0,554.3336943093354,969.7279913826477,8.360498551976606,,,59.525385188247505,2.5546982053331986,0.2375,200,62.37455967362978,55.34322720976079,26.74246758384208,27.797460237390364,713.4101320068856,307.0815862829513,553.212245103349,416.334152229267,2.564504515963578,2.564504515963578,2.564504515963578,2.564504515963578,0.0,0.0
