episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9984245833333333,0.005,553.9529072476791,2.769764536238396,7.861049992068222,7.31720374799443,3.8106301289045947,22.0,594.8851580262819,1134.8661681713204,7.31720374799443,,,76.2126025780919,2.5176694549769785,0.25,200,48.04727234674328,49.50429655597881,16.76258645922583,29.50019624247621,862.966672621004,532.1443303179238,596.123552624747,361.47407462046783,3.8106301289045947,3.8106301289045947,3.8106301289045947,3.8106301289045947,0.0,0.0
2,400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.99684125,0.005,250.42198347259637,1.252109917362982,8.605160576740017,12.06045175774147,1.5344941247471404,12.0,99.30851876646537,385.84851272076537,12.06045175774147,,,30.68988249494281,2.5129575217741587,0.235,200,44.109957237283666,53.07587502416235,5.0046583987601325,23.30874194985429,529.8756292397022,129.46502111232948,94.09506197766535,954.0789223431777,2.6725621268258677,2.6725621268258677,2.6725621268258677,2.6725621268258677,0.0,0.0
3,600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9952579166666666,0.005,422.33948202812024,2.1116974101406014,7.56495810071316,9.054101244645462,3.345808719047488,27.0,99.89755489936451,393.6025760485653,9.054101244645462,,,66.91617438094977,2.4983517314099872,0.26,200,37.58648305451354,32.96202259849767,14.6295108486788,17.59588270421568,1005.1620139813509,505.8971170384309,93.17468376990341,41.09175599897886,2.8969776575664077,2.8969776575664077,2.8969776575664077,2.8969776575664077,0.0,0.0
4,800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9936745833333334,0.005,880.300906623471,4.401504533117355,9.427510975332803,8.223976213784194,4.676269736438313,19.0,257.22226941858656,826.7611516365827,8.223976213784194,,,93.52539472876626,2.526756844671249,0.2425,200,53.79927619956821,48.53941434106476,22.92552907683607,10.664797759611828,262.77508959792755,371.6866378137105,252.55028714055376,282.862672506071,3.341800677284384,3.341800677284384,3.341800677284384,3.341800677284384,0.0,0.0
5,1000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.99209125,0.005,929.7988737394124,4.648994368697062,8.355927816500744,6.262101035289082,4.929799376290292,16.0,553.1584396497387,853.1585906378082,6.262101035289082,,,98.59598752580584,2.509769228604392,0.26375,200,45.594329347163786,47.2216835345603,20.368070070286333,9.182226093076313,635.8422793317197,374.64034486061524,547.9225815683063,451.65021748564544,3.6594004170855654,3.6594004170855654,3.6594004170855654,3.6594004170855654,0.0,0.0
6,1200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9905079166666667,0.005,533.5369179733108,2.6676845898665538,7.857925518038287,7.628587686420259,3.704734273828761,17.0,322.5302747640632,936.5651975319875,7.628587686420259,,,74.09468547657522,2.4972836967278265,0.275,200,39.572953957867256,46.535896611711784,12.314178234336982,19.433641094068882,838.812058724482,670.6290341912296,314.7136475332463,472.89886268256475,3.666956059876098,3.666956059876098,3.666956059876098,3.666956059876098,0.0,0.0
7,1400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9889245833333333,0.005,879.2864853389342,4.396432426694671,9.838149220529417,8.418199062713104,4.671323398697119,25.0,276.0547302840344,817.3202458445694,8.418199062713104,,,93.4264679739424,2.5286100326542935,0.24375,200,56.10425485075259,45.78028841822786,29.601270693401098,5.653019107411541,208.16595033478535,214.4609815898839,273.5516707979234,489.48565508302266,3.810437108279101,3.810437108279101,3.810437108279101,3.810437108279101,0.0,0.0
8,1600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.98734125,0.005,839.1849818699341,4.19592490934967,9.268876002640717,7.9446897199164255,4.482847143230002,19.0,478.0060138816553,1000.5094003606719,7.9446897199164255,,,89.65694286460003,2.627369156575303,0.245,200,60.11480303554059,78.4859425942263,31.618385053901964,32.5403717833608,310.1795490927736,230.8845567120878,476.6672445645087,595.4197433164143,3.894488362647964,3.894488362647964,3.894488362647964,3.894488362647964,0.0,0.0
9,1800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9857579166666667,0.005,876.056778859677,4.380283894298385,8.681902602385748,7.219161558511851,4.657436419595432,20.0,592.3786958347767,1086.9511105235058,7.219161558511851,,,93.14872839190865,2.5154311085643446,0.25125,200,48.12145826397283,47.3650023935369,12.790321724966647,17.989552372204038,498.69988138696044,206.17151010819242,590.0238906420419,217.1303030930229,3.979260368975461,3.979260368975461,3.979260368975461,3.979260368975461,0.0,0.0
10,2000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9841745833333333,0.005,534.3071405454306,2.671535702727153,9.272571656741126,7.885895726388973,4.1751206416138205,26.0,605.9357448191109,1040.6913253951461,7.885895726388973,,,83.50241283227642,2.5462790720248027,0.25,200,46.36500784852264,60.806334482909996,5.454081180054591,32.89388522578783,197.92991835502025,514.7652579031737,606.2405121901505,534.0567106474278,3.998846396239297,3.998846396239297,3.998846396239297,3.998846396239297,0.0,0.0
11,2200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.98259125,0.005,921.9250095746168,4.609625047873084,8.583507184838679,5.989353881015019,4.882893190804544,18.0,855.3293922309839,1384.4309031708838,5.989353881015019,,,97.65786381609088,2.514466793038281,0.265,200,46.9574603681735,49.539716230648324,18.41957596173147,17.114567943628817,543.4143075251753,256.2583305394125,853.8845076059661,457.553478445201,4.079214286654319,4.079214286654319,4.079214286654319,4.079214286654319,0.0,0.0
12,2400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9810079166666666,0.005,808.0373774945269,4.040186887472634,8.155229697469007,7.05991434531243,4.367203434144702,23.0,554.3336943093354,969.7279913826477,7.05991434531243,,,87.34406868289406,2.5575981542336055,0.2375,200,65.88716518804851,51.655455254809866,32.50682851968085,21.844824154071564,719.1616340078053,310.4999730927343,553.212245103349,411.46351340595106,4.103213382278518,4.103213382278518,4.103213382278518,4.103213382278518,0.0,0.0
13,2600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9794245833333334,0.005,460.91514318901665,2.304575715945083,8.363039327818418,9.662456209923802,2.6576682615012515,28.0,113.04154292648983,655.718243384304,9.662456209923802,,,53.153365230025024,2.5691630357775335,0.27875,200,45.13217211024615,68.41957214689775,27.02157491602217,16.748262513044835,623.4104688574953,512.5160722457457,116.73794728336921,545.0666279365806,3.99201760375719,3.99201760375719,3.99201760375719,3.99201760375719,0.0,0.0
14,2800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.97784125,0.005,839.6348544269462,4.198174272134731,8.626070277367555,7.013075146695878,4.474578733056284,16.0,445.15024199075384,956.0849211441318,7.013075146695878,,,89.4915746611257,2.5192382917770155,0.265,200,38.72304993866866,57.628537704140456,9.445530094305996,35.88066477342579,518.8238638589058,371.02618746948616,446.4128860305197,470.15617998593183,4.026486255849982,4.026486255849982,4.026486255849982,4.026486255849982,0.0,0.0
15,3000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9762579166666667,0.005,916.1412211987519,4.580706105993759,9.440222541992314,6.696253579601262,4.969761737879844,15.0,684.5538519472824,1087.4083727075817,6.696253579601262,,,99.3952347575969,2.541944413125182,0.26875,200,60.5744887140658,47.27772872409112,20.7000183968303,19.781167904560256,200.47526577500776,447.6799906466854,675.7671544870664,849.6966925894217,4.089371287985307,4.089371287985307,4.089371287985307,4.089371287985307,0.0,0.0
16,3200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9746745833333333,0.005,737.2411443320652,3.6862057216603263,8.725851165806196,8.1424673971082,4.004646498967424,31.0,369.20230734025137,799.3931991719851,8.1424673971082,,,80.09292997934847,2.506135113593626,0.23625,200,46.89868342059326,42.276204310731806,17.923525914566756,13.999049259962263,471.9308672466135,75.44279272534054,369.0368536860573,395.16448622605407,4.084075988671689,4.084075988671689,4.084075988671689,4.084075988671689,0.0,0.0
17,3400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.97309125,0.005,744.9691620883822,3.724845810441911,8.58324126576635,7.842081924891019,4.012305562077914,24.0,394.9717716644287,903.8034638814107,7.842081924891019,,,80.24611124155827,2.547374066261457,0.25,200,58.3109970449822,52.903401970461196,29.991662141844426,31.361254819030155,517.7483611386706,445.5095201862398,392.086931827327,372.791504277014,4.079854198872055,4.079854198872055,4.079854198872055,4.079854198872055,0.0,0.0
18,3600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9715079166666667,0.005,424.8808924871961,2.1244044624359804,9.587374684090074,12.646595172621735,2.4070367091284366,19.0,46.21512808930724,547.9254499464424,12.646595172621735,,,48.14073418256873,2.4981441104962383,0.24625,200,38.8958750506161,47.25745808962165,10.020134421431536,11.008271932304728,272.4698745464653,143.38222498969813,41.717828300035585,348.75098124973704,3.986919893886298,3.986919893886298,3.986919893886298,3.986919893886298,0.0,0.0
19,3800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9699245833333333,0.005,537.6659168654095,2.6883295843270476,8.440676170456488,8.673329027750377,3.140799038096273,19.0,442.6988638255864,838.5580149848352,8.673329027750377,,,62.81598076192547,2.5133693512018294,0.2425,200,42.61178794685245,51.25377114949477,22.034176745541803,24.15494929971079,565.6250465019511,81.29644332993121,440.067949530507,1040.415899612808,3.942387217265771,3.942387217265771,3.942387217265771,3.942387217265771,0.0,0.0
20,4000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.96834125,0.005,-2.5630944886048317,-0.012815472443024159,9.131120991775296,13.800054894902201,0.33628826366249953,18.0,29.405603389150677,577.1970282358807,13.800054894902201,,,6.7257652732499915,2.5462148163251737,0.28125,200,63.69102386148547,43.803415041218365,33.45941907250477,16.842919750769287,389.3459253409646,313.0780667933559,34.175512931008946,920.6469285923388,3.762082269585607,3.762082269585607,3.762082269585607,3.762082269585607,0.0,0.0
21,4200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9667579166666667,0.005,868.9088260277885,4.344544130138942,9.999777137232806,7.927586408015984,4.641590821421728,17.0,299.76602039199975,699.9413561474718,7.927586408015984,,,92.83181642843455,2.523169630010923,0.26625,200,56.10724229390348,45.56543008426187,8.359102707220465,15.750614218774547,155.2501148618971,313.9369469074061,297.58444207633335,632.9138315319198,3.803630304211463,3.803630304211463,3.803963629196851,3.803963629196851,0.0003333249853878506,0.0003333249853878506
22,4400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9651745833333334,0.005,833.8279693303433,4.169139846651716,8.19584483956236,7.115319617712284,4.441723995815811,19.0,453.42371321479885,914.0767820561213,7.115319617712284,,,88.83447991631623,2.508891051684009,0.24625,200,44.60959311616681,45.42857484588129,6.787404451810874,21.68295838541202,711.7840522555106,294.2452295268638,452.05269278894843,34.087551662889304,3.948991797764897,3.948991797764897,3.83295273677044,3.83295273677044,0.11603906099445727,0.11603906099445727
23,4600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.96359125,0.005,769.9822317097721,3.849911158548861,9.498255472553698,8.159799241257662,4.19210236381689,23.0,465.048331939738,903.7923973239687,8.159799241257662,,,83.84204727633781,2.4968755654319903,0.25125,200,41.609624170824226,43.47308746280207,1.1622765598482425,12.262263711799541,283.39897176497453,159.5848053621871,468.61478664597666,795.8951011590192,3.9913064800033666,3.9913064800033666,3.848567937946372,3.848567937946372,0.14273854205699443,0.14273854205699443
