episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,1.144413390573597,7.509019249824319,5.723939467553274,2.1991235143344983,22.0,594.8851580262819,1134.8661681713204,5.723939467553274,,,200,2.1991235143344983,2.1991235143344983,2.1991235143344983,2.1991235143344983,0.0,0.0
2,400,rayleigh,64,2.649390962603787,8.069595426992672,5.4564346867254425,2.9428592014082557,21.0,485.30935144761685,883.7533102222817,5.4564346867254425,,,200,2.5709913578713772,2.5709913578713772,2.5709913578713772,2.5709913578713772,0.0,0.0
3,600,rayleigh,64,2.6980118613651225,7.982179261376397,5.16250099102881,3.101286440245172,17.0,474.8411117158328,828.9258663687746,5.16250099102881,,,200,2.7477563853293088,2.7477563853293088,2.7477563853293088,2.7477563853293088,0.0,0.0
4,800,rayleigh,64,2.9095531174114306,7.717640071129449,4.163691220262249,3.7208288738586526,24.0,427.61838327215554,977.748679767476,4.163691220262249,,,200,2.9910245074616446,2.9910245074616446,2.9910245074616446,2.9910245074616446,0.0,0.0
5,1000,rayleigh,64,3.4213337743027035,8.589451784060826,4.9132620690414015,3.8237298198674514,16.0,340.93203773842606,867.4872075331784,4.9132620690414015,,,200,3.1575655699428062,3.1575655699428062,3.1575655699428062,3.1575655699428062,0.0,0.0
6,1200,rayleigh,64,4.525722124460387,8.678945334298659,3.3162859656068697,5.400853996575007,16.0,463.9822069544548,948.6483639331672,3.3162859656068697,,,200,3.531446974381506,3.531446974381506,3.531446974381506,3.531446974381506,0.0,0.0
7,1400,rayleigh,64,3.2263694408902803,8.926292565106897,5.234585455063443,3.809198305103952,22.0,670.3659249761586,1201.271765689718,5.234585455063443,,,200,3.571125735913284,3.571125735913284,3.571125735913284,3.571125735913284,0.0,0.0
8,1600,rayleigh,64,3.6374151788089066,7.615131078781823,3.6430609269997647,4.053621100810768,16.0,355.16694352093174,840.5069509109509,3.6430609269997647,,,200,3.6314376565254696,3.6314376565254696,3.6314376565254696,3.6314376565254696,0.0,0.0
9,1800,rayleigh,64,1.4741385202713664,8.278340753426903,5.757294176850447,2.7632970610782817,22.0,411.8235062712893,1018.4615046147197,5.757294176850447,,,200,3.534977590364671,3.534977590364671,3.534977590364671,3.534977590364671,0.0,0.0
10,2000,rayleigh,64,3.634722325844089,8.507959805808989,4.579730296223645,3.9977334031402822,20.0,550.9304945792746,1258.0901415570656,4.579730296223645,,,200,3.5812531716422322,3.5812531716422322,3.5812531716422322,3.5812531716422322,0.0,0.0
11,2200,rayleigh,64,4.321490685343655,8.11421124047135,3.5153827721671056,4.652986059772453,14.0,372.5538456935899,811.7243085608369,3.5153827721671056,,,200,3.6786834341995247,3.6786834341995247,3.6786834341995247,3.6786834341995247,0.0,0.0
12,2400,rayleigh,64,5.5774762111980305,8.805854679002827,2.531261121716514,6.286047997000069,13.0,493.7330202528985,835.838766853669,2.531261121716514,,,200,3.8959638144329034,3.8959638144329034,3.8959638144329034,3.8959638144329034,0.0,0.0
13,2600,rayleigh,64,1.318758649167099,8.541554981213444,7.434742220063519,1.6397795372101567,19.0,124.86521617666094,441.6553953865415,7.434742220063519,,,200,3.7224111777234614,3.7224111777234614,3.7224111777234614,3.7224111777234614,0.0,0.0
14,2800,rayleigh,64,2.786558870864318,7.655299034447424,3.745860682617166,4.071851779675874,14.0,661.1834875714918,1310.8738041224744,3.745860682617166,,,200,3.7473712207200625,3.7473712207200625,3.7473712207200625,3.7473712207200625,0.0,0.0
15,3000,rayleigh,64,2.1808598036526914,7.972287887246962,5.287156258896675,2.8658505633899956,17.0,581.6382100314657,976.1882723136848,5.287156258896675,,,200,3.688603176898058,3.688603176898058,3.688603176898058,3.688603176898058,0.0,0.0
16,3200,rayleigh,64,3.401623619398796,8.068944471682448,4.445835591169878,3.7668104934985824,17.0,479.1506721158725,866.8421248575785,4.445835591169878,,,200,3.693491134185591,3.693491134185591,3.693491134185591,3.693491134185591,0.0,0.0
17,3400,rayleigh,64,2.468378277744039,9.215647901383798,6.503532662098174,2.8505225152835427,19.0,169.2636518498527,617.1051321087914,6.503532662098174,,,200,3.643904744838412,3.643904744838412,3.643904744838412,3.643904744838412,0.0,0.0
18,3600,rayleigh,64,2.5534311611830462,8.898989506003412,5.712464302939678,3.3747640911772834,18.0,142.26198701235373,474.8488978355165,5.712464302939678,,,200,3.628952486301682,3.628952486301682,3.628952486301682,3.628952486301682,0.0,0.0
19,3800,rayleigh,64,3.437249098978817,7.609611318159924,3.7941719477933282,3.8632521057707883,19.0,501.186512788913,1148.1026511712325,3.7941719477933282,,,200,3.6412840452211084,3.6412840452211084,3.6412840452211084,3.6412840452211084,0.0,0.0
20,4000,rayleigh,64,3.353950285278088,7.9109144211716895,4.308467950761136,3.7267084191396966,26.0,637.5906432943241,1204.7363444712762,4.308467950761136,,,200,3.645555263917038,3.645555263917038,3.645555263917038,3.645555263917038,0.0,0.0
21,4200,rayleigh,64,4.9154330602903205,8.729886612675141,3.426767170077485,5.330388143169776,18.0,348.07529323374644,766.574437077046,3.426767170077485,,,200,3.802118495358802,3.802118495358802,3.7257854010243108,3.7257854010243108,0.07633309433449131,0.07633309433449131
22,4400,rayleigh,64,4.403111347436219,8.094241272793894,3.3020009611335146,4.821766086494802,11.0,1126.4344332868757,1366.7957734588888,3.3020009611335146,,,200,3.8960638396131295,3.8960638396131295,3.7756027049093333,3.7756027049093333,0.12046113470379627,0.12046113470379627
23,4600,rayleigh,64,3.9937468750587954,7.873364069107393,3.5470903849873014,4.374711525081697,19.0,844.7204298685672,1272.695862551359,3.5470903849873014,,,200,3.959735093854955,3.959735093854955,3.8016509144820447,3.8016509144820447,0.15808417937291042,0.15808417937291042
24,4800,rayleigh,64,2.154353455343632,8.334148356642412,6.020621124903256,2.502753926835886,24.0,164.4609928492289,726.4572053686124,6.020621124903256,,,200,3.8988313465038167,3.8988313465038167,3.7475302066634555,3.7475302066634555,0.1513011398403612,0.1513011398403612
25,5000,rayleigh,64,4.477927789817318,8.789566330648238,3.9304038192044324,4.891433829809276,27.0,400.4356185830531,1064.0805118313394,3.9304038192044324,,,200,3.9522165470009076,3.9522165470009076,3.793286351589288,3.793286351589288,0.15893019541161957,0.15893019541161957
26,5200,rayleigh,64,3.9661314277539605,7.866821044604536,2.228106932812723,5.6499549912256,17.0,753.290923305892,1196.444173208676,2.228106932812723,,,200,3.964671596733438,3.964671596733438,3.8646966838829924,3.8646966838829924,0.09997491285044546,0.09997491285044546
27,5400,rayleigh,64,1.800565082714417,8.14986208732809,6.086176682925891,2.411695982569375,17.0,70.20980494429128,447.3918557267462,6.086176682925891,,,200,3.8947964806067086,3.8947964806067086,3.810881843093599,3.810881843093599,0.08391463751310946,0.08391463751310946
28,5600,rayleigh,64,0.8758734748370804,8.04330593637621,7.4227765289342775,1.2355649316107042,23.0,171.53626173606776,399.91214739710534,7.4227765289342775,,,200,3.753893672146706,3.753893672146706,3.718906239112067,3.718906239112067,0.034987433034638915,0.034987433034638915
29,5800,rayleigh,64,2.483276625549127,8.20182803202068,5.376098297802451,3.0393842782833915,28.0,162.27338090245297,672.2033245641319,5.376098297802451,,,200,3.767698033006962,3.767698033006962,3.6954744473593544,3.6954744473593544,0.07222358564760745,0.07222358564760745
30,6000,rayleigh,64,0.642871132431852,8.527468434659616,7.025522711958718,1.8618439503377997,19.0,110.3887610741696,474.9263983884063,7.025522711958718,,,200,3.660903560366838,3.660903560366838,3.634353430791969,3.634353430791969,0.026550129574868908,0.026550129574868908
31,6200,rayleigh,64,2.5485226181591885,7.279643176884556,3.4541252413065795,3.910204133128555,24.0,607.6623371880428,1104.8967546315062,3.4541252413065795,,,200,3.6237644640346423,3.6237644640346423,3.6432518405447625,3.6432518405447625,0.019487376510120225,0.019487376510120225
32,6400,rayleigh,64,0.8905447320077552,8.562675338199703,6.599147639579943,2.257772940728279,25.0,197.77082304513078,747.7475171379707,6.599147639579943,,,200,3.4223507112210525,3.4223507112210525,3.599955624925497,3.599955624925497,0.17760491370444464,0.17760491370444464
