episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,3.5282326051835167,7.892119720292475,3.5119543947660556,4.417227078811197,22.0,594.8851580262819,1134.8661681713204,3.5119543947660556,,,200,4.417227078811197,4.417227078811197,4.417227078811197,4.417227078811197,0.0,0.0
2,400,rician,64,4.949268471724549,8.474257111749996,3.2530308889518147,5.244263005454336,21.0,485.30935144761685,883.7533102222817,3.2530308889518147,,,200,4.830745042132767,4.830745042132767,4.830745042132767,4.830745042132767,0.0,0.0
3,600,rician,64,4.503264395341333,8.256088706407509,3.2988728392069615,4.9669366774715495,17.0,474.8411117158328,828.9258663687746,3.2988728392069615,,,200,4.876142253912361,4.876142253912361,4.876142253912361,4.876142253912361,0.0,0.0
4,800,rician,64,4.878078643241142,8.069038193049805,2.485312334500009,5.618133152870318,24.0,427.61838327215554,977.748679767476,2.485312334500009,,,200,5.061639978651851,5.061639978651851,5.061639978651851,5.061639978651851,0.0,0.0
5,1000,rician,64,6.080392147451788,9.146500483319132,2.7321306705414248,6.415257400502051,16.0,340.93203773842606,867.4872075331784,2.7321306705414248,,,200,5.33236346302189,5.33236346302189,5.33236346302189,5.33236346302189,0.0,0.0
6,1200,rician,64,6.482556839597091,8.992120311840928,1.5884773326324388,7.406105201859548,16.0,463.9822069544548,948.6483639331672,1.5884773326324388,,,200,5.6779870861615,5.6779870861615,5.6779870861615,5.6779870861615,0.0,0.0
7,1400,rician,64,6.0167565620706105,9.557703600850624,3.1761069399256314,6.391225018713124,22.0,670.3659249761586,1201.271765689718,3.1761069399256314,,,200,5.77987821938316,5.77987821938316,5.77987821938316,5.77987821938316,0.0,0.0
8,1600,rician,64,5.941402855340889,7.981316908475932,1.6344923231610944,6.34682458531484,16.0,355.16694352093174,840.5069509109509,1.6344923231610944,,,200,5.850746515124621,5.850746515124621,5.850746515124621,5.850746515124621,0.0,0.0
9,1800,rician,64,4.503067355605755,8.975606911109368,3.248105394165258,5.727501516944118,22.0,411.8235062712893,1018.4615046147197,3.248105394165258,,,200,5.837052626437899,5.837052626437899,5.837052626437899,5.837052626437899,0.0,0.0
10,2000,rician,64,5.895757250976889,8.78683237189271,2.5371826664827566,6.249649705409955,20.0,550.9304945792746,1258.0901415570656,2.5371826664827566,,,200,5.878312334335105,5.878312334335105,5.878312334335105,5.878312334335105,0.0,0.0
11,2200,rician,64,6.234075139779509,8.591822237710472,2.042868063261966,6.548954174448511,14.0,372.5538456935899,811.7243085608369,2.042868063261966,,,200,5.9392797743454135,5.9392797743454135,5.9392797743454135,5.9392797743454135,0.0,0.0
12,2400,rician,64,7.196154786856627,9.346509709816255,1.4801426228101744,7.866367087006081,13.0,493.7330202528985,835.838766853669,1.4801426228101744,,,200,6.099870383733802,6.099870383733802,6.099870383733802,6.099870383733802,0.0,0.0
13,2600,rician,64,2.9281781850418844,8.874650709468964,5.700926447911322,3.265983310058687,19.0,124.86521617666094,441.6553953865415,5.700926447911322,,,200,5.881879070374178,5.881879070374178,5.881879070374178,5.881879070374178,0.0,0.0
14,2800,rician,64,4.666539434249111,7.896494726862196,2.0016021900616408,5.92485853626875,14.0,661.1834875714918,1310.8738041224744,2.0016021900616408,,,200,5.88494903222379,5.88494903222379,5.88494903222379,5.88494903222379,0.0,0.0
15,3000,rician,64,4.306197379038959,8.248761461280099,3.3743251130805936,4.907872316104347,17.0,581.6382100314657,976.1882723136848,3.3743251130805936,,,200,5.819810584482494,5.819810584482494,5.819810584482494,5.819810584482494,0.0,0.0
16,3200,rician,64,5.581286272058236,8.507098322145774,2.61070247315991,5.904505610317455,17.0,479.1506721158725,866.8421248575785,2.61070247315991,,,200,5.825104023597179,5.825104023597179,5.825104023597179,5.825104023597179,0.0,0.0
17,3400,rician,64,4.580585635849608,9.68739372825526,4.7733678945581355,4.9214694871163,19.0,169.2636518498527,617.1051321087914,4.7733678945581355,,,200,5.771949050863009,5.771949050863009,5.771949050863009,5.771949050863009,0.0,0.0
18,3600,rician,64,4.9976155540642955,9.404587439698181,3.712781550409479,5.708128625436702,18.0,142.26198701235373,474.8488978355165,3.712781550409479,,,200,5.768403471672659,5.768403471672659,5.768403471672659,5.768403471672659,0.0,0.0
19,3800,rician,64,5.40619763274421,7.871429156543683,2.063567831528934,5.8078613250147475,19.0,501.186512788913,1148.1026511712325,2.063567831528934,,,200,5.770480200795927,5.770480200795927,5.770480200795927,5.770480200795927,0.0,0.0
20,4000,rician,64,5.775977441244307,8.37247557958323,2.263102583230878,6.116959022754044,26.0,637.5906432943241,1204.7363444712762,2.263102583230878,,,200,5.787804141893832,5.787804141893832,5.787804141893832,5.787804141893832,0.0,0.0
21,4200,rician,64,7.218920156720678,9.382408712475208,1.827444304477547,7.5681392620207255,18.0,348.07529323374644,766.574437077046,1.827444304477547,,,200,5.945349751054309,5.945349751054309,5.872582004757017,5.872582004757017,0.07276774629729132,0.07276774629729132
22,4400,rician,64,6.160325106587726,8.37154710459202,1.8412425132617452,6.530304591330274,11.0,1126.4344332868757,1366.7957734588888,1.8412425132617452,,,200,6.009651830348107,6.009651830348107,5.902478485964893,5.902478485964893,0.10717334438321391,0.10717334438321391
23,4600,rician,64,5.845884860461125,8.247814702349464,2.056431189278953,6.1956791785970236,19.0,844.7204298685672,1272.695862551359,2.056431189278953,,,200,6.07108895540438,6.07108895540438,5.9152263421662905,5.9152263421662905,0.1558626132380896,0.1558626132380896
24,4800,rician,64,4.135155040865097,8.63142678769008,4.177453958511274,4.463873170762553,24.0,164.4609928492289,726.4572053686124,4.177453958511274,,,200,6.013375956298992,6.013375956298992,5.854753293357802,5.854753293357802,0.1586226629411902,0.1586226629411902
25,5000,rician,64,6.6995557844524,9.186604151891295,2.1399164287321732,7.0466877231591205,27.0,400.4356185830531,1064.0805118313394,2.1399164287321732,,,200,6.044947472431845,6.044947472431845,5.902430670549855,5.902430670549855,0.14251680188199067,0.14251680188199067
26,5200,rician,64,5.687236239884649,8.276857826538839,1.1257679019164277,7.151089924622409,17.0,753.290923305892,1196.444173208676,1.1257679019164277,,,200,6.032196708569989,6.032196708569989,5.950456026475721,5.950456026475721,0.0817406820942681,0.0817406820942681
27,5400,rician,64,2.9125870706937684,8.556656273365599,4.930117148049847,3.6766618075375557,17.0,70.20980494429128,447.3918557267462,4.930117148049847,,,200,5.89646854801121,5.89646854801121,5.866241425774308,5.866241425774308,0.030227122236902382,0.030227122236902382
28,5600,rician,64,2.5549161471834085,8.201372336080652,5.308209287522936,2.9725734537431263,23.0,171.53626173606776,399.91214739710534,5.308209287522936,,,200,5.727755991432625,5.727755991432625,5.762896141058909,5.762896141058909,0.03514014962628398,0.03514014962628398
29,5800,rician,64,4.778840425389074,8.540444988068797,3.2332034561008487,5.324272983960273,28.0,162.27338090245297,672.2033245641319,3.2332034561008487,,,200,5.707594564783432,5.707594564783432,5.747771204607232,5.747771204607232,0.04017663982379993,0.04017663982379993
30,6000,rician,64,2.7338404352654337,9.055703951132935,5.170050685047064,3.926598813072604,19.0,110.3887610741696,474.9263983884063,5.170050685047064,,,200,5.591442020166564,5.591442020166564,5.687065458222745,5.687065458222745,0.09562343805618045,0.09562343805618045
31,6200,rician,64,4.580509382294127,7.588353301439017,1.6839303845842466,5.9054972998436766,24.0,607.6623371880428,1104.8967546315062,1.6839303845842466,,,200,5.559269176436322,5.559269176436322,5.6941116466621295,5.6941116466621295,0.13484247022580753,0.13484247022580753
32,6400,rician,64,3.6056012618842646,8.984376933297849,4.247664876588976,4.73671205670887,25.0,197.77082304513078,747.7475171379707,4.247664876588976,,,200,5.402786424921462,5.402786424921462,5.664192909476091,5.664192909476091,0.26140648455462845,0.26140648455462845
33,6600,rician,64,5.033400916525139,8.148557089928408,2.652893708290451,5.49566338163796,11.0,509.23465174097925,843.2403297294226,2.652893708290451,,,200,5.514270428500425,5.514270428500425,5.659085954087057,5.659085954087057,0.14481552558663147,0.14481552558663147
34,6800,rician,64,5.871098943415978,8.504497203832939,2.1371232193779837,6.374893043985401,12.0,232.00374911925638,617.4627224221645,2.1371232193779837,,,200,5.5367721538862575,5.5367721538862575,5.680139103789949,5.680139103789949,0.14336694990369114,0.14336694990369114
35,7000,rician,64,3.32265640014313,8.872280460827875,5.045483284216358,3.8837911280256985,20.0,97.77696968477123,592.8158217224343,5.045483284216358,,,200,5.485568094482325,5.485568094482325,5.628814875910971,5.628814875910971,0.14324678142864578,0.14324678142864578
36,7200,rician,64,4.889443849244765,8.263519092065124,2.8704823443136496,5.4099137671152695,22.0,790.3705926233024,1165.1437500059214,2.8704823443136496,,,200,5.460838502322217,5.460838502322217,5.622734289555535,5.622734289555535,0.161895787233318,0.161895787233318
37,7400,rician,64,2.896010233289019,7.952420043736246,3.964348501664573,4.016611504869117,13.0,100.95518921897168,512.5672767061207,3.964348501664573,,,200,5.415595603209857,5.415595603209857,5.57932556564509,5.57932556564509,0.16372996243523286,0.16372996243523286
38,7600,rician,64,5.714640423063503,8.982359707097881,2.7506835359442294,6.233686546354724,30.0,424.30026511163373,910.6201691870993,2.7506835359442294,,,200,5.441873499255758,5.441873499255758,5.596545591453238,5.596545591453238,0.15467209219748046,0.15467209219748046
39,7800,rician,64,5.3194187825291825,8.738527659865223,2.752543258399595,5.990094831768321,18.0,518.6483935818569,973.2882939023661,2.752543258399595,,,200,5.450985174593437,5.450985174593437,5.6066365976151635,5.6066365976151635,0.15565142302172674,0.15565142302172674
40,8000,rician,64,5.399001871805488,8.86754612521915,2.961766234419742,5.911787243324833,28.0,418.297833116194,912.1514089687216,2.961766234419742,,,200,5.440726585621976,5.440726585621976,5.614265363757905,5.614265363757905,0.17353877813592877,0.17353877813592877
41,8200,rician,64,5.887579077022609,9.252645994516028,2.87941575218424,6.373230242331781,16.0,424.9838614029727,844.6730838290364,2.87941575218424,,,200,5.38098113463753,5.38098113463753,5.632776702259707,5.632776702259707,0.25179556762217725,0.25179556762217725
42,8400,rician,64,3.976325651318261,8.232329083391509,2.0916336006717953,6.140695482719717,21.0,299.3805368947492,681.8654662221138,2.0916336006717953,,,200,5.361500679207002,5.361500679207002,5.644870006556373,5.644870006556373,0.28336932734937115,0.28336932734937115
43,8600,rician,64,2.844822724827807,8.065729907272598,4.813330886626694,3.329305164026212,17.0,128.41181080455937,441.28947659095417,4.813330886626694,,,200,5.218181978478461,5.218181978478461,5.591019661381253,5.591019661381253,0.37283768290279173,0.37283768290279173
44,8800,rician,64,5.852402507029068,8.237128129541857,1.8605780116188206,6.376550117923038,27.0,215.35681913697525,789.7635524440651,1.8605780116188206,,,200,5.313815825836485,5.313815825836485,5.608872626302658,5.608872626302658,0.2950568004661722,0.2950568004661722
45,9000,rician,64,6.530409371622938,8.939981948270932,1.17757541270408,7.762406535566851,22.0,496.89831511083753,998.4370736067252,1.17757541270408,,,200,5.349601766456872,5.349601766456872,5.6567289353974175,5.6567289353974175,0.3071271689405455,0.3071271689405455
46,9200,rician,64,-0.2056925033842428,8.311410029495736,9.28395892162909,0.2578867077397026,29.0,23.94726888653611,430.56897435922946,9.28395892162909,,,200,5.004941605612736,5.004941605612736,5.539362800013555,5.539362800013555,0.534421194400819,0.534421194400819
47,9400,rician,64,4.697261877638536,8.946885627483214,3.243088176670624,5.712618623401894,22.0,124.11561547366719,515.5679898778988,3.243088176670624,,,200,5.106739446405954,5.106739446405954,5.5430490941282,5.5430490941282,0.4363096477222461,0.4363096477222461
48,9600,rician,64,3.9806156600239864,8.747812632137556,3.7870538881672533,4.98938201424469,14.0,170.1169348605736,598.5768392793243,3.7870538881672533,,,200,5.2075798744310315,5.2075798744310315,5.531514363297294,5.531514363297294,0.3239344888662625,0.3239344888662625
