episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,466.47974426687756,2.3323987213343877,7.575780028559022,4.921958386637546,2.9641086899815967,22.0,602.2502029576411,1140.652089903968,4.921958386637546,,,59.282173799631934,2.5370072301639164,0.25524858487080565,200,54.05728183264836,52.361174101767965,35.66801893549176,22.01359853037198,835.191515461353,483.5784922297751,606.3571201393902,384.918223879774,2.9641086899815967,2.9641086899815967,0.0,,,,,200
2,400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,405.73165203953846,2.0286582601976924,8.408268648721766,6.40017896247522,2.444604626804751,20.0,341.25511348155953,733.3624014232356,6.40017896247522,,,48.89209253609502,2.5804715680242736,0.24845529067970346,200,67.30331097173017,63.403335205115454,23.145430583822478,17.498321383399585,413.0036600018625,338.8818173636212,343.8368114340124,493.540810180729,2.704356658393174,2.704356658393174,0.0,,,,,400
3,600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,825.1320566490801,4.1256602832454,8.960368913914289,4.661563821440688,4.406164939331407,19.0,216.52902379619184,823.0159911895495,4.661563821440688,,,88.12329878662813,2.5740376809622436,0.25195057404460386,200,63.15152104281907,60.38939254404081,41.303870637837804,24.969889070208612,230.2941694961766,370.512874994205,219.8226541927166,315.0144883264214,3.271626085372585,3.271626085372585,0.0,,,,,600
4,800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,27.17735258506458,0.1358867629253229,7.865919704745131,8.762533824528429,0.4912205563385129,26.0,129.9318935814596,488.27430603517064,8.762533824528429,,,9.824411126770258,2.5157172355778936,0.2501903877547011,200,46.745073975215966,51.15669255555307,16.52391916235625,2.072335236951656,663.9370175634745,352.8576033681006,123.87687652686363,816.9674647825218,2.576524703114067,2.576524703114067,0.0,,,,,800
5,1000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,660.7082632036754,3.303541316018377,8.979589119879401,5.222129256888689,3.8934585886758306,30.0,385.010968535988,957.0438236154921,5.222129256888689,,,77.86917177351661,2.5802139870311334,0.24077350609994028,200,81.64607930116019,41.68091122611335,60.89997985456115,5.600313941977363,182.41706418411238,456.5967670278384,380.8172567284023,155.89661345364462,2.83991148022642,2.83991148022642,0.0,,,,,1000
6,1200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.189610555768013,-5.0,True,velocity,False,True,full,True,660.2649646714267,3.3013248233571333,8.526589204131497,4.901885448945344,3.7455093497765723,23.0,429.49361252626056,822.9488869891667,4.901885448945344,,,74.91018699553146,2.578342083263245,0.27833339369270105,200,58.07166628478096,65.48128864420906,2.556615111459807,5.972578185519472,348.67960809271597,438.85402022068166,431.0664613822832,734.3951966416386,2.9908444584847786,2.9908444584847786,0.0,8.535493850708008,-5.1435546875,-13.887834548950195,3.3536534309387207,1200
7,1400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17927244305610657,-5.0,True,velocity,False,True,full,True,1048.016741193503,5.240083705967516,8.625428584272889,3.1013406881103713,5.532856789524523,20.0,314.22467315726476,858.9180302839352,3.1013406881103713,,,110.65713579049046,2.6272396236089355,0.41383624824462456,200,68.31630355453666,75.53850352327221,45.850079878532476,2.9342447423694344,354.0034885036346,374.22081189546475,315.1869702931236,240.92210155130613,3.353989077204742,3.353989077204742,0.0,9.748682022094727,-8.411946296691895,-11.912544250488281,1.9316123723983765,1400
8,1600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17017586529254913,-5.0,True,velocity,False,True,full,True,805.5352245011017,4.027676122505508,7.5793351767019175,3.3363680514078706,4.31440481261973,16.0,487.03449606666896,837.7270771351036,3.3363680514078706,,,86.2880962523946,2.6295395958703973,0.46970624761655927,200,78.17758530346046,59.73231587748018,56.129709491665416,14.243721332098291,900.9807363096506,396.4706044638212,482.6723869197014,711.433522473911,3.4740410441316154,3.4740410441316154,0.0,10.159457206726074,-11.599489212036133,-10.99190902709961,1.207777500152588,1600
9,1800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.16156436502933502,-5.0,True,velocity,False,True,full,True,622.1130920896984,3.110565460448492,8.211691243799292,4.1765441452221035,4.103458518332533,20.0,323.0227221869379,865.9989168273911,4.1765441452221035,,,82.06917036665067,2.816970476104842,0.480678390301764,200,81.54628230918048,91.45830169774858,46.7239905989152,53.29179537137895,507.0223400639096,508.09388064539326,321.96284391679603,519.5072863162505,3.5439763190428284,3.5439763190428284,0.0,9.904605865478516,-15.894754409790039,-11.23288631439209,1.1631447076797485,1800
10,2000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1532394289970398,-5.0,True,velocity,False,True,full,True,394.9571749289134,1.974785874644567,8.665051633589579,5.901765331797438,2.978328191508189,16.0,124.33400007440343,472.43564990988926,5.901765331797438,,,59.566563830163794,2.9101142624727374,0.4783791057765484,200,105.9346962976248,120.93343331056207,90.52393309783193,105.46565044916697,201.87603539818846,531.6359004910704,112.64936256952548,435.5982990127996,3.4874115062893645,3.4874115062893645,0.0,15.258573532104492,-18.745361328125,-10.914254188537598,0.8194169998168945,2000
