episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,858.0418943745451,4.290209471872726,7.898695679393705,3.070751307881759,4.921919440519934,22.0,602.2502029576411,1140.652089903968,3.070751307881759,,,98.43838881039869,2.5370072301639164,0.25524858487080565,200,54.05728183264836,52.361174101767965,35.66801893549176,22.01359853037198,835.191515461353,483.5784922297751,606.3571201393902,384.918223879774,4.921919440519934,4.921919440519934,0.0,,,,,200
2,400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,907.367058668989,4.536835293344945,8.929000608035162,4.014055968815608,4.952781659952,20.0,341.25511348155953,733.3624014232356,4.014055968815608,,,99.05563319904,2.5804715680242736,0.24845529067970346,200,67.30331097173017,63.403335205115454,23.145430583822478,17.498321383399585,413.0036600018625,338.8818173636212,343.8368114340124,493.540810180729,4.937350550235967,4.937350550235967,0.0,,,,,400
3,600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1341.5420452848641,6.707710226424321,9.534735017929536,2.5465201354192084,6.9882148825103245,19.0,216.52902379619184,823.0159911895495,2.5465201354192084,,,139.76429765020652,2.5740376809622436,0.25195057404460386,200,63.15152104281907,60.38939254404081,41.303870637837804,24.969889070208612,230.2941694961766,370.512874994205,219.8226541927166,315.0144883264214,5.6209719943274195,5.6209719943274195,0.0,,,,,600
4,800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,252.33847221366048,1.2616923610683024,8.252620180309952,6.96167129666948,1.617026154481493,26.0,129.9318935814596,488.27430603517064,6.96167129666948,,,32.34052308962986,2.5157172355778936,0.2501903877547011,200,46.745073975215966,51.15669255555307,16.52391916235625,2.072335236951656,663.9370175634745,352.8576033681006,123.87687652686363,816.9674647825218,4.619985534365938,4.619985534365938,0.0,,,,,800
5,1000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1191.60945733412,5.9580472866706,9.330272436875827,2.7830309559365447,6.5479645593280535,30.0,385.010968535988,957.0438236154921,2.7830309559365447,,,130.95929118656107,2.5802139870311334,0.24077350609994028,200,81.64607930116019,41.68091122611335,60.89997985456115,5.600313941977363,182.41706418411238,456.5967670278384,380.8172567284023,155.89661345364462,5.005581339358361,5.005581339358361,0.0,,,,,1000
6,1200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.1896509975194931,-5.0,True,velocity,False,True,full,True,1136.964958965611,5.684824794828055,9.091410175964436,2.9786599572002945,6.1290436985537715,23.0,429.49361252626056,822.9488869891667,2.9786599572002945,,,122.58087397107545,2.5966581773638184,0.28244662492888895,200,58.05891013939574,72.61949932940342,20.81971722499855,16.6670342833545,332.39099306570995,448.96011411551723,431.0664613822832,726.0423490246035,5.19282506589093,5.19282506589093,0.0,7.308357238769531,-7.5145416259765625,-13.647685050964355,3.2102389335632324,1200
7,1400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17957523465156555,-5.0,True,velocity,False,True,full,True,1512.8419316458587,7.564209658229293,9.17243612737255,1.277759466497073,7.8946766608754695,20.0,314.22467315726476,858.9180302839352,1.277759466497073,,,157.8935332175094,2.9667052333209267,0.42405481680645607,200,136.25835941370752,109.46284210131046,128.9692559490352,96.51960032717092,325.4751683533138,298.66725721904413,315.1869702931236,160.09519985267684,5.578803865174436,5.578803865174436,0.0,5.64249324798584,-12.55918025970459,-11.514396667480469,1.706508755683899,1400
8,1600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17036524415016174,-5.0,True,velocity,False,True,full,True,1180.8179045905022,5.9040895229525105,7.872378342145983,1.6405761428572234,6.231802199288753,16.0,487.03449606666896,837.7270771351036,1.6405761428572234,,,124.63604398577507,2.9621995115505815,0.46702605661936103,200,132.05094947931988,111.801754596742,121.86233830370931,98.12934315073966,976.6520360771758,472.24319100383326,482.6723869197014,768.9878359928767,5.660428656938725,5.660428656938725,0.0,6.574751853942871,-17.383054733276367,-10.773956298828125,1.0885154008865356,1600
9,1800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.16158384084701538,-5.0,True,velocity,False,True,full,True,1090.30910022147,5.451545501107351,8.719724660052782,2.3265099253995234,6.393214734653263,20.0,323.0227221869379,865.9989168273911,2.3265099253995234,,,127.86429469306528,2.943075999653593,0.4791206591203809,200,148.57633477502517,72.45688174517967,127.65511453764493,45.30236451939739,506.7669600864313,538.449268384142,321.96284391679603,612.1230939639119,5.74184933224034,5.74184933224034,0.0,4.278359413146973,-24.280569076538086,-11.375449180603027,1.2418040037155151,1800
10,2000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.15311892330646515,-5.0,True,velocity,False,True,full,True,979.2521460238058,4.896260730119029,9.207746546845186,3.8273734062307447,5.380373140614447,16.0,124.33400007440343,472.43564990988926,3.8273734062307447,,,107.60746281228896,2.810340320444043,0.47785792566835883,200,105.76515655399241,95.85634884287035,98.64214920428066,88.60893741056765,139.8333878036659,488.7180145992877,112.64936256952548,453.8251933626,5.705701713077751,5.705701713077751,0.0,20.261009216308594,-28.21769142150879,-11.085774421691895,0.9084181785583496,2000
