episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rayleigh,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,378.0461997256567,1.8902309986282837,7.614119237751715,5.3567597475534585,2.6238926799718882,22.0,593.2880562986433,1131.378818576223,5.3567597475534585,,,52.47785359943777,2.6107354306832087,0.18995122607566411,200,67.39711127719907,83.60187865599065,56.79305750265959,76.43944738339299,802.5209681884152,486.7517491369174,587.8890012900131,302.95504826117934,2.6238926799718882,2.6238926799718882,0.0,,,200
2,400,TD3PG,rayleigh,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,529.1528996125984,2.645764498062992,7.236689276123733,4.5850891937336,2.935730604367622,23.0,687.8058552831694,1233.3917642800595,4.5850891937336,,,58.71461208735245,2.5304150186619614,0.20694406914907088,200,64.64891609961586,42.637974207047286,57.824413415532405,24.028986519861075,1004.0168185019285,480.97165783327534,689.3841730651982,611.2630814982477,2.779811642169755,2.779811642169755,0.0,,,400
3,600,TD3PG,rayleigh,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,524.6832010807168,2.623416005403584,8.061922056668354,5.423506775023409,2.927348489577632,23.0,193.66133648767692,797.1619675654499,5.423506775023409,,,58.54696979155264,2.562707022476624,0.2020948051546471,200,50.25690731805016,76.46331795035356,36.99504773816061,69.492422581594,490.51036662672556,523.3939109807609,196.04152384118976,352.38062560379666,2.8289905913057143,2.8289905913057143,0.0,,,600
4,800,TD3PG,rayleigh,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,609.7597632011449,3.0487988160057244,9.485361699340249,6.325683792193889,3.408795405688686,17.0,94.17804145759105,649.3514637309424,6.325683792193889,,,68.17590811377373,2.592982063687858,0.18761291964818613,200,58.43474240504897,80.66532368563159,49.203936385541354,72.06190467866124,183.00241746383523,121.50435502561993,97.89617334933227,363.3428326864826,2.973941794901457,2.973941794901457,0.0,,,800
5,1000,TD3PG,rayleigh,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,546.0601196015109,2.7303005980075543,7.840138037461714,5.0932304531415475,3.043266681895826,22.0,591.3310044686482,1115.1182925086018,5.0932304531415475,,,60.86533363791652,2.6068500707803315,0.19600850124863395,200,88.05520150614382,56.20338115575404,82.23865236363017,41.5906545746897,686.3045323409373,464.4627099244777,597.8589084498807,595.5359254202283,2.9878067723003308,2.9878067723003308,0.0,,,1000
6,1200,TD3PG,rayleigh,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,1080.999312341929,5.404996561709645,8.6024628915424,2.508177921668371,6.106350769117266,12.0,509.9316766547752,1057.0699905528788,2.508177921668371,,,122.12701538234532,6.101577950260466,0.3952095593924728,200,328.88029520979035,316.63958515598125,321.72323739605616,305.9713278419339,578.6305270319657,412.1957062103897,511.49776209052817,66.17681684453883,3.507564105103153,3.507564105103153,0.0,7.690407752990723,-5.733304977416992,1200
7,1400,TD3PG,rayleigh,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,177.40986550980872,0.8870493275490436,7.93600010095073,5.3641714772684885,2.793445895566733,25.0,102.2130773363476,384.4815804129875,5.3641714772684885,,,55.86891791133466,6.905490581095745,0.47263109164286576,200,355.312663690678,291.10184592191314,339.90462555553415,272.4198532398383,514.3434303390098,508.5664089778152,96.83630801728404,255.839304068738,3.405547218026522,3.405547218026522,0.0,6.9356818199157715,-6.102100372314453,1400
8,1600,TD3PG,rayleigh,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,242.08741813359904,1.2104370906679953,7.540248073229554,4.815308558800001,2.834793733253411,16.0,210.6724633839006,693.4329673725229,4.815308558800001,,,56.695874665068224,6.861012456281716,0.4737031012696738,200,297.1395805198084,379.7250245401793,278.8811292232087,379.3474567737435,792.7545658283776,502.0563737409158,211.60955094958206,644.214093275864,3.3342030324298833,3.3342030324298833,0.0,9.02159309387207,-8.279545783996582,1600
9,1800,TD3PG,rayleigh,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,833.3894456465175,4.166947228232588,8.392031869257243,2.8068509624528635,5.624597034193185,16.0,786.325976774954,1142.0371138371988,2.8068509624528635,,,112.49194068386372,6.900389868846932,0.4641133264120092,200,313.79136397222015,379.5497631422864,287.9020791079123,379.2317288964575,327.51780784005734,675.5163984873151,783.407074981924,545.0176573136066,3.588691254848028,3.588691254848028,0.0,8.792440414428711,-10.067107200622559,1800
10,2000,TD3PG,rayleigh,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,1023.3375726421577,5.116687863210789,7.930310642383187,2.031953270118118,5.927470621404185,17.0,415.59495630000475,957.207933488188,2.031953270118118,,,118.54941242808371,6.894958571798546,0.4696077804254733,200,379.4987084255578,378.24453954975974,378.8684722186232,377.8575993928784,580.3867571203302,318.21285382743014,414.01683988790194,287.41459741739715,3.8225691915036437,3.8225691915036437,0.0,9.36179256439209,-12.104167938232422,2000
