Mobility_Model,Algorithm,Channel,Final_Rolling100_Secrecy,Best_Secrecy,Average_Reward,Convergence_Episode
random_walk,dqn,rician,3.9644,6.1269,3.5221,2
random_walk,dqn,rayleigh,2.5538,5.0629,2.1053,2
random_walk,ddpg,rician,6.0058,8.8526,4.6764,5
random_walk,ddpg,rayleigh,3.9624,7.0682,2.6676,10
random_walk,d3qn,rician,3.8076,6.1287,3.3501,1
random_walk,d3qn,rayleigh,2.4102,5.0276,1.9547,2
random_walk,ppo,rician,5.3248,8.0687,4.5871,3
random_walk,ppo,rayleigh,3.4653,6.3883,2.7516,3
random_walk,sac,rician,6.3631,9.7909,5.4472,5
random_walk,sac,rayleigh,4.2993,8.6644,3.388,10
random_walk,td3pg,rician,5.7664,8.6021,4.6782,5
random_walk,td3pg,rayleigh,3.6963,6.4923,2.6277,9
random_waypoint,dqn,rician,3.9761,6.0586,3.5243,1
random_waypoint,dqn,rayleigh,2.5362,4.4623,2.0881,12
random_waypoint,ddpg,rician,6.2459,8.5017,5.1594,2
random_waypoint,ddpg,rayleigh,4.1084,6.7178,2.8657,2
random_waypoint,d3qn,rician,3.8959,5.9341,3.4153,1
random_waypoint,d3qn,rayleigh,2.4492,4.4581,1.9718,6
random_waypoint,ppo,rician,5.5501,8.707,4.8417,4
random_waypoint,ppo,rayleigh,3.5367,7.0316,2.8326,35
random_waypoint,sac,rician,6.0736,9.8869,4.9221,8
random_waypoint,sac,rayleigh,4.1956,7.6643,3.0693,21
random_waypoint,td3pg,rician,5.8301,8.4618,4.4597,2
random_waypoint,td3pg,rayleigh,3.7869,6.5379,2.6292,2
gauss_markov,dqn,rician,3.9347,6.7072,3.4386,1
gauss_markov,dqn,rayleigh,2.4833,5.1585,1.9778,9
gauss_markov,ddpg,rician,6.1338,9.0878,5.0108,5
gauss_markov,ddpg,rayleigh,3.8686,6.8337,2.6907,6
gauss_markov,d3qn,rician,3.74,6.1781,3.2577,1
gauss_markov,d3qn,rayleigh,2.338,4.7276,1.8582,5
gauss_markov,ppo,rician,5.4447,8.8083,4.7623,5
gauss_markov,ppo,rayleigh,3.4777,6.4664,2.766,6
gauss_markov,sac,rician,6.1558,8.9007,5.2085,14
gauss_markov,sac,rayleigh,4.0786,7.388,3.237,20
gauss_markov,td3pg,rician,5.8876,9.0119,4.5454,9
gauss_markov,td3pg,rayleigh,3.8783,7.1462,2.5301,10
constant_velocity,dqn,rician,3.917,6.1781,3.4558,1
constant_velocity,dqn,rayleigh,2.4941,4.6849,2.0295,69
constant_velocity,ddpg,rician,6.0049,8.7542,4.8727,3
constant_velocity,ddpg,rayleigh,3.9713,7.1396,2.8205,3
constant_velocity,d3qn,rician,3.7295,6.3292,3.2461,1
constant_velocity,d3qn,rayleigh,2.3529,4.7797,1.8707,52
constant_velocity,ppo,rician,5.2842,8.4361,4.5991,2
constant_velocity,ppo,rayleigh,3.4489,6.9466,2.7358,2
constant_velocity,sac,rician,5.8078,8.7577,4.8069,25
constant_velocity,sac,rayleigh,3.8561,7.712,3.0118,42
constant_velocity,td3pg,rician,5.909,8.7202,4.8141,3
constant_velocity,td3pg,rayleigh,4.1421,7.2722,3.0038,33
