episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,0.9994638055555556,2.7102586007751426,7.9015592619116015,7.366851695275511,3.7597608921876464,22.0,597.0220681428797,1135.4959638336402,7.366851695275511,,,200,3.7597608921876464,3.7597608921876464,3.7597608921876464,3.7597608921876464,0.0,0.0
2,400,rician,64,0.9989249166666667,3.657792790931273,9.33026138007939,8.245060087143582,4.095966384700906,13.0,589.4240857804632,938.682534432855,8.245060087143582,,,200,3.927863638444276,3.927863638444276,3.927863638444276,3.927863638444276,0.0,0.0
3,600,rician,64,0.9983860277777777,3.594553398002609,8.689255992437257,8.761950934570127,3.866313494653707,28.0,246.99079596222154,713.916795631391,8.761950934570127,,,200,3.90734692384742,3.90734692384742,3.90734692384742,3.90734692384742,0.0,0.0
4,800,rician,64,0.9978471388888889,2.4726111407890636,9.639841570081407,11.260288342841037,2.7541996475723565,23.0,102.8486908771945,539.1757217266478,11.260288342841037,,,200,3.619060104778654,3.619060104778654,3.619060104778654,3.619060104778654,0.0,0.0
5,1000,rician,64,0.99730825,4.412057486517966,8.421175359264552,6.0094909329932875,5.061238500021705,22.0,578.4699575997711,1044.7497928207852,6.0094909329932875,,,200,3.907495783827264,3.907495783827264,3.907495783827264,3.907495783827264,0.0,0.0
6,1200,rician,64,0.9967693611111111,4.578782953582108,9.058123947741972,7.235881000792657,4.874262579436934,22.0,402.38829130373955,881.5953659496228,7.235881000792657,,,200,4.068623583095542,4.068623583095542,4.068623583095542,4.068623583095542,0.0,0.0
7,1400,rician,64,0.9962304722222223,1.4667756110078858,8.510733430048333,11.271885954294362,1.7478805194263254,20.0,113.07163090396787,445.81759056870317,11.271885954294362,,,200,3.7370888597142256,3.7370888597142256,3.7370888597142256,3.7370888597142256,0.0,0.0
8,1600,rician,64,0.9956915833333333,4.335153135315675,10.098165649378208,9.203217790814968,4.656976639017459,20.0,147.2722089098982,630.0949710251073,9.203217790814968,,,200,3.85207483212713,3.85207483212713,3.85207483212713,3.85207483212713,0.0,0.0
9,1800,rician,64,0.9951526944444444,3.8227264711419178,8.130883779640406,7.67779254653831,4.164422337796307,19.0,396.66836371741533,948.3102302905714,7.67779254653831,,,200,3.8867801105348168,3.8867801105348168,3.8867801105348168,3.8867801105348168,0.0,0.0
10,2000,rician,64,0.9946138055555556,2.428258444904994,8.322743780128027,10.013722386502584,3.135902297693887,22.0,109.50513774960555,539.0788301981671,10.013722386502584,,,200,3.811692329250724,3.811692329250724,3.811692329250724,3.811692329250724,0.0,0.0
11,2200,rician,64,0.9940749166666667,3.52816358828304,9.418586686592263,8.019817819233344,4.3514163912126635,23.0,366.3502658021822,998.0605801511266,8.019817819233344,,,200,3.860758153065446,3.860758153065446,3.860758153065446,3.860758153065446,0.0,0.0
12,2400,rician,64,0.9935360277777778,2.4503908959619616,9.033260323990985,10.528684873685716,2.7277462518595197,12.0,119.03547994580043,554.5049092447119,10.528684873685716,,,200,3.766340494631619,3.766340494631619,3.766340494631619,3.766340494631619,0.0,0.0
13,2600,rician,64,0.9929971388888889,5.113655342615609,9.425090669817871,5.860833696095855,6.079910330772121,15.0,446.37727516065274,1002.9035548710963,5.860833696095855,,,200,3.9443074051039653,3.9443074051039653,3.9443074051039653,3.9443074051039653,0.0,0.0
14,2800,rician,64,0.99245825,3.9639281066199867,8.134890698161467,6.862315139869409,4.238009327972829,22.0,456.0616375303289,941.1755140926358,6.862315139869409,,,200,3.9652861138803126,3.9652861138803126,3.9652861138803126,3.9652861138803126,0.0,0.0
15,3000,rician,64,0.9919193611111111,2.7864267113152463,8.330493794495515,9.660172115895465,3.3495257941645273,16.0,120.57625019642018,529.7856019465135,9.660172115895465,,,200,3.92423542589926,3.92423542589926,3.92423542589926,3.92423542589926,0.0,0.0
16,3200,rician,64,0.9913804722222223,4.0540923753461975,8.996766465845242,8.182369694852065,4.526040065561413,23.0,221.0267995805138,840.2405327061446,8.182369694852065,,,200,3.9618482158781445,3.9618482158781445,3.9618482158781445,3.9618482158781445,0.0,0.0
