episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,313.13616934198274,1.5656808467099137,7.434863064716846,4.91824066619071,2.7241383488527915,22.0,594.743624077765,1131.865266469292,4.91824066619071,,,54.482766977055824,3.08881381775362,0.2572980937061948,200,111.13976277351476,143.07029133824182,66.88665546259048,60.10140357728399,0,927.2763207121791,556.7479340759555,604.4687704626797,437.22243778157394,2.7241383488527915,2.7241383488527915,2.7241383488527915,2.7241383488527915,0.0,0.0
2,400,rayleigh,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,575.2874994662341,2.87643749733117,8.341483308770847,5.319307307675358,3.216265018360553,22.0,603.6666397642083,1110.456709015078,5.319307307675358,,,64.32530036721106,3.06499430353127,0.24301257929531858,200,153.4223647560267,104.5415829138025,66.61082519646934,40.7852678463845,0,473.7178646224958,397.43141274349153,599.3854145555836,654.1699162739859,2.970201683606672,2.970201683606672,2.970201683606672,2.970201683606672,0.0,0.0
3,600,rayleigh,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,297.8687861892549,1.4893439309462744,7.988739518012571,5.308068570038575,2.8705630753156615,16.0,229.61426487173088,434.0669915441251,5.308068570038575,,,57.41126150631324,4.3498806995574855,0.30429884118726475,200,194.5006724636129,207.21507753303754,152.89563326603266,112.91790370414954,0,678.8971756478064,547.0490355105308,228.3108891238978,378.42749887353114,2.936988814176335,2.936988814176335,2.936988814176335,2.936988814176335,0.0,0.0
4,800,rayleigh,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,591.4578669577091,2.9572893347885456,8.433436138744897,4.694848838570707,3.8371930159906125,24.0,469.0634641744376,932.3457545428198,4.694848838570707,,,76.74386031981226,6.76029674868258,0.4734424525499344,200,377.0688311286423,368.78103345394027,374.0723458691614,360.30460681040336,0,618.5352987833247,562.2036754167585,467.85781910466346,710.3242827300845,3.1620398646299046,3.1620398646299046,3.1620398646299046,3.1620398646299046,0.0,0.0
5,1000,rayleigh,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,398.26316216557615,1.9913158108278808,8.127482055849644,4.478967023750809,3.6987448726663104,22.0,338.18443379179024,832.1958130195343,4.478967023750809,,,73.97489745332621,6.511986291710482,0.44575522512197496,200,257.9555941564543,349.35941463865885,253.50277558047563,295.10711026217274,0,644.971938920074,647.6622305713064,332.46737676345555,402.2141893443713,3.269380866237186,3.269380866237186,3.269380866237186,3.269380866237186,0.0,0.0
6,1200,rayleigh,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,641.02984313655,3.20514921568275,8.557936612390048,3.9147334968045415,4.710782578270654,23.0,464.5719197497513,1178.6586591648347,3.9147334968045415,,,94.21565156541307,6.748295824343108,0.4570507127046585,200,271.49456180294317,372.6737659208375,243.70919273101023,368.46895627943945,0,365.7100642324885,616.745465661189,465.01434654280564,495.7482034875421,3.5096144849094304,3.5096144849094304,3.5096144849094304,3.5096144849094304,0.0,0.0
7,1400,rayleigh,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,657.9057780852445,3.2895288904262223,8.214927398330138,3.9657901471795114,4.321345211897245,19.0,187.3663139503085,661.3045622585934,3.9657901471795114,,,86.4269042379449,6.643808302075054,0.4340709203481674,200,372.22590445883634,335.2540453974441,369.73931834184384,321.7431441661542,0,534.1400626054227,379.2442030693861,189.842595196681,395.41274727228983,3.625576017336261,3.625576017336261,3.625576017336261,3.625576017336261,0.0,0.0
8,1600,rayleigh,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,682.5574776565413,3.4127873882827067,8.891053740285262,4.709270680629359,4.199992629165629,28.0,350.604740926153,814.8350457635959,4.709270680629359,,,83.99985258331257,6.693008233013731,0.4375546771287918,200,363.0514859258302,375.5344553748028,358.5203257372639,372.44763639860935,0,482.37057671075894,195.98378970524521,353.81181608620074,451.08314012876593,3.697378093814932,3.697378093814932,3.697378093814932,3.697378093814932,0.0,0.0
9,1800,rayleigh,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,501.6719810652053,2.508359905326026,8.098435477327534,3.984353436556399,4.165977625422891,24.0,592.5499990535068,1139.4370957100646,3.984353436556399,,,83.31955250845782,6.613122659662549,0.4507741958647966,200,359.04585381851786,271.56140104370854,355.42621740577465,258.49505575660856,0,391.597321387911,230.59887406408566,581.3862670730196,609.2897964159118,3.749444708438039,3.749444708438039,3.749444708438039,3.749444708438039,0.0,0.0
10,2000,rayleigh,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,847.5702486090735,4.237851243045367,8.08419432929551,2.2133551703779477,5.888720162698982,21.0,771.8890072718162,1080.2200256806625,2.2133551703779477,,,117.77440325397964,6.893098918204037,0.44833882778882983,200,380.06609182736327,287.2197985745608,378.42198131829826,267.3655495861697,0,359.2234265498674,364.3771059239102,771.9522768754374,554.8575517026691,3.963372253864133,3.963372253864133,3.963372253864133,3.963372253864133,0.0,0.0
