episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,782.7798006943808,3.913899003471904,7.790640341799269,2.694074051179685,5.141261955817667,22.0,594.743624077765,1131.865266469292,2.694074051179685,,,102.82523911635334,3.121558814949349,0.25596310121996796,200,103.72470046234054,147.95772676658459,59.33324880524625,71.32850144695524,0,921.587074023086,553.8487947286129,604.4687704626797,449.2811287609508,5.141261955817667,5.141261955817667,5.141261955817667,5.141261955817667,0.0,0.0
2,400,rician,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1095.9468989380498,5.479734494690249,8.880700491787653,3.0544257676723414,5.826274724115306,22.0,603.6666397642083,1110.456709015078,3.0544257676723414,,,116.52549448230613,3.1207863441227595,0.24326677508535796,200,156.8058692501291,112.89657563125701,69.30755033286985,57.77834999093129,0,469.42207626501136,407.83166889019157,599.3854145555836,665.1796407378203,5.4837683399664865,5.4837683399664865,5.4837683399664865,5.4837683399664865,0.0,0.0
3,600,rician,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,746.023633127978,3.73011816563989,8.385749609313075,3.3475423748639113,5.103786862490281,16.0,229.61426487173088,434.0669915441251,3.3475423748639113,,,102.07573724980563,4.373694297949993,0.30195830430369824,200,201.99334015677726,206.9944580609359,166.27929539923315,152.346140993978,0,692.145005152048,552.6172749372129,228.3108891238978,326.1056597667936,5.357107847474418,5.357107847474418,5.357107847474418,5.357107847474418,0.0,0.0
4,800,rician,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1119.8217421873355,5.599108710936678,8.90325166943218,2.377781780681617,6.526895358560427,24.0,469.0634641744376,932.3457545428198,2.377781780681617,,,130.53790717120856,6.638859876202856,0.4733785093575716,200,377.0525648556708,346.99795289285765,374.05662242511875,336.8983997617834,0,618.5116825372619,562.1951442496758,467.85781910466346,699.8892023901241,5.64955472524592,5.64955472524592,5.64955472524592,5.64955472524592,0.0,0.0
5,1000,rician,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,996.8957672861072,4.984478836430537,8.509799487749843,1.7796372117305133,6.73016227601933,22.0,338.18443379179024,832.1958130195343,1.7796372117305133,,,134.6032455203866,6.793310936253355,0.44575537905097007,200,257.95527283525587,375.7340036636606,253.50240313106275,369.5040870716771,0,644.9716725698024,647.6619951654033,332.46737676345555,514.0905600986263,5.865676235400602,5.865676235400602,5.865676235400602,5.865676235400602,0.0,0.0
6,1200,rician,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1358.0443053563656,6.790221526781828,9.173120701840183,1.3473406236403205,7.825780078199866,23.0,464.5719197497513,1178.6586591648347,1.3473406236403205,,,156.51560156399734,6.491557155028786,0.45705070659518243,200,341.08448853141124,374.65220299057995,241.77407545370173,306.3675462209439,0,388.8026399223197,529.2991130004266,465.01434654280564,152.0704653986261,6.19236020920048,6.19236020920048,6.19236020920048,6.19236020920048,0.0,0.0
7,1400,rician,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,936.9005580826865,4.684502790413433,8.988353992987784,2.6470253903218635,6.341328602665925,19.0,187.3663139503085,661.3045622585934,2.6470253903218635,,,126.8265720533185,6.773893537748142,0.43407092086970805,200,371.19849129636646,238.0878201640026,366.26108636616283,214.88856477602306,0,268.13805367018455,161.83058759516942,189.842595196681,597.0674504469438,6.213641408266972,6.213641408266972,6.213641408266972,6.213641408266972,0.0,0.0
8,1600,rician,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,989.9728235520719,4.9498641177603595,9.261043490783434,2.7419031384235293,6.519140352359908,28.0,350.604740926153,814.8350457635959,2.7419031384235293,,,130.38280704719816,6.6547696653060235,0.4375546771287918,200,324.45922837177386,343.93486595069,246.62732074771145,325.9808242876161,0,390.1542633525255,366.05355009374364,353.81181608620074,625.3347581024195,6.251828776278589,6.251828776278589,6.251828776278589,6.251828776278589,0.0,0.0
9,1800,rician,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1210.3822421983352,6.051911210991676,8.554523667892093,1.671555751257477,6.882967916634612,24.0,592.5499990535068,1139.4370957100646,1.671555751257477,,,137.65935833269225,6.639683254009893,0.45077419601380825,200,359.04519193299865,373.7577799168065,355.4255066565058,369.1986221605464,0,391.5989131242843,230.5984113745502,581.3862670730196,382.3386036138947,6.321955347429258,6.321955347429258,6.321955347429258,6.321955347429258,0.0,0.0
10,2000,rician,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1217.7622733346789,6.0888113666733945,8.521770731204656,0.780080063110495,7.7416906680941615,21.0,771.8890072718162,1080.2200256806625,0.780080063110495,,,154.83381336188324,6.849715457223831,0.44833882778882983,200,380.0659802847863,80.35770005908167,378.42182038127254,75.41047078149091,0,359.222875300823,364.375481021656,771.9522768754374,361.00446372649253,6.463928879495748,6.463928879495748,6.463928879495748,6.463928879495748,0.0,0.0
11,2200,rician,0.239005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1274.6749372332624,6.373374686166312,10.08897097740379,2.937757004693992,7.151213972709791,27.0,202.83000606781675,789.5258720240774,2.937757004693992,,,143.02427945419583,6.722720191082962,0.46712619960308077,200,368.97922406517364,373.2959911670136,365.71085897450905,365.0934730491097,0,67.4240393663458,137.78802473267547,215.78848732069352,230.41374334594542,6.526409342515207,6.526409342515207,6.526409342515207,6.526409342515207,0.0,0.0
12,2400,rician,0.238005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1438.7319084629942,7.193659542314971,9.307715998167122,1.1484806981119378,8.159235300055178,15.0,671.6617306993579,1132.9914960584115,1.1484806981119378,,,163.18470600110356,6.7651222626069,0.4389033731073141,200,357.9175097574155,375.17059489004856,346.5389343969911,371.74804309218996,0,445.0851904191657,505.0508679098836,669.8806614900542,139.67356148656535,6.6624781723102044,6.6624781723102044,6.6624781723102044,6.6624781723102044,0.0,0.0
13,2600,rician,0.237005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1069.5380316817652,5.3476901584088266,7.754650111011934,0.9280618164903127,6.8295607301946015,24.0,641.6110008436756,1210.668443032208,0.9280618164903127,,,136.59121460389204,6.8836425778294155,0.4170723856240511,200,328.3136458856925,378.5984361124952,300.87365446945694,370.18108415639915,0,902.9884336676965,514.5687515545116,645.8349082291908,344.6816556838186,6.67533067676285,6.67533067676285,6.67533067676285,6.67533067676285,0.0,0.0
14,2800,rician,0.236005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,744.4752953723882,3.722376476861941,7.427159484060351,1.9202253060173018,5.506934178043053,23.0,404.6514119047742,914.1493721890085,1.9202253060173018,,,110.13868356086107,6.783547334851729,0.4535635226964951,200,283.6061603448498,373.7461238703476,282.03864009646253,370.0109668943832,0,1237.792990461411,647.8177608223059,405.12199141847714,443.94367356348596,6.59187378399715,6.59187378399715,6.59187378399715,6.59187378399715,0.0,0.0
15,3000,rician,0.235005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,301.0447573194683,1.5052237865973417,8.371186583966136,5.617087149433992,2.840856744370488,22.0,19.986597083399914,376.95029337039267,5.617087149433992,,,56.817134887409765,6.674265050919334,0.43611832842230797,200,321.922742628646,367.7514235202852,299.0318195769201,365.68815684536224,0,617.0060462155284,681.9984886998453,19.41496176917191,190.88897793654732,6.341805981355373,6.341805981355373,6.341805981355373,6.341805981355373,0.0,0.0
16,3200,rician,0.234005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,583.3364932816319,2.9166824664081594,8.098173367418507,3.986897099261443,4.111510421118554,27.0,137.04619527652568,534.2967172473228,3.986897099261443,,,82.23020842237109,6.448002791406907,0.4628947234898806,200,336.9200356526599,342.3484413971435,140.94371049147082,323.211640782401,0,702.6844295834089,547.7010751898373,137.1371725413131,344.66187057454766,6.202412508840572,6.202412508840572,6.202412508840572,6.202412508840572,0.0,0.0
17,3400,rician,0.233005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,853.9734242130668,4.269867121065334,7.986976227735335,1.9284689947752178,6.0585072329601095,21.0,580.5534592495637,1134.0339556548652,1.9284689947752178,,,121.17014465920221,6.843385821259552,0.45747221432626245,200,280.00109682723826,375.6629725505961,279.35964917528173,369.55242818862075,0,691.0943846351425,503.7996972292884,586.6702840645008,524.7319177686738,6.19394749261231,6.19394749261231,6.19394749261231,6.19394749261231,0.0,0.0
