episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9984245833333333,0.005,212.78553840300572,1.0639276920150287,7.541583824416312,8.96729728789522,2.1047932846812256,22.0,597.0220681428797,1135.4959638336402,8.96729728789522,,,42.09586569362452,2.5176694549769785,0.25,200,48.04727234674328,49.50429655597881,16.76258645922583,29.50019624247621,868.7648978958639,532.1443303179238,598.3250338087873,361.47407462046783,2.1047932846812256,2.1047932846812256,2.1047932846812256,2.1047932846812256,0.0,0.0
2,400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99684125,0.005,487.6586935659394,2.438293467829697,9.009094004354884,9.505612005702835,2.8778246201183264,13.0,589.4240857804632,938.682534432855,9.505612005702835,,,57.55649240236654,2.5129575217741587,0.235,200,44.109957237283474,53.075875024162386,5.004658398760389,23.308741949854287,108.83910409679427,503.1467252877253,585.0437037728584,789.4882122603256,2.491308952399776,2.491308952399776,2.491308952399776,2.491308952399776,0.0,0.0
3,600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9952579166666666,0.005,365.92417721087645,1.8296208860543823,8.204485809447647,10.046877660479254,2.100772579255274,28.0,246.99079596222154,713.916795631391,10.046877660479254,,,42.01545158510548,2.4983517314099872,0.26,200,48.11066669283797,32.962022598497484,25.069237540345856,17.59588270421589,491.0652141306208,297.4606691183673,247.76384507794035,374.60431239524246,2.3611301613516087,2.3611301613516087,2.3611301613516087,2.3611301613516087,0.0,0.0
4,800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9936745833333334,0.005,205.09165450030673,1.0254582725015338,9.17128035576266,12.64317932070241,1.3065000527182595,23.0,102.8486908771945,539.1757217266478,12.64317932070241,,,26.130001054365195,2.526756844671249,0.2425,200,53.799276199568645,48.53941434106454,22.925529076836185,10.664797759611758,171.87025882423436,390.2468130720815,98.58898643421686,714.0766079503427,2.0974726341932715,2.0974726341932715,2.0974726341932715,2.0974726341932715,0.0,0.0
5,1000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99209125,0.005,554.1874425566305,2.7709372127831524,8.121656495839442,7.604342348817621,3.4818566463291427,22.0,578.4699575997711,1044.7497928207852,7.604342348817621,,,69.63713292658286,2.509769228604392,0.26375,200,45.59432934716375,47.221683534560334,20.36807007028652,9.182226093076308,602.1621715389367,238.32101165306594,583.5097505692505,366.0914489196446,2.374349436620446,2.374349436620446,2.374349436620446,2.374349436620446,0.0,0.0
6,1200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9905079166666667,0.005,528.7123551350364,2.6435617756751824,8.485546708194514,8.832918541207626,2.939520903578989,22.0,402.38829130373955,881.5953659496228,8.832918541207626,,,58.790418071579786,2.4972836967278265,0.275,200,40.80688156773517,46.53589661171181,12.487706539350768,19.433641094068907,291.1191594739614,541.246387658826,411.69602339521845,337.7761030924824,2.4685446811135363,2.4685446811135363,2.4685446811135363,2.4685446811135363,0.0,0.0
7,1400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9889245833333333,0.005,79.53425957296545,0.39767129786482724,8.169111249333039,12.591634325313816,0.6779590327066126,20.0,113.07163090396787,445.81759056870317,12.591634325313816,,,13.559180654132254,2.5286100326542935,0.24375,200,56.10425485075265,45.78028841822796,29.601270693401148,5.653019107411601,563.2308796129547,226.87880690684784,117.99920307464035,730.2210780584957,2.212746731341119,2.212746731341119,2.212746731341119,2.212746731341119,0.0,0.0
8,1600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.98734125,0.005,505.2612526823089,2.5263062634115445,9.58344244892735,10.88505203247839,2.8469981628288057,20.0,147.2722089098982,630.0949710251073,10.88505203247839,,,56.93996325657612,2.627369156575303,0.245,200,60.114803035540575,78.48594259422612,31.618385053901992,32.54037178336099,170.107030370432,158.20860695805777,160.51131178036295,335.0852143165438,2.2920281602770793,2.2920281602770793,2.2920281602770793,2.2920281602770793,0.0,0.0
9,1800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9857579166666667,0.005,501.1443202117664,2.505721601058832,7.724938219185583,8.830119878967226,2.862263707352316,19.0,396.66836371741533,948.3102302905714,8.830119878967226,,,57.24527414704632,2.5154311085643446,0.25125,200,48.121458263973246,47.3650023935369,12.790321724966592,17.989552372204038,736.0712172346978,469.41441761650054,395.94535340234415,441.26085107075284,2.3553876655076613,2.3553876655076613,2.3553876655076613,2.3553876655076613,0.0,0.0
10,2000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9841745833333333,0.005,180.47523131009476,0.9023761565504738,7.953644216574366,11.364407866423363,1.5091462252883865,22.0,109.50513774960555,539.0788301981671,11.364407866423363,,,30.18292450576773,2.5324125789824183,0.25,200,45.61302983189093,56.50888769997136,6.569697399927825,28.389937638019976,642.5505324588502,489.52967862548076,114.16485474005532,247.57654708461828,2.270763521485734,2.270763521485734,2.270763521485734,2.270763521485734,0.0,0.0
