episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9984245833333333,0.005,544.1192991041063,2.7205964955205313,7.900651420932178,7.364588729467565,3.76146208818673,22.0,597.0220681428797,1135.4959638336402,7.364588729467565,,,75.22924176373459,2.5176694549769785,0.25,200,48.04727234674328,49.50429655597881,16.76258645922583,29.50019624247621,868.7648978958639,532.1443303179238,598.3250338087873,361.47407462046783,3.76146208818673,3.76146208818673,3.76146208818673,3.76146208818673,0.0,0.0
2,400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.99684125,0.005,731.2067378276893,3.656033689138446,9.330056204050148,8.24541396090848,4.095564841427075,13.0,589.4240857804632,938.682534432855,8.24541396090848,,,81.91129682854151,2.5129575217741587,0.235,200,44.109957237283474,53.075875024162386,5.004658398760389,23.308741949854287,108.83910409679427,503.1467252877253,585.0437037728584,789.4882122603256,3.9285134648069024,3.9285134648069024,3.9285134648069024,3.9285134648069024,0.0,0.0
3,600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9952579166666666,0.005,750.1848639559677,3.7509243197798385,8.698786469123046,8.35233175660018,4.022076012980728,28.0,246.99079596222154,713.916795631391,8.35233175660018,,,80.44152025961456,2.4983517314099872,0.26,200,48.11066669283797,32.962022598497484,25.069237540345856,17.59588270421589,491.0652141306208,297.4606691183673,247.76384507794035,374.60431239524246,3.959700980864844,3.959700980864844,3.959700980864844,3.959700980864844,0.0,0.0
4,800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9936745833333334,0.005,483.7957869232451,2.4189789346162254,9.640719701516439,11.293384027666647,2.7000207148329523,23.0,102.8486908771945,539.1757217266478,11.293384027666647,,,54.000414296659045,2.526756844671249,0.2425,200,53.799276199568645,48.53941434106454,22.925529076836185,10.664797759611758,171.87025882423436,390.2468130720815,98.58898643421686,714.0766079503427,3.644780914356871,3.644780914356871,3.644780914356871,3.644780914356871,0.0,0.0
5,1000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.99209125,0.005,839.196861187827,4.1959843059391355,8.413568894880019,6.321059284007277,4.906903739485124,22.0,578.4699575997711,1044.7497928207852,6.321059284007277,,,98.13807478970247,2.509769228604392,0.26375,200,45.59432934716375,47.221683534560334,20.36807007028652,9.182226093076308,602.1621715389367,238.32101165306594,583.5097505692505,366.0914489196446,3.8972054793825217,3.8972054793825217,3.8972054793825217,3.8972054793825217,0.0,0.0
6,1200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9905079166666667,0.005,920.8257427403171,4.604128713701585,9.05202013345758,7.195820355133952,4.900087841605396,22.0,402.38829130373955,881.5953659496228,7.195820355133952,,,98.00175683210792,2.4972836967278265,0.275,200,40.80688156773517,46.53589661171181,12.487706539350768,19.433641094068907,291.1191594739614,541.246387658826,411.69602339521845,337.7761030924824,4.064352539753,4.064352539753,4.064352539753,4.064352539753,0.0,0.0
7,1400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9889245833333333,0.005,301.0109616974779,1.5050548084873896,8.501785303466638,11.287153718926785,1.785342543329175,20.0,113.07163090396787,445.81759056870317,11.287153718926785,,,35.706850866583494,2.5286100326542935,0.24375,200,56.10425485075265,45.78028841822796,29.601270693401148,5.653019107411601,563.2308796129547,226.87880690684784,117.99920307464035,730.2210780584957,3.738779683121025,3.738779683121025,3.738779683121025,3.738779683121025,0.0,0.0
8,1600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.98734125,0.005,853.6340808914044,4.268170404457022,10.106731604696787,9.519628205150106,4.58886230387428,20.0,147.2722089098982,630.0949710251073,9.519628205150106,,,91.77724607748561,2.627369156575303,0.245,200,60.114803035540575,78.48594259422612,31.618385053901992,32.54037178336099,170.107030370432,158.20860695805777,160.51131178036295,335.0852143165438,3.845040010715182,3.845040010715182,3.845040010715182,3.845040010715182,0.0,0.0
9,1800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9857579166666667,0.005,752.3853391384146,3.7619266956920727,8.119882842542056,7.803039222813907,4.11846880198556,19.0,396.66836371741533,948.3102302905714,7.803039222813907,,,82.36937603971121,2.5154311085643446,0.25125,200,48.121458263973246,47.3650023935369,12.790321724966592,17.989552372204038,736.0712172346978,469.41441761650054,395.94535340234415,441.26085107075284,3.875420987523002,3.875420987523002,3.875420987523002,3.875420987523002,0.0,0.0
10,2000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9841745833333333,0.005,484.5182540301586,2.422591270150793,8.33996122183787,10.061865969113006,3.0175977919744463,22.0,109.50513774960555,539.0788301981671,10.061865969113006,,,60.35195583948892,2.5462790720248027,0.25,200,46.36500784852259,60.80633448291008,5.454081180054717,32.89388522578788,641.0546091726403,488.1298530270989,114.16485474005532,252.25382246241162,3.789638667968146,3.789638667968146,3.789638667968146,3.789638667968146,0.0,0.0
