episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,1.1703178074083922,7.5697001200029606,5.71501038450723,2.2095653185992212,22.0,597.0220681428797,1135.4959638336402,5.71501038450723,,,200,2.2095653185992212,2.2095653185992212,2.2095653185992212,2.2095653185992212,0.0,0.0
2,400,rayleigh,64,2.282679375295458,8.857683475415895,6.108882370793294,3.067851862991898,20.0,83.14079982188169,508.7155655621997,6.108882370793294,,,200,2.6387085907955594,2.6387085907955594,2.6387085907955594,2.6387085907955594,0.0,0.0
3,600,rayleigh,64,4.585613114584484,8.795156001773377,3.989475867530367,4.878231719219623,21.0,430.7693421975299,971.1945851201989,3.989475867530367,,,200,3.3852163002702476,3.3852163002702476,3.3852163002702476,3.3852163002702476,0.0,0.0
4,800,rayleigh,64,-0.28130565902208204,8.743971842815052,8.96046247782826,0.9728212485644477,24.0,39.382673848985526,470.74499288037083,8.96046247782826,,,200,2.7821175373437974,2.7821175373437974,2.7821175373437974,2.7821175373437974,0.0,0.0
5,1000,rayleigh,64,2.285207937071376,7.509729626802151,4.927113200097598,2.8452924701457363,26.0,504.26717708808013,917.2429251884953,4.927113200097598,,,200,2.7947525239041853,2.7947525239041853,2.7947525239041853,2.7947525239041853,0.0,0.0
6,1200,rayleigh,64,1.5322095813389578,7.516763695047666,5.435317967858723,2.5454125118741606,17.0,226.28610230890757,827.4569779194356,5.435317967858723,,,200,2.7531958552325144,2.7531958552325144,2.7531958552325144,2.7531958552325144,0.0,0.0
7,1400,rayleigh,64,2.367736257282679,7.972784795252101,4.5239220733705485,3.539809230246273,18.0,302.53357121838593,719.9991872086072,4.5239220733705485,,,200,2.8655691945201944,2.8655691945201944,2.8655691945201944,2.8655691945201944,0.0,0.0
8,1600,rayleigh,64,4.240157616523473,8.512312129665071,3.9578454507027803,4.631428838130933,25.0,435.8635381037605,933.6202291413823,3.9578454507027803,,,200,3.0863016499715368,3.0863016499715368,3.0863016499715368,3.0863016499715368,0.0,0.0
9,1800,rayleigh,64,4.913697377683397,8.527751813887198,3.296281964453311,5.254301883958348,24.0,564.0624348110541,1013.5866659433314,3.296281964453311,,,200,3.3271905648589604,3.3271905648589604,3.3271905648589604,3.3271905648589604,0.0,0.0
10,2000,rayleigh,64,4.777239419446466,9.111845092353137,3.9934196480378494,5.181669715424358,12.0,158.69655608785197,514.7785635632508,3.9934196480378494,,,200,3.5126384799154997,3.5126384799154997,3.5126384799154997,3.5126384799154997,0.0,0.0
11,2200,rayleigh,64,2.2209277028767214,8.749415476495983,5.916362400447411,3.123362326639768,25.0,200.97448008807012,791.6496583739539,5.916362400447411,,,200,3.477249738708615,3.477249738708615,3.477249738708615,3.477249738708615,0.0,0.0
12,2400,rayleigh,64,2.9543184265463993,8.874548495560253,5.8613175305180345,3.258481092687711,16.0,345.1275236064856,611.7617812173676,5.8613175305180345,,,200,3.4590190182068734,3.4590190182068734,3.4590190182068734,3.4590190182068734,0.0,0.0
13,2600,rayleigh,64,3.584773299050388,8.436363922278519,3.6729132406828375,4.871210300998946,15.0,443.3147799058705,842.1900562408291,3.6729132406828375,,,200,3.5676491168831865,3.5676491168831865,3.5676491168831865,3.5676491168831865,0.0,0.0
14,2800,rayleigh,64,1.715455402068111,7.155136176697596,5.214837092605421,2.2616343823506284,21.0,402.3299375415235,827.1197924151053,5.214837092605421,,,200,3.474362350130861,3.474362350130861,3.474362350130861,3.474362350130861,0.0,0.0
15,3000,rayleigh,64,3.5613727873114613,8.923312052139076,5.111783817341019,3.899940718377028,21.0,402.4318280183436,989.38402391759,5.111783817341019,,,200,3.502734241347272,3.502734241347272,3.502734241347272,3.502734241347272,0.0,0.0
16,3200,rayleigh,64,3.151676937246711,7.180985912670982,2.7850127660454747,4.4799953533406285,13.0,523.4970145545138,881.3852286883644,2.7850127660454747,,,200,3.563813060846857,3.563813060846857,3.563813060846857,3.563813060846857,0.0,0.0
17,3400,rayleigh,64,3.2311542172706686,8.199848869875337,4.705028144519827,3.564548543942913,24.0,562.3231919969747,1171.7990703446146,4.705028144519827,,,200,3.56385632455839,3.56385632455839,3.56385632455839,3.56385632455839,0.0,0.0
18,3600,rayleigh,64,3.2691339988450507,7.2823771935604995,3.3482480564867347,4.126080642048459,18.0,496.6141103083286,1113.392110639101,3.3482480564867347,,,200,3.5950910088633936,3.5950910088633936,3.5950910088633936,3.5950910088633936,0.0,0.0
19,3800,rayleigh,64,0.5438423975565382,7.9250675722279205,7.086471648308193,1.5849121957432357,24.0,31.008929715966886,496.1928508746068,7.086471648308193,,,200,3.4892921239623322,3.4892921239623322,3.4892921239623322,3.4892921239623322,0.0,0.0
