episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,3.4560845459370357,7.931753135542435,3.684607731764203,4.329494122638092,22.0,597.0220681428797,1135.4959638336402,3.684607731764203,,,200,4.329494122638092,4.329494122638092,4.329494122638092,4.329494122638092,0.0,0.0
2,400,rician,64,4.195004523457094,9.286519438902687,4.292969004887282,5.016781628129872,20.0,83.14079982188169,508.7155655621997,4.292969004887282,,,200,4.673137875383982,4.673137875383982,4.673137875383982,4.673137875383982,0.0,0.0
3,600,rician,64,6.99338803537075,9.39080035665443,2.08356875002919,7.307231606625247,21.0,430.7693421975299,971.1945851201989,2.08356875002919,,,200,5.55116911913107,5.55116911913107,5.55116911913107,5.55116911913107,0.0,0.0
4,800,rician,64,0.37818617713564184,9.181496517057328,8.031191705450851,1.618345724389242,24.0,39.382673848985526,470.74499288037083,8.031191705450851,,,200,4.567963270445613,4.567963270445613,4.567963270445613,4.567963270445613,0.0,0.0
5,1000,rician,64,4.571956152273296,7.909680712544743,2.850724492766414,5.097086609031261,26.0,504.26717708808013,917.2429251884953,2.850724492766414,,,200,4.673787938162743,4.673787938162743,4.673787938162743,4.673787938162743,0.0,0.0
6,1200,rician,64,4.0808529189034495,7.985614590339317,3.08617076259606,4.9334859054793325,17.0,226.28610230890757,827.4569779194356,3.08617076259606,,,200,4.717070932715508,4.717070932715508,4.717070932715508,4.717070932715508,0.0,0.0
7,1400,rician,64,4.121023699396421,8.4581790415912,3.1526151401894453,5.334432043252675,18.0,302.53357121838593,719.9991872086072,3.1526151401894453,,,200,4.80526537707796,4.80526537707796,4.80526537707796,4.80526537707796,0.0,0.0
8,1600,rician,64,6.311418886976476,9.01204000400489,2.17328475908327,6.839551641579657,25.0,435.8635381037605,933.6202291413823,2.17328475908327,,,200,5.059551160140672,5.059551160140672,5.059551160140672,5.059551160140672,0.0,0.0
9,1800,rician,64,7.046147147448139,8.96130694983043,1.5828434307672414,7.380372508774264,24.0,564.0624348110541,1013.5866659433314,1.5828434307672414,,,200,5.317420198877738,5.317420198877738,5.317420198877738,5.317420198877738,0.0,0.0
10,2000,rician,64,6.873630909608531,9.553366618879757,2.2754342073271707,7.277932411552594,12.0,158.69655608785197,514.7785635632508,2.2754342073271707,,,200,5.5134714201452235,5.5134714201452235,5.5134714201452235,5.5134714201452235,0.0,0.0
11,2200,rician,64,4.2453723142318305,9.009195367694865,3.8760871689523664,5.152222455354756,25.0,200.97448008807012,791.6496583739539,3.8760871689523664,,,200,5.480630605164271,5.480630605164271,5.480630605164271,5.480630605164271,0.0,0.0
12,2400,rician,64,5.268140478123391,9.25779782948446,3.7040072803248916,5.563312687289132,16.0,345.1275236064856,611.7617812173676,3.7040072803248916,,,200,5.487520778674676,5.487520778674676,5.487520778674676,5.487520778674676,0.0,0.0
13,2600,rician,64,5.380317027858176,8.938763654559862,2.315745939172572,6.628007341510529,15.0,443.3147799058705,842.1900562408291,2.315745939172572,,,200,5.575250514277434,5.575250514277434,5.575250514277434,5.575250514277434,0.0,0.0
14,2800,rician,64,3.3145320746527807,7.529268729452979,3.645663553817564,3.94090745217414,21.0,402.3299375415235,827.1197924151053,3.645663553817564,,,200,5.458511724127199,5.458511724127199,5.458511724127199,5.458511724127199,0.0,0.0
15,3000,rician,64,5.766265385492151,9.226618668062395,3.138822902331793,6.092715899761612,21.0,402.4318280183436,989.38402391759,3.138822902331793,,,200,5.500792002502826,5.500792002502826,5.500792002502826,5.500792002502826,0.0,0.0
16,3200,rician,64,4.699404878446595,7.560319535996643,1.5387430414943717,6.030230701400275,13.0,523.4970145545138,881.3852286883644,1.5387430414943717,,,200,5.533881921183918,5.533881921183918,5.533881921183918,5.533881921183918,0.0,0.0
17,3400,rician,64,5.386240096708417,8.481033347557975,2.748611582034396,5.733552960679045,24.0,562.3231919969747,1171.7990703446146,2.748611582034396,,,200,5.545627276448337,5.545627276448337,5.545627276448337,5.545627276448337,0.0,0.0
18,3600,rician,64,4.819659851285706,7.7411654376761145,1.9164810889973405,5.8294070220394385,18.0,496.6141103083286,1113.392110639101,1.9164810889973405,,,200,5.561392817870065,5.561392817870065,5.561392817870065,5.561392817870065,0.0,0.0
19,3800,rician,64,1.5720886412075663,8.290681220801781,5.5791910889740235,2.847458698159231,24.0,31.008929715966886,496.1928508746068,5.5791910889740235,,,200,5.418554179990547,5.418554179990547,5.418554179990547,5.418554179990547,0.0,0.0
20,4000,rician,64,6.047223336183059,8.316782775986528,1.9380107508785056,6.3801341867573385,21.0,692.8931600700417,1526.7717726582157,1.9380107508785056,,,200,5.466633180328887,5.466633180328887,5.466633180328887,5.466633180328887,0.0,0.0
21,4200,rician,64,7.279291237479903,9.675311169736165,2.0527747539360623,7.6225364158000986,22.0,615.7367023510665,1134.12917340898,2.0527747539360623,,,200,5.631285294986987,5.631285294986987,5.56929523916085,5.56929523916085,0.06199005582613726,0.06199005582613726
22,4400,rician,64,2.712915214708711,8.121725362028226,3.866315698443454,4.2803299497035585,21.0,79.55829470035552,575.4458478758303,3.866315698443454,,,200,5.594462711065671,5.594462711065671,5.510705907821881,5.510705907821881,0.08375680324378987,0.08375680324378987
23,4600,rician,64,5.543088064869148,8.225991822302436,2.374318730569788,5.869833559758587,22.0,190.16495992146528,686.1630890030267,2.374318730569788,,,200,5.522592808722338,5.522592808722338,5.5263201535582605,5.5263201535582605,0.003727344835922075,0.003727344835922075
24,4800,rician,64,3.4066635194110853,8.640462542135408,4.856544405404494,3.846693870999777,19.0,348.0254745183993,785.6332767693812,4.856544405404494,,,200,5.634010216052865,5.634010216052865,5.456335725118323,5.456335725118323,0.17767449093454246,0.17767449093454246
25,5000,rician,64,2.3496743406190546,9.168798396992171,5.5872300270780615,3.657712922253639,24.0,66.09799305412861,638.8916253058101,5.5872300270780615,,,200,5.562041531713984,5.562041531713984,5.384390813003736,5.384390813003736,0.17765071871024762,0.17765071871024762
26,5200,rician,64,4.152451108213386,8.906853106943698,4.425828919089702,4.488327340070818,16.0,156.81479909683708,487.40064759685805,4.425828919089702,,,200,5.539783603443557,5.539783603443557,5.349926833275546,5.349926833275546,0.18985677016801095,0.18985677016801095
27,5400,rician,64,3.941751161474448,9.403851895755915,4.217530618310356,5.224472550388209,21.0,181.1837686753797,832.9960425124176,4.217530618310356,,,200,5.534285628800335,5.534285628800335,5.345280378353793,5.345280378353793,0.1890052504465416,0.1890052504465416
28,5600,rician,64,5.218415928754235,8.292321295363864,2.4456363472129365,5.859689642024659,26.0,789.9392258146105,1330.052991848727,2.4456363472129365,,,200,5.485292528822585,5.485292528822585,5.363652137770609,5.363652137770609,0.12164039105197588,0.12164039105197588
29,5800,rician,64,7.270570878033443,9.643790161687726,1.893182561892159,7.7506075997955675,15.0,581.8953814311391,1064.6842003127977,1.893182561892159,,,200,5.503804283373651,5.503804283373651,5.445960946805952,5.445960946805952,0.05784333656769913,0.05784333656769913
30,6000,rician,64,5.519562832099115,8.530025504474095,2.576250891616231,5.961718197270814,20.0,707.8829351982326,1147.2177234260835,2.576250891616231,,,200,5.437993572659562,5.437993572659562,5.463152855154781,5.463152855154781,0.025159282495218704,0.025159282495218704
31,6200,rician,64,5.4930475139077695,7.949287290280654,2.0559110436516894,5.893742257349871,20.0,616.0149624406188,1242.5207921580932,2.0559110436516894,,,200,5.475069562759317,5.475069562759317,5.477042835870751,5.477042835870751,0.0019732731114343594,0.0019732731114343594
32,6400,rician,64,7.440175839706657,9.542379255851642,1.4736618610312484,8.068717394820398,16.0,419.18021087322296,821.7683477371966,1.4736618610312484,,,200,5.60033979813588,5.60033979813588,5.5580326658379295,5.5580326658379295,0.04230713229795047,0.04230713229795047
33,6600,rician,64,4.208509618922617,8.99174857194152,3.940867698053585,5.058275316634228,18.0,285.3364350088022,747.0760823774385,3.940867698053585,,,200,5.521853196892065,5.521853196892065,5.542888503740848,5.542888503740848,0.021035306848782298,0.021035306848782298
34,6800,rician,64,3.7208853244163174,8.20878771055388,4.09347612523465,4.138395237417381,23.0,82.72633676172919,394.2844037293137,4.09347612523465,,,200,5.531727586154227,5.531727586154227,5.5015798782607455,5.5015798782607455,0.03014770789348198,0.03014770789348198
35,7000,rician,64,3.7304257667207334,7.7722465784182155,3.621935611807063,4.190138170636801,20.0,481.66610921304715,849.1213063561327,3.621935611807063,,,200,5.436598699697987,5.436598699697987,5.464110115185775,5.464110115185775,0.027511415487788682,0.027511415487788682
36,7200,rician,64,6.349089327346427,9.210182648735879,2.3222594341262037,6.887923214609674,31.0,262.8098312378323,802.949211484962,2.3222594341262037,,,200,5.479483325358457,5.479483325358457,5.503660479058662,5.503660479058662,0.024177153700205345,0.024177153700205345
37,7400,rician,64,3.60967181983596,7.451242758384521,2.466089287072349,4.987624704224972,15.0,519.2560598619943,944.9426795868163,2.466089287072349,,,200,5.442186912535753,5.442186912535753,5.489713566225319,5.489713566225319,0.04752665368956599,0.04752665368956599
38,7600,rician,64,5.015448148757941,8.314539259586168,2.8218226790209333,5.495956413687991,17.0,181.1064300632535,824.7690368539124,2.8218226790209333,,,200,5.42551438211818,5.42551438211818,5.489877851684863,5.489877851684863,0.0643634695666826,0.0643634695666826
39,7800,rician,64,-0.29685939531778227,8.251045928600654,10.110116105420127,0.09513862333730783,17.0,9.841494838206897,430.6798320100021,10.110116105420127,,,200,5.2878983783770845,5.2878983783770845,5.3515512048041565,5.3515512048041565,0.06365282642707193,0.06365282642707193
40,8000,rician,64,5.8235099473959595,8.899511141292548,1.9811808436476546,6.9183302976448875,23.0,485.0733173457712,1002.2165075756758,1.9811808436476546,,,200,5.314808183921462,5.314808183921462,5.390720682125174,5.390720682125174,0.07591249820371182,0.07591249820371182
41,8200,rician,64,5.12441631160851,8.416837804955902,1.3938858112802972,7.02295199367561,19.0,537.9430388248525,953.0191849072061,1.3938858112802972,,,200,5.284828962815237,5.284828962815237,5.430531201919087,5.430531201919087,0.1457022391038496,0.1457022391038496
42,8400,rician,64,3.566744903578898,9.755047400805969,5.776828245577075,4.016501570477487,20.0,77.44041315901342,476.88597768101573,5.776828245577075,,,200,5.271637543853934,5.271637543853934,5.396863829741906,5.396863829741906,0.12522628588797247,0.12522628588797247
43,8600,rician,64,2.552362083103087,9.307734805285437,6.196359167872112,3.1705195670828576,14.0,67.95958463422356,445.6343845005591,6.196359167872112,,,200,5.136671844220148,5.136671844220148,5.345088381773091,5.345088381773091,0.2084165375529432,0.2084165375529432
44,8800,rician,64,5.328879144380985,8.983922250915615,2.1550731496681417,6.830622934631042,22.0,454.27857075650036,833.6561951778517,2.1550731496681417,,,200,5.28586829740171,5.28586829740171,5.378850530701681,5.378850530701681,0.09298223329997057,0.09298223329997057
45,9000,rician,64,4.862846651950708,9.562620786920936,4.1436869293570195,5.418933857563917,25.0,275.12725800328985,638.744322632083,4.1436869293570195,,,200,5.373929344167225,5.373929344167225,5.379741271298619,5.379741271298619,0.005811927131394334,0.005811927131394334
46,9200,rician,64,6.430486641361028,9.252116611950774,1.6209187320912737,7.6311978798594975,14.0,737.1516219215154,1331.7825608493856,1.6209187320912737,,,200,5.531072871156658,5.531072871156658,5.4286859801803775,5.4286859801803775,0.1023868909762804,0.1023868909762804
47,9400,rician,64,4.196182185859834,8.191322517339774,2.212264000707602,5.979058516632168,22.0,286.9922079928126,902.686372466613,2.212264000707602,,,200,5.568802169468856,5.568802169468856,5.440396034147437,5.440396034147437,0.12840613532141898,0.12840613532141898
48,9600,rician,64,5.813962011901352,7.991645572797951,1.139992408304404,6.8516531644935466,26.0,572.4489048224248,1205.2986364462417,1.139992408304404,,,200,5.618400345592301,5.618400345592301,5.469797224362981,5.469797224362981,0.1486031212293195,0.1486031212293195
49,9800,rician,64,4.986264166228809,9.113450700044126,3.6694664617111896,5.484084385484256,23.0,123.43732432183873,657.9668926933145,3.6694664617111896,,,200,5.505074184876735,5.505074184876735,5.470088799079742,5.470088799079742,0.034985385796992396,0.034985385796992396
50,10000,rician,64,6.18014335069848,9.022684194149889,2.1376318747626204,6.885052319387276,21.0,718.9428802818718,1245.3107484705445,2.1376318747626204,5.337314663042069,5.337314663042069,200,5.551240890982557,5.551240890982557,5.498388069485893,5.498388069485893,0.05285282149666415,0.05285282149666415
51,10200,rician,64,2.7567523818885618,9.046811129104388,5.951464563901195,3.1761028523617543,19.0,112.20307865254368,513.412941684868,5.951464563901195,,5.337314663042069,200,5.415358920733151,5.415358920733151,5.452853065228557,5.452853065228557,0.03749414449540556,0.03749414449540556
52,10400,rician,64,5.452753504058035,8.768449566141475,2.901333380597138,5.867116185544335,19.0,284.38314095769397,799.0485119893787,2.901333380597138,,5.337314663042069,200,5.305278860269349,5.305278860269349,5.460819663696167,5.460819663696167,0.15554080342681864,0.15554080342681864
53,10600,rician,64,6.6244200135267475,9.748277697013117,2.712347524513501,7.041436009387842,21.0,261.87643388325097,837.1074885402829,2.712347524513501,,5.337314663042069,200,5.404436894907029,5.404436894907029,5.490642613614878,5.490642613614878,0.08620571870784932,0.08620571870784932
54,10800,rician,64,2.062042497853615,8.572176505378573,5.798358004973233,2.8158322996903613,13.0,57.458154882999054,625.2125042327382,5.798358004973233,,5.337314663042069,200,5.338308748020678,5.338308748020678,5.441109089282943,5.441109089282943,0.1028003412622649,0.1028003412622649
55,11000,rician,64,3.0211026662944356,7.8736966834732485,4.233870739334923,3.6557689191945535,21.0,112.46678621624078,606.4424796315722,4.233870739334923,,5.337314663042069,200,5.311590285448567,5.311590285448567,5.4086483589176995,5.4086483589176995,0.09705807346913264,0.09705807346913264
56,11200,rician,64,1.9482630692875127,8.50417106331246,6.139153530107306,2.4934919452265865,13.0,35.21120104271001,734.1811683760409,6.139153530107306,,5.337314663042069,200,5.091868721979412,5.091868721979412,5.356591994387501,5.356591994387501,0.264723272408089,0.264723272408089
57,11400,rician,64,6.041420813606012,8.855944507265376,2.39171315104335,6.464231356222025,29.0,301.1694513014366,877.6618186822607,2.39171315104335,,5.337314663042069,200,5.165699054579265,5.165699054579265,5.3760242638933695,5.3760242638933695,0.2103252093141048,0.2103252093141048
58,11600,rician,64,5.428737519630077,9.0899857952208,3.0117968542575277,6.098204795533046,26.0,584.632120947252,1043.5716846747496,3.0117968542575277,,5.337314663042069,200,5.195811473671518,5.195811473671518,5.388475652369916,5.388475652369916,0.19266417869839803,0.19266417869839803
59,11800,rician,64,6.986412100429655,10.122939974368956,2.743343526660543,7.383360161196194,22.0,87.4521789969245,620.2023681461252,2.743343526660543,,5.337314663042069,200,5.560222550564462,5.560222550564462,5.422287254214429,5.422287254214429,0.1379352963500331,0.1379352963500331
60,12000,rician,64,5.309017428968425,9.340635801573722,3.6224342826008713,5.7182015189728554,15.0,88.69341639725971,527.9078105513034,3.6224342826008713,,5.337314663042069,200,5.500216111630861,5.500216111630861,5.42721915862707,5.42721915862707,0.07299695300379128,0.07299695300379128
61,12200,rician,64,6.15412666620619,8.208662099056061,1.6074935671631314,6.611628706898213,16.0,767.7987713703004,1251.8735325572231,1.6074935671631314,,5.337314663042069,200,5.479649947291991,5.479649947291991,5.446635708598728,5.446635708598728,0.03301423869326303,0.03301423869326303
62,12400,rician,64,5.9073744036335984,8.655248451739858,2.17866896998907,6.481480163821562,27.0,218.05293243927449,905.9320306361756,2.17866896998907,,5.337314663042069,200,5.602898876959195,5.602898876959195,5.463326748199097,5.463326748199097,0.13957212876009795,0.13957212876009795
63,12600,rician,64,1.7559492240753267,8.04788927609129,5.4343650718225485,2.6941015547588574,17.0,151.35460470876325,411.9221230086674,5.4343650718225485,,5.337314663042069,200,5.579077976342995,5.579077976342995,5.419370792747664,5.419370792747664,0.15970718359533098,0.15970718359533098
64,12800,rician,64,5.8916043317918465,9.363322154540565,3.057289313360338,6.306032841180228,17.0,252.5792390069077,770.3786570685168,3.057289313360338,,5.337314663042069,200,5.552848471670453,5.552848471670453,5.433224887254423,5.433224887254423,0.11962358441603005,0.11962358441603005
65,13000,rician,64,2.0004712857684788,9.069772051557338,5.8229546817382625,3.3085906886573113,27.0,93.18823165459597,640.3913643594645,5.8229546817382625,,5.337314663042069,200,5.447331313225123,5.447331313225123,5.400538207276006,5.400538207276006,0.04679310594911712,0.04679310594911712
66,13200,rician,64,4.2920345994202895,8.056378614661405,2.790915458574674,5.318696796047813,26.0,333.1326900320084,900.6611817645016,2.790915458574674,,5.337314663042069,200,5.33170625903454,5.33170625903454,5.39929818589376,5.39929818589376,0.06759192685921978,0.06759192685921978
67,13400,rician,64,2.897378173637962,9.805125268596447,5.695136613060396,4.136361566017214,16.0,103.92816294362105,675.0961324523025,5.695136613060396,,5.337314663042069,200,5.239571411503791,5.239571411503791,5.380448385597096,5.380448385597096,0.14087697409330513,0.14087697409330513
68,13600,rician,64,6.850721216645403,8.90797203941838,1.6323985029106727,7.275573536507702,17.0,372.63991152533015,905.0649475248541,1.6323985029106727,,5.337314663042069,200,5.260767430104499,5.260767430104499,5.408317873110486,5.408317873110486,0.1475504430059873,0.1475504430059873
69,13800,rician,64,6.6177950772539065,8.68211881352047,1.676750865300258,7.023424459083094,19.0,492.18247807299207,947.7299780445079,1.676750865300258,,5.337314663042069,200,5.3377344337844415,5.3377344337844415,5.4317252149361765,5.4317252149361765,0.09399078115173509,0.09399078115173509
