episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,282.30125348797804,1.4115062674398902,7.517957805554987,5.424148995484364,2.474899443693104,22.0,598.8634373117872,1133.924101022812,5.424148995484364,,,49.497988873862084,2.5392723877833445,0.23144164943747456,200,48.3066390882478,56.2351733211021,10.793240092134152,14.316263698866576,872.0306036305884,522.9347257259349,598.8262061156564,383.62473775744417,2.474899443693104,2.474899443693104,0.0,,,,,200
2,400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,634.2470718047343,3.1712353590236715,7.899980940494137,4.161793997029375,3.8780334229056557,20.0,216.2898159802274,764.6911309992191,4.161793997029375,,,77.56066845811311,2.5593006651677506,0.24132176690065535,200,61.24341939240995,60.15580620600536,13.167755701753254,10.607927096147453,668.1865486399188,515.0660836081847,217.94856665528,188.2866314025645,3.17646643329938,3.17646643329938,0.0,,,,,400
3,600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,880.9093328140303,4.404546664070152,8.922272178655462,3.793280527028618,5.16032111953175,17.0,282.82965990205247,706.7845323965694,3.793280527028618,,,103.20642239063501,2.5508248001150013,0.27103840984211275,200,53.74617166707801,62.65322382828106,23.923880302462912,42.613695050161695,331.3572357444193,252.71339204471988,275.53467375095016,384.78146955089005,3.8377513287101706,3.8377513287101706,0.0,,,,,600
4,800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,621.4880203368865,3.1074401016844324,8.186576012340156,5.0211230743571225,3.389093846428424,22.0,479.85029094519354,950.5606048742919,5.0211230743571225,,,67.78187692856848,2.5840469810031697,0.25896893172568525,200,73.97100632648237,60.03550117544557,39.12467130480517,39.08668591025705,474.5109680133311,321.14551862731327,481.3289785814596,312.82882692331054,3.7255869581397336,3.7255869581397336,0.0,,,,,800
5,1000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,681.8831629830694,3.409415814915347,8.978132195801399,5.487395337557196,3.6832115791607247,23.0,251.49847413826373,774.5522651653151,5.487395337557196,,,73.6642315832145,2.5186412896863164,0.24033587164012715,200,55.296178684799266,46.55001538214413,14.002605969168338,25.71652025962332,246.5248146686254,322.6829074625034,253.67323148522547,174.53044953760988,3.7171118823439313,3.7171118823439313,0.0,,,,,1000
6,1200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.18961304426193237,-5.0,True,velocity,False,True,full,True,668.141388169568,3.34070694084784,8.7003614967016,5.161153566757411,3.6210175648111615,23.0,420.4532709958774,894.6055377937661,5.161153566757411,,,72.42035129622325,2.572881384030145,0.27802077087486393,200,54.59339950765523,67.83859530183832,19.98765653550819,17.53728152274955,395.4497489340654,302.5324789650942,426.31199576101375,349.69855627839524,3.7010961627551366,3.7010961627551366,0.0,7.888222694396973,-6.092539310455322,-13.803474426269531,3.30297589302063,1200
7,1400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17916135489940643,-5.0,True,velocity,False,True,full,True,462.9784431716829,2.3148922158584146,7.9101397744633015,5.477333739907056,2.6934832618345657,27.0,138.86807439849252,519.396687996123,5.477333739907056,,,53.86966523669131,2.786072593396566,0.39267496557731646,200,120.4627490391423,76.52158480807451,112.73405613142893,28.609447162815425,591.7228971520706,386.59388922786576,138.8187002191366,162.771406976965,3.5571514626236262,3.5571514626236262,0.0,8.31003189086914,-8.541048049926758,-12.490676879882812,2.265425443649292,1400
8,1600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.16996508836746216,-5.0,True,velocity,False,True,full,True,868.7790606192522,4.343895303096261,8.393276443432141,3.221831102451337,5.214046256914841,23.0,645.82004696744,1053.0331569886237,3.221831102451337,,,104.28092513829682,3.034424397725768,0.4582189546676818,200,154.67669727277067,66.2066094340307,145.38710570637872,9.653901934780777,467.8439179280523,502.54004390772405,643.6702772353675,145.3113136034742,3.764263311910028,3.764263311910028,0.0,11.19364070892334,-12.16554069519043,-11.182999610900879,1.3112821578979492,1600
9,1800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1613001823425293,-5.0,True,velocity,False,True,full,True,962.3266887270636,4.811633443635318,9.000588817594029,3.7491447011487162,5.254065844527034,21.0,628.3997347889022,1258.441289804165,3.7491447011487162,,,105.08131689054069,2.7876798670675136,0.4741996839642525,200,121.54549020992911,75.00027196923169,107.75323215896725,45.55742279643359,349.33869182493834,163.24371739361115,623.3046281011663,636.8222935771156,3.929796926645251,3.929796926645251,0.0,7.839166641235352,-16.38930892944336,-11.454021453857422,1.2788441181182861,1800
10,2000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.15313883125782013,-5.0,True,velocity,False,True,full,True,1661.379337778703,8.306896688893515,9.977872038820344,1.3134657286933424,8.664406310127001,8.0,612.6194105328009,935.0169475347356,1.3134657286933424,,,173.28812620254004,3.206865144935207,0.4729962510033511,200,95.6843469813034,191.81491372332195,72.9774617985572,187.80361876062156,120.86728461611195,180.995165394781,614.4473684861732,99.31254586989994,4.403257864993426,4.403257864993426,0.0,15.705276489257812,-21.213563919067383,-10.772275924682617,0.7416794896125793,2000
11,2200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.14545579254627228,-5.0,True,velocity,False,True,full,True,646.340152685707,3.231700763428535,7.5264562960523635,3.002401966106828,4.565875448450048,18.0,560.4536884616522,1070.9443278942706,3.002401966106828,,,91.31750896900095,3.458769843001678,0.4837515242025256,200,75.6184126808415,219.30839986414264,72.58300302476125,214.88222337587845,794.9166673951822,502.32928320591117,559.9991203432373,487.76557683586043,4.418041281671301,4.418041281671301,0.0,9.188920974731445,-25.20889663696289,-11.318472862243652,0.8717505931854248,2200
12,2400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.1379179060459137,-5.0,True,velocity,False,True,full,True,368.9745966464718,1.8448729832323592,7.708891177699881,5.311801452281049,2.54942521957242,22.0,199.52902642979802,586.4964942218764,5.311801452281049,,,50.98850439144841,3.0923077655383846,0.4776417250558734,200,60.3477424405568,188.0146073369277,8.997520795235026,179.47083874554997,727.8558174761666,566.357596727459,193.33755213977213,498.4012742212736,4.262323276496394,4.262323276496394,0.0,28.634456634521484,-29.90793228149414,-11.414501190185547,0.762482762336731,2400
