episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,731.7932344893869,3.6589661724469345,7.814354544254277,3.1256831877032174,4.722359348700149,22.0,598.8634373117872,1133.924101022812,3.1256831877032174,,,94.44718697400299,2.5392723877833445,0.23144164943747456,200,48.3066390882478,56.2351733211021,10.793240092134152,14.316263698866576,872.0306036305884,522.9347257259349,598.8262061156564,383.62473775744417,4.722359348700149,4.722359348700149,0.0,,,,,200
2,400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1078.9616721150987,5.394808360575493,8.27148034859991,2.1698739241424376,6.101606424457478,20.0,216.2898159802274,764.6911309992191,2.1698739241424376,,,122.03212848914957,2.5593006651677506,0.24132176690065535,200,61.24341939240995,60.15580620600536,13.167755701753254,10.607927096147453,668.1865486399188,515.0660836081847,217.94856665528,188.2866314025645,5.411982886578814,5.411982886578814,0.0,,,,,400
3,600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1277.7993183039368,6.3889965915196845,9.316748157978852,2.1719771109975605,7.144771046981288,17.0,282.82965990205247,706.7845323965694,2.1719771109975605,,,142.89542093962578,2.5508248001150013,0.27103840984211275,200,53.74617166707801,62.65322382828106,23.923880302462912,42.613695050161695,331.3572357444193,252.71339204471988,275.53467375095016,384.78146955089005,5.989578940046305,5.989578940046305,0.0,,,,,600
4,800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1129.3811763966569,5.646905881983284,8.619054951771014,2.6924538455110825,5.928559626727282,22.0,479.85029094519354,950.5606048742919,2.6924538455110825,,,118.57119253454565,2.5840469810031697,0.25896893172568525,200,73.97100632648237,60.03550117544557,39.12467130480517,39.08668591025705,474.5109680133311,321.14551862731327,481.3289785814596,312.82882692331054,5.974324111716549,5.974324111716549,0.0,,,,,800
5,1000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,1223.328441747661,6.1166422087383046,9.572739706486885,3.182301733503207,6.390437972983684,23.0,251.49847413826373,774.5522651653151,3.182301733503207,,,127.80875945967371,2.5186412896863164,0.24033587164012715,200,55.296178684799266,46.55001538214413,14.002605969168338,25.71652025962332,246.5248146686254,322.6829074625034,253.67323148522547,174.53044953760988,6.057546883969976,6.057546883969976,0.0,,,,,1000
6,1200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.189647376537323,-5.0,True,velocity,False,True,full,True,1225.3070884435276,6.126535442217638,9.049727326133793,2.644152745583091,6.4055745805507005,23.0,420.4532709958774,894.6055377937661,2.644152745583091,,,128.111491611014,2.562357728581627,0.2779618573826156,200,50.04001566048903,67.63771820849666,15.412585426206181,20.880134141723932,390.47668619170133,299.6442563063848,426.31199576101375,355.16207888388686,6.115551500066764,6.115551500066764,0.0,5.666774272918701,-8.922172546386719,-13.687188148498535,3.233912944793701,1200
7,1400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17934371531009674,-5.0,True,velocity,False,True,full,True,1008.7922198134905,5.043961099067452,8.29000627634606,2.8762339971799915,5.4236535601272315,27.0,138.86807439849252,519.396687996123,2.8762339971799915,,,108.47307120254463,2.760281120936341,0.40898538537090645,200,113.03386913585288,72.58056850509466,103.88059606924764,40.87119862597218,623.0520245980687,374.6806471119084,138.8187002191366,179.77350763641235,6.016708937218259,6.016708937218259,0.0,3.8349618911743164,-13.47778606414795,-12.1210355758667,2.0545740127563477,1400
8,1600,SAC,rician,64,0.0003,0.0003,0.0003,64,0.17009307444095612,-5.0,True,velocity,False,True,full,True,1457.8543338529907,7.289271669264954,9.006058720672138,1.3534816495420376,7.652577071130104,23.0,645.82004696744,1053.0331569886237,1.3534816495420376,,,153.0515414226021,2.8311342170738136,0.4645659971330315,200,121.22421556855424,86.65219027350636,112.36022741663865,69.08089047734303,424.6616387235301,401.58285509115484,643.6702772353675,192.08852557313145,6.22119245395724,6.22119245395724,0.0,5.960318565368652,-19.17147445678711,-11.085467338562012,1.2589060068130493,1600
9,1800,SAC,rician,64,0.0003,0.0003,0.0003,64,0.16127699613571167,-5.0,True,velocity,False,True,full,True,1490.2176774577142,7.451088387288571,9.452009173905294,1.666834329661376,7.785174844243926,21.0,628.3997347889022,1258.441289804165,1.666834329661376,,,155.70349688487852,2.6565113207480273,0.4751668062619865,200,76.21117704392033,72.92863492068932,40.37417188137728,24.50656938277259,280.56341213783486,286.8337451168486,623.3046281011663,579.9720834927851,6.394968275100205,6.394968275100205,0.0,3.3482589721679688,-25.106563568115234,-11.702248573303223,1.414431095123291,1800
10,2000,SAC,rician,64,0.0003,0.0003,0.0003,64,0.15291160345077515,-5.0,True,velocity,False,True,full,True,1895.70442107853,9.47852210539265,10.387374441887022,0.5964392690419713,9.790935172845055,8.0,612.6194105328009,935.0169475347356,0.5964392690419713,,,195.8187034569011,2.8420777495668568,0.4726808882690966,200,67.58037959318568,133.30169469740818,30.24999112177859,128.15727306295884,125.39348050934186,199.71718000601297,614.4473684861732,135.28533424294608,6.73456496487469,6.73456496487469,0.0,18.827877044677734,-31.542451858520508,-11.025632858276367,0.8720957636833191,2000
11,2200,SAC,rician,64,0.0003,0.0003,0.0003,64,0.14489617943763733,-5.0,True,velocity,False,True,full,True,1109.2376399988173,5.546188199994086,7.999530749224011,1.391229470507076,6.60830127871693,18.0,560.4536884616522,1070.9443278942706,1.391229470507076,,,132.16602557433862,2.8784424166555658,0.48269551418721673,200,95.61845859012708,114.04091981772642,85.30969238046009,105.49508971700433,788.8553775046646,502.62704029055925,559.9991203432373,488.08497391128543,6.723086447951258,6.723086447951258,0.0,3.6074166297912598,-38.23033142089844,-12.284896850585938,1.3604189157485962,2200
12,2400,SAC,rician,64,0.0003,0.0003,0.0003,64,0.1371135264635086,-5.0,True,velocity,False,True,full,True,774.4893477058957,3.8724467385294785,7.990162640825557,3.378120905507539,4.616858400413578,22.0,199.52902642979802,586.4964942218764,3.378120905507539,,,92.33716800827158,2.676453149652923,0.4774562598112971,200,81.0525517499598,76.69765607862809,66.99383414405696,46.04002219910434,797.2704406970971,625.7309435125014,193.33755213977213,587.7366619008224,6.547567443989784,6.547567443989784,0.0,35.61112976074219,-43.94684982299805,-12.115851402282715,1.0985815525054932,2400
