episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
1,200,TD3PG,rayleigh,64,0.001,0.001,64,0.2999378125,0.2,0.5,2,velocity,False,True,full,True,370.6044792897172,1.853022396448586,7.530197431495485,5.254186319411589,2.562695036245899,22.0,594.743624077765,1131.865266469292,5.254186319411589,,,51.253900724917976,2.6098156988347005,0.18871059492069128,200,70.08142563227058,74.62006668206182,64.75612123475362,65.5409744885455,815.0029121640043,489.64292204870975,604.4687704626797,316.82142420786533,2.562695036245899,2.562695036245899,0.0,,,200
2,400,TD3PG,rayleigh,64,0.001,0.001,64,0.2998753125,0.2,0.5,2,velocity,False,True,full,True,563.4662000979015,2.8173310004895074,8.483127797842553,5.6554920084207465,3.096098941265083,22.0,603.6666397642083,1110.456709015078,5.6554920084207465,,,61.921978825301665,2.559341834092857,0.1879576976972919,200,64.39214650480237,60.63154297736887,53.881047981634616,49.01335858757963,356.9174960473796,318.3913755504397,599.3854145555836,623.6074595495671,2.829396988755491,2.829396988755491,0.0,,,400
3,600,TD3PG,rayleigh,64,0.001,0.001,64,0.29981281249999997,0.2,0.5,2,velocity,False,True,full,True,373.95125054916844,1.8697562527458422,8.121939802326267,6.118466843908064,2.3279234623973273,16.0,229.61426487173088,434.0669915441251,6.118466843908064,,,46.55846924794655,2.558963825129795,0.18888722542360495,200,49.04410119720663,73.77766130438265,25.043152479009603,67.48439371613493,527.7433001736822,449.7995902563092,228.3108891238978,413.9617879645804,2.6622391466361033,2.6622391466361033,0.0,,,600
4,800,TD3PG,rayleigh,64,0.001,0.001,64,0.2997503125,0.2,0.5,2,velocity,False,True,full,True,682.7978849413578,3.413989424706789,9.226412851921996,5.722256933696118,3.6938719459958156,24.0,469.0634641744376,932.3457545428198,5.722256933696118,,,73.87743891991632,2.568499365769079,0.19121412415794972,200,58.96499303346982,72.45072870445418,49.732420610022515,64.23440087038472,221.9675236849665,198.17437593317334,467.85781910466346,354.75330140679995,2.920147346476031,2.920147346476031,0.0,,,800
5,1000,TD3PG,rayleigh,64,0.001,0.001,64,0.2996878125,0.2,0.5,2,velocity,False,True,full,True,542.3305511367462,2.711652755683731,8.400121044325449,5.305430804780572,3.2151824859537417,22.0,338.18443379179024,832.1958130195343,5.305430804780572,,,64.30364971907484,2.552441022728578,0.17915579502578055,200,60.68973988300706,61.32286021340693,52.745060763143506,52.364880767949664,436.45461229973597,461.8074844328355,332.46737676345555,136.32034377062553,2.979154374371573,2.979154374371573,0.0,,,1000
6,1200,TD3PG,rayleigh,64,0.001,0.001,64,0.29962531249999996,0.2,0.5,2,velocity,False,True,full,True,736.8073102152929,3.6840365510764643,8.797275953504206,4.602647124716645,4.377545994053817,23.0,464.5719197497513,1178.6586591648347,4.602647124716645,,,87.55091988107634,5.995421567288671,0.3475549895963163,200,317.6036373856921,316.984249801415,299.4413530508111,309.7990041442501,440.00300657014435,386.57935084437344,465.01434654280564,446.53583906016286,3.2122196443186137,3.2122196443186137,0.0,6.7014689445495605,-4.871761322021484,1200
7,1400,TD3PG,rayleigh,64,0.001,0.001,64,0.2995628125,0.2,0.5,2,velocity,False,True,full,True,745.1542287440907,3.7257711437204533,8.590258543434691,3.8572990575445933,4.788489616177179,19.0,187.3663139503085,661.3045622585934,3.8572990575445933,,,95.76979232354358,6.758901353386904,0.46895070413654627,200,378.7456330810098,361.5588549445063,378.1322965854765,199.8538032146688,286.2117465940997,192.56892754745002,189.842595196681,477.8177957615316,3.437401068869837,3.437401068869837,0.0,7.761279582977295,-6.484388828277588,1400
8,1600,TD3PG,rayleigh,64,0.001,0.001,64,0.2995003125,0.2,0.5,2,velocity,False,True,full,True,273.18988684559895,1.3659494342279948,8.763425057634352,5.392691063820882,3.43848672208511,28.0,350.604740926153,814.8350457635959,5.392691063820882,,,68.7697344417022,6.893441682436872,0.4666670541682146,200,285.9600830759698,279.3115201765196,267.3487734367278,270.855116800442,402.5339301041123,516.2176816938877,353.81181608620074,1024.4311490518887,3.4375367755217465,3.4375367755217465,0.0,6.395522117614746,-7.9798126220703125,1600
9,1800,TD3PG,rayleigh,64,0.001,0.001,64,0.2994378125,0.2,0.5,2,velocity,False,True,full,True,529.5149893273156,2.6475749466365777,7.681259126730892,3.4736756885022997,4.245314001208779,24.0,592.5499990535068,1139.4370957100646,3.4736756885022997,,,84.90628002417559,6.7407243755314585,0.4675931923032604,200,268.3991865546503,374.19574953171974,114.21365288458456,280.8421076461017,589.4637364183205,539.6420574370206,581.3862670730196,234.47247389032833,3.5272898005980835,3.5272898005980835,0.0,5.905763149261475,-9.16386604309082,1800
10,2000,TD3PG,rayleigh,64,0.001,0.001,64,0.2993753125,0.2,0.5,2,velocity,False,True,full,True,715.4493625370324,3.577246812685162,7.709714294975199,1.9818092055042145,5.741845982590301,21.0,771.8890072718162,1080.2200256806625,1.9818092055042145,,,114.83691965180603,6.722660872666496,0.4683249993403857,200,334.5000659678846,76.30146529091574,136.0840253915007,75.41047078149091,616.3325862614927,432.0712097945759,771.9522768754374,361.00446372649253,3.748745418797305,3.748745418797305,0.0,8.45301342010498,-11.318466186523438,2000
