episode,global_step,fading_model,hidden_dim,epsilon,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,0.9994638055555556,1.1945634977695725,7.31689455657709,8.688456734647517,2.244065789182074,22.0,597.9504107245127,1142.0013367759523,8.688456734647517,,,200,2.244065789182074,2.244065789182074,2.244065789182074,2.244065789182074,0.0,0.0
2,400,rayleigh,64,0.9989249166666667,-0.13876799484351893,7.336453777624029,12.639435709501178,0.48741768323566276,21.0,167.12932430535204,389.80245977762485,12.639435709501178,,,200,1.3657417362088684,1.3657417362088684,1.3657417362088684,1.3657417362088684,0.0,0.0
3,600,rayleigh,64,0.9983860277777777,0.21725195841246464,7.532058236748307,11.670431010264087,1.1683702861736789,14.0,98.94743962217495,391.6033087473409,11.670431010264087,,,200,1.2999512528638053,1.2999512528638053,1.2999512528638053,1.2999512528638053,0.0,0.0
4,800,rayleigh,64,0.9978471388888889,3.7884571585455205,8.750525598771562,7.905091400370526,4.06342048073759,13.0,568.1724769831865,868.2366517276456,7.905091400370526,,,200,1.9908185598322514,1.9908185598322514,1.9908185598322514,1.9908185598322514,0.0,0.0
5,1000,rayleigh,64,0.99730825,2.861308102444551,8.110707234825833,7.768155915226444,3.1440722657211984,19.0,601.3406805639437,1215.7800510430043,7.768155915226444,,,200,2.221469301010041,2.221469301010041,2.221469301010041,2.221469301010041,0.0,0.0
6,1200,rayleigh,64,0.9967693611111111,2.403129565516606,8.106489487814601,8.313491710998768,2.8701028464962692,18.0,573.423816880799,1255.4803418191475,8.313491710998768,,,200,2.329574891924412,2.329574891924412,2.329574891924412,2.329574891924412,0.0,0.0
7,1400,rayleigh,64,0.9962304722222223,2.433274404634945,8.054342428292447,8.46470487162135,2.7702875405353264,18.0,749.1373300203086,1265.187136052581,8.46470487162135,,,200,2.3925338417259714,2.3925338417259714,2.3925338417259714,2.3925338417259714,0.0,0.0
8,1600,rayleigh,64,0.9956915833333333,1.7410705673695965,7.656632255766251,9.261397564075624,2.047997697494526,15.0,447.36635462397845,944.9332705775093,9.261397564075624,,,200,2.349466823697041,2.349466823697041,2.349466823697041,2.349466823697041,0.0,0.0
9,1800,rayleigh,64,0.9951526944444444,0.6912020440336356,8.243532440925357,12.690195354179295,0.997670607012052,20.0,86.58105569418238,618.9306648499464,12.690195354179295,,,200,2.1992672440653753,2.1992672440653753,2.1992672440653753,2.1992672440653753,0.0,0.0
10,2000,rayleigh,64,0.9946138055555556,1.527883407986189,8.990385804597132,11.876907273337935,1.8013300785870843,24.0,95.57151129886667,611.9863968303351,11.876907273337935,,,200,2.1594735275175463,2.1594735275175463,2.1594735275175463,2.1594735275175463,0.0,0.0
