episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,304.1442798293797,1.5207213991468984,7.403742263653598,4.902522193538599,2.825145543885355,22.0,585.4366019895795,1129.315397419437,4.902522193538599,,,56.5029108777071,3.4208181134495455,0.23960339880315587,200,164.16677107183583,107.60693334768006,133.6022075553299,65.24269853136097,0,936.2580493653586,589.017817632174,574.5024424742833,347.3081185369902,2.825145543885355,2.825145543885355,2.825145543885355,2.825145543885355,0.0,0.0
2,400,rayleigh,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,941.5183233084788,4.707591616542394,8.67822321601329,3.5880383846818096,5.137454586662429,18.0,268.17065075528416,715.2382199854997,3.5880383846818096,,,102.74909173324858,3.100885142858891,0.2492929858888965,200,132.2482637806727,140.4838213070966,73.814122535997,99.33903760562261,0,390.91378695879524,372.39370643043003,250.70228361588525,295.2599155888051,3.981300065273892,3.981300065273892,3.981300065273892,3.981300065273892,0.0,0.0
3,600,rayleigh,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,437.64479791911367,2.1882239895955684,8.842188703156046,6.775500317388854,2.6740799844506387,23.0,96.1357127743888,573.0851280944988,6.775500317388854,,,53.481599689012775,4.280637229447106,0.36617028471082447,200,198.6591431953996,245.62094186587095,130.96737054852267,232.13838932960772,0,313.5485264951777,301.83680439151254,89.94925652244164,443.60885636143246,3.5455600383328076,3.5455600383328076,3.5455600383328076,3.5455600383328076,0.0,0.0
4,800,rayleigh,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,562.5414540719165,2.812707270359583,8.858986790521339,4.396741736254042,4.480718868046102,21.0,213.1399442410203,673.5350660589875,4.396741736254042,,,89.61437736092205,6.797277130002166,0.4834661411494017,200,379.0835930532223,236.9231484926428,373.03995551996843,226.24824954606936,0,259.92290781264387,474.14178243076987,218.03206917135898,368.13486741092913,3.7793497457611314,3.7793497457611314,3.7793497457611314,3.7793497457611314,0.0,0.0
5,1000,rayleigh,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,309.6702475646405,1.5483512378232023,8.106067818976012,5.021376127404474,3.199757785096959,28.0,394.2779690306267,919.711854912943,5.021376127404474,,,63.99515570193918,6.324543292019658,0.4680466205626726,200,326.2595389756623,302.94980903836733,89.51692282610112,268.4425026763095,0,556.8842486134234,541.0198486363996,378.8251557651127,518.664902687849,3.6634313536282965,3.6634313536282965,3.6634313536282965,3.6634313536282965,0.0,0.0
6,1200,rayleigh,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,910.978871859617,4.5548943592980855,9.170795502801688,3.833211095397219,5.357236349910855,26.0,459.5395905287593,1174.9581821102445,3.833211095397219,,,107.14472699821711,6.684818270557844,0.4394903853535652,200,373.07643886019406,364.78789382120976,334.72583512136674,272.9032330310166,0,326.2994422746642,474.88593770579774,442.2970710040439,566.575637924897,3.9457321863420565,3.9457321863420565,3.9457321863420565,3.9457321863420565,0.0,0.0
7,1400,rayleigh,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,-67.85697249317234,-0.3392848624658617,7.99318353810946,6.434203511920877,1.8749589252911825,17.0,142.83908767939602,589.8429926246237,6.434203511920877,,,37.49917850582365,6.669111850865885,0.4278438710421324,200,274.926034885658,295.87951420631117,245.17067814934472,263.87318390182867,0,486.3109447074628,511.64702370993456,129.27490658955676,781.4015799788518,3.64990743476336,3.64990743476336,3.64990743476336,3.64990743476336,0.0,0.0
8,1600,rayleigh,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,857.4467433809228,4.287233716904614,7.958770175167037,2.853519034210655,5.155625829464894,25.0,465.69757274457976,1069.948523777919,2.853519034210655,,,103.1125165892979,6.4157144025129105,0.4441998708248138,200,369.43644401020987,336.35167758360154,356.9450865727039,315.36303466291326,0,479.29704373707364,225.6028496882786,468.46392170404727,171.77528357650394,3.8381222341010517,3.8381222341010517,3.8381222341010517,3.8381222341010517,0.0,0.0
9,1800,rayleigh,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,141.13512388013086,0.7056756194006543,8.277724729108538,7.319427953176251,1.5242807777329055,22.0,72.06764167552429,449.4454375908722,7.319427953176251,,,30.48561555465811,6.8064236993757445,0.45968014173209665,200,377.0339073137379,372.7539807398138,375.0467967670325,362.56283183434084,0,637.2226833442295,519.9119346567387,86.7516816393065,667.0365597251025,3.581028738949035,3.581028738949035,3.581028738949035,3.581028738949035,0.0,0.0
10,2000,rayleigh,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,354.0317190623983,1.7701585953119914,8.176655047455707,4.043130425185451,4.1693550255889225,21.0,136.20295668331474,704.4073464732397,4.043130425185451,,,83.38710051177846,6.799972516490144,0.4170394840836525,200,307.50047497320696,84.38384474662608,268.989719288667,74.82353799535127,0,466.6083536183004,614.1349529768862,119.47402221478437,563.9840713570011,3.639861367613024,3.639861367613024,3.639861367613024,3.639861367613024,0.0,0.0
