episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,0.249005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,752.4778969484986,3.762389484742493,7.797984651427418,2.82050430495035,5.082421977554182,22.0,585.4366019895795,1129.315397419437,2.82050430495035,,,101.64843955108363,3.45259770385182,0.23880155094433575,200,155.24795427364333,104.4097062136417,125.0043424769414,57.79735924372545,0,929.6704050908389,584.9733141956584,574.5024424742833,358.5805770318713,5.082421977554182,5.082421977554182,5.082421977554182,5.082421977554182,0.0,0.0
2,400,rician,0.248005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1360.5408039745732,6.802704019872866,9.082137136860426,1.8544434879639702,7.227693648896457,18.0,268.17065075528416,715.2382199854997,1.8544434879639702,,,144.55387297792913,3.129223143964306,0.2492625559368753,200,133.74054910031376,143.6503580044822,74.09795768408583,103.23061030856907,0,398.9820703475662,380.6580595048463,250.70228361588525,286.2358793959865,6.155057813225319,6.155057813225319,6.155057813225319,6.155057813225319,0.0,0.0
3,600,rician,0.247005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,866.7737176702908,4.333868588351454,9.305227916122773,4.969927432265748,4.828675659448061,23.0,96.1357127743888,573.0851280944988,4.969927432265748,,,96.57351318896123,4.352804529761875,0.36524886191822586,200,197.6988420127787,256.5452971594317,133.97907067344224,243.36741445726514,0,331.74151059487843,298.05092631381933,89.94925652244164,452.3308806863273,5.712930428632899,5.712930428632899,5.712930428632899,5.712930428632899,0.0,0.0
4,800,rician,0.246005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1107.3114764150216,5.536557382075108,9.31934196626113,2.115123945235171,7.204218021025961,21.0,213.1399442410203,673.5350660589875,2.115123945235171,,,144.08436042051923,6.797236583785906,0.4834558918327093,200,379.0968637395513,236.96839316188033,373.07220383370765,226.31312733600853,0,259.7471497263997,474.16480380068475,218.03206917135898,368.1946510871882,6.085752326731165,6.085752326731165,6.085752326731165,6.085752326731165,0.0,0.0
5,1000,rician,0.245005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,765.5201770048188,3.8276008850240943,8.631547935440993,2.647554055641469,5.98399387979952,28.0,394.2779690306267,919.711854912943,2.647554055641469,,,119.67987759599042,6.687183087120694,0.4680482177436352,200,265.1735411414883,286.0398257142386,233.3083858223749,218.24024953530056,0,379.1868172787602,503.0797244896804,378.8251557651127,535.4113621509974,6.065400637344836,6.065400637344836,6.065400637344836,6.065400637344836,0.0,0.0
6,1200,rician,0.244005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1322.3364356395819,6.611682178197909,9.301019367511946,1.6585034612251583,7.64251590628679,26.0,459.5395905287593,1174.9581821102445,1.6585034612251583,,,152.8503181257358,6.413990417762445,0.4394916707277298,200,359.35348399398885,335.47384879749194,341.99660823517,280.79276036306976,0,343.6829409178452,506.59953733770203,442.2970710040439,91.78541474087652,6.3282531821684955,6.3282531821684955,6.3282531821684955,6.3282531821684955,0.0,0.0
7,1400,rician,0.243005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,414.97478520487147,2.0748739260243574,8.530313566171877,4.277716811980277,4.2783146372901975,17.0,142.83908767939602,589.8429926246237,4.277716811980277,,,85.56629274580395,6.714093435034681,0.4278442130982876,200,274.92600032373196,300.7374482693389,245.17062260616612,273.4516235856769,0,486.310958939161,511.6470126871538,129.27490658955676,602.287005217888,6.035404818614452,6.035404818614452,6.035404818614452,6.035404818614452,0.0,0.0
8,1600,rician,0.242005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1305.7382389191982,6.528691194595991,8.384147004399074,0.944514148572817,7.439632855826251,25.0,465.69757274457976,1069.948523777919,0.944514148572817,,,148.79265711652502,6.70748752384115,0.44421000361442564,200,369.43675082436204,371.99808181003976,356.9453657584926,368.97489728969566,0,479.2964998747317,225.6026811538264,468.46392170404727,349.92855691365406,6.210933323265927,6.210933323265927,6.210933323265927,6.210933323265927,0.0,0.0
9,1800,rician,0.241005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,300.02414597699226,1.5001207298849613,8.894700940284642,6.262749831767674,2.650689504795749,22.0,72.06764167552429,449.4454375908722,6.262749831767674,,,53.01379009591499,6.675788123134477,0.4596816449612379,200,372.45106518544173,360.30530466666465,267.66526288601295,301.15197012486533,0,374.3579269870689,464.38453091899925,86.7516816393065,781.4895927364491,5.81535067676924,5.81535067676924,5.81535067676924,5.81535067676924,0.0,0.0
10,2000,rician,0.240005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,859.210814567536,4.29605407283768,9.412392159631334,3.400914166399526,6.011477993231809,21.0,136.20295668331474,704.4073464732397,3.400914166399526,,,120.22955986463619,6.515085342041889,0.41704040706157686,200,358.11745553952403,94.78722498480485,351.50279600191794,64.79087349304484,0,136.68419166415356,410.10900221174074,119.47402221478437,555.1157176767404,5.834963408415497,5.834963408415497,5.834963408415497,5.834963408415497,0.0,0.0
11,2200,rician,0.239005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,919.0893002567651,4.595446501283826,8.873384629982532,2.981119256916616,5.896565217718447,24.0,333.6147888729853,841.0534947302833,2.981119256916616,,,117.93130435436892,6.178779592753557,0.4678518821299076,200,314.0690710468797,337.1000718794462,199.0648320897205,307.05892518359997,0,386.1687125262459,576.3209350402901,351.07466204152695,867.4151844425076,5.840563572897583,5.840563572897583,5.840563572897583,5.840563572897583,0.0,0.0
12,2400,rician,0.238005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,917.4412490101905,4.587206245050953,8.58493095153792,2.8365118769730002,5.74841907456492,14.0,200.28769089652528,519.6790691665653,2.8365118769730002,,,114.96838149129839,5.9658204550562015,0.4591081088781357,200,340.556819328032,241.80644803379315,272.13762944664524,187.54977139386284,0,491.3573523365124,70.87258793478415,185.39354774147398,289.81995328574635,5.832884864703195,5.832884864703195,5.832884864703195,5.832884864703195,0.0,0.0
13,2600,rician,0.237005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,873.019258379344,4.36509629189672,7.901966679844097,1.3391797406245338,6.562786939219559,25.0,364.5273032765834,1000.7047477441592,1.3391797406245338,,,131.25573878439116,6.536138422367773,0.4160184313356876,200,227.48295555479496,347.72052525520274,218.65415214381497,331.84356229086416,0,787.1997093994379,560.2893068202213,349.0047882210209,607.149155083754,5.889031178127531,5.889031178127531,5.889031178127531,5.889031178127531,0.0,0.0
14,2800,rician,0.236005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,797.3178855409151,3.9865894277045753,8.92484548383645,3.287920783254488,5.644423512575047,19.0,235.04867566459598,569.9222964805007,3.287920783254488,,,112.88847025150095,6.229696502081468,0.4335838573426008,200,192.96469634095178,373.469841125413,178.43370285402318,360.7279388895069,0,371.8370160889074,708.8723439378913,226.6590462737255,412.04963611468435,5.871559202016639,5.871559202016639,5.871559202016639,5.871559202016639,0.0,0.0
15,3000,rician,0.235005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,799.3433167318817,3.9967165836594085,9.207789547367627,4.411879550626073,4.8034368449336595,18.0,85.78387008283217,595.7504764338688,4.411879550626073,,,96.06873689867321,6.455028036003341,0.46762627743184565,200,348.16795031043,366.0698853278522,339.13215157156026,362.2184518908179,0,503.94043048101685,580.6809562193722,87.1355392171359,500.14920142678363,5.8003510448777735,5.8003510448777735,5.8003510448777735,5.8003510448777735,0.0,0.0
16,3200,rician,0.234005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,693.480747820491,3.4674037391024553,9.247401077367705,4.960949760632467,4.289847642177424,18.0,37.75747906564111,544.3548122096091,4.960949760632467,,,85.7969528435485,5.883762100153071,0.44910071812570096,200,301.8643823583576,332.1316583121245,290.61852233793013,309.68847363715264,0,204.24878498397237,366.6159717909785,42.33636903182744,422.37806876204246,5.705944582209002,5.705944582209002,5.705944582209002,5.705944582209002,0.0,0.0
17,3400,rician,0.233005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,870.8380715814392,4.354190357907196,9.120469056782678,3.4585405938587055,5.673213730624986,15.0,167.67185501238797,737.0643831815283,3.4585405938587055,,,113.46427461249971,6.170457161101232,0.4606336177140474,200,337.0042742537652,349.63347654864435,303.61098672771715,325.7177780435997,0,143.17979489863959,462.34032677461215,161.66631144775099,427.80075323060044,5.7040192379981765,5.7040192379981765,5.7040192379981765,5.7040192379981765,0.0,0.0
18,3600,rician,0.232005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,914.7596948018331,4.573798474009165,7.32011806349298,1.2583566016303316,6.061761461862653,31.0,620.6947874871626,1251.3898976466578,1.2583566016303316,,,121.23522923725305,6.310256651590962,0.4554953701049089,200,161.4119994072156,376.57340625458215,147.97308100852476,369.71286942826407,0,1287.972143046345,708.8723439378913,604.6301539862649,115.37349336834913,5.723893805990648,5.723893805990648,5.723893805990648,5.723893805990648,0.0,0.0
19,3800,rician,0.231005,ou,velocity,False,True,False,full,True,False,False,False,500.0,32,1207.0567408598672,6.035283704299336,9.082928130664312,2.4102318393004882,6.672696291363826,20.0,145.81524275489394,635.7937698789741,2.4102318393004882,,,133.45392582727652,5.563161324013626,0.44404072359204294,200,234.5866272677502,374.35218623216207,163.1721212904153,364.3197900432496,0,316.3836300832233,105.67033618445161,153.374900614927,389.77813744286965,5.773830778905025,5.773830778905025,5.773830778905025,5.773830778905025,0.0,0.0
