episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9984245833333333,0.005,240.9707576194163,1.2048537880970815,7.31601161495569,8.686380983080555,2.245719380763279,22.0,597.9504107245127,1142.0013367759523,8.686380983080555,,,44.914387615265575,2.5176694549769785,0.25,200,48.04727234674328,49.50429655597881,16.76258645922583,29.50019624247621,845.9008873456708,532.1443303179238,599.4429981852995,361.47407462046783,2.245719380763279,2.245719380763279,2.245719380763279,2.245719380763279,0.0,0.0
2,400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99684125,0.005,-27.534874452733195,-0.13767437226366597,7.336453777624029,12.579196288182393,0.4877342756117027,21.0,167.12932430535204,389.80245977762485,12.579196288182393,,,9.754685512234055,2.512543427820668,0.235,200,44.121211193293384,52.75844389616348,3.973358540065848,26.77275885691159,1004.3957089334275,486.96736585377255,170.7028672369512,744.9555418015433,1.366726828187491,1.366726828187491,1.366726828187491,1.366726828187491,0.0,0.0
3,600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9952579166666666,0.005,57.614797646779756,0.2880739882338988,7.537821549633919,11.27950537669229,1.1842323077241568,14.0,98.94743962217495,391.6033087473409,11.27950537669229,,,23.68464615448314,2.500761669480493,0.26,200,48.209403514192374,34.55618095206098,26.25461070744529,18.86504874102797,753.2770940710363,566.1325946384438,93.80281872790216,423.42556109994666,1.3058953213663795,1.3058953213663795,1.3058953213663795,1.3058953213663795,0.0,0.0
4,800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9936745833333334,0.005,742.3550229489794,3.711775114744897,8.746972457475874,8.031234613782093,3.986540318065854,13.0,568.1724769831865,868.2366517276456,8.031234613782093,,,79.73080636131708,2.526756844671249,0.2425,200,53.79927619956862,48.53941434106496,22.925529076836156,10.66479775961182,343.71714721108174,368.6360785866151,553.3770621886875,175.58914586446244,1.9760565705412483,1.9760565705412483,1.9760565705412483,1.9760565705412483,0.0,0.0
5,1000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.99209125,0.005,553.7835894777672,2.7689179473888363,8.109665295079145,8.028689499051916,3.0484590154808893,19.0,601.3406805639437,1215.7800510430043,8.028689499051916,,,60.9691803096178,2.509769228604392,0.26375,200,45.59432934716346,47.22168353456034,20.36807007028651,9.18222609307631,556.9338841843112,206.98838416696358,585.2848750333628,466.5062567007657,2.190537059529176,2.190537059529176,2.190537059529176,2.190537059529176,0.0,0.0
6,1200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9905079166666667,0.005,481.9947865834839,2.4099739329174197,8.11102901219248,8.225911543248623,2.8828653921261562,18.0,573.423816880799,1255.4803418191475,8.225911543248623,,,57.657307842523124,2.4972836967278265,0.275,200,40.806881567735175,46.535896611711834,12.48770653935067,19.433641094068882,503.0363522792686,457.66217312601646,556.148208447551,602.4477902981898,2.3059251149620064,2.3059251149620064,2.3059251149620064,2.3059251149620064,0.0,0.0
7,1400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9889245833333333,0.005,481.3178190494243,2.4065890952471216,8.052493932690195,8.496929734299815,2.7400031574920054,18.0,749.1373300203086,1265.187136052581,8.496929734299815,,,54.800063149840106,2.5286100326542935,0.24375,200,56.10425485075276,45.78028841822791,29.60127069340105,5.653019107411615,661.2018459731769,214.3204177927496,733.3494077817016,860.2173746644343,2.367936263894863,2.367936263894863,2.367936263894863,2.367936263894863,0.0,0.0
8,1600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.98734125,0.005,364.13003608350647,1.8206501804175323,7.654479507606618,9.435075568693776,2.1284806696919594,15.0,447.36635462397845,944.9332705775093,9.435075568693776,,,42.5696133938392,2.6214571427767273,0.245,200,58.3963788294008,77.95170229316507,29.524768199767642,29.963134774937274,795.9685892959603,250.87243748243716,450.57646895402974,1230.5294614776062,2.3380043146195004,2.3380043146195004,2.3380043146195004,2.3380043146195004,0.0,0.0
9,1800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9857579166666667,0.005,129.2994531331461,0.6464972656657305,8.225823764757212,12.80616424768974,0.9640022827915616,20.0,86.58105569418238,618.9306648499464,12.80616424768974,,,19.280045655831234,2.509874672670752,0.25125,200,46.61283534400576,45.8352188467299,11.10005509275327,18.314020493563643,511.3630445847307,430.7668760881079,84.81513941162494,577.7099011269139,2.185337422194174,2.185337422194174,2.185337422194174,2.185337422194174,0.0,0.0
10,2000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9841745833333333,0.005,325.1848463892083,1.6259242319460414,9.021465782014571,11.811142922590726,1.902994052595842,24.0,95.57151129886667,611.9863968303351,11.811142922590726,,,38.05988105191684,2.5462790720248027,0.25,200,46.3650078485225,60.806334482910074,5.45408118005462,32.89388522578794,264.7453011787584,292.9799074919997,105.65659193195268,391.47246864695416,2.1571030852343407,2.1571030852343407,2.1571030852343407,2.1571030852343407,0.0,0.0
