episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,1.2644783328723843,7.34726659327546,5.458067450178929,2.303217297706692,22.0,597.9504107245127,1142.0013367759523,5.458067450178929,,,200,2.303217297706692,2.303217297706692,2.303217297706692,2.303217297706692,0.0,0.0
2,400,rayleigh,64,2.5653978923819647,8.734381776750823,6.248657535869453,2.8529270551239505,20.0,214.20376953286504,610.52482233682,6.248657535869453,,,200,2.578072176415321,2.578072176415321,2.578072176415321,2.578072176415321,0.0,0.0
3,600,rayleigh,64,3.0588399184986974,7.661048560842654,4.370068296359774,3.5114841495669937,17.0,295.7032957684753,701.9323480650908,4.370068296359774,,,200,2.8892095007992125,2.8892095007992125,2.8892095007992125,2.8892095007992125,0.0,0.0
4,800,rayleigh,64,3.3313708882357336,7.7531746217621045,4.067679291520581,3.8248341436141318,21.0,727.5591401076634,1307.91139476622,4.067679291520581,,,200,3.123115661502942,3.123115661502942,3.123115661502942,3.123115661502942,0.0,0.0
5,1000,rayleigh,64,-0.1851436512274205,7.619990668023524,6.658265180295839,1.6569821055054539,33.0,153.603418780682,474.6737762211542,6.658265180295839,,,200,2.8298889503034443,2.8298889503034443,2.8298889503034443,2.8298889503034443,0.0,0.0
6,1200,rayleigh,64,3.1101814560396197,8.740838721794239,5.55503464439718,3.423078772019542,23.0,427.10284348181506,946.6410245966151,5.55503464439718,,,200,2.928753920589461,2.928753920589461,2.928753920589461,2.928753920589461,0.0,0.0
7,1400,rayleigh,64,3.3133200717996454,9.678792098082091,6.241776600743137,3.609616416699159,17.0,267.53960543813696,713.2872498579013,6.241776600743137,,,200,3.0260199914622747,3.0260199914622747,3.0260199914622747,3.0260199914622747,0.0,0.0
8,1600,rayleigh,64,1.578781394339579,8.013356639709894,5.365421817945592,2.8968843968189466,18.0,288.66735972214724,902.3155579984212,5.365421817945592,,,200,3.0098780421318585,3.0098780421318585,3.0098780421318585,3.0098780421318585,0.0,0.0
9,1800,rayleigh,64,1.9661068228265177,8.196664863680533,5.174824117116378,3.203973343410503,18.0,326.2579102101239,964.1602389279228,5.174824117116378,,,200,3.0314441867183746,3.0314441867183746,3.0314441867183746,3.0314441867183746,0.0,0.0
10,2000,rayleigh,64,3.19571810311507,7.636512600505839,4.318868453693128,3.474701836123579,19.0,394.3065506993855,794.6404194332076,4.318868453693128,,,200,3.075769951658895,3.075769951658895,3.075769951658895,3.075769951658895,0.0,0.0
11,2200,rayleigh,64,0.9973968015762565,8.463942293263447,7.914188197860325,1.3400774240463291,33.0,88.51997370656063,711.718862695607,7.914188197860325,,,200,2.9179797218759345,2.9179797218759345,2.9179797218759345,2.9179797218759345,0.0,0.0
12,2400,rayleigh,64,0.658430421076689,8.039558907685581,7.311870693834529,1.3757663819344235,26.0,28.385963769590607,456.05222499007533,7.311870693834529,,,200,2.7894619435474755,2.7894619435474755,2.7894619435474755,2.7894619435474755,0.0,0.0
13,2600,rayleigh,64,2.3854913713721384,8.275152496500587,5.8134333103553875,2.6785153875232126,20.0,98.50154925247084,543.3651138225171,5.8134333103553875,,,200,2.7809275930840704,2.7809275930840704,2.7809275930840704,2.7809275930840704,0.0,0.0
14,2800,rayleigh,64,2.150595836818297,7.444146393895372,4.193477610149866,3.3871693182256166,21.0,684.1293694661534,1307.0346167404082,4.193477610149866,,,200,2.824230573451324,2.824230573451324,2.824230573451324,2.824230573451324,0.0,0.0
15,3000,rayleigh,64,1.6100135115871257,8.337989302006363,7.145644205169169,1.9323624495775478,18.0,145.95390352615553,578.5250535526322,7.145644205169169,,,200,2.7647726985264054,2.7647726985264054,2.7647726985264054,2.7647726985264054,0.0,0.0
16,3200,rayleigh,64,3.1029503048831053,7.997402802797681,4.716016915081941,3.4290741059600847,14.0,403.62771276536375,715.5505712848322,4.716016915081941,,,200,2.8062915364910106,2.8062915364910106,2.8062915364910106,2.8062915364910106,0.0,0.0
