episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,alpha_lr,batch_size,alpha,target_entropy,auto_entropy_tuning,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,alpha_loss,policy_entropy,replay_size
1,200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,377.19526254033724,1.8859763127016862,7.579740882427841,5.223661426141314,2.6838517647602345,22.0,580.3276795925286,1121.0891349682443,5.223661426141314,,,53.67703529520469,2.568746794874272,0.2464502216992696,200,63.03619152027619,64.06198968460178,27.328868558730743,41.54961390844624,807.0791323718088,502.58967299905845,563.7288135372414,348.16220289197054,2.6838517647602345,2.6838517647602345,0.0,,,,,200
2,400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,434.3967110448439,2.1719835552242195,7.330796431140759,3.979063590487523,3.4555498633117523,20.0,836.616819045154,1292.5129253585867,3.979063590487523,,,69.11099726623503,2.5543541933021827,0.24388745526317507,200,52.73071754203274,49.42780008105967,18.91446045710326,38.29315793093979,1061.85138686899,497.4088606906347,838.1767247350178,311.47428448006264,3.0697008140359934,3.0697008140359934,0.0,,,,,400
3,600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,220.01665248282652,1.1000832624141326,8.109937202926037,6.068669140652864,2.316484819468433,26.0,341.87651741697033,894.9781073781587,6.068669140652864,,,46.329696389368664,2.5794207644557936,0.25327236598939634,200,44.536206966322744,66.17406054290127,12.153372847982938,18.805660468314926,512.5609319044954,565.1923761273663,344.0211542775249,578.5598235106002,2.818628815846807,2.818628815846807,0.0,,,,,600
4,800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,673.8852168597705,3.3694260842988526,8.465440091036163,4.842388087499816,3.809111195568142,21.0,357.3761596047253,867.1228572376018,4.842388087499816,,,76.18222391136284,2.590378410787211,0.24581755127990618,200,69.11639163938595,67.55253603369177,31.773623703179794,3.7309773761417926,395.65299185207226,456.2055782932289,341.5856493315615,344.7999897819752,3.0662494107771403,3.0662494107771403,0.0,,,,,800
5,1000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.19999998807907104,-5.0,True,velocity,False,True,full,True,416.13020916485925,2.0806510458242964,7.177760454907484,5.061527752824584,2.4989996867667825,19.0,582.5434654484277,1208.7329559212887,5.061527752824584,,,49.97999373533565,2.56652970559652,0.25120254760753596,200,70.98471907628898,53.88045427131471,22.3248623974369,6.4919570831354,972.327958339675,568.8984385546173,571.4307381478864,654.4189598249433,2.952799465975069,2.952799465975069,0.0,,,,,1000
6,1200,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.18960759043693542,-5.0,True,velocity,False,True,full,True,1135.366073173197,5.676830365865985,8.646533942074477,2.359606092187972,6.289481737637579,19.0,913.2973276416886,1415.0591472017936,2.359606092187972,,,125.78963475275157,2.5711492426999896,0.2726083986627054,200,49.54151270873721,72.12908215832337,12.553134027926825,31.408903716075844,389.4656375229682,202.61332250431175,895.4350890361468,345.26559860308316,3.5089131779188207,3.5089131779188207,0.0,10.463325500488281,-5.478560924530029,-13.785489082336426,3.2920145988464355,1200
7,1400,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17942723631858826,-5.0,True,velocity,False,True,full,True,388.8612055876418,1.944306027938209,8.253816305306193,5.148201146801008,3.2355505045112793,20.0,371.3524093715231,847.607327670218,5.148201146801008,,,64.7110100902256,3.039496707750933,0.4131750812265091,200,42.138411004946796,161.37351468509175,13.58131589652953,146.69081321519712,364.7563849596617,613.3217866906197,374.0825739749418,648.8999343193226,3.469861367432029,3.469861367432029,0.0,7.609157562255859,-7.941051006317139,-11.831982612609863,1.8881820440292358,1400
8,1600,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.17028406262397766,-5.0,True,velocity,False,True,full,True,644.1820594249305,3.2209102971246524,7.61849365989528,2.4813614627352316,5.145011871610111,28.0,487.42095225067095,1077.1126228842427,2.4813614627352316,,,102.90023743220223,3.069948656238846,0.4604388609691523,200,80.04179790821131,170.10137034757085,64.94152190875371,161.53133699080226,722.7408543042521,495.98661171380485,473.8649387367498,469.22746156621224,3.6792551804542892,3.6792551804542892,0.0,11.330360412597656,-11.435701370239258,-11.130805969238281,1.2885037660598755,1600
9,1800,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.16125743091106415,-5.0,True,velocity,False,True,full,True,603.7062467936128,3.018531233968064,7.771601887174806,4.320792496301959,3.5322269570157174,19.0,498.65095490441,926.2477669483743,4.320792496301959,,,70.64453914031435,2.7874122643640704,0.47252422085031864,200,71.79250086462267,116.05449984498651,13.515156695233904,102.75654673322337,654.3164894727502,511.8606469354042,504.676504192507,745.0084654424297,3.6629187111833366,3.6629187111833366,0.0,10.68763542175293,-13.305705070495605,-11.653194427490234,1.3871315717697144,1800
10,2000,SAC,rayleigh,64,0.0003,0.0003,0.0003,64,0.15259131789207458,-5.0,True,velocity,False,True,full,True,740.0166105158376,3.700083052579188,8.388276703798285,4.286042700973644,4.171162195971464,20.0,379.3288417262859,978.0062655928306,4.286042700973644,,,83.42324391942927,2.704089577502476,0.46906909230165184,200,49.85879437891365,110.67521233883812,31.086212364503886,101.91993556222924,493.41126612825974,269.2179142089687,394.9513532015831,471.1563957253094,3.713743059662149,3.713743059662149,0.0,13.660326957702637,-17.893362045288086,-11.639337539672852,1.192080020904541,2000
